,date,supplier_name,account_type,supplier_terminal_name,product_name,base_gallons_Daily,base_gallons_Weekly,lifted_gallons_daily_flag,lifted_gallons_daily_modified,Modified_WeeksByLiftedGallons,lifted_gallons_modified_WeeksByLiftedGallons,lifted_gallons_Daily,Lifted_actual_weekly,lifted_gallons_weekly_flag,WeeksByLiftedGallons,lifted_gallonsWeekly_modified_aposteriori,Modified_LiftedGallonsaposteriori,lifted_gallons_Weekly,beginning_gallons_Daily,beginning_gallons_Weekly,en_allocation_status_Daily,en_allocation_status_Weekly,percentage_allocation_Daily_actual,percentage_allocation_Daily,percentage_allocation_Weekly_actual,percentage_allocation_Weekly,alerts_ratability_Daily,alerts_ratability_Weekly,next_refresh_date_Daily,Week_switch,Modified_NRD,next_refresh_date_Weekly,en_account_type_Daily,en_account_type_Weekly,NRB_Daily,next_refresh_base_gallons_Daily,next_refresh_base_gallons_Weekly,remaining_gallons_Daily,remaining_gallons_Weekly,additional_gallons_allowed_Daily,additional_gallons_allowed_Weekly,additional_gallons_remaining_Daily,additional_gallons_remaining_Weekly,staging_id_Daily,staging_id_Weekly,execution_date_Daily,execution_date_Weekly,customer_name_Daily,customer_name_Weekly,base_gallons_Monthly,Lifted_actual_monthly,lifted_gallons_monthly_flag,lifted_gallons_Monthly,beginning_gallons_Monthly,en_allocation_status_Monthly,percentage_allocation_Monthly_actual,percentage_allocation_Monthly,alerts_ratability_Monthly,next_refresh_date_Monthly,NRB_Monthly,next_refresh_base_gallons_Monthly,remaining_gallons_Monthly,additional_gallons_allowed_Monthly,additional_gallons_remaining_Monthly,execution_date_Monthly,base_gallons_Daily_Reconciled,base_gallons_Monthly_Reconciled,base_gallons_Weekly_Reconciled,beginning_gallons_Daily_Reconciled,beginning_gallons_Monthly_Reconciled,beginning_gallons_Weekly_Reconciled,sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,computedWeekly,sanityComputedWeekly,computedMonthly,sanityComputedMonthly,remaining_gallons_Daily_Reconciled,remaining_gallons_Monthly_Reconciled,remaining_gallons_Weekly_Reconciled,additional_gallons_remaining_Daily_Reconciled,additional_gallons_remaining_Monthly_Reconciled,additional_gallons_remaining_Weekly_Reconciled,Ratability_Monthly,Ratability_Daily,Ratability_Weekly,Synthetic_Base_Weekly,Synthetic_Base_Daily,Synthetic_Base_Monthly,Ratability_Monthly_computed,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
2015-08-01,2015-08-01 00:00:00,BP,Channel: 50 - Commercial,CHESAPEAKE VA - BUCKEYE (PLANT 9483),PREMIUM,-1,59666,1,0,3,9305,-1,56945,1,w1,-1,0,0,-1,65633,-1,Available,-1,100,110%,110,-1,-1,-1,w1,0,2015-08-05 00:00:00,-1,Contract,-1,-1,72646,-1,8688,-1,0,-1,0,-1,2567231,2015-08-01 00:00:00,2015-08-01 22:00:07,-1,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,59666,-1,0,65632,True,False,0,0,0,0,-1,0,65633,-1,-1,-1,-1,-1,0,59666.0,8524.0,264244.0,-1,0,1
2015-08-02,2015-08-02 00:00:00,BP,Channel: 50 - Commercial,CHESAPEAKE VA - BUCKEYE (PLANT 9483),PREMIUM,-1,59666,0,-1,0,-1,-1,66845,0,w1,-1,0,66845,-1,65633,-1,Out,-1,100,110%,110,-1,-1,-1,w1,0,2015-08-05 00:00:00,-1,Contract,-1,-1,72646,-1,-1212,-1,0,-1,0,-1,2612969,2015-08-02 00:00:00,2015-08-02 22:00:08,-1,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,59666,-1,0,65633,False,False,0,0,0,0,-1,0,-1212,-1,-1,-1,-1,-1,0,59666.0,8524.0,264244.0,-1,0,0
2015-08-03,2015-08-03 00:00:00,BP,Channel: 50 - Commercial,CHESAPEAKE VA - BUCKEYE (PLANT 9483),PREMIUM,-1,59666,0,-1,0,-1,-1,75551,0,w1,-1,0,75551,-1,65633,-1,Out,-1,100,110%,110,-1,-1,-1,w1,0,2015-08-05 00:00:00,-1,Contract,-1,-1,72646,-1,-1212,-1,8000,-1,706,-1,2668614,2015-08-03 00:00:00,2015-08-03 22:00:09,-1,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,59666,-1,0,65633,False,False,0,0,0,0,-1,0,-9918,-1,-1,8000,-1,-1,0,59666.0,8524.0,264244.0,-1,0,0
2015-08-04,2015-08-04 00:00:00,BP,Channel: 50 - Commercial,CHESAPEAKE VA - BUCKEYE (PLANT 9483),PREMIUM,-1,59666,0,-1,0,-1,-1,75551,0,w1,-1,0,75551,-1,65633,-1,Out,-1,100,110%,110,-1,-1,-1,w1,0,2015-08-05 00:00:00,-1,Contract,-1,-1,72646,-1,-1212,-1,8000,-1,706,-1,2723428,2015-08-04 00:00:00,2015-08-04 22:00:06,-1,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,59666,-1,0,65633,False,False,0,0,0,0,-1,0,-9918,-1,-1,8000,-1,-1,100,59666.0,8524.0,264244.0,-1,0,0
2015-08-05,2015-08-05 00:00:00,BP,Channel: 50 - Commercial,CHESAPEAKE VA - BUCKEYE (PLANT 9483),PREMIUM,-1,72646,3,16815,1,16815,-1,16815,0,w2,-1,0,16815,-1,79911,-1,Available,-1,100,110%,110,-1,-1,-1,w2,0,2015-08-12 00:00:00,-1,Contract,-1,-1,72646,-1,63096,-1,0,-1,0,-1,2781753,2015-08-05 00:00:00,2015-08-05 19:00:09,-1,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,72646,-1,0,79911,True,True,0,0,0,0,-1,0,63096,-1,-1,-1,-1,-1,0,72646.0,10378.0,321718.0,-1,0,0
2015-08-06,2015-08-06 00:00:00,BP,Channel: 50 - Commercial,CHESAPEAKE VA - BUCKEYE (PLANT 9483),PREMIUM,-1,72646,0,-1,0,-1,-1,31825,0,w2,-1,0,31825,-1,79911,-1,Available,-1,100,110%,110,-1,-1,-1,w2,0,2015-08-12 00:00:00,-1,Contract,-1,-1,72646,-1,48086,-1,0,-1,0,-1,2842153,2015-08-06 00:00:00,2015-08-06 22:00:07,-1,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,72646,-1,0,79911,False,False,0,0,0,0,-1,0,48086,-1,-1,-1,-1,-1,0,72646.0,10378.0,321718.0,-1,0,0
2015-08-07,2015-08-07 00:00:00,BP,Channel: 50 - Commercial,CHESAPEAKE VA - BUCKEYE (PLANT 9483),PREMIUM,-1,72646,0,-1,0,-1,-1,51630,0,w2,-1,0,51630,-1,79911,-1,Available,-1,100,110%,110,-1,-1,-1,w2,0,2015-08-12 00:00:00,-1,Contract,-1,-1,72646,-1,28281,-1,0,-1,0,-1,2895492,2015-08-07 00:00:00,2015-08-07 22:00:06,-1,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,72646,-1,0,79911,False,False,0,0,0,0,-1,0,28281,-1,-1,-1,-1,-1,0,72646.0,10378.0,321718.0,-1,0,0
2015-08-08,2015-08-08 00:00:00,BP,Channel: 50 - Commercial,CHESAPEAKE VA - BUCKEYE (PLANT 9483),PREMIUM,-1,72646,0,-1,0,-1,-1,60830,0,w2,-1,0,60830,-1,79911,-1,Available,-1,100,110%,110,-1,-1,-1,w2,0,2015-08-12 00:00:00,-1,Contract,-1,-1,72646,-1,19081,-1,0,-1,0,-1,2951453,2015-08-08 00:00:00,2015-08-08 22:00:06,-1,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,72646,-1,0,79911,False,False,0,0,0,0,-1,0,19081,-1,-1,-1,-1,-1,0,72646.0,10378.0,321718.0,-1,0,0
2015-08-09,2015-08-09 00:00:00,BP,Channel: 50 - Commercial,CHESAPEAKE VA - BUCKEYE (PLANT 9483),PREMIUM,-1,72646,0,-1,0,-1,-1,67140,0,w2,-1,0,67140,-1,79911,-1,Available,-1,100,110%,110,-1,-1,-1,w2,0,2015-08-12 00:00:00,-1,Contract,-1,-1,72646,-1,12771,-1,0,-1,0,-1,3003449,2015-08-09 00:00:00,2015-08-09 22:01:06,-1,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,72646,-1,0,79911,False,False,0,0,0,0,-1,0,12771,-1,-1,-1,-1,-1,0,72646.0,10378.0,321718.0,-1,0,0
2015-08-10,2015-08-10 00:00:00,BP,Channel: 50 - Commercial,CHESAPEAKE VA - BUCKEYE (PLANT 9483),PREMIUM,-1,72646,0,-1,0,-1,-1,79950,0,w2,-1,0,79950,-1,79911,-1,Out,-1,100,110%,110,-1,-1,-1,w2,0,2015-08-12 00:00:00,-1,Contract,-1,-1,72646,-1,-39,-1,0,-1,0,-1,3064068,2015-08-10 00:00:00,2015-08-10 22:01:05,-1,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,72646,-1,0,79911,False,False,0,0,0,0,-1,0,-39,-1,-1,-1,-1,-1,0,72646.0,10378.0,321718.0,-1,0,0
