,date,supplier_name,account_type,supplier_terminal_name,product_name,base_gallons_Daily,base_gallons_Weekly,lifted_gallons_daily_flag,lifted_gallons_daily_modified,Modified_WeeksByLiftedGallons,lifted_gallons_modified_WeeksByLiftedGallons,lifted_gallons_Daily,Lifted_actual_weekly,lifted_gallons_weekly_flag,WeeksByLiftedGallons,lifted_gallonsWeekly_modified_aposteriori,Modified_LiftedGallonsaposteriori,lifted_gallons_Weekly,beginning_gallons_Daily,beginning_gallons_Weekly,en_allocation_status_Daily,en_allocation_status_Weekly,percentage_allocation_Daily_actual,percentage_allocation_Daily,percentage_allocation_Weekly_actual,percentage_allocation_Weekly,alerts_ratability_Daily,alerts_ratability_Weekly,next_refresh_date_Daily,Week_switch,Modified_NRD,next_refresh_date_Weekly,en_account_type_Daily,en_account_type_Weekly,NRB_Daily,next_refresh_base_gallons_Daily,next_refresh_base_gallons_Weekly,remaining_gallons_Daily,remaining_gallons_Weekly,additional_gallons_allowed_Daily,additional_gallons_allowed_Weekly,additional_gallons_remaining_Daily,additional_gallons_remaining_Weekly,staging_id_Daily,staging_id_Weekly,execution_date_Daily,execution_date_Weekly,customer_name_Daily,customer_name_Weekly,base_gallons_Monthly,Lifted_actual_monthly,lifted_gallons_monthly_flag,lifted_gallons_Monthly,beginning_gallons_Monthly,en_allocation_status_Monthly,percentage_allocation_Monthly_actual,percentage_allocation_Monthly,alerts_ratability_Monthly,next_refresh_date_Monthly,NRB_Monthly,next_refresh_base_gallons_Monthly,remaining_gallons_Monthly,additional_gallons_allowed_Monthly,additional_gallons_remaining_Monthly,execution_date_Monthly,base_gallons_Daily_Reconciled,base_gallons_Monthly_Reconciled,base_gallons_Weekly_Reconciled,beginning_gallons_Daily_Reconciled,beginning_gallons_Monthly_Reconciled,beginning_gallons_Weekly_Reconciled,sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,computedWeekly,sanityComputedWeekly,computedMonthly,sanityComputedMonthly,remaining_gallons_Daily_Reconciled,remaining_gallons_Monthly_Reconciled,remaining_gallons_Weekly_Reconciled,additional_gallons_remaining_Daily_Reconciled,additional_gallons_remaining_Monthly_Reconciled,additional_gallons_remaining_Weekly_Reconciled,Ratability_Monthly,Ratability_Daily,Ratability_Weekly,Synthetic_Base_Weekly,Synthetic_Base_Daily,Synthetic_Base_Monthly,Ratability_Monthly_computed,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
2015-08-01,2015-08-01 00:00:00,BP,Channel: 50 - Commercial,CINCINNATI OH - BP (PLANT 3957),DIESEL,12097,84677,3,14998,3,0,0,14998,1,w1,0,0,0,24194,93145,Available,Available,200%,200,110%,110,-1,-1,08/02 00:00:00 EDT,w1,0,2015-08-05 00:00:00,Contract,Contract,12097,12097,79032,24194,78147,0,0,0,0,2567234,2567235,2015-08-01 22:00:07,2015-08-01 22:00:07,Mansfield,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12097,0,84677,24194,0,93144,False,False,14998,False,0,0,9196,0,93145,-1,-1,-1,-1,133.0,0,84677.0,12097.0,375007.0,-1,1,0
2015-08-02,2015-08-02 00:00:00,BP,Channel: 50 - Commercial,CINCINNATI OH - BP (PLANT 3957),DIESEL,12097,84677,0,0,3,0,0,14998,0,w1,0,0,14998,24194,93145,Available,Available,200%,200,110%,110,-1,-1,08/03 00:00:00 EDT,w1,0,2015-08-05 00:00:00,Contract,Contract,12097,12097,79032,24194,78147,0,0,0,0,2612972,2612973,2015-08-02 22:00:08,2015-08-02 22:00:08,Mansfield,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12097,0,84677,24194,0,93145,False,False,14998,False,0,0,24194,0,78147,-1,-1,-1,-1,0.0,0,84677.0,12097.0,375007.0,-1,1,0
2015-08-03,2015-08-03 00:00:00,BP,Channel: 50 - Commercial,CINCINNATI OH - BP (PLANT 3957),DIESEL,12097,84677,3,22303,3,14803,14803,29801,1,w1,14803,0,22301,24194,93145,Available,Available,200%,200,110%,110,-1,-1,08/04 00:00:00 EDT,w1,0,2015-08-05 00:00:00,Contract,Contract,12097,12097,79032,9391,63344,0,0,0,0,2668617,2668618,2015-08-03 22:00:09,2015-08-03 22:00:09,Mansfield,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12097,0,84677,24194,0,93145,False,False,37301,False,0,0,1891,0,70844,-1,-1,-1,-1,133.0,0,84677.0,12097.0,375007.0,-1,0,0
2015-08-04,2015-08-04 00:00:00,BP,Channel: 50 - Commercial,CINCINNATI OH - BP (PLANT 3957),DIESEL,12097,84677,0,7500,0,7500,7500,37301,0,w1,7500,0,37301,24194,93145,Available,Available,200%,200,110%,110,-1,-1,08/05 00:00:00 EDT,w1,0,2015-08-05 00:00:00,Contract,Contract,11290,11290,79032,16694,55844,0,0,0,0,2723431,2723432,2015-08-04 22:00:06,2015-08-04 22:00:06,Mansfield,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12097,0,84677,24194,0,93145,False,False,44801,False,0,0,16694,0,55844,-1,-1,-1,-1,0.0,0,84677.0,12097.0,375007.0,-1,0,0
2015-08-05,2015-08-05 00:00:00,BP,Channel: 50 - Commercial,CINCINNATI OH - BP (PLANT 3957),DIESEL,11290,79032,3,14899,0,14899,14899,14899,0,w2,14899,0,14899,22580,86935,Available,Available,200%,200,110%,110,-1,-1,08/06 00:00:00 EDT,w2,0,2015-08-12 00:00:00,Contract,Contract,24838,11290,79032,7681,72036,0,0,0,0,2781756,2781757,2015-08-05 19:00:09,2015-08-05 19:00:09,Mansfield,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11290,0,79032,22580,0,86935,True,True,14899,True,0,0,7681,0,72036,-1,-1,-1,-1,133.0,0,79032.0,11290.0,349990.0,-1,0,0
2015-08-06,2015-08-06 00:00:00,BP,Channel: 50 - Commercial,CINCINNATI OH - BP (PLANT 3957),DIESEL,24838,173871,0,15001,0,15001,15001,29900,0,w2,15001,0,29900,49676,191258,Available,Available,200%,200,110%,110,-1,-1,08/07 00:00:00 EDT,w2,0,2015-08-12 00:00:00,Contract,Contract,11290,11290,79032,34675,161358,0,0,0,0,2842156,2842157,2015-08-06 22:00:07,2015-08-06 22:00:07,Mansfield,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24838,0,173871,49676,0,191258,True,True,29900,True,0,0,34675,0,161358,-1,-1,-1,-1,0.0,0,173871.0,24839.0,770009.0,-1,0,0
2015-08-07,2015-08-07 00:00:00,BP,Channel: 50 - Commercial,CINCINNATI OH - BP (PLANT 3957),DIESEL,11290,173871,1,20810,0,20810,20810,50710,1,w2,20810,0,50710,22580,191258,Available,Available,200%,200,110%,110,-1,-1,08/08 00:00:00 EDT,w2,0,2015-08-12 00:00:00,Contract,Contract,11290,11290,79032,1770,140548,0,0,0,0,2895495,2895496,2015-08-07 22:00:06,2015-08-07 22:00:06,Mansfield,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11290,0,173871,22580,0,191258,True,True,50710,True,0,0,1770,0,140548,-1,-1,-1,-1,133.0,0,173871.0,24839.0,770009.0,-1,0,0
2015-08-08,2015-08-08 00:00:00,BP,Channel: 50 - Commercial,CINCINNATI OH - BP (PLANT 3957),DIESEL,11290,173871,3,0,0,0,0,50710,1,w2,0,0,50710,22580,191258,Available,Available,200%,200,110%,110,-1,-1,08/09 00:00:00 EDT,w2,0,2015-08-12 00:00:00,Contract,Contract,11290,11290,79032,22580,140548,0,0,0,0,2951456,2951457,2015-08-08 22:00:06,2015-08-08 22:00:06,Mansfield,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11290,0,173871,22580,0,191258,True,True,50710,True,0,0,22580,0,140548,-1,-1,-1,-1,0.0,0,173871.0,24839.0,770009.0,-1,0,0
2015-08-09,2015-08-09 00:00:00,BP,Channel: 50 - Commercial,CINCINNATI OH - BP (PLANT 3957),DIESEL,11290,173871,0,0,0,0,0,50710,0,w2,0,0,50710,22580,191258,Available,Available,200%,200,110%,110,-1,-1,08/10 00:00:00 EDT,w2,0,2015-08-12 00:00:00,Contract,Contract,11290,11290,79032,22580,140548,0,0,0,0,3003452,3003453,2015-08-09 22:01:06,2015-08-09 22:01:06,Mansfield,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11290,0,173871,22580,0,191258,True,True,50710,True,0,0,22580,0,140548,-1,-1,-1,-1,0.0,0,173871.0,24839.0,770009.0,-1,0,0
2015-08-10,2015-08-10 00:00:00,BP,Channel: 50 - Commercial,CINCINNATI OH - BP (PLANT 3957),DIESEL,11290,173871,3,7499,0,7499,7499,58209,1,w2,7499,0,58209,22580,191258,Available,Available,200%,200,110%,110,-1,-1,08/11 00:00:00 EDT,w2,0,2015-08-12 00:00:00,Contract,Contract,11290,11290,79032,15081,133049,0,0,0,0,3064071,3064072,2015-08-10 22:01:05,2015-08-10 22:01:05,Mansfield,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11290,0,173871,22580,0,191258,True,True,58209,True,0,0,15081,0,133049,-1,-1,-1,-1,0.0,0,173871.0,24839.0,770009.0,-1,0,0
