,date,supplier_name,account_type,supplier_terminal_name,product_name,base_gallons_Daily,base_gallons_Weekly,lifted_gallons_daily_flag,lifted_gallons_daily_modified,Modified_WeeksByLiftedGallons,lifted_gallons_modified_WeeksByLiftedGallons,lifted_gallons_Daily,Lifted_actual_weekly,lifted_gallons_weekly_flag,WeeksByLiftedGallons,lifted_gallonsWeekly_modified_aposteriori,Modified_LiftedGallonsaposteriori,lifted_gallons_Weekly,beginning_gallons_Daily,beginning_gallons_Weekly,en_allocation_status_Daily,en_allocation_status_Weekly,percentage_allocation_Daily_actual,percentage_allocation_Daily,percentage_allocation_Weekly_actual,percentage_allocation_Weekly,alerts_ratability_Daily,alerts_ratability_Weekly,next_refresh_date_Daily,Week_switch,Modified_NRD,next_refresh_date_Weekly,en_account_type_Daily,en_account_type_Weekly,NRB_Daily,next_refresh_base_gallons_Daily,next_refresh_base_gallons_Weekly,remaining_gallons_Daily,remaining_gallons_Weekly,additional_gallons_allowed_Daily,additional_gallons_allowed_Weekly,additional_gallons_remaining_Daily,additional_gallons_remaining_Weekly,staging_id_Daily,staging_id_Weekly,execution_date_Daily,execution_date_Weekly,customer_name_Daily,customer_name_Weekly,base_gallons_Monthly,Lifted_actual_monthly,lifted_gallons_monthly_flag,lifted_gallons_Monthly,beginning_gallons_Monthly,en_allocation_status_Monthly,percentage_allocation_Monthly_actual,percentage_allocation_Monthly,alerts_ratability_Monthly,next_refresh_date_Monthly,NRB_Monthly,next_refresh_base_gallons_Monthly,remaining_gallons_Monthly,additional_gallons_allowed_Monthly,additional_gallons_remaining_Monthly,execution_date_Monthly,base_gallons_Daily_Reconciled,base_gallons_Monthly_Reconciled,base_gallons_Weekly_Reconciled,beginning_gallons_Daily_Reconciled,beginning_gallons_Monthly_Reconciled,beginning_gallons_Weekly_Reconciled,sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,computedWeekly,sanityComputedWeekly,computedMonthly,sanityComputedMonthly,remaining_gallons_Daily_Reconciled,remaining_gallons_Monthly_Reconciled,remaining_gallons_Weekly_Reconciled,additional_gallons_remaining_Daily_Reconciled,additional_gallons_remaining_Monthly_Reconciled,additional_gallons_remaining_Weekly_Reconciled,Ratability_Monthly,Ratability_Daily,Ratability_Weekly,Synthetic_Base_Weekly,Synthetic_Base_Daily,Synthetic_Base_Monthly,Ratability_Monthly_computed,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
2015-08-01,2015-08-01 00:00:00,BP,Channel: 50 - Commercial,CURTIS BAY MD - BP (PLANT 0455),REGULAR,33429,234006,1,0,3,21297,21297,213057,1,w1,21297,0,0,66858,257407,Available,Available,200%,200,110%,110,-1,-1,08/02 00:00:00 EDT,w1,0,2015-08-05 00:00:00,Contract,Contract,33429,33429,233587,45561,44350,0,0,0,0,2567241,2567242,2015-08-01 22:00:07,2015-08-01 22:00:07,Mansfield,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33429,0,234006,66858,0,257406,False,True,0,False,0,0,66858,0,257407,-1,-1,-1,-1,0.0,0,234006.0,33429.0,1036299.0,-1,0,1
2015-08-02,2015-08-02 00:00:00,BP,Channel: 50 - Commercial,CURTIS BAY MD - BP (PLANT 0455),REGULAR,33429,234006,3,267578,3,32423,32423,245480,1,w1,32423,0,10325,66858,257407,Available,Available,200%,200,110%,110,-1,-1,08/03 00:00:00 EDT,w1,0,2015-08-05 00:00:00,Contract,Contract,33429,33429,233587,34435,11927,0,0,0,0,2612979,2612980,2015-08-02 22:00:08,2015-08-02 22:00:08,Mansfield,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33429,0,234006,66858,0,257407,False,False,267578,False,0,0,-200720,0,247082,-1,-1,-1,-1,1067.0,0,234006.0,33429.0,1036299.0,-1,0,0
2015-08-03,2015-08-03 00:00:00,BP,Channel: 50 - Commercial,CURTIS BAY MD - BP (PLANT 0455),REGULAR,33429,234006,3,22098,3,22098,22098,267578,0,w1,22098,0,267578,66858,257407,Available,Available,200%,200,110%,110,-1,-1,08/04 00:00:00 EDT,w1,0,2015-08-05 00:00:00,Contract,Contract,33429,33429,233587,51560,-3371,32000,32000,25200,25200,2668624,2668625,2015-08-03 22:00:09,2015-08-03 22:00:09,Mansfield,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33429,0,234006,66858,0,257407,False,False,289676,False,0,0,44760,0,-10171,-1,-1,32000,-1,0.0,0,234006.0,33429.0,1036299.0,-1,0,0
2015-08-04,2015-08-04 00:00:00,BP,Channel: 50 - Commercial,CURTIS BAY MD - BP (PLANT 0455),REGULAR,33429,234006,0,32529,0,32529,32529,300107,0,w1,32529,0,300107,66858,257407,Out,Out,200%,200,110%,110,-1,-1,08/05 00:00:00 EDT,w1,0,2015-08-05 00:00:00,Contract,Contract,33370,33370,233587,66858,-3371,32000,32000,7329,7329,2723438,2723439,2015-08-04 22:00:06,2015-08-04 22:00:06,Mansfield,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33429,0,234006,66858,0,257407,False,False,322205,False,0,0,34329,0,-42700,-1,-1,32000,-1,0.0,100,234006.0,33429.0,1036299.0,-1,0,0
2015-08-05,2015-08-05 00:00:00,BP,Channel: 50 - Commercial,CURTIS BAY MD - BP (PLANT 0455),REGULAR,33370,233587,0,33490,3,41094,33490,33490,0,w2,33490,0,33490,66740,256946,Available,Available,200%,200,110%,110,-1,-1,08/06 00:00:00 EDT,w2,0,2015-08-12 00:00:00,Contract,Contract,33370,33370,233587,33250,223456,0,0,0,0,2781763,2781764,2015-08-05 19:00:09,2015-08-05 19:00:09,Mansfield,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33370,0,233587,66740,0,256946,False,True,33490,False,0,0,33250,0,223456,-1,-1,-1,-1,133.0,0,233587.0,33370.0,1034470.0,-1,0,0
2015-08-06,2015-08-06 00:00:00,BP,Channel: 50 - Commercial,CURTIS BAY MD - BP (PLANT 0455),REGULAR,33370,233587,1,14795,3,45994,45994,87088,1,w2,45994,0,48285,66740,256946,Available,Available,200%,200,110%,110,-1,-1,08/07 00:00:00 EDT,w2,0,2015-08-12 00:00:00,Contract,Contract,33370,33370,233587,20746,169858,0,0,0,0,2842163,2842164,2015-08-06 22:00:07,2015-08-06 22:00:07,Mansfield,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33370,0,233587,66740,0,256946,True,True,48285,False,0,0,51945,0,208661,-1,-1,-1,-1,0.0,0,233587.0,33370.0,1034470.0,-1,0,0
2015-08-07,2015-08-07 00:00:00,BP,Channel: 50 - Commercial,CURTIS BAY MD - BP (PLANT 0455),REGULAR,33370,233587,1,1000,3,31199,31199,118287,1,w2,31199,0,49285,66740,256946,Available,Available,200%,200,110%,110,-1,-1,08/08 00:00:00 EDT,w2,0,2015-08-12 00:00:00,Contract,Contract,33370,33370,233587,35541,138659,0,0,0,0,2895502,2895503,2015-08-07 22:00:06,2015-08-07 22:00:06,Mansfield,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33370,0,233587,66740,0,256946,True,True,49285,False,0,0,65740,0,207661,-1,-1,-1,-1,0.0,0,233587.0,33370.0,1034470.0,-1,0,0
2015-08-08,2015-08-08 00:00:00,BP,Channel: 50 - Commercial,CURTIS BAY MD - BP (PLANT 0455),REGULAR,33370,233587,3,122563,3,30199,30199,148486,1,w2,30199,0,56122,66740,256946,Available,Available,200%,200,110%,110,-1,-1,08/09 00:00:00 EDT,w2,0,2015-08-12 00:00:00,Contract,Contract,33370,33370,233587,36541,108460,0,0,0,0,2951463,2951464,2015-08-08 22:00:06,2015-08-08 22:00:06,Mansfield,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33370,0,233587,66740,0,256946,True,False,171848,False,0,0,-55823,0,200824,-1,-1,-1,-1,400.0,0,233587.0,33370.0,1034470.0,-1,0,0
2015-08-09,2015-08-09 00:00:00,BP,Channel: 50 - Commercial,CURTIS BAY MD - BP (PLANT 0455),REGULAR,33370,233587,0,23362,3,23362,23362,171848,0,w2,23362,0,171848,66740,256946,Available,Available,200%,200,110%,110,-1,-1,08/10 00:00:00 EDT,w2,0,2015-08-12 00:00:00,Contract,Contract,33370,33370,233587,43378,85098,0,0,0,0,3003459,3003460,2015-08-09 22:01:06,2015-08-09 22:01:06,Mansfield,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33370,0,233587,66740,0,256946,True,False,195210,False,0,0,43378,0,85098,-1,-1,-1,-1,0.0,0,233587.0,33370.0,1034470.0,-1,0,0
2015-08-10,2015-08-10 00:00:00,BP,Channel: 50 - Commercial,CURTIS BAY MD - BP (PLANT 0455),REGULAR,33370,233587,1,799,3,37695,37695,209543,1,w2,37695,0,172647,66740,256946,Available,Available,200%,200,110%,110,-1,-1,08/11 00:00:00 EDT,w2,0,2015-08-12 00:00:00,Contract,Contract,33370,33370,233587,29045,47403,32000,32000,32000,32000,3064078,3064079,2015-08-10 22:01:05,2015-08-10 22:01:05,Mansfield,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33370,0,233587,66740,0,256946,True,False,196009,False,0,0,65941,0,84299,-1,-1,-1,-1,0.0,0,233587.0,33370.0,1034470.0,-1,0,0
