,date,supplier_name,account_type,supplier_terminal_name,product_name,base_gallons_Daily,base_gallons_Weekly,lifted_gallons_daily_flag,lifted_gallons_daily_modified,Modified_WeeksByLiftedGallons,lifted_gallons_modified_WeeksByLiftedGallons,lifted_gallons_Daily,Lifted_actual_weekly,lifted_gallons_weekly_flag,WeeksByLiftedGallons,lifted_gallonsWeekly_modified_aposteriori,Modified_LiftedGallonsaposteriori,lifted_gallons_Weekly,beginning_gallons_Daily,beginning_gallons_Weekly,en_allocation_status_Daily,en_allocation_status_Weekly,percentage_allocation_Daily_actual,percentage_allocation_Daily,percentage_allocation_Weekly_actual,percentage_allocation_Weekly,alerts_ratability_Daily,alerts_ratability_Weekly,next_refresh_date_Daily,Week_switch,Modified_NRD,next_refresh_date_Weekly,en_account_type_Daily,en_account_type_Weekly,NRB_Daily,next_refresh_base_gallons_Daily,next_refresh_base_gallons_Weekly,remaining_gallons_Daily,remaining_gallons_Weekly,additional_gallons_allowed_Daily,additional_gallons_allowed_Weekly,additional_gallons_remaining_Daily,additional_gallons_remaining_Weekly,staging_id_Daily,staging_id_Weekly,execution_date_Daily,execution_date_Weekly,customer_name_Daily,customer_name_Weekly,base_gallons_Monthly,Lifted_actual_monthly,lifted_gallons_monthly_flag,lifted_gallons_Monthly,beginning_gallons_Monthly,en_allocation_status_Monthly,percentage_allocation_Monthly_actual,percentage_allocation_Monthly,alerts_ratability_Monthly,next_refresh_date_Monthly,NRB_Monthly,next_refresh_base_gallons_Monthly,remaining_gallons_Monthly,additional_gallons_allowed_Monthly,additional_gallons_remaining_Monthly,execution_date_Monthly,base_gallons_Daily_Reconciled,base_gallons_Monthly_Reconciled,base_gallons_Weekly_Reconciled,beginning_gallons_Daily_Reconciled,beginning_gallons_Monthly_Reconciled,beginning_gallons_Weekly_Reconciled,sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,computedWeekly,sanityComputedWeekly,computedMonthly,sanityComputedMonthly,remaining_gallons_Daily_Reconciled,remaining_gallons_Monthly_Reconciled,remaining_gallons_Weekly_Reconciled,additional_gallons_remaining_Daily_Reconciled,additional_gallons_remaining_Monthly_Reconciled,additional_gallons_remaining_Weekly_Reconciled,Ratability_Monthly,Ratability_Daily,Ratability_Weekly,Synthetic_Base_Weekly,Synthetic_Base_Daily,Synthetic_Base_Monthly,Ratability_Monthly_computed,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
2015-08-01,2015-08-01 00:00:00,BP,Channel: 50 - Commercial,INDIANAPOLIS IN - BP (PLANT 0452),DIESEL,6452,45161,1,0,3,0,0,81752,1,w1,0,0,0,12904,49677,Available,Available,200%,200,110%,110,-1,-1,08/02 00:00:00 EDT,w1,0,2015-08-05 00:00:00,Contract,Contract,6452,6452,45161,12904,3664,32000,32000,3739,3739,2567254,2567255,2015-08-01 22:00:07,2015-08-01 22:00:07,Mansfield,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6452,0,45161,12904,0,49677,False,True,0,True,0,0,12904,0,49677,-1,-1,-1,-1,0.0,0,45161.0,6452.0,200012.0,-1,1,1
2015-08-02,2015-08-02 00:00:00,BP,Channel: 50 - Commercial,INDIANAPOLIS IN - BP (PLANT 0452),DIESEL,6452,45161,3,81752,3,0,0,81752,1,w1,0,0,0,12904,49677,Available,Available,200%,200,110%,110,-1,-1,08/03 00:00:00 EDT,w1,0,2015-08-05 00:00:00,Contract,Contract,6452,6452,45161,12904,3664,32000,32000,3739,3739,2612992,2612993,2015-08-02 22:00:08,2015-08-02 22:00:08,Mansfield,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6452,0,45161,12904,0,49677,False,False,81752,True,0,0,-68848,0,49677,32000,-1,-1,-1,1600.0,0,45161.0,6452.0,200012.0,-1,1,0
2015-08-03,2015-08-03 00:00:00,BP,Channel: 50 - Commercial,INDIANAPOLIS IN - BP (PLANT 0452),DIESEL,6452,45161,3,0,3,0,0,81752,0,w1,0,0,81752,12904,49677,Available,Available,200%,200,110%,110,-1,-1,08/04 00:00:00 EDT,w1,0,2015-08-05 00:00:00,Contract,Contract,6452,6452,45161,12904,3664,32000,32000,3739,3739,2668637,2668638,2015-08-03 22:00:09,2015-08-03 22:00:09,Mansfield,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6452,0,45161,12904,0,49677,False,True,81752,True,0,0,12904,0,-32075,-1,-1,32000,-1,0.0,0,45161.0,6452.0,200012.0,-1,1,0
2015-08-04,2015-08-04 00:00:00,BP,Channel: 50 - Commercial,INDIANAPOLIS IN - BP (PLANT 0452),DIESEL,6452,45161,0,6003,0,6003,6003,87755,0,w1,6003,0,87755,12904,49677,Out,Out,200%,200,110%,110,-1,-1,08/05 00:00:00 EDT,w1,0,2015-08-05 00:00:00,Contract,Contract,6452,6452,45161,9240,0,32000,32000,6078,6078,2723450,2723451,2015-08-04 22:00:06,2015-08-04 22:00:06,Mansfield,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6452,0,45161,12904,0,49677,False,True,87755,True,0,0,6901,0,-38078,-1,-1,32000,-1,0.0,100,45161.0,6452.0,200012.0,-1,0,0
2015-08-05,2015-08-05 00:00:00,BP,Channel: 50 - Commercial,INDIANAPOLIS IN - BP (PLANT 0452),DIESEL,6452,45161,0,23701,0,23701,23701,23701,0,w2,23701,0,23701,12904,49677,Available,Available,200%,200,110%,110,-1,-1,08/06 00:00:00 EDT,w2,0,2015-08-12 00:00:00,Contract,Contract,6452,6452,45161,-3298,33475,32000,32000,24501,24501,2781776,2781777,2015-08-05 19:00:09,2015-08-05 19:00:09,Mansfield,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6452,0,45161,12904,0,49677,True,True,23701,True,0,0,-10797,0,25976,32000,-1,-1,-1,400.0,0,45161.0,6452.0,200012.0,-1,0,0
2015-08-06,2015-08-06 00:00:00,BP,Channel: 50 - Commercial,INDIANAPOLIS IN - BP (PLANT 0452),DIESEL,6452,45161,1,8983,0,27506,27506,51207,1,w2,27506,0,32684,12904,49677,Available,Available,200%,200,110%,110,-1,-1,08/07 00:00:00 EDT,w2,0,2015-08-12 00:00:00,Contract,Contract,6452,6452,45161,0,20571,32000,32000,9899,9899,2842176,2842177,2015-08-06 22:00:07,2015-08-06 22:00:07,Mansfield,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6452,0,45161,12904,0,49677,True,True,32684,True,0,0,3921,0,16993,-1,-1,-1,-1,133.0,0,45161.0,6452.0,200012.0,-1,0,0
2015-08-07,2015-08-07 00:00:00,BP,Channel: 50 - Commercial,INDIANAPOLIS IN - BP (PLANT 0452),DIESEL,6452,45161,1,11021,0,18523,18523,69730,1,w2,18523,0,43705,12904,49677,Available,Available,200%,200,110%,110,-1,-1,08/08 00:00:00 EDT,w2,0,2015-08-12 00:00:00,Contract,Contract,6452,6452,45161,0,7667,32000,32000,4280,4280,2895515,2895516,2015-08-07 22:00:06,2015-08-07 22:00:06,Mansfield,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6452,0,45161,12904,0,49677,True,True,43705,True,0,0,1883,0,5972,-1,-1,-1,-1,133.0,0,45161.0,6452.0,200012.0,-1,0,0
2015-08-08,2015-08-08 00:00:00,BP,Channel: 50 - Commercial,INDIANAPOLIS IN - BP (PLANT 0452),DIESEL,6452,45161,3,33527,0,7502,7502,77232,1,w2,7502,0,51207,12904,49677,Available,Available,200%,200,110%,110,-1,-1,08/09 00:00:00 EDT,w2,0,2015-08-12 00:00:00,Contract,Contract,6452,6452,45161,5402,165,32000,32000,4280,4280,2951476,2951477,2015-08-08 22:00:06,2015-08-08 22:00:06,Mansfield,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6452,0,45161,12904,0,49677,True,False,77232,True,0,0,-20623,0,-1530,32000,-1,32000,-1,667.0,0,45161.0,6452.0,200012.0,-1,0,0
2015-08-09,2015-08-09 00:00:00,BP,Channel: 50 - Commercial,INDIANAPOLIS IN - BP (PLANT 0452),DIESEL,6452,45161,0,0,0,0,0,77232,0,w2,0,0,77232,12904,49677,Available,Available,200%,200,110%,110,-1,-1,08/10 00:00:00 EDT,w2,0,2015-08-12 00:00:00,Contract,Contract,6452,6452,45161,12904,165,32000,32000,4280,4280,3003472,3003473,2015-08-09 22:01:06,2015-08-09 22:01:06,Mansfield,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6452,0,45161,12904,0,49677,True,True,77232,True,0,0,12904,0,-27555,-1,-1,32000,-1,0.0,0,45161.0,6452.0,200012.0,-1,0,0
2015-08-10,2015-08-10 00:00:00,BP,Channel: 50 - Commercial,INDIANAPOLIS IN - BP (PLANT 0452),DIESEL,6452,45161,3,7499,0,7499,7499,84731,1,w2,7499,0,84731,12904,49677,Out,Out,200%,200,110%,110,-1,-1,08/11 00:00:00 EDT,w2,0,2015-08-12 00:00:00,Contract,Contract,6452,6452,45161,12739,0,32000,32000,3054,3054,3064091,3064092,2015-08-10 22:01:05,2015-08-10 22:01:05,Mansfield,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6452,0,45161,12904,0,49677,True,True,84731,True,0,0,5405,0,-35054,-1,-1,32000,-1,133.0,0,45161.0,6452.0,200012.0,-1,0,0
