,date,supplier_name,account_type,supplier_terminal_name,product_name,base_gallons_Daily,base_gallons_Weekly,lifted_gallons_daily_flag,lifted_gallons_daily_modified,Modified_WeeksByLiftedGallons,lifted_gallons_modified_WeeksByLiftedGallons,lifted_gallons_Daily,Lifted_actual_weekly,lifted_gallons_weekly_flag,WeeksByLiftedGallons,lifted_gallonsWeekly_modified_aposteriori,Modified_LiftedGallonsaposteriori,lifted_gallons_Weekly,beginning_gallons_Daily,beginning_gallons_Weekly,en_allocation_status_Daily,en_allocation_status_Weekly,percentage_allocation_Daily_actual,percentage_allocation_Daily,percentage_allocation_Weekly_actual,percentage_allocation_Weekly,alerts_ratability_Daily,alerts_ratability_Weekly,next_refresh_date_Daily,Week_switch,Modified_NRD,next_refresh_date_Weekly,en_account_type_Daily,en_account_type_Weekly,NRB_Daily,next_refresh_base_gallons_Daily,next_refresh_base_gallons_Weekly,remaining_gallons_Daily,remaining_gallons_Weekly,additional_gallons_allowed_Daily,additional_gallons_allowed_Weekly,additional_gallons_remaining_Daily,additional_gallons_remaining_Weekly,staging_id_Daily,staging_id_Weekly,execution_date_Daily,execution_date_Weekly,customer_name_Daily,customer_name_Weekly,base_gallons_Monthly,Lifted_actual_monthly,lifted_gallons_monthly_flag,lifted_gallons_Monthly,beginning_gallons_Monthly,en_allocation_status_Monthly,percentage_allocation_Monthly_actual,percentage_allocation_Monthly,alerts_ratability_Monthly,next_refresh_date_Monthly,NRB_Monthly,next_refresh_base_gallons_Monthly,remaining_gallons_Monthly,additional_gallons_allowed_Monthly,additional_gallons_remaining_Monthly,execution_date_Monthly,base_gallons_Daily_Reconciled,base_gallons_Monthly_Reconciled,base_gallons_Weekly_Reconciled,beginning_gallons_Daily_Reconciled,beginning_gallons_Monthly_Reconciled,beginning_gallons_Weekly_Reconciled,sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,computedWeekly,sanityComputedWeekly,computedMonthly,sanityComputedMonthly,remaining_gallons_Daily_Reconciled,remaining_gallons_Monthly_Reconciled,remaining_gallons_Weekly_Reconciled,additional_gallons_remaining_Daily_Reconciled,additional_gallons_remaining_Monthly_Reconciled,additional_gallons_remaining_Weekly_Reconciled,Ratability_Monthly,Ratability_Daily,Ratability_Weekly,Synthetic_Base_Weekly,Synthetic_Base_Daily,Synthetic_Base_Monthly,Ratability_Monthly_computed,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
2015-08-01,2015-08-01 00:00:00,BP,Channel: 50 - Commercial,PORT EVERGLADES FL - BP (PLANT 0433),REGULAR,15410,107868,3,97578,3,6297,6297,91281,1,w1,6297,0,0,30820,118655,Available,Available,200%,200,110%,110,-1,-1,08/02 00:00:00 EDT,w1,0,2015-08-04 00:00:00,Contract,Contract,15410,15410,126651,24523,27374,0,0,0,0,2567266,2567267,2015-08-01 22:00:07,2015-08-01 22:00:07,Mansfield,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15410,0,107868,30820,0,118654,False,False,97578,False,0,0,-66758,0,118655,-1,-1,-1,-1,800.0,0,107868.0,15410.0,477710.0,-1,0,0
2015-08-02,2015-08-02 00:00:00,BP,Channel: 50 - Commercial,PORT EVERGLADES FL - BP (PLANT 0433),REGULAR,15410,107868,0,8803,3,8803,8803,100084,0,w1,8803,0,100084,30820,118655,Available,Available,200%,200,110%,110,-1,-1,08/03 00:00:00 EDT,w1,0,2015-08-04 00:00:00,Contract,Contract,15410,15410,126651,22017,18571,0,0,0,0,2613004,2613005,2015-08-02 22:00:08,2015-08-02 22:00:08,Mansfield,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15410,0,107868,30820,0,118655,False,False,106381,False,0,0,22017,0,18571,-1,-1,-1,-1,0.0,0,107868.0,15410.0,477710.0,-1,0,0
2015-08-03,2015-08-03 00:00:00,BP,Channel: 50 - Commercial,PORT EVERGLADES FL - BP (PLANT 0433),REGULAR,15410,107868,1,10731,0,19553,19553,119637,1,w1,19553,0,110815,30820,118655,Out,Out,200%,200,110%,110,-1,-1,08/04 00:00:00 EDT,w1,0,2015-08-04 00:00:00,Contract,Contract,15410,15410,126651,11267,-982,0,0,0,0,2668649,2668650,2015-08-03 22:00:09,2015-08-03 22:00:09,Mansfield,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15410,0,107868,30820,0,118655,False,False,117112,False,0,0,20089,0,7840,-1,-1,-1,-1,0.0,100,107868.0,15410.0,477710.0,-1,0,0
2015-08-04,2015-08-04 00:00:00,BP,Channel: 50 - Commercial,PORT EVERGLADES FL - BP (PLANT 0433),REGULAR,15410,126651,3,8822,3,8822,8822,8822,0,w2,8822,0,8822,30820,139316,Available,Available,200%,200,110%,110,-1,-1,08/05 00:00:00 EDT,w2,0,2015-08-11 00:00:00,Contract,Contract,18093,18093,126651,21998,130494,0,0,0,0,2723462,2723463,2015-08-04 22:00:06,2015-08-04 22:00:06,Mansfield,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15410,0,126651,30820,0,139316,True,True,8822,False,0,0,21998,0,130494,-1,-1,-1,-1,0.0,0,126651.0,18093.0,560883.0,-1,0,0
2015-08-05,2015-08-05 00:00:00,BP,Channel: 50 - Commercial,PORT EVERGLADES FL - BP (PLANT 0433),REGULAR,18093,126651,0,25303,3,34116,25303,34125,0,w2,25303,0,34125,36186,139316,Available,Available,200%,200,110%,110,-1,-1,08/06 00:00:00 EDT,w2,0,2015-08-11 00:00:00,Contract,Contract,18093,18093,126651,10883,105191,0,0,0,0,2781788,2781789,2015-08-05 19:00:09,2015-08-05 19:00:09,Mansfield,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18093,0,126651,36186,0,139316,False,True,34125,False,0,0,10883,0,105191,-1,-1,-1,-1,133.0,0,126651.0,18093.0,560883.0,-1,0,0
2015-08-06,2015-08-06 00:00:00,BP,Channel: 50 - Commercial,PORT EVERGLADES FL - BP (PLANT 0433),REGULAR,18093,126651,1,17370,3,35464,35464,78402,1,w2,35464,0,51495,36186,139316,Available,Available,200%,200,110%,110,-1,-1,08/07 00:00:00 EDT,w2,0,2015-08-11 00:00:00,Contract,Contract,18093,18093,126651,722,60914,0,0,0,0,2842188,2842189,2015-08-06 22:00:07,2015-08-06 22:00:07,Mansfield,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18093,0,126651,36186,0,139316,True,True,51495,False,0,0,18816,0,87821,-1,-1,-1,-1,0.0,0,126651.0,18093.0,560883.0,-1,0,0
2015-08-07,2015-08-07 00:00:00,BP,Channel: 50 - Commercial,PORT EVERGLADES FL - BP (PLANT 0433),REGULAR,18093,126651,3,53814,3,18094,18094,96496,1,w2,18094,0,60776,36186,139316,Available,Available,200%,200,110%,110,-1,-1,08/08 00:00:00 EDT,w2,0,2015-08-11 00:00:00,Contract,Contract,18093,18093,126651,18092,42820,0,0,0,0,2895527,2895528,2015-08-07 22:00:06,2015-08-07 22:00:06,Mansfield,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18093,0,126651,36186,0,139316,True,False,105309,False,0,0,-17628,0,78540,-1,-1,-1,-1,267.0,0,126651.0,18093.0,560883.0,-1,0,0
2015-08-08,2015-08-08 00:00:00,BP,Channel: 50 - Commercial,PORT EVERGLADES FL - BP (PLANT 0433),REGULAR,18093,126651,0,8813,3,8813,8813,105309,0,w2,8813,0,105309,36186,139316,Available,Available,200%,200,110%,110,-1,-1,08/09 00:00:00 EDT,w2,0,2015-08-11 00:00:00,Contract,Contract,18093,18093,126651,27373,34007,0,0,0,0,2951488,2951489,2015-08-08 22:00:06,2015-08-08 22:00:06,Mansfield,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18093,0,126651,36186,0,139316,True,False,114122,False,0,0,27373,0,34007,-1,-1,-1,-1,0.0,0,126651.0,18093.0,560883.0,-1,0,0
2015-08-09,2015-08-09 00:00:00,BP,Channel: 50 - Commercial,PORT EVERGLADES FL - BP (PLANT 0433),REGULAR,18093,126651,3,34593,3,17626,17626,122935,1,w2,17626,0,105968,36186,139316,Available,Available,200%,200,110%,110,-1,-1,08/10 00:00:00 EDT,w2,0,2015-08-11 00:00:00,Contract,Contract,18093,18093,126651,18560,16381,0,0,0,0,3003484,3003485,2015-08-09 22:01:06,2015-08-09 22:01:06,Mansfield,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18093,0,126651,36186,0,139316,True,False,148715,False,0,0,1593,0,33348,-1,-1,-1,-1,133.0,0,126651.0,18093.0,560883.0,-1,0,0
2015-08-10,2015-08-10 00:00:00,BP,Channel: 50 - Commercial,PORT EVERGLADES FL - BP (PLANT 0433),REGULAR,18093,126651,0,16967,0,16967,16967,139902,0,w2,16967,0,139902,36186,139316,Out,Out,200%,200,110%,110,-1,-1,08/11 00:00:00 EDT,w2,0,2015-08-11 00:00:00,Contract,Contract,18093,18093,126651,19219,-586,0,0,0,0,3064103,3064104,2015-08-10 22:01:05,2015-08-10 22:01:05,Mansfield,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18093,0,126651,36186,0,139316,True,False,165682,False,0,0,19219,0,-586,-1,-1,-1,-1,0.0,100,126651.0,18093.0,560883.0,-1,0,0
