,date,supplier_name,account_type,supplier_terminal_name,product_name,base_gallons_Daily,base_gallons_Weekly,lifted_gallons_daily_flag,lifted_gallons_daily_modified,Modified_WeeksByLiftedGallons,lifted_gallons_modified_WeeksByLiftedGallons,lifted_gallons_Daily,Lifted_actual_weekly,lifted_gallons_weekly_flag,WeeksByLiftedGallons,lifted_gallonsWeekly_modified_aposteriori,Modified_LiftedGallonsaposteriori,lifted_gallons_Weekly,beginning_gallons_Daily,beginning_gallons_Weekly,en_allocation_status_Daily,en_allocation_status_Weekly,percentage_allocation_Daily_actual,percentage_allocation_Daily,percentage_allocation_Weekly_actual,percentage_allocation_Weekly,alerts_ratability_Daily,alerts_ratability_Weekly,next_refresh_date_Daily,Week_switch,Modified_NRD,next_refresh_date_Weekly,en_account_type_Daily,en_account_type_Weekly,NRB_Daily,next_refresh_base_gallons_Daily,next_refresh_base_gallons_Weekly,remaining_gallons_Daily,remaining_gallons_Weekly,additional_gallons_allowed_Daily,additional_gallons_allowed_Weekly,additional_gallons_remaining_Daily,additional_gallons_remaining_Weekly,staging_id_Daily,staging_id_Weekly,execution_date_Daily,execution_date_Weekly,customer_name_Daily,customer_name_Weekly,base_gallons_Monthly,Lifted_actual_monthly,lifted_gallons_monthly_flag,lifted_gallons_Monthly,beginning_gallons_Monthly,en_allocation_status_Monthly,percentage_allocation_Monthly_actual,percentage_allocation_Monthly,alerts_ratability_Monthly,next_refresh_date_Monthly,NRB_Monthly,next_refresh_base_gallons_Monthly,remaining_gallons_Monthly,additional_gallons_allowed_Monthly,additional_gallons_remaining_Monthly,execution_date_Monthly,base_gallons_Daily_Reconciled,base_gallons_Monthly_Reconciled,base_gallons_Weekly_Reconciled,beginning_gallons_Daily_Reconciled,beginning_gallons_Monthly_Reconciled,beginning_gallons_Weekly_Reconciled,sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,computedWeekly,sanityComputedWeekly,computedMonthly,sanityComputedMonthly,remaining_gallons_Daily_Reconciled,remaining_gallons_Monthly_Reconciled,remaining_gallons_Weekly_Reconciled,additional_gallons_remaining_Daily_Reconciled,additional_gallons_remaining_Monthly_Reconciled,additional_gallons_remaining_Weekly_Reconciled,Ratability_Monthly,Ratability_Daily,Ratability_Weekly,Synthetic_Base_Weekly,Synthetic_Base_Daily,Synthetic_Base_Monthly,Ratability_Monthly_computed,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
2015-12-01,2015-12-01 00:00:00,BP,Channel: 50 - Commercial,FOREST VIEW IL - BP (PLANT 0447),DIESEL,60000,420000,1,0,0,44962,44962,328127,1,w1,44962,0,0,120000,462000,Available,Available,200%,200,110%,110,-1,-1,12/02 00:00:00 CST,w2,0,2015-12-02 00:00:00,Contract,Contract,64516,64516,451613,75038,133873,0,0,0,0,9237896,9237897,2015-12-01 22:00:10,2015-12-01 22:00:10,Mansfield,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60000,0,420000,120000,0,462000,True,False,0,True,0,0,120000,0,462000,-1,-1,-1,-1,0.0,0,420000.0,60000.0,1860000.0,-1,0,1
2015-12-02,2015-12-02 00:00:00,BP,Channel: 50 - Commercial,FOREST VIEW IL - BP (PLANT 0447),DIESEL,64516,451613,0,84993,3,104950,84993,84993,0,w2,84993,0,84993,129032,496774,Available,Available,200%,200,110%,110,-1,-1,12/03 00:00:00 CST,w3,0,2015-12-09 00:00:00,Contract,Contract,64516,64516,451613,44039,411781,0,0,0,0,9291230,9291231,2015-12-02 22:00:10,2015-12-02 22:00:10,Mansfield,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64516,0,451613,129032,0,496774,False,True,84993,False,0,0,44039,0,411781,-1,-1,-1,-1,133.0,0,451613.0,64516.0,1999996.0,-1,0,0
2015-12-03,2015-12-03 00:00:00,BP,Channel: 50 - Commercial,FOREST VIEW IL - BP (PLANT 0447),DIESEL,64516,451613,1,36051,3,173221,173221,278171,1,w2,173221,0,121044,129032,496774,Out,Out,200%,200,110%,110,-1,-1,12/04 00:00:00 CST,w3,0,2015-12-09 00:00:00,Contract,Contract,64516,64516,451613,-7805,254987,32000,32000,-4384,-4384,9345012,9345013,2015-12-03 22:00:08,2015-12-03 22:00:08,Mansfield,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64516,0,451613,129032,0,496774,True,True,121044,False,0,0,92981,0,375730,-1,-1,-1,-1,0.0,0,451613.0,64516.0,1999996.0,-1,0,0
2015-12-04,2015-12-04 00:00:00,BP,Channel: 50 - Commercial,FOREST VIEW IL - BP (PLANT 0447),DIESEL,64516,451613,1,84678,3,137170,137170,415341,1,w2,137170,0,205722,129032,496774,Out,Out,200%,200,110%,110,-1,-1,12/05 00:00:00 CST,w3,0,2015-12-09 00:00:00,Contract,Contract,64516,64516,451613,0,125955,32000,32000,-12522,-12522,9397643,9397644,2015-12-04 22:00:10,2015-12-04 22:00:10,Mansfield,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64516,0,451613,129032,0,496774,True,True,205722,False,0,0,44354,0,291052,-1,-1,-1,-1,133.0,0,451613.0,64516.0,1999996.0,-1,0,0
2015-12-05,2015-12-05 00:00:00,BP,Channel: 50 - Commercial,FOREST VIEW IL - BP (PLANT 0447),DIESEL,64516,451613,3,262111,3,52492,52492,467833,1,w2,52492,0,258214,129032,496774,Available,Available,200%,200,110%,110,-1,-1,12/06 00:00:00 CST,w3,0,2015-12-09 00:00:00,Contract,Contract,64516,64516,451613,76540,73463,32000,32000,-12522,-12522,9450215,9450216,2015-12-05 22:00:11,2015-12-05 22:00:11,Mansfield,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64516,0,451613,129032,0,496774,True,False,467833,False,0,0,-133079,0,238560,32000,-1,-1,-1,533.0,0,451613.0,64516.0,1999996.0,-1,0,0
2015-12-06,2015-12-06 00:00:00,BP,Channel: 50 - Commercial,FOREST VIEW IL - BP (PLANT 0447),DIESEL,64516,451613,0,0,3,0,0,467833,0,w2,0,0,467833,129032,496774,Available,Available,200%,200,110%,110,-1,-1,12/07 00:00:00 CST,w3,0,2015-12-09 00:00:00,Contract,Contract,70968,64516,451613,129032,73463,32000,32000,-12522,-12522,9487014,9487015,2015-12-06 22:00:12,2015-12-06 22:00:12,Mansfield,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64516,0,451613,129032,0,496774,True,True,467833,False,0,0,129032,0,28941,-1,-1,-1,-1,0.0,0,451613.0,64516.0,1999996.0,-1,0,0
2015-12-07,2015-12-07 00:00:00,BP,Channel: 50 - Commercial,FOREST VIEW IL - BP (PLANT 0447),DIESEL,70968,496776,3,130140,3,75255,75255,543088,1,w2,75255,0,488203,141936,546454,Available,Available,200%,200,110%,110,-1,-1,12/08 00:00:00 CST,w3,0,2015-12-09 00:00:00,Contract,Contract,70968,70968,496776,66681,47888,32000,32000,-12522,-12522,9532098,9532099,2015-12-07 22:00:12,2015-12-07 22:00:12,Mansfield,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70968,0,496776,141936,0,546454,True,False,597973,False,0,0,11796,0,58251,-1,-1,-1,-1,133.0,0,496776.0,70968.0,2200008.0,-1,0,0
2015-12-08,2015-12-08 00:00:00,BP,Channel: 50 - Commercial,FOREST VIEW IL - BP (PLANT 0447),DIESEL,70968,496776,0,54885,0,54885,54885,597973,0,w2,54885,0,597973,141936,546454,Out,Out,200%,200,110%,110,-1,-1,12/09 00:00:00 CST,w3,0,2015-12-09 00:00:00,Contract,Contract,70968,70968,496776,94048,0,32000,32000,-19520,-19520,9584106,9584107,2015-12-08 22:00:08,2015-12-08 22:00:08,Mansfield,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70968,0,496776,141936,0,546454,True,False,652858,False,0,0,87051,0,-51519,-1,-1,32000,-1,0.0,100,496776.0,70968.0,2200008.0,-1,0,0
2015-12-09,2015-12-09 00:00:00,BP,Channel: 50 - Commercial,FOREST VIEW IL - BP (PLANT 0447),DIESEL,70968,496776,3,193765,3,109147,109147,109147,1,w3,109147,0,24529,141936,546454,Available,Available,200%,200,110%,110,-1,-1,12/10 00:00:00 CST,w4,0,2015-12-16 00:00:00,Contract,Contract,70968,70968,496776,32789,437307,0,0,0,0,9634947,9634948,2015-12-09 22:00:13,2015-12-09 22:00:13,Mansfield,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70968,0,496776,141936,0,546454,True,False,193765,False,0,0,-51829,0,521925,-1,-1,-1,-1,267.0,0,496776.0,70968.0,2200008.0,-1,0,0
2015-12-10,2015-12-10 00:00:00,BP,Channel: 50 - Commercial,FOREST VIEW IL - BP (PLANT 0447),DIESEL,70968,496776,0,84618,3,84618,84618,193765,0,w3,84618,0,193765,141936,546454,Available,Available,200%,200,110%,110,-1,-1,12/11 00:00:00 CST,w4,0,2015-12-16 00:00:00,Contract,Contract,70968,70968,496776,57318,352689,0,0,0,0,9675821,9675822,2015-12-10 22:00:09,2015-12-10 22:00:09,Mansfield,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70968,0,496776,141936,0,546454,True,False,278383,False,0,0,57318,0,352689,-1,-1,-1,-1,133.0,0,496776.0,70968.0,2200008.0,-1,0,0
