,date,supplier_name,account_type,supplier_terminal_name,product_name,base_gallons_Daily,base_gallons_Weekly,lifted_gallons_daily_flag,lifted_gallons_daily_modified,Modified_WeeksByLiftedGallons,lifted_gallons_modified_WeeksByLiftedGallons,lifted_gallons_Daily,Lifted_actual_weekly,lifted_gallons_weekly_flag,WeeksByLiftedGallons,lifted_gallonsWeekly_modified_aposteriori,Modified_LiftedGallonsaposteriori,lifted_gallons_Weekly,beginning_gallons_Daily,beginning_gallons_Weekly,en_allocation_status_Daily,en_allocation_status_Weekly,percentage_allocation_Daily_actual,percentage_allocation_Daily,percentage_allocation_Weekly_actual,percentage_allocation_Weekly,alerts_ratability_Daily,alerts_ratability_Weekly,next_refresh_date_Daily,Week_switch,Modified_NRD,next_refresh_date_Weekly,en_account_type_Daily,en_account_type_Weekly,NRB_Daily,next_refresh_base_gallons_Daily,next_refresh_base_gallons_Weekly,remaining_gallons_Daily,remaining_gallons_Weekly,additional_gallons_allowed_Daily,additional_gallons_allowed_Weekly,additional_gallons_remaining_Daily,additional_gallons_remaining_Weekly,staging_id_Daily,staging_id_Weekly,execution_date_Daily,execution_date_Weekly,customer_name_Daily,customer_name_Weekly,base_gallons_Monthly,Lifted_actual_monthly,lifted_gallons_monthly_flag,lifted_gallons_Monthly,beginning_gallons_Monthly,en_allocation_status_Monthly,percentage_allocation_Monthly_actual,percentage_allocation_Monthly,alerts_ratability_Monthly,next_refresh_date_Monthly,NRB_Monthly,next_refresh_base_gallons_Monthly,remaining_gallons_Monthly,additional_gallons_allowed_Monthly,additional_gallons_remaining_Monthly,execution_date_Monthly,base_gallons_Daily_Reconciled,base_gallons_Monthly_Reconciled,base_gallons_Weekly_Reconciled,beginning_gallons_Daily_Reconciled,beginning_gallons_Monthly_Reconciled,beginning_gallons_Weekly_Reconciled,sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,computedWeekly,sanityComputedWeekly,computedMonthly,sanityComputedMonthly,remaining_gallons_Daily_Reconciled,remaining_gallons_Monthly_Reconciled,remaining_gallons_Weekly_Reconciled,additional_gallons_remaining_Daily_Reconciled,additional_gallons_remaining_Monthly_Reconciled,additional_gallons_remaining_Weekly_Reconciled,Ratability_Monthly,Ratability_Daily,Ratability_Weekly,Synthetic_Base_Weekly,Synthetic_Base_Daily,Synthetic_Base_Monthly,Ratability_Monthly_computed,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
2016-01-01,2016-01-01 00:00:00,BP,Channel: 50 - Commercial,CHESAPEAKE VA - BUCKEYE (PLANT 9483),PREMIUM,-1,57649,1,0,3,22100,-1,22100,1,w1,-1,0,0,-1,63414,-1,Available,-1,100,110%,110,-1,-1,-1,w1,0,2016-01-06 00:00:00,-1,Contract,-1,-1,55688,-1,41314,-1,0,-1,0,-1,11386817,-1,2016-01-01 22:00:12,-1,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,57649,-1,0,63413,True,True,0,0,0,0,-1,0,63414,-1,-1,-1,-1,-1,0,57649.0,8236.0,255316.0,-1,0,1
2016-01-02,2016-01-02 00:00:00,BP,Channel: 50 - Commercial,CHESAPEAKE VA - BUCKEYE (PLANT 9483),PREMIUM,-1,57649,0,-1,0,-1,-1,25800,0,w1,-1,0,25800,-1,63414,-1,Available,-1,100,110%,110,-1,-1,-1,w1,0,2016-01-06 00:00:00,-1,Contract,-1,-1,55688,-1,37614,-1,0,-1,0,-1,11438881,-1,2016-01-02 22:00:08,-1,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,57649,-1,0,63414,False,False,0,0,0,0,-1,0,37614,-1,-1,-1,-1,-1,0,57649.0,8236.0,255316.0,-1,0,0
2016-01-03,2016-01-03 00:00:00,BP,Channel: 50 - Commercial,CHESAPEAKE VA - BUCKEYE (PLANT 9483),PREMIUM,-1,57649,0,-1,0,-1,-1,27400,0,w1,-1,0,27400,-1,63414,-1,Available,-1,100,110%,110,-1,-1,-1,w1,0,2016-01-06 00:00:00,-1,Contract,-1,-1,55688,-1,36014,-1,0,-1,0,-1,11491897,-1,2016-01-03 22:00:12,-1,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,57649,-1,0,63414,False,False,0,0,0,0,-1,0,36014,-1,-1,-1,-1,-1,0,57649.0,8236.0,255316.0,-1,0,0
2016-01-04,2016-01-04 00:00:00,BP,Channel: 50 - Commercial,CHESAPEAKE VA - BUCKEYE (PLANT 9483),PREMIUM,-1,57649,0,-1,0,-1,-1,31400,0,w1,-1,0,31400,-1,63414,-1,Available,-1,100,110%,110,-1,-1,-1,w1,0,2016-01-06 00:00:00,-1,Contract,-1,-1,55688,-1,32014,-1,0,-1,0,-1,11612291,-1,2016-01-04 22:05:35,-1,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,57649,-1,0,63414,False,False,0,0,0,0,-1,0,32014,-1,-1,-1,-1,-1,0,57649.0,8236.0,255316.0,-1,0,0
2016-01-05,2016-01-05 00:00:00,BP,Channel: 50 - Commercial,CHESAPEAKE VA - BUCKEYE (PLANT 9483),PREMIUM,-1,57649,0,-1,0,-1,-1,38900,0,w1,-1,0,38900,-1,63414,-1,Available,-1,100,110%,110,-1,-1,-1,w1,0,2016-01-06 00:00:00,-1,Contract,-1,-1,55688,-1,24514,-1,0,-1,0,-1,11790594,-1,2016-01-05 22:05:01,-1,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,57649,-1,0,63414,False,False,0,0,0,0,-1,0,24514,-1,-1,-1,-1,-1,0,57649.0,8236.0,255316.0,-1,0,0
2016-01-06,2016-01-06 00:00:00,BP,Channel: 50 - Commercial,CHESAPEAKE VA - BUCKEYE (PLANT 9483),PREMIUM,-1,55688,3,4700,1,4700,-1,4700,0,w2,-1,0,4700,-1,61257,-1,Available,-1,100,110%,110,-1,-1,-1,w2,0,2016-01-13 00:00:00,-1,Contract,-1,-1,55688,-1,56557,-1,0,-1,0,-1,11943522,-1,2016-01-06 22:10:25,-1,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,55688,-1,0,61257,True,True,0,0,0,0,-1,0,56557,-1,-1,-1,-1,-1,0,55688.0,7955.0,246605.0,-1,0,0
2016-01-07,2016-01-07 00:00:00,BP,Channel: 50 - Commercial,CHESAPEAKE VA - BUCKEYE (PLANT 9483),PREMIUM,-1,55688,0,-1,0,-1,-1,17700,0,w2,-1,0,17700,-1,61257,-1,Available,-1,100,110%,110,-1,-1,-1,w2,0,2016-01-13 00:00:00,-1,Contract,-1,-1,55688,-1,43557,-1,0,-1,0,-1,12103740,-1,2016-01-07 22:05:20,-1,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,55688,-1,0,61257,False,False,0,0,0,0,-1,0,43557,-1,-1,-1,-1,-1,0,55688.0,7955.0,246605.0,-1,0,0
2016-01-08,2016-01-08 00:00:00,BP,Channel: 50 - Commercial,CHESAPEAKE VA - BUCKEYE (PLANT 9483),PREMIUM,-1,55688,0,-1,0,-1,-1,28000,0,w2,-1,0,28000,-1,61257,-1,Available,-1,100,110%,110,-1,-1,-1,w2,0,2016-01-13 00:00:00,-1,Contract,-1,-1,55688,-1,33257,-1,0,-1,0,-1,12253458,-1,2016-01-08 22:04:58,-1,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,55688,-1,0,61257,False,False,0,0,0,0,-1,0,33257,-1,-1,-1,-1,-1,0,55688.0,7955.0,246605.0,-1,0,0
2016-01-09,2016-01-09 00:00:00,BP,Channel: 50 - Commercial,CHESAPEAKE VA - BUCKEYE (PLANT 9483),PREMIUM,-1,55688,0,-1,0,-1,-1,33500,0,w2,-1,0,33500,-1,61257,-1,Available,-1,100,110%,110,-1,-1,-1,w2,0,2016-01-13 00:00:00,-1,Contract,-1,-1,55688,-1,27757,-1,0,-1,0,-1,12410457,-1,2016-01-09 22:05:36,-1,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,55688,-1,0,61257,False,False,0,0,0,0,-1,0,27757,-1,-1,-1,-1,-1,0,55688.0,7955.0,246605.0,-1,0,0
2016-01-10,2016-01-10 00:00:00,BP,Channel: 50 - Commercial,CHESAPEAKE VA - BUCKEYE (PLANT 9483),PREMIUM,-1,55688,0,-1,0,-1,-1,34500,0,w2,-1,0,34500,-1,61257,-1,Available,-1,100,110%,110,-1,-1,-1,w2,0,2016-01-13 00:00:00,-1,Contract,-1,-1,55688,-1,26757,-1,0,-1,0,-1,12566460,-1,2016-01-10 23:44:59,-1,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,55688,-1,0,61257,False,False,0,0,0,0,-1,0,26757,-1,-1,-1,-1,-1,0,55688.0,7955.0,246605.0,-1,0,0
