,date,supplier_name,account_type,supplier_terminal_name,product_name,base_gallons_Daily,base_gallons_Weekly,lifted_gallons_daily_flag,lifted_gallons_daily_modified,Modified_WeeksByLiftedGallons,lifted_gallons_modified_WeeksByLiftedGallons,lifted_gallons_Daily,Lifted_actual_weekly,lifted_gallons_weekly_flag,WeeksByLiftedGallons,lifted_gallonsWeekly_modified_aposteriori,Modified_LiftedGallonsaposteriori,lifted_gallons_Weekly,beginning_gallons_Daily,beginning_gallons_Weekly,en_allocation_status_Daily,en_allocation_status_Weekly,percentage_allocation_Daily_actual,percentage_allocation_Daily,percentage_allocation_Weekly_actual,percentage_allocation_Weekly,alerts_ratability_Daily,alerts_ratability_Weekly,next_refresh_date_Daily,Week_switch,Modified_NRD,next_refresh_date_Weekly,en_account_type_Daily,en_account_type_Weekly,NRB_Daily,next_refresh_base_gallons_Daily,next_refresh_base_gallons_Weekly,remaining_gallons_Daily,remaining_gallons_Weekly,additional_gallons_allowed_Daily,additional_gallons_allowed_Weekly,additional_gallons_remaining_Daily,additional_gallons_remaining_Weekly,staging_id_Daily,staging_id_Weekly,execution_date_Daily,execution_date_Weekly,customer_name_Daily,customer_name_Weekly,base_gallons_Monthly,Lifted_actual_monthly,lifted_gallons_monthly_flag,lifted_gallons_Monthly,beginning_gallons_Monthly,en_allocation_status_Monthly,percentage_allocation_Monthly_actual,percentage_allocation_Monthly,alerts_ratability_Monthly,next_refresh_date_Monthly,NRB_Monthly,next_refresh_base_gallons_Monthly,remaining_gallons_Monthly,additional_gallons_allowed_Monthly,additional_gallons_remaining_Monthly,execution_date_Monthly,base_gallons_Daily_Reconciled,base_gallons_Monthly_Reconciled,base_gallons_Weekly_Reconciled,beginning_gallons_Daily_Reconciled,beginning_gallons_Monthly_Reconciled,beginning_gallons_Weekly_Reconciled,sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,computedWeekly,sanityComputedWeekly,computedMonthly,sanityComputedMonthly,remaining_gallons_Daily_Reconciled,remaining_gallons_Monthly_Reconciled,remaining_gallons_Weekly_Reconciled,additional_gallons_remaining_Daily_Reconciled,additional_gallons_remaining_Monthly_Reconciled,additional_gallons_remaining_Weekly_Reconciled,Ratability_Monthly,Ratability_Daily,Ratability_Weekly,Synthetic_Base_Weekly,Synthetic_Base_Daily,Synthetic_Base_Monthly,Ratability_Monthly_computed,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
2016-01-01,2016-01-01 00:00:00,BP,Channel: 50 - Commercial,CINCINNATI OH - BP (PLANT 3957),DIESEL,8871,62097,1,0,3,0,0,37994,1,w1,0,0,0,17742,68307,Available,Available,200%,200,110%,110,-1,-1,01/02 00:00:00 EST,w1,0,2016-01-06 00:00:00,Contract,Contract,8871,8871,62097,17742,43068,32000,32000,19245,19245,11386820,11386821,2016-01-01 22:00:12,2016-01-01 22:00:12,Mansfield,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8871,0,62097,17742,0,68306,False,True,0,False,0,0,17742,0,68307,-1,-1,-1,-1,0.0,0,62097.0,8871.0,275001.0,-1,1,1
2016-01-02,2016-01-02 00:00:00,BP,Channel: 50 - Commercial,CINCINNATI OH - BP (PLANT 3957),DIESEL,8871,62097,3,45491,3,7497,7497,45491,1,w1,7497,0,7497,17742,68307,Available,Available,200%,200,110%,110,-1,-1,01/03 00:00:00 EST,w1,0,2016-01-06 00:00:00,Contract,Contract,8871,8871,62097,10245,35571,32000,32000,19245,19245,11438884,11438885,2016-01-02 22:00:08,2016-01-02 22:00:08,Mansfield,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8871,0,62097,17742,0,68307,False,False,45491,False,0,0,-27749,0,60810,32000,-1,-1,-1,667.0,0,62097.0,8871.0,275001.0,-1,0,0
2016-01-03,2016-01-03 00:00:00,BP,Channel: 50 - Commercial,CINCINNATI OH - BP (PLANT 3957),DIESEL,8871,62097,0,0,3,0,0,45491,0,w1,0,0,45491,17742,68307,Available,Available,200%,200,110%,110,-1,-1,01/04 00:00:00 EST,w1,0,2016-01-06 00:00:00,Contract,Contract,8871,8871,62097,17742,35571,32000,32000,19245,19245,11491900,11491901,2016-01-03 22:00:12,2016-01-03 22:00:12,Mansfield,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8871,0,62097,17742,0,68307,False,True,45491,False,0,0,17742,0,22816,-1,-1,-1,-1,0.0,0,62097.0,8871.0,275001.0,-1,0,0
2016-01-04,2016-01-04 00:00:00,BP,Channel: 50 - Commercial,CINCINNATI OH - BP (PLANT 3957),DIESEL,8871,62097,3,20984,3,13485,13485,58976,1,w1,13485,0,51477,17742,68307,Available,Available,200%,200,110%,110,-1,-1,01/05 00:00:00 EST,w1,0,2016-01-06 00:00:00,Contract,Contract,8871,8871,62097,4257,22086,32000,32000,19245,19245,11612294,11612295,2016-01-04 22:05:35,2016-01-04 22:05:35,Mansfield,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8871,0,62097,17742,0,68307,False,False,66475,False,0,0,-3242,0,16830,32000,-1,-1,-1,267.0,0,62097.0,8871.0,275001.0,-1,0,0
2016-01-05,2016-01-05 00:00:00,BP,Channel: 50 - Commercial,CINCINNATI OH - BP (PLANT 3957),DIESEL,8871,62097,0,7499,0,7499,7499,66475,0,w1,7499,0,66475,17742,68307,Available,Available,200%,200,110%,110,-1,-1,01/06 00:00:00 EST,w1,0,2016-01-06 00:00:00,Contract,Contract,8871,8871,62097,10243,14587,32000,32000,19245,19245,11790597,11790598,2016-01-05 22:05:01,2016-01-05 22:05:01,Mansfield,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8871,0,62097,17742,0,68307,False,False,73974,False,0,0,10243,0,1832,-1,-1,-1,-1,0.0,100,62097.0,8871.0,275001.0,-1,0,0
2016-01-06,2016-01-06 00:00:00,BP,Channel: 50 - Commercial,CINCINNATI OH - BP (PLANT 3957),DIESEL,8871,62097,0,7501,0,7501,7501,7501,0,w2,7501,0,7501,17742,68307,Available,Available,200%,200,110%,110,-1,-1,01/07 00:00:00 EST,w2,0,2016-01-13 00:00:00,Contract,Contract,8871,8871,62097,10241,60806,0,0,0,0,11943525,11943526,2016-01-06 22:10:25,2016-01-06 22:10:25,Mansfield,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8871,0,62097,17742,0,68307,True,True,7501,False,0,0,10241,0,60806,-1,-1,-1,-1,0.0,0,62097.0,8871.0,275001.0,-1,0,0
2016-01-07,2016-01-07 00:00:00,BP,Channel: 50 - Commercial,CINCINNATI OH - BP (PLANT 3957),DIESEL,8871,62097,1,7496,0,14995,14995,22496,1,w2,14995,0,14997,17742,68307,Available,Available,200%,200,110%,110,-1,-1,01/08 00:00:00 EST,w2,0,2016-01-13 00:00:00,Contract,Contract,8871,8871,62097,2747,45811,0,0,0,0,12103743,12103744,2016-01-07 22:05:20,2016-01-07 22:05:20,Mansfield,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8871,0,62097,17742,0,68307,True,True,14997,False,0,0,10246,0,53310,-1,-1,-1,-1,0.0,0,62097.0,8871.0,275001.0,-1,0,0
2016-01-08,2016-01-08 00:00:00,BP,Channel: 50 - Commercial,CINCINNATI OH - BP (PLANT 3957),DIESEL,8871,62097,1,7499,0,7499,7499,29995,1,w2,7499,0,22496,17742,68307,Available,Available,200%,200,110%,110,-1,-1,01/09 00:00:00 EST,w2,0,2016-01-13 00:00:00,Contract,Contract,8871,8871,62097,10243,38312,0,0,0,0,12253461,12253462,2016-01-08 22:04:58,2016-01-08 22:04:58,Mansfield,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8871,0,62097,17742,0,68307,True,True,22496,False,0,0,10243,0,45811,-1,-1,-1,-1,0.0,0,62097.0,8871.0,275001.0,-1,0,0
2016-01-09,2016-01-09 00:00:00,BP,Channel: 50 - Commercial,CINCINNATI OH - BP (PLANT 3957),DIESEL,8871,62097,3,7499,0,0,0,29995,1,w2,0,0,22496,17742,68307,Available,Available,200%,200,110%,110,-1,-1,01/10 00:00:00 EST,w2,0,2016-01-13 00:00:00,Contract,Contract,8871,8871,62097,17742,38312,0,0,0,0,12410460,12410461,2016-01-09 22:05:36,2016-01-09 22:05:36,Mansfield,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8871,0,62097,17742,0,68307,True,False,29995,False,0,0,10243,0,45811,-1,-1,-1,-1,0.0,0,62097.0,8871.0,275001.0,-1,0,0
2016-01-10,2016-01-10 00:00:00,BP,Channel: 50 - Commercial,CINCINNATI OH - BP (PLANT 3957),DIESEL,8871,62097,0,0,0,0,0,29995,0,w2,0,0,29995,17742,68307,Available,Available,200%,200,110%,110,-1,-1,01/11 00:00:00 EST,w2,0,2016-01-13 00:00:00,Contract,Contract,8871,8871,62097,17742,38312,0,0,0,0,12566463,12566464,2016-01-10 23:44:59,2016-01-10 23:44:59,Mansfield,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8871,0,62097,17742,0,68307,True,True,29995,False,0,0,17742,0,38312,-1,-1,-1,-1,0.0,0,62097.0,8871.0,275001.0,-1,0,0
