,date,supplier_name,account_type,supplier_terminal_name,product_name,base_gallons_Daily,base_gallons_Weekly,lifted_gallons_daily_flag,lifted_gallons_daily_modified,Modified_WeeksByLiftedGallons,lifted_gallons_modified_WeeksByLiftedGallons,lifted_gallons_Daily,Lifted_actual_weekly,lifted_gallons_weekly_flag,WeeksByLiftedGallons,lifted_gallonsWeekly_modified_aposteriori,Modified_LiftedGallonsaposteriori,lifted_gallons_Weekly,beginning_gallons_Daily,beginning_gallons_Weekly,en_allocation_status_Daily,en_allocation_status_Weekly,percentage_allocation_Daily_actual,percentage_allocation_Daily,percentage_allocation_Weekly_actual,percentage_allocation_Weekly,alerts_ratability_Daily,alerts_ratability_Weekly,next_refresh_date_Daily,Week_switch,Modified_NRD,next_refresh_date_Weekly,en_account_type_Daily,en_account_type_Weekly,NRB_Daily,next_refresh_base_gallons_Daily,next_refresh_base_gallons_Weekly,remaining_gallons_Daily,remaining_gallons_Weekly,additional_gallons_allowed_Daily,additional_gallons_allowed_Weekly,additional_gallons_remaining_Daily,additional_gallons_remaining_Weekly,staging_id_Daily,staging_id_Weekly,execution_date_Daily,execution_date_Weekly,customer_name_Daily,customer_name_Weekly,base_gallons_Monthly,Lifted_actual_monthly,lifted_gallons_monthly_flag,lifted_gallons_Monthly,beginning_gallons_Monthly,en_allocation_status_Monthly,percentage_allocation_Monthly_actual,percentage_allocation_Monthly,alerts_ratability_Monthly,next_refresh_date_Monthly,NRB_Monthly,next_refresh_base_gallons_Monthly,remaining_gallons_Monthly,additional_gallons_allowed_Monthly,additional_gallons_remaining_Monthly,execution_date_Monthly,base_gallons_Daily_Reconciled,base_gallons_Monthly_Reconciled,base_gallons_Weekly_Reconciled,beginning_gallons_Daily_Reconciled,beginning_gallons_Monthly_Reconciled,beginning_gallons_Weekly_Reconciled,sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,computedWeekly,sanityComputedWeekly,computedMonthly,sanityComputedMonthly,remaining_gallons_Daily_Reconciled,remaining_gallons_Monthly_Reconciled,remaining_gallons_Weekly_Reconciled,additional_gallons_remaining_Daily_Reconciled,additional_gallons_remaining_Monthly_Reconciled,additional_gallons_remaining_Weekly_Reconciled,Ratability_Monthly,Ratability_Daily,Ratability_Weekly,Synthetic_Base_Weekly,Synthetic_Base_Daily,Synthetic_Base_Monthly,Ratability_Monthly_computed,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
2015-07-01,2015-07-01 00:00:00,BP,Channel: 50 - Commercial,CHESAPEAKE VA - BUCKEYE (PLANT 9483),DIESEL,17613,123290,1,20900,3,29100,29100,29100,1,w1,29100,0,20900,35226.0,135619.0,Available,Available,200%,200,110%,110,-1,-1,07/02 00:00:00 EDT,w1,0,2015-07-08 00:00:00,Contract,Contract,17613.0,17613.0,123290.0,6126,106519,0,0,0,0,1191937,1191938,2015-07-01 22:00:08,2015-07-01 22:00:08,Mansfield,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17613,0,123290,35226,0,135619,True,True,20900,False,20900,False,14326,0,114719,-1,-1,-1,-1,133.0,0,123290.0,17613.0,546003.0,-1,0,0
2015-07-02,2015-07-02 00:00:00,BP,Channel: 50 - Commercial,CHESAPEAKE VA - BUCKEYE (PLANT 9483),DIESEL,17613,123290,1,8200,3,8200,8200,37300,1,w1,8200,0,29100,35226.0,135619.0,Available,Available,200%,200,110%,110,-1,-1,07/03 00:00:00 EDT,w1,0,2015-07-08 00:00:00,Contract,Contract,17613.0,17613.0,123290.0,27026,98319,0,0,0,0,1228311,1228312,2015-07-02 15:00:12,2015-07-02 15:00:12,Mansfield,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17613,0,123290,35226,0,135619,True,True,29100,False,29100,False,27026,0,106519,-1,-1,-1,-1,0.0,0,123290.0,17613.0,546003.0,-1,0,0
2015-07-03,2015-07-03 00:00:00,BP,Channel: 50 - Commercial,CHESAPEAKE VA - BUCKEYE (PLANT 9483),DIESEL,17613,123290,3,25405,3,17205,0,37300,1,w1,0,0,29100,35226.0,135619.0,Available,Available,200%,200,110%,110,-1,-1,07/04 00:00:00 EDT,w1,0,2015-07-08 00:00:00,Contract,Contract,17613.0,17613.0,123290.0,35226,98319,0,0,0,0,1240061,1240062,2015-07-03 08:53:53,2015-07-03 08:53:53,Mansfield,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17613,0,123290,35226,0,135619,False,False,54505,False,54505,False,9821,0,106519,-1,-1,-1,-1,400.0,0,123290.0,17613.0,546003.0,-1,0,0
2015-07-04,2015-07-04 00:00:00,BP,Channel: 50 - Commercial,CHESAPEAKE VA - BUCKEYE (PLANT 9483),DIESEL,17613,123290,0,0,3,0,0,54505,0,w1,0,0,54505,35226.0,135619.0,Available,Available,200%,200,110%,110,-1,-1,07/05 00:00:00 EDT,w1,0,2015-07-08 00:00:00,Contract,Contract,17613.0,17613.0,123290.0,35226,81114,0,0,0,0,1250457,1250458,2015-07-04 08:00:07,2015-07-04 08:00:07,Mansfield,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17613,0,123290,35226,0,135619,True,True,54505,False,54505,False,35226,0,81114,-1,-1,-1,-1,0.0,0,123290.0,17613.0,546003.0,-1,0,0
2015-07-05,2015-07-05 00:00:00,BP,Channel: 50 - Commercial,CHESAPEAKE VA - BUCKEYE (PLANT 9483),DIESEL,17613,123290,3,16415,3,11410,7505,62010,1,w1,7505,0,57005,35226.0,135619.0,Available,Available,200%,200,110%,110,-1,-1,07/06 00:00:00 EDT,w1,0,2015-07-08 00:00:00,Contract,Contract,17613.0,17613.0,123290.0,27721,73609,0,0,0,0,1260829,1260830,2015-07-05 08:00:09,2015-07-05 08:00:09,Mansfield,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17613,0,123290,35226,0,135619,False,False,70920,False,70920,False,18811,0,78614,-1,-1,-1,-1,0.0,0,123290.0,17613.0,546003.0,-1,0,0
2015-07-06,2015-07-06 00:00:00,BP,Channel: 50 - Commercial,CHESAPEAKE VA - BUCKEYE (PLANT 9483),DIESEL,17613,123290,3,5005,3,5005,5005,70920,0,w1,5005,0,70920,35226.0,135619.0,Available,Available,200%,200,110%,110,-1,-1,07/07 00:00:00 EDT,w1,0,2015-07-08 00:00:00,Contract,Contract,17613.0,17613.0,123290.0,30221,64699,0,0,0,0,1271201,1271202,2015-07-06 08:01:06,2015-07-06 08:01:06,Mansfield,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17613,0,123290,35226,0,135619,True,False,75925,False,75925,False,30221,0,64699,-1,-1,-1,-1,0.0,0,123290.0,17613.0,546003.0,-1,0,0
2015-07-07,2015-07-07 00:00:00,BP,Channel: 50 - Commercial,CHESAPEAKE VA - BUCKEYE (PLANT 9483),DIESEL,17613,123290,0,7500,0,7500,7500,78420,0,w1,7500,0,78420,35226.0,135619.0,Available,Available,200%,200,110%,110,-1,-1,07/08 00:00:00 EDT,w1,0,2015-07-08 00:00:00,Contract,Contract,17613.0,17613.0,123290.0,27726,57199,0,0,0,0,1287205,1287206,2015-07-07 12:01:06,2015-07-07 12:01:06,Mansfield,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17613,0,123290,35226,0,135619,True,False,83425,False,83425,False,27726,0,57199,-1,-1,-1,-1,0.0,0,123290.0,17613.0,546003.0,-1,0,0
2015-07-08,2015-07-08 00:00:00,BP,Channel: 50 - Commercial,CHESAPEAKE VA - BUCKEYE (PLANT 9483),DIESEL,17613,123290,3,36505,3,29005,21505,21505,1,w2,21505,0,14005,35226.0,135619.0,Available,Available,200%,200,110%,110,-1,-1,07/09 00:00:00 EDT,w2,0,2015-07-15 00:00:00,Contract,Contract,17613.0,17613.0,123290.0,13721,114114,0,0,0,0,1312679,1312680,2015-07-08 12:01:05,2015-07-08 12:01:05,Mansfield,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17613,0,123290,35226,0,135619,False,False,36505,False,119930,False,-1279,0,121614,-1,-1,-1,-1,800.0,0,123290.0,17613.0,546003.0,-1,0,0
2015-07-09,2015-07-09 00:00:00,BP,Channel: 50 - Commercial,CHESAPEAKE VA - BUCKEYE (PLANT 9483),DIESEL,17613,123290,0,7500,3,7500,7500,36505,0,w2,7500,0,36505,35226.0,135619.0,Available,Available,200%,200,110%,110,-1,-1,07/10 00:00:00 EDT,w2,0,2015-07-15 00:00:00,Contract,Contract,17613.0,17613.0,123290.0,27726,99114,0,0,0,0,1323860,1323861,2015-07-09 16:38:26,2015-07-09 16:38:26,Mansfield,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17613,0,123290,35226,0,135619,True,False,44005,False,127430,False,27726,0,99114,-1,-1,-1,-1,0.0,0,123290.0,17613.0,546003.0,-1,0,0
2015-07-10,2015-07-10 00:00:00,BP,Channel: 50 - Commercial,CHESAPEAKE VA - BUCKEYE (PLANT 9483),DIESEL,17613,123290,3,7505,3,7505,7505,44010,1,w2,7505,0,44010,35226.0,135619.0,Available,Available,200%,200,110%,110,-1,-1,07/11 00:00:00 EDT,w2,0,2015-07-15 00:00:00,Contract,Contract,17613.0,17613.0,123290.0,27721,91609,0,0,0,0,1373425,1373426,2015-07-10 22:01:07,2015-07-10 22:01:07,Mansfield,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17613,0,123290,35226,0,135619,True,False,51510,False,134935,False,27721,0,91609,-1,-1,-1,-1,0.0,0,123290.0,17613.0,546003.0,-1,0,0
