,date,supplier_name,account_type,supplier_terminal_name,product_name,base_gallons_Daily,base_gallons_Weekly,lifted_gallons_daily_flag,lifted_gallons_daily_modified,Modified_WeeksByLiftedGallons,lifted_gallons_modified_WeeksByLiftedGallons,lifted_gallons_Daily,Lifted_actual_weekly,lifted_gallons_weekly_flag,WeeksByLiftedGallons,lifted_gallonsWeekly_modified_aposteriori,Modified_LiftedGallonsaposteriori,lifted_gallons_Weekly,beginning_gallons_Daily,beginning_gallons_Weekly,en_allocation_status_Daily,en_allocation_status_Weekly,percentage_allocation_Daily_actual,percentage_allocation_Daily,percentage_allocation_Weekly_actual,percentage_allocation_Weekly,alerts_ratability_Daily,alerts_ratability_Weekly,next_refresh_date_Daily,Week_switch,Modified_NRD,next_refresh_date_Weekly,en_account_type_Daily,en_account_type_Weekly,NRB_Daily,next_refresh_base_gallons_Daily,next_refresh_base_gallons_Weekly,remaining_gallons_Daily,remaining_gallons_Weekly,additional_gallons_allowed_Daily,additional_gallons_allowed_Weekly,additional_gallons_remaining_Daily,additional_gallons_remaining_Weekly,staging_id_Daily,staging_id_Weekly,execution_date_Daily,execution_date_Weekly,customer_name_Daily,customer_name_Weekly,base_gallons_Monthly,Lifted_actual_monthly,lifted_gallons_monthly_flag,lifted_gallons_Monthly,beginning_gallons_Monthly,en_allocation_status_Monthly,percentage_allocation_Monthly_actual,percentage_allocation_Monthly,alerts_ratability_Monthly,next_refresh_date_Monthly,NRB_Monthly,next_refresh_base_gallons_Monthly,remaining_gallons_Monthly,additional_gallons_allowed_Monthly,additional_gallons_remaining_Monthly,execution_date_Monthly,base_gallons_Daily_Reconciled,base_gallons_Monthly_Reconciled,base_gallons_Weekly_Reconciled,beginning_gallons_Daily_Reconciled,beginning_gallons_Monthly_Reconciled,beginning_gallons_Weekly_Reconciled,sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,computedWeekly,sanityComputedWeekly,computedMonthly,sanityComputedMonthly,remaining_gallons_Daily_Reconciled,remaining_gallons_Monthly_Reconciled,remaining_gallons_Weekly_Reconciled,additional_gallons_remaining_Daily_Reconciled,additional_gallons_remaining_Monthly_Reconciled,additional_gallons_remaining_Weekly_Reconciled,Ratability_Monthly,Ratability_Daily,Ratability_Weekly,Synthetic_Base_Weekly,Synthetic_Base_Daily,Synthetic_Base_Monthly,Ratability_Monthly_computed,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
2015-07-01,2015-07-01 00:00:00,BP,Channel: 50 - Commercial,DAYTON OH - BP (PLANT 3929),DIESEL,13548,94839,1,14999,3,30006,30006,30006,1,w1,30006,0,14999,27096.0,104323.0,Out,Out,200%,200,110%,110,-1,-1,07/02 00:00:00 EDT,w1,0,2015-07-08 00:00:00,Contract,Contract,13548.0,13548.0,94839.0,-2910,74317,0,0,0,0,1191954,1191955,2015-07-01 22:00:08,2015-07-01 22:00:08,Mansfield,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13548,0,94839,27096,0,104322,True,True,14999,True,14999,False,12097,0,89324,-1,-1,-1,-1,133.0,0,94839.0,13548.0,419988.0,-1,0,0
2015-07-02,2015-07-02 00:00:00,BP,Channel: 50 - Commercial,DAYTON OH - BP (PLANT 3929),DIESEL,13548,94839,1,15007,3,15007,15007,45013,1,w1,15007,0,30006,27096.0,104323.0,Available,Available,200%,200,110%,110,-1,-1,07/03 00:00:00 EDT,w1,0,2015-07-08 00:00:00,Contract,Contract,13548.0,13548.0,94839.0,12089,59310,0,0,0,0,1228328,1228329,2015-07-02 15:00:12,2015-07-02 15:00:12,Mansfield,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13548,0,94839,27096,0,104323,True,True,30006,True,30006,False,12089,0,74317,-1,-1,-1,-1,200.0,0,94839.0,13548.0,419988.0,-1,0,0
2015-07-03,2015-07-03 00:00:00,BP,Channel: 50 - Commercial,DAYTON OH - BP (PLANT 3929),DIESEL,13548,94839,1,0,3,0,0,45013,1,w1,0,0,30006,27096.0,104323.0,Available,Available,200%,200,110%,110,-1,-1,07/04 00:00:00 EDT,w1,0,2015-07-08 00:00:00,Contract,Contract,13548.0,13548.0,94839.0,27096,59310,0,0,0,0,1240078,1240079,2015-07-03 08:53:53,2015-07-03 08:53:53,Mansfield,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13548,0,94839,27096,0,104323,True,True,30006,True,30006,False,27096,0,74317,-1,-1,-1,-1,0.0,0,94839.0,13548.0,419988.0,-1,0,0
2015-07-04,2015-07-04 00:00:00,BP,Channel: 50 - Commercial,DAYTON OH - BP (PLANT 3929),DIESEL,13548,94839,1,0,3,0,0,45013,1,w1,0,0,30006,27096.0,104323.0,Available,Available,200%,200,110%,110,-1,-1,07/05 00:00:00 EDT,w1,0,2015-07-08 00:00:00,Contract,Contract,13548.0,13548.0,94839.0,27096,59310,0,0,0,0,1250474,1250475,2015-07-04 08:00:07,2015-07-04 08:00:07,Mansfield,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13548,0,94839,27096,0,104323,True,True,30006,True,30006,False,27096,0,74317,-1,-1,-1,-1,0.0,0,94839.0,13548.0,419988.0,-1,0,0
2015-07-05,2015-07-05 00:00:00,BP,Channel: 50 - Commercial,DAYTON OH - BP (PLANT 3929),DIESEL,13548,94839,3,15007,3,0,0,45013,1,w1,0,0,30006,27096.0,104323.0,Available,Available,200%,200,110%,110,-1,-1,07/06 00:00:00 EDT,w1,0,2015-07-08 00:00:00,Contract,Contract,13548.0,13548.0,94839.0,27096,59310,0,0,0,0,1260846,1260847,2015-07-05 08:00:09,2015-07-05 08:00:09,Mansfield,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13548,0,94839,27096,0,104323,True,False,45013,True,45013,False,12089,0,74317,-1,-1,-1,-1,400.0,0,94839.0,13548.0,419988.0,-1,0,0
2015-07-06,2015-07-06 00:00:00,BP,Channel: 50 - Commercial,DAYTON OH - BP (PLANT 3929),DIESEL,13548,94839,0,0,3,15014,0,45013,0,w1,0,0,45013,27096.0,104323.0,Available,Available,200%,200,110%,110,-1,-1,07/07 00:00:00 EDT,w1,0,2015-07-08 00:00:00,Contract,Contract,13548.0,13548.0,94839.0,27096,59310,0,0,0,0,1271218,1271219,2015-07-06 08:01:06,2015-07-06 08:01:06,Mansfield,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13548,0,94839,27096,0,104323,False,True,45013,True,45013,False,27096,0,59310,-1,-1,-1,-1,0.0,0,94839.0,13548.0,419988.0,-1,0,0
2015-07-07,2015-07-07 00:00:00,BP,Channel: 50 - Commercial,DAYTON OH - BP (PLANT 3929),DIESEL,13548,94839,1,3,0,15009,15009,75036,1,w1,15009,0,45016,27096.0,104323.0,Available,Available,200%,200,110%,110,-1,-1,07/08 00:00:00 EDT,w1,0,2015-07-08 00:00:00,Contract,Contract,13548.0,13548.0,94839.0,12087,29287,0,0,0,0,1287222,1287223,2015-07-07 12:01:06,2015-07-07 12:01:06,Mansfield,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13548,0,94839,27096,0,104323,True,True,45016,True,45016,False,27093,0,59307,-1,-1,-1,-1,0.0,0,94839.0,13548.0,419988.0,-1,0,0
2015-07-08,2015-07-08 00:00:00,BP,Channel: 50 - Commercial,DAYTON OH - BP (PLANT 3929),DIESEL,13548,94839,3,22509,0,15006,15006,15006,1,w2,15006,0,7503,27096.0,104323.0,Available,Available,200%,200,110%,110,-1,-1,07/09 00:00:00 EDT,w2,0,2015-07-15 00:00:00,Contract,Contract,13548.0,13548.0,94839.0,12090,89317,0,0,0,0,1312696,1312697,2015-07-08 12:01:05,2015-07-08 12:01:05,Mansfield,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13548,0,94839,27096,0,104323,True,False,22509,False,67525,False,4587,0,96820,-1,-1,-1,-1,400.0,0,94839.0,13548.0,419988.0,-1,0,0
2015-07-09,2015-07-09 00:00:00,BP,Channel: 50 - Commercial,DAYTON OH - BP (PLANT 3929),DIESEL,13548,94839,0,7503,0,7503,7503,22509,0,w2,7503,0,22509,27096.0,104323.0,Available,Available,200%,200,110%,110,-1,-1,07/10 00:00:00 EDT,w2,0,2015-07-15 00:00:00,Contract,Contract,13548.0,13548.0,94839.0,19593,81814,0,0,0,0,1323877,1323878,2015-07-09 16:38:26,2015-07-09 16:38:26,Mansfield,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13548,0,94839,27096,0,104323,True,False,30012,False,75028,False,19593,0,81814,-1,-1,-1,-1,0.0,0,94839.0,13548.0,419988.0,-1,0,0
2015-07-10,2015-07-10 00:00:00,BP,Channel: 50 - Commercial,DAYTON OH - BP (PLANT 3929),DIESEL,13548,94839,1,7504,0,7504,7504,30013,1,w2,7504,0,30013,27096.0,104323.0,Available,Available,200%,200,110%,110,-1,-1,07/11 00:00:00 EDT,w2,0,2015-07-15 00:00:00,Contract,Contract,13548.0,13548.0,94839.0,19592,74310,0,0,0,0,1373442,1373443,2015-07-10 22:01:07,2015-07-10 22:01:07,Mansfield,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13548,0,94839,27096,0,104323,True,False,37516,False,82532,False,19592,0,74310,-1,-1,-1,-1,0.0,0,94839.0,13548.0,419988.0,-1,0,0
