,date,supplier_name,account_type,supplier_terminal_name,product_name,base_gallons_Daily,base_gallons_Weekly,lifted_gallons_daily_flag,lifted_gallons_daily_modified,Modified_WeeksByLiftedGallons,lifted_gallons_modified_WeeksByLiftedGallons,lifted_gallons_Daily,Lifted_actual_weekly,lifted_gallons_weekly_flag,WeeksByLiftedGallons,lifted_gallonsWeekly_modified_aposteriori,Modified_LiftedGallonsaposteriori,lifted_gallons_Weekly,beginning_gallons_Daily,beginning_gallons_Weekly,en_allocation_status_Daily,en_allocation_status_Weekly,percentage_allocation_Daily_actual,percentage_allocation_Daily,percentage_allocation_Weekly_actual,percentage_allocation_Weekly,alerts_ratability_Daily,alerts_ratability_Weekly,next_refresh_date_Daily,Week_switch,Modified_NRD,next_refresh_date_Weekly,en_account_type_Daily,en_account_type_Weekly,NRB_Daily,next_refresh_base_gallons_Daily,next_refresh_base_gallons_Weekly,remaining_gallons_Daily,remaining_gallons_Weekly,additional_gallons_allowed_Daily,additional_gallons_allowed_Weekly,additional_gallons_remaining_Daily,additional_gallons_remaining_Weekly,staging_id_Daily,staging_id_Weekly,execution_date_Daily,execution_date_Weekly,customer_name_Daily,customer_name_Weekly,base_gallons_Monthly,Lifted_actual_monthly,lifted_gallons_monthly_flag,lifted_gallons_Monthly,beginning_gallons_Monthly,en_allocation_status_Monthly,percentage_allocation_Monthly_actual,percentage_allocation_Monthly,alerts_ratability_Monthly,next_refresh_date_Monthly,NRB_Monthly,next_refresh_base_gallons_Monthly,remaining_gallons_Monthly,additional_gallons_allowed_Monthly,additional_gallons_remaining_Monthly,execution_date_Monthly,base_gallons_Daily_Reconciled,base_gallons_Monthly_Reconciled,base_gallons_Weekly_Reconciled,beginning_gallons_Daily_Reconciled,beginning_gallons_Monthly_Reconciled,beginning_gallons_Weekly_Reconciled,sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,computedWeekly,sanityComputedWeekly,computedMonthly,sanityComputedMonthly,remaining_gallons_Daily_Reconciled,remaining_gallons_Monthly_Reconciled,remaining_gallons_Weekly_Reconciled,additional_gallons_remaining_Daily_Reconciled,additional_gallons_remaining_Monthly_Reconciled,additional_gallons_remaining_Weekly_Reconciled,Ratability_Monthly,Ratability_Daily,Ratability_Weekly,Synthetic_Base_Weekly,Synthetic_Base_Daily,Synthetic_Base_Monthly,Ratability_Monthly_computed,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
2015-07-01,2015-07-01 00:00:00,BP,Channel: 50 - Commercial,DORAVILLE GA - BP (PLANT 0435),DIESEL,33871,237097,1,12109,3,34592,34592,34592,1,w1,34592,0,12109,67742.0,260807.0,Available,Available,200%,200,110%,110,-1,-1,07/02 00:00:00 EDT,w1,0,2015-07-08 00:00:00,Contract,Contract,33871.0,33871.0,237097.0,33150,226215,0,0,0,0,1191956,1191957,2015-07-01 22:00:08,2015-07-01 22:00:08,Mansfield,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33871,0,237097,67742,0,260806,True,True,12109,False,12109,False,55633,0,248698,-1,-1,-1,-1,0.0,0,237097.0,33871.0,1050001.0,-1,0,0
2015-07-02,2015-07-02 00:00:00,BP,Channel: 50 - Commercial,DORAVILLE GA - BP (PLANT 0435),DIESEL,33871,237097,1,14983,3,29985,22483,57075,1,w1,22483,0,27092,67742.0,260807.0,Available,Available,200%,200,110%,110,-1,-1,07/03 00:00:00 EDT,w1,0,2015-07-08 00:00:00,Contract,Contract,33871.0,33871.0,237097.0,45259,203732,0,0,0,0,1228330,1228331,2015-07-02 15:00:12,2015-07-02 15:00:12,Mansfield,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33871,0,237097,67742,0,260807,False,True,27092,False,27092,False,52759,0,233715,-1,-1,-1,-1,0.0,0,237097.0,33871.0,1050001.0,-1,0,0
2015-07-03,2015-07-03 00:00:00,BP,Channel: 50 - Commercial,DORAVILLE GA - BP (PLANT 0435),DIESEL,33871,237097,1,7500,3,29703,7500,72077,1,w1,7500,0,34592,67742.0,260807.0,Available,Available,200%,200,110%,110,-1,-1,07/04 00:00:00 EDT,w1,0,2015-07-08 00:00:00,Contract,Contract,33871.0,33871.0,237097.0,60242,188730,0,0,0,0,1240080,1240081,2015-07-03 08:53:53,2015-07-03 08:53:53,Mansfield,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33871,0,237097,67742,0,260807,False,True,34592,False,34592,False,60242,0,226215,-1,-1,-1,-1,0.0,0,237097.0,33871.0,1050001.0,-1,0,0
2015-07-04,2015-07-04 00:00:00,BP,Channel: 50 - Commercial,DORAVILLE GA - BP (PLANT 0435),DIESEL,33871,237097,3,72185,3,12497,0,94280,1,w1,0,0,34592,67742.0,260807.0,Available,Available,200%,200,110%,110,-1,-1,07/05 00:00:00 EDT,w1,0,2015-07-08 00:00:00,Contract,Contract,33871.0,33871.0,237097.0,67742,166527,0,0,0,0,1250476,1250477,2015-07-04 08:00:07,2015-07-04 08:00:07,Mansfield,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33871,0,237097,67742,0,260807,False,False,106777,False,106777,False,-4443,0,226215,-1,-1,-1,-1,800.0,0,237097.0,33871.0,1050001.0,-1,0,0
2015-07-05,2015-07-05 00:00:00,BP,Channel: 50 - Commercial,DORAVILLE GA - BP (PLANT 0435),DIESEL,33871,237097,0,0,3,7499,0,106777,0,w1,0,0,106777,67742.0,260807.0,Available,Available,200%,200,110%,110,-1,-1,07/06 00:00:00 EDT,w1,0,2015-07-08 00:00:00,Contract,Contract,33871.0,33871.0,237097.0,67742,154030,0,0,0,0,1260848,1260849,2015-07-05 08:00:09,2015-07-05 08:00:09,Mansfield,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33871,0,237097,67742,0,260807,False,True,106777,False,106777,False,67742,0,154030,-1,-1,-1,-1,0.0,0,237097.0,33871.0,1050001.0,-1,0,0
2015-07-06,2015-07-06 00:00:00,BP,Channel: 50 - Commercial,DORAVILLE GA - BP (PLANT 0435),DIESEL,33871,237097,3,37498,3,22501,7498,121774,1,w1,7498,0,106777,67742.0,260807.0,Available,Available,200%,200,110%,110,-1,-1,07/07 00:00:00 EDT,w1,0,2015-07-08 00:00:00,Contract,Contract,33871.0,33871.0,237097.0,60244,139033,0,0,0,0,1271220,1271221,2015-07-06 08:01:06,2015-07-06 08:01:06,Mansfield,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33871,0,237097,67742,0,260807,False,False,144275,False,144275,False,30244,0,154030,-1,-1,-1,-1,400.0,0,237097.0,33871.0,1050001.0,-1,0,0
2015-07-07,2015-07-07 00:00:00,BP,Channel: 50 - Commercial,DORAVILLE GA - BP (PLANT 0435),DIESEL,33871,237097,0,7498,0,7498,7498,144275,0,w1,7498,0,144275,67742.0,260807.0,Available,Available,200%,200,110%,110,-1,-1,07/08 00:00:00 EDT,w1,0,2015-07-08 00:00:00,Contract,Contract,33871.0,33871.0,237097.0,60244,116532,0,0,0,0,1287224,1287225,2015-07-07 12:01:06,2015-07-07 12:01:06,Mansfield,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33871,0,237097,67742,0,260807,True,False,151773,False,151773,False,60244,0,116532,-1,-1,-1,-1,0.0,0,237097.0,33871.0,1050001.0,-1,0,0
2015-07-08,2015-07-08 00:00:00,BP,Channel: 50 - Commercial,DORAVILLE GA - BP (PLANT 0435),DIESEL,33871,237097,0,21805,3,29303,21805,21805,0,w2,21805,0,21805,67742.0,260807.0,Available,Available,200%,200,110%,110,-1,-1,07/09 00:00:00 EDT,w2,0,2015-07-15 00:00:00,Contract,Contract,33871.0,33871.0,237097.0,45937,239002,0,0,0,0,1312698,1312699,2015-07-08 12:01:05,2015-07-08 12:01:05,Mansfield,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33871,0,237097,67742,0,260807,False,True,21805,True,173578,False,45937,0,239002,-1,-1,-1,-1,0.0,0,237097.0,33871.0,1050001.0,-1,0,0
2015-07-09,2015-07-09 00:00:00,BP,Channel: 50 - Commercial,DORAVILLE GA - BP (PLANT 0435),DIESEL,33871,237097,1,10847,3,40662,40662,69965,1,w2,40662,0,32652,67742.0,260807.0,Available,Available,200%,200,110%,110,-1,-1,07/10 00:00:00 EDT,w2,0,2015-07-15 00:00:00,Contract,Contract,33871.0,33871.0,237097.0,27080,190842,0,0,0,0,1323879,1323880,2015-07-09 16:38:26,2015-07-09 16:38:26,Mansfield,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33871,0,237097,67742,0,260807,True,True,32652,True,184425,False,56895,0,228155,-1,-1,-1,-1,0.0,0,237097.0,33871.0,1050001.0,-1,0,0
2015-07-10,2015-07-10 00:00:00,BP,Channel: 50 - Commercial,DORAVILLE GA - BP (PLANT 0435),DIESEL,33871,237097,1,29815,3,29815,29815,99780,1,w2,29815,0,62467,67742.0,260807.0,Available,Available,200%,200,110%,110,-1,-1,07/11 00:00:00 EDT,w2,0,2015-07-15 00:00:00,Contract,Contract,33871.0,33871.0,237097.0,37927,161027,0,0,0,0,1373444,1373445,2015-07-10 22:01:07,2015-07-10 22:01:07,Mansfield,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33871,0,237097,67742,0,260807,True,True,62467,True,214240,False,37927,0,198340,-1,-1,-1,-1,0.0,0,237097.0,33871.0,1050001.0,-1,0,0
