,date,supplier_name,account_type,supplier_terminal_name,product_name,base_gallons_Daily,base_gallons_Weekly,lifted_gallons_daily_flag,lifted_gallons_daily_modified,Modified_WeeksByLiftedGallons,lifted_gallons_modified_WeeksByLiftedGallons,lifted_gallons_Daily,Lifted_actual_weekly,lifted_gallons_weekly_flag,WeeksByLiftedGallons,lifted_gallonsWeekly_modified_aposteriori,Modified_LiftedGallonsaposteriori,lifted_gallons_Weekly,beginning_gallons_Daily,beginning_gallons_Weekly,en_allocation_status_Daily,en_allocation_status_Weekly,percentage_allocation_Daily_actual,percentage_allocation_Daily,percentage_allocation_Weekly_actual,percentage_allocation_Weekly,alerts_ratability_Daily,alerts_ratability_Weekly,next_refresh_date_Daily,Week_switch,Modified_NRD,next_refresh_date_Weekly,en_account_type_Daily,en_account_type_Weekly,NRB_Daily,next_refresh_base_gallons_Daily,next_refresh_base_gallons_Weekly,remaining_gallons_Daily,remaining_gallons_Weekly,additional_gallons_allowed_Daily,additional_gallons_allowed_Weekly,additional_gallons_remaining_Daily,additional_gallons_remaining_Weekly,staging_id_Daily,staging_id_Weekly,execution_date_Daily,execution_date_Weekly,customer_name_Daily,customer_name_Weekly,base_gallons_Monthly,Lifted_actual_monthly,lifted_gallons_monthly_flag,lifted_gallons_Monthly,beginning_gallons_Monthly,en_allocation_status_Monthly,percentage_allocation_Monthly_actual,percentage_allocation_Monthly,alerts_ratability_Monthly,next_refresh_date_Monthly,NRB_Monthly,next_refresh_base_gallons_Monthly,remaining_gallons_Monthly,additional_gallons_allowed_Monthly,additional_gallons_remaining_Monthly,execution_date_Monthly,base_gallons_Daily_Reconciled,base_gallons_Monthly_Reconciled,base_gallons_Weekly_Reconciled,beginning_gallons_Daily_Reconciled,beginning_gallons_Monthly_Reconciled,beginning_gallons_Weekly_Reconciled,sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,computedWeekly,sanityComputedWeekly,computedMonthly,sanityComputedMonthly,remaining_gallons_Daily_Reconciled,remaining_gallons_Monthly_Reconciled,remaining_gallons_Weekly_Reconciled,additional_gallons_remaining_Daily_Reconciled,additional_gallons_remaining_Monthly_Reconciled,additional_gallons_remaining_Weekly_Reconciled,Ratability_Monthly,Ratability_Daily,Ratability_Weekly,Synthetic_Base_Weekly,Synthetic_Base_Daily,Synthetic_Base_Monthly,Ratability_Monthly_computed,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
2015-07-01,2015-07-01 00:00:00,BP,Channel: 50 - Commercial,JACKSONVILLE FL - MARATHON (PLANT 9294),DIESEL,5968,41774,1,519,3,15017,15017,15017,1,w1,15017,0,519,11936.0,45951.0,Out,Out,200%,200,110%,110,-1,-1,07/02 00:00:00 EDT,w1,0,2015-07-08 00:00:00,Contract,Contract,5968.0,5968.0,41774.0,-3081,30934,0,0,0,0,1191966,1191967,2015-07-01 22:00:08,2015-07-01 22:00:08,Mansfield,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5968,0,41774,11936,0,45951,True,True,519,True,519,False,11417,0,45432,-1,-1,-1,-1,0.0,0,41774.0,5968.0,185008.0,-1,0,0
2015-07-02,2015-07-02 00:00:00,BP,Channel: 50 - Commercial,JACKSONVILLE FL - MARATHON (PLANT 9294),DIESEL,5968,41774,1,14498,3,14498,14498,29515,1,w1,14498,0,15017,11936.0,45951.0,Out,Out,200%,200,110%,110,-1,-1,07/03 00:00:00 EDT,w1,0,2015-07-08 00:00:00,Contract,Contract,5968.0,5968.0,41774.0,-2562,16436,0,0,0,0,1228340,1228341,2015-07-02 15:00:12,2015-07-02 15:00:12,Mansfield,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5968,0,41774,11936,0,45951,True,True,15017,True,15017,False,-2562,0,30934,-1,-1,-1,-1,400.0,0,41774.0,5968.0,185008.0,-1,0,0
2015-07-03,2015-07-03 00:00:00,BP,Channel: 50 - Commercial,JACKSONVILLE FL - MARATHON (PLANT 9294),DIESEL,5968,41774,1,0,3,7993,0,29515,1,w1,0,0,15017,11936.0,45951.0,Available,Available,200%,200,110%,110,-1,-1,07/04 00:00:00 EDT,w1,0,2015-07-08 00:00:00,Contract,Contract,5968.0,5968.0,41774.0,11936,16436,0,0,0,0,1240090,1240091,2015-07-03 08:53:53,2015-07-03 08:53:53,Mansfield,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5968,0,41774,11936,0,45951,False,True,15017,True,15017,False,11936,0,30934,-1,-1,-1,-1,0.0,0,41774.0,5968.0,185008.0,-1,0,0
2015-07-04,2015-07-04 00:00:00,BP,Channel: 50 - Commercial,JACKSONVILLE FL - MARATHON (PLANT 9294),DIESEL,5968,41774,1,0,3,0,0,37508,1,w1,0,0,15017,11936.0,45951.0,Available,Available,200%,200,110%,110,-1,-1,07/05 00:00:00 EDT,w1,0,2015-07-08 00:00:00,Contract,Contract,5968.0,5968.0,41774.0,11936,8443,0,0,0,0,1250487,1250488,2015-07-04 08:00:07,2015-07-04 08:00:07,Mansfield,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5968,0,41774,11936,0,45951,True,True,15017,True,15017,False,11936,0,30934,-1,-1,-1,-1,0.0,0,41774.0,5968.0,185008.0,-1,0,0
2015-07-05,2015-07-05 00:00:00,BP,Channel: 50 - Commercial,JACKSONVILLE FL - MARATHON (PLANT 9294),DIESEL,5968,41774,3,22491,3,0,0,37508,1,w1,0,0,15017,11936.0,45951.0,Available,Available,200%,200,110%,110,-1,-1,07/06 00:00:00 EDT,w1,0,2015-07-08 00:00:00,Contract,Contract,5968.0,5968.0,41774.0,11936,8443,0,0,0,0,1260859,1260860,2015-07-05 08:00:09,2015-07-05 08:00:09,Mansfield,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5968,0,41774,11936,0,45951,True,False,37508,True,37508,False,-10555,0,30934,-1,-1,-1,-1,1200.0,0,41774.0,5968.0,185008.0,-1,0,0
2015-07-06,2015-07-06 00:00:00,BP,Channel: 50 - Commercial,JACKSONVILLE FL - MARATHON (PLANT 9294),DIESEL,5968,41774,0,0,3,0,0,37508,0,w1,0,0,37508,11936.0,45951.0,Available,Available,200%,200,110%,110,-1,-1,07/07 00:00:00 EDT,w1,0,2015-07-08 00:00:00,Contract,Contract,5968.0,5968.0,41774.0,11936,8443,0,0,0,0,1271231,1271232,2015-07-06 08:01:06,2015-07-06 08:01:06,Mansfield,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5968,0,41774,11936,0,45951,True,True,37508,True,37508,False,11936,0,8443,-1,-1,-1,-1,0.0,0,41774.0,5968.0,185008.0,-1,0,0
2015-07-07,2015-07-07 00:00:00,BP,Channel: 50 - Commercial,JACKSONVILLE FL - MARATHON (PLANT 9294),DIESEL,5968,41774,1,1298,0,8795,8795,46303,1,w1,8795,0,38806,11936.0,45951.0,Out,Out,200%,200,110%,110,-1,-1,07/08 00:00:00 EDT,w1,0,2015-07-08 00:00:00,Contract,Contract,5968.0,5968.0,41774.0,3141,-352,0,0,0,0,1287234,1287235,2015-07-07 12:01:06,2015-07-07 12:01:06,Mansfield,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5968,0,41774,11936,0,45951,True,True,38806,True,38806,False,10638,0,7145,-1,-1,-1,-1,0.0,0,41774.0,5968.0,185008.0,-1,0,0
2015-07-08,2015-07-08 00:00:00,BP,Channel: 50 - Commercial,JACKSONVILLE FL - MARATHON (PLANT 9294),DIESEL,5968,41774,1,290,0,7497,7497,7497,1,w2,7497,0,290,11936.0,45951.0,Available,Available,200%,200,110%,110,-1,-1,07/09 00:00:00 EDT,w2,0,2015-07-15 00:00:00,Contract,Contract,5968.0,5968.0,41774.0,4439,38454,0,0,0,0,1312708,1312709,2015-07-08 12:01:05,2015-07-08 12:01:05,Mansfield,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5968,0,41774,11936,0,45951,True,True,290,True,39096,False,11646,0,45661,-1,-1,-1,-1,0.0,0,41774.0,5968.0,185008.0,-1,0,0
2015-07-09,2015-07-09 00:00:00,BP,Channel: 50 - Commercial,JACKSONVILLE FL - MARATHON (PLANT 9294),DIESEL,5968,41774,3,14414,0,7207,7207,14704,1,w2,7207,0,7497,11936.0,45951.0,Available,Available,200%,200,110%,110,-1,-1,07/10 00:00:00 EDT,w2,0,2015-07-15 00:00:00,Contract,Contract,5968.0,5968.0,41774.0,4729,31247,0,0,0,0,1323889,1323890,2015-07-09 16:38:26,2015-07-09 16:38:26,Mansfield,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5968,0,41774,11936,0,45951,True,False,14704,True,53510,False,-2478,0,38454,-1,-1,-1,-1,400.0,0,41774.0,5968.0,185008.0,-1,0,0
2015-07-10,2015-07-10 00:00:00,BP,Channel: 50 - Commercial,JACKSONVILLE FL - MARATHON (PLANT 9294),DIESEL,5968,41774,0,0,0,0,0,14704,0,w2,0,0,14704,11936.0,45951.0,Available,Available,200%,200,110%,110,-1,-1,07/11 00:00:00 EDT,w2,0,2015-07-15 00:00:00,Contract,Contract,5968.0,5968.0,41774.0,11936,31247,0,0,0,0,1373455,1373456,2015-07-10 22:01:07,2015-07-10 22:01:07,Mansfield,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5968,0,41774,11936,0,45951,True,True,14704,True,53510,False,11936,0,31247,-1,-1,-1,-1,0.0,0,41774.0,5968.0,185008.0,-1,0,0
