,date,supplier_name,account_type,supplier_terminal_name,product_name,base_gallons_Daily,base_gallons_Weekly,lifted_gallons_daily_flag,lifted_gallons_daily_modified,Modified_WeeksByLiftedGallons,lifted_gallons_modified_WeeksByLiftedGallons,lifted_gallons_Daily,Lifted_actual_weekly,lifted_gallons_weekly_flag,WeeksByLiftedGallons,lifted_gallonsWeekly_modified_aposteriori,Modified_LiftedGallonsaposteriori,lifted_gallons_Weekly,beginning_gallons_Daily,beginning_gallons_Weekly,en_allocation_status_Daily,en_allocation_status_Weekly,percentage_allocation_Daily_actual,percentage_allocation_Daily,percentage_allocation_Weekly_actual,percentage_allocation_Weekly,alerts_ratability_Daily,alerts_ratability_Weekly,next_refresh_date_Daily,Week_switch,Modified_NRD,next_refresh_date_Weekly,en_account_type_Daily,en_account_type_Weekly,NRB_Daily,next_refresh_base_gallons_Daily,next_refresh_base_gallons_Weekly,remaining_gallons_Daily,remaining_gallons_Weekly,additional_gallons_allowed_Daily,additional_gallons_allowed_Weekly,additional_gallons_remaining_Daily,additional_gallons_remaining_Weekly,staging_id_Daily,staging_id_Weekly,execution_date_Daily,execution_date_Weekly,customer_name_Daily,customer_name_Weekly,base_gallons_Monthly,Lifted_actual_monthly,lifted_gallons_monthly_flag,lifted_gallons_Monthly,beginning_gallons_Monthly,en_allocation_status_Monthly,percentage_allocation_Monthly_actual,percentage_allocation_Monthly,alerts_ratability_Monthly,next_refresh_date_Monthly,NRB_Monthly,next_refresh_base_gallons_Monthly,remaining_gallons_Monthly,additional_gallons_allowed_Monthly,additional_gallons_remaining_Monthly,execution_date_Monthly,base_gallons_Daily_Reconciled,base_gallons_Monthly_Reconciled,base_gallons_Weekly_Reconciled,beginning_gallons_Daily_Reconciled,beginning_gallons_Monthly_Reconciled,beginning_gallons_Weekly_Reconciled,sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,computedWeekly,sanityComputedWeekly,computedMonthly,sanityComputedMonthly,remaining_gallons_Daily_Reconciled,remaining_gallons_Monthly_Reconciled,remaining_gallons_Weekly_Reconciled,additional_gallons_remaining_Daily_Reconciled,additional_gallons_remaining_Monthly_Reconciled,additional_gallons_remaining_Weekly_Reconciled,Ratability_Monthly,Ratability_Daily,Ratability_Weekly,Synthetic_Base_Weekly,Synthetic_Base_Daily,Synthetic_Base_Monthly,Ratability_Monthly_computed,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
2015-07-01,2015-07-01 00:00:00,BP,Channel: 50 - Commercial,ROCHELLE IL - BP (PLANT 0448),DIESEL,13452,94161,1,55,3,14056,7056,7056,1,w1,7056,0,55,26904.0,103577.0,Available,Available,200%,200,110%,110,-1,-1,07/02 00:00:00 CDT,w1,0,2015-07-08 00:00:00,Contract,Contract,13452.0,13452.0,94161.0,19848,96521,0,0,0,0,1191979,1191980,2015-07-01 22:00:08,2015-07-01 22:00:08,Mansfield,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13452,0,94161,26904,0,103577,False,True,55,True,55,False,26849,0,103522,-1,-1,-1,-1,0.0,0,94161.0,13452.0,417012.0,-1,0,0
2015-07-02,2015-07-02 00:00:00,BP,Channel: 50 - Commercial,ROCHELLE IL - BP (PLANT 0448),DIESEL,13452,94161,3,28003,3,14002,7001,21057,1,w1,7001,0,7056,26904.0,103577.0,Available,Available,200%,200,110%,110,-1,-1,07/03 00:00:00 CDT,w1,0,2015-07-08 00:00:00,Contract,Contract,13452.0,13452.0,94161.0,19903,82520,0,0,0,0,1228353,1228354,2015-07-02 15:00:12,2015-07-02 15:00:12,Mansfield,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13452,0,94161,26904,0,103577,False,False,28058,True,28058,False,-1099,0,96521,-1,-1,-1,-1,400.0,0,94161.0,13452.0,417012.0,-1,0,0
2015-07-03,2015-07-03 00:00:00,BP,Channel: 50 - Commercial,ROCHELLE IL - BP (PLANT 0448),DIESEL,13452,94161,0,0,3,0,0,28058,0,w1,0,0,28058,26904.0,103577.0,Available,Available,200%,200,110%,110,-1,-1,07/04 00:00:00 CDT,w1,0,2015-07-08 00:00:00,Contract,Contract,13452.0,13452.0,94161.0,26904,75519,0,0,0,0,1240103,1240104,2015-07-03 08:53:53,2015-07-03 08:53:53,Mansfield,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13452,0,94161,26904,0,103577,True,True,28058,True,28058,False,26904,0,75519,-1,-1,-1,-1,0.0,0,94161.0,13452.0,417012.0,-1,0,0
2015-07-04,2015-07-04 00:00:00,BP,Channel: 50 - Commercial,ROCHELLE IL - BP (PLANT 0448),DIESEL,13452,94161,1,7000,3,15201,7000,35058,1,w1,7000,0,35058,26904.0,103577.0,Available,Available,200%,200,110%,110,-1,-1,07/05 00:00:00 CDT,w1,0,2015-07-08 00:00:00,Contract,Contract,13452.0,13452.0,94161.0,19904,68519,0,0,0,0,1250500,1250501,2015-07-04 08:00:07,2015-07-04 08:00:07,Mansfield,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13452,0,94161,26904,0,103577,False,True,35058,True,35058,False,19904,0,68519,-1,-1,-1,-1,0.0,0,94161.0,13452.0,417012.0,-1,0,0
2015-07-05,2015-07-05 00:00:00,BP,Channel: 50 - Commercial,ROCHELLE IL - BP (PLANT 0448),DIESEL,13452,94161,3,13702,3,5501,0,43259,1,w1,0,0,35058,26904.0,103577.0,Available,Available,200%,200,110%,110,-1,-1,07/06 00:00:00 CDT,w1,0,2015-07-08 00:00:00,Contract,Contract,13452.0,13452.0,94161.0,26904,60318,0,0,0,0,1260872,1260873,2015-07-05 08:00:09,2015-07-05 08:00:09,Mansfield,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13452,0,94161,26904,0,103577,False,False,48760,True,48760,False,13202,0,68519,-1,-1,-1,-1,400.0,0,94161.0,13452.0,417012.0,-1,0,0
2015-07-06,2015-07-06 00:00:00,BP,Channel: 50 - Commercial,ROCHELLE IL - BP (PLANT 0448),DIESEL,13452,94161,0,0,3,14000,0,48760,0,w1,0,0,48760,26904.0,103577.0,Available,Available,200%,200,110%,110,-1,-1,07/07 00:00:00 CDT,w1,0,2015-07-08 00:00:00,Contract,Contract,13452.0,13452.0,94161.0,26904,54817,0,0,0,0,1271244,1271245,2015-07-06 08:01:06,2015-07-06 08:01:06,Mansfield,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13452,0,94161,26904,0,103577,False,True,48760,True,48760,False,26904,0,54817,-1,-1,-1,-1,0.0,0,94161.0,13452.0,417012.0,-1,0,0
2015-07-07,2015-07-07 00:00:00,BP,Channel: 50 - Commercial,ROCHELLE IL - BP (PLANT 0448),DIESEL,13452,94161,1,5001,0,7002,7002,69762,1,w1,7002,0,53761,26904.0,103577.0,Available,Available,200%,200,110%,110,-1,-1,07/08 00:00:00 CDT,w1,0,2015-07-08 00:00:00,Contract,Contract,13452.0,13452.0,94161.0,19902,33815,0,0,0,0,1287247,1287248,2015-07-07 12:01:06,2015-07-07 12:01:06,Mansfield,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13452,0,94161,26904,0,103577,True,True,53761,True,53761,False,21903,0,49816,-1,-1,-1,-1,0.0,0,94161.0,13452.0,417012.0,-1,0,0
2015-07-08,2015-07-08 00:00:00,BP,Channel: 50 - Commercial,ROCHELLE IL - BP (PLANT 0448),DIESEL,13452,94161,0,2001,3,2001,2001,2001,0,w2,2001,0,2001,26904.0,103577.0,Available,Available,200%,200,110%,110,-1,-1,07/09 00:00:00 CDT,w2,0,2015-07-15 00:00:00,Contract,Contract,13452.0,13452.0,94161.0,24903,101576,0,0,0,0,1312721,1312722,2015-07-08 12:01:05,2015-07-08 12:01:05,Mansfield,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13452,0,94161,26904,0,103577,True,True,2001,False,55762,False,24903,0,101576,-1,-1,-1,-1,0.0,0,94161.0,13452.0,417012.0,-1,0,0
2015-07-09,2015-07-09 00:00:00,BP,Channel: 50 - Commercial,ROCHELLE IL - BP (PLANT 0448),DIESEL,13452,94161,3,7003,3,7003,7003,9004,1,w2,7003,0,9004,26904.0,103577.0,Available,Available,200%,200,110%,110,-1,-1,07/10 00:00:00 CDT,w2,0,2015-07-15 00:00:00,Contract,Contract,13452.0,13452.0,94161.0,19901,94573,0,0,0,0,1323902,1323903,2015-07-09 16:38:26,2015-07-09 16:38:26,Mansfield,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13452,0,94161,26904,0,103577,True,True,9004,False,62765,False,19901,0,94573,-1,-1,-1,-1,0.0,0,94161.0,13452.0,417012.0,-1,0,0
2015-07-10,2015-07-10 00:00:00,BP,Channel: 50 - Commercial,ROCHELLE IL - BP (PLANT 0448),DIESEL,13452,94161,3,0,3,0,0,9004,0,w2,0,0,9004,26904.0,103577.0,Available,Available,200%,200,110%,110,-1,-1,07/11 00:00:00 CDT,w2,0,2015-07-15 00:00:00,Contract,Contract,13452.0,13452.0,94161.0,26904,94573,0,0,0,0,1373468,1373469,2015-07-10 22:01:07,2015-07-10 22:01:07,Mansfield,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13452,0,94161,26904,0,103577,True,True,9004,False,62765,False,26904,0,94573,-1,-1,-1,-1,0.0,0,94161.0,13452.0,417012.0,-1,0,0
