,date,supplier_name,account_type,supplier_terminal_name,product_name,base_gallons_Daily,base_gallons_Weekly,lifted_gallons_daily_flag,lifted_gallons_daily_modified,Modified_WeeksByLiftedGallons,lifted_gallons_modified_WeeksByLiftedGallons,lifted_gallons_Daily,Lifted_actual_weekly,lifted_gallons_weekly_flag,WeeksByLiftedGallons,lifted_gallonsWeekly_modified_aposteriori,Modified_LiftedGallonsaposteriori,lifted_gallons_Weekly,beginning_gallons_Daily,beginning_gallons_Weekly,en_allocation_status_Daily,en_allocation_status_Weekly,percentage_allocation_Daily_actual,percentage_allocation_Daily,percentage_allocation_Weekly_actual,percentage_allocation_Weekly,alerts_ratability_Daily,alerts_ratability_Weekly,next_refresh_date_Daily,Week_switch,Modified_NRD,next_refresh_date_Weekly,en_account_type_Daily,en_account_type_Weekly,NRB_Daily,next_refresh_base_gallons_Daily,next_refresh_base_gallons_Weekly,remaining_gallons_Daily,remaining_gallons_Weekly,additional_gallons_allowed_Daily,additional_gallons_allowed_Weekly,additional_gallons_remaining_Daily,additional_gallons_remaining_Weekly,staging_id_Daily,staging_id_Weekly,execution_date_Daily,execution_date_Weekly,customer_name_Daily,customer_name_Weekly,base_gallons_Monthly,Lifted_actual_monthly,lifted_gallons_monthly_flag,lifted_gallons_Monthly,beginning_gallons_Monthly,en_allocation_status_Monthly,percentage_allocation_Monthly_actual,percentage_allocation_Monthly,alerts_ratability_Monthly,next_refresh_date_Monthly,NRB_Monthly,next_refresh_base_gallons_Monthly,remaining_gallons_Monthly,additional_gallons_allowed_Monthly,additional_gallons_remaining_Monthly,execution_date_Monthly,base_gallons_Daily_Reconciled,base_gallons_Monthly_Reconciled,base_gallons_Weekly_Reconciled,beginning_gallons_Daily_Reconciled,beginning_gallons_Monthly_Reconciled,beginning_gallons_Weekly_Reconciled,sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,computedWeekly,sanityComputedWeekly,computedMonthly,sanityComputedMonthly,remaining_gallons_Daily_Reconciled,remaining_gallons_Monthly_Reconciled,remaining_gallons_Weekly_Reconciled,additional_gallons_remaining_Daily_Reconciled,additional_gallons_remaining_Monthly_Reconciled,additional_gallons_remaining_Weekly_Reconciled,Ratability_Monthly,Ratability_Daily,Ratability_Weekly,Synthetic_Base_Weekly,Synthetic_Base_Daily,Synthetic_Base_Monthly,Ratability_Monthly_computed,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
2015-11-01,2015-11-01 00:00:00,BP,Channel: 50 - Commercial,INDIANAPOLIS IN - BP (PLANT 0452),DIESEL,6452,45161,1,0,3,0,0,68271,1,w1,0,0,0,12904,49677,Available,Available,200%,200,110%,110,-1,-1,11/02 00:00:00 EST,w1,0,2015-11-04 00:00:00,Contract,Contract,13333,6452,46667,12904,2261,32000,32000,11145,11145,7361805,7361806,2015-11-01 22:00:17,2015-11-01 22:00:17,Mansfield,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6452,0,45161,12904,0,49677,False,True,0,True,0,0,12904,0,49677,-1,-1,-1,-1,0.0,0,45161.0,6452.0,193560.0,-1,1,1
2015-11-02,2015-11-02 00:00:00,BP,Channel: 50 - Commercial,INDIANAPOLIS IN - BP (PLANT 0452),DIESEL,13333,93334,1,4526,3,22530,22530,90801,1,w1,22530,0,4526,26666,102667,Available,Available,200%,200,110%,110,-1,-1,11/03 00:00:00 EST,w1,0,2015-11-04 00:00:00,Contract,Contract,13333,13333,93334,9374,37959,32000,32000,5907,5907,7411423,7411424,2015-11-02 22:00:17,2015-11-02 22:00:17,Mansfield,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13333,0,93334,26666,0,102667,False,True,4526,True,0,0,22140,0,98141,-1,-1,-1,-1,0.0,0,93334.0,13333.0,399990.0,-1,0,0
2015-11-03,2015-11-03 00:00:00,BP,Channel: 50 - Commercial,INDIANAPOLIS IN - BP (PLANT 0452),DIESEL,13333,93334,1,2951,0,18004,18004,108805,1,w1,18004,0,7477,26666,102667,Available,Available,200%,200,110%,110,-1,-1,11/04 00:00:00 EST,w1,0,2015-11-04 00:00:00,Contract,Contract,13333,13333,93334,8662,19955,32000,32000,5907,5907,7441022,7441023,2015-11-03 09:00:18,2015-11-03 09:00:18,Mansfield,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13333,0,93334,26666,0,102667,False,True,7477,True,0,0,23715,0,95190,-1,-1,-1,-1,0.0,0,93334.0,13333.0,399990.0,-1,0,0
2015-11-04,2015-11-04 00:00:00,BP,Channel: 50 - Commercial,INDIANAPOLIS IN - BP (PLANT 0452),DIESEL,13333,93334,3,30082,3,15053,15053,15053,1,w2,15053,0,24,26666,102667,Available,Available,200%,200,110%,110,-1,-1,11/05 00:00:00 EST,w2,0,2015-11-11 00:00:00,Contract,Contract,13333,13333,93334,11613,87614,0,0,0,0,7696524,7696525,2015-11-04 23:30:19,2015-11-04 23:30:19,Mansfield,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13333,0,93334,26666,0,102667,True,False,30082,False,0,0,-3416,0,102643,-1,-1,-1,-1,267.0,0,93334.0,13333.0,399990.0,-1,0,0
2015-11-05,2015-11-05 00:00:00,BP,Channel: 50 - Commercial,INDIANAPOLIS IN - BP (PLANT 0452),DIESEL,13333,93334,0,15029,3,22528,15029,30082,0,w2,15029,0,30082,26666,102667,Available,Available,200%,200,110%,110,-1,-1,11/06 00:00:00 EST,w2,0,2015-11-11 00:00:00,Contract,Contract,13333,13333,93334,11637,72585,0,0,0,0,7816013,7816014,2015-11-05 13:00:16,2015-11-05 13:00:16,Mansfield,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13333,0,93334,26666,0,102667,False,False,45111,False,0,0,11637,0,72585,-1,-1,-1,-1,200.0,0,93334.0,13333.0,399990.0,-1,0,0
2015-11-06,2015-11-06 00:00:00,BP,Channel: 50 - Commercial,INDIANAPOLIS IN - BP (PLANT 0452),DIESEL,13333,93334,1,35548,3,35548,35548,73129,1,w2,35548,0,65630,26666,102667,Available,Available,200%,200,110%,110,-1,-1,11/07 00:00:00 EST,w2,0,2015-11-11 00:00:00,Contract,Contract,13333,13333,93334,-1359,37061,32000,32000,24477,24477,7882535,7882536,2015-11-06 22:00:17,2015-11-06 22:00:17,Mansfield,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13333,0,93334,26666,0,102667,True,False,80659,False,0,0,-8882,0,37037,32000,-1,-1,-1,267.0,0,93334.0,13333.0,399990.0,-1,0,0
2015-11-07,2015-11-07 00:00:00,BP,Channel: 50 - Commercial,INDIANAPOLIS IN - BP (PLANT 0452),DIESEL,13333,93334,3,7499,3,0,0,73129,1,w2,0,0,65630,26666,102667,Available,Available,200%,200,110%,110,-1,-1,11/08 00:00:00 EST,w2,0,2015-11-11 00:00:00,Contract,Contract,13333,13333,93334,26666,37061,32000,32000,24477,24477,7926034,7926035,2015-11-07 22:00:20,2015-11-07 22:00:20,Mansfield,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13333,0,93334,26666,0,102667,True,False,88158,False,0,0,19167,0,37037,-1,-1,-1,-1,0.0,0,93334.0,13333.0,399990.0,-1,0,0
2015-11-08,2015-11-08 00:00:00,BP,Channel: 50 - Commercial,INDIANAPOLIS IN - BP (PLANT 0452),DIESEL,13333,93334,3,0,3,0,0,73129,0,w2,0,0,73129,26666,102667,Available,Available,200%,200,110%,110,-1,-1,11/09 00:00:00 EST,w2,0,2015-11-11 00:00:00,Contract,Contract,13333,13333,93334,26666,37061,32000,32000,24477,24477,7979618,7979619,2015-11-08 23:29:17,2015-11-08 23:29:17,Mansfield,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13333,0,93334,26666,0,102667,True,False,88158,False,0,0,26666,0,29538,-1,-1,-1,-1,0.0,0,93334.0,13333.0,399990.0,-1,0,0
2015-11-09,2015-11-09 00:00:00,BP,Channel: 50 - Commercial,INDIANAPOLIS IN - BP (PLANT 0452),DIESEL,13333,93334,0,7501,3,7501,7501,80630,0,w2,7501,0,80630,26666,102667,Available,Available,200%,200,110%,110,-1,-1,11/10 00:00:00 EST,w2,0,2015-11-11 00:00:00,Contract,Contract,13333,13333,93334,19165,29560,32000,32000,24477,24477,8021910,8021911,2015-11-09 19:00:20,2015-11-09 19:00:20,Mansfield,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13333,0,93334,26666,0,102667,True,False,95659,False,0,0,19165,0,22037,-1,-1,-1,-1,0.0,0,93334.0,13333.0,399990.0,-1,0,0
2015-11-10,2015-11-10 00:00:00,BP,Channel: 50 - Commercial,INDIANAPOLIS IN - BP (PLANT 0452),DIESEL,13333,93334,1,21514,0,43052,43052,123682,1,w2,43052,0,102144,26666,102667,Available,Available,200%,200,110%,110,-1,-1,11/11 00:00:00 EST,w2,0,2015-11-11 00:00:00,Contract,Contract,13333,13333,93334,0,2894,32000,32000,8091,8091,8076902,8076903,2015-11-10 23:19:48,2015-11-10 23:19:48,Mansfield,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13333,0,93334,26666,0,102667,True,False,117173,False,0,0,5152,0,523,-1,-1,-1,-1,133.0,100,93334.0,13333.0,399990.0,-1,0,0
2015-11-11,2015-11-11 00:00:00,BP,Channel: 50 - Commercial,INDIANAPOLIS IN - BP (PLANT 0452),DIESEL,13333,93334,0,21538,3,36583,21538,21538,0,w3,21538,0,21538,26666,102667,Available,Available,200%,200,110%,110,-1,-1,11/12 00:00:00 EST,w3,0,2015-11-18 00:00:00,Contract,Contract,13333,13333,93334,5128,81129,0,0,0,0,8111359,8111360,2015-11-11 13:00:19,2015-11-11 13:00:19,Mansfield,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13333,0,93334,26666,0,102667,False,True,21538,True,0,0,5128,0,81129,-1,-1,-1,-1,200.0,0,93334.0,13333.0,399990.0,-1,0,0
