,supplier_name,en_account_type,alerts_ratability,en_allocation_status,percentage_allocation,account_type,base_gallons,beginning_gallons,supplier_terminal_name,lifted_gallons,remaining_gallons,additional_gallons_allowed,additional_gallons_remaining,next_refresh_date,next_refresh_base_gallons,product_name,period,batchno,execution_date,staging_id,customer_name,date
0,BP,Contract,,Available,200%,Channel: 50 - Commercial,12097,24194,BALTIMORE MD - BUCKEYE (PLANT 9478),0,24194,0,0,10/30 00:00:00 EDT,12097,DIESEL,Daily,10,2015-10-29 22:00:18,7218612,Mansfield,2015-10-29
1,BP,Contract,,Available,110%,Channel: 50 - Commercial,84677,93145,BALTIMORE MD - BUCKEYE (PLANT 9478),0,93145,0,0,11/05 00:00:00 EST,84677,DIESEL,Weekly,10,2015-10-29 22:00:18,7218613,Mansfield,2015-10-29
2,BP,Contract,,Available,200%,Channel: 50 - Commercial,12097,24194,BALTIMORE MD - BUCKEYE (PLANT 9478),0,24194,0,0,10/31 00:00:00 EDT,12097,DIESEL,Daily,10,2015-10-30 22:00:19,7271150,Mansfield,2015-10-30
3,BP,Contract,,Available,110%,Channel: 50 - Commercial,84677,93145,BALTIMORE MD - BUCKEYE (PLANT 9478),0,93145,0,0,11/05 00:00:00 EST,84677,DIESEL,Weekly,10,2015-10-30 22:00:19,7271151,Mansfield,2015-10-30
4,BP,Contract,,Available,200%,Channel: 50 - Commercial,12097,24194,BALTIMORE MD - BUCKEYE (PLANT 9478),0,24194,0,0,11/01 00:00:00 EST,12097,DIESEL,Daily,8,2015-10-31 19:00:17,7315169,Mansfield,2015-10-31
5,BP,Contract,,Available,110%,Channel: 50 - Commercial,84677,93145,BALTIMORE MD - BUCKEYE (PLANT 9478),0,93145,0,0,11/05 00:00:00 EST,84677,DIESEL,Weekly,8,2015-10-31 19:00:17,7315170,Mansfield,2015-10-31
6,BP,Contract,,Available,200%,Channel: 50 - Commercial,12097,24194,BALTIMORE MD - BUCKEYE (PLANT 9478),0,24194,0,0,11/02 00:00:00 EST,12097,DIESEL,Daily,8,2015-11-01 22:00:17,7361775,Mansfield,2015-11-01
7,BP,Contract,,Available,110%,Channel: 50 - Commercial,84677,93145,BALTIMORE MD - BUCKEYE (PLANT 9478),0,93145,0,0,11/05 00:00:00 EST,84677,DIESEL,Weekly,8,2015-11-01 22:00:17,7361776,Mansfield,2015-11-01
8,BP,Contract,,Available,200%,Channel: 50 - Commercial,12097,24194,BALTIMORE MD - BUCKEYE (PLANT 9478),0,24194,0,0,11/03 00:00:00 EST,12097,DIESEL,Daily,8,2015-11-02 22:00:17,7411394,Mansfield,2015-11-02
9,BP,Contract,,Available,110%,Channel: 50 - Commercial,84677,93145,BALTIMORE MD - BUCKEYE (PLANT 9478),0,93145,0,0,11/05 00:00:00 EST,84677,DIESEL,Weekly,8,2015-11-02 22:00:17,7411395,Mansfield,2015-11-02
10,BP,Contract,,Available,200%,Channel: 50 - Commercial,12097,24194,BALTIMORE MD - BUCKEYE (PLANT 9478),0,24194,0,0,11/04 00:00:00 EST,12097,DIESEL,Daily,6,2015-11-03 09:00:18,7440993,Mansfield,2015-11-03
11,BP,Contract,,Available,110%,Channel: 50 - Commercial,84677,93145,BALTIMORE MD - BUCKEYE (PLANT 9478),0,93145,0,0,11/05 00:00:00 EST,84677,DIESEL,Weekly,6,2015-11-03 09:00:18,7440994,Mansfield,2015-11-03
12,BP,Contract,,Available,200%,Channel: 50 - Commercial,12097,24194,BALTIMORE MD - BUCKEYE (PLANT 9478),0,24194,0,0,11/26 00:00:00 EST,12097,DIESEL,Daily,15,2015-11-25 22:00:10,8927693,Mansfield,2015-11-25
13,BP,Contract,,Available,110%,Channel: 50 - Commercial,84677,93145,BALTIMORE MD - BUCKEYE (PLANT 9478),0,93145,0,0,11/26 00:00:00 EST,84677,DIESEL,Weekly,15,2015-11-25 22:00:10,8927694,Mansfield,2015-11-25
14,BP,Contract,,Available,200%,Channel: 50 - Commercial,12097,24194,BALTIMORE MD - BUCKEYE (PLANT 9478),0,24194,0,0,11/27 00:00:00 EST,12097,DIESEL,Daily,6,2015-11-26 22:00:11,8972382,Mansfield,2015-11-26
15,BP,Contract,,Available,110%,Channel: 50 - Commercial,84677,93145,BALTIMORE MD - BUCKEYE (PLANT 9478),0,93145,0,0,12/03 00:00:00 EST,84677,DIESEL,Weekly,6,2015-11-26 22:00:11,8972383,Mansfield,2015-11-26
