,date,supplier_name,account_type,supplier_terminal_name,product_name,base_gallons_Daily,base_gallons_Weekly,lifted_gallons_daily_flag,lifted_gallons_daily_modified,Modified_WeeksByLiftedGallons,lifted_gallons_modified_WeeksByLiftedGallons,lifted_gallons_Daily,Lifted_actual_weekly,lifted_gallons_weekly_flag,WeeksByLiftedGallons,lifted_gallonsWeekly_modified_aposteriori,Modified_LiftedGallonsaposteriori,lifted_gallons_Weekly,beginning_gallons_Daily,beginning_gallons_Weekly,en_allocation_status_Daily,en_allocation_status_Weekly,percentage_allocation_Daily_actual,percentage_allocation_Daily,percentage_allocation_Weekly_actual,percentage_allocation_Weekly,alerts_ratability_Daily,alerts_ratability_Weekly,next_refresh_date_Daily,Week_switch,Modified_NRD,next_refresh_date_Weekly,en_account_type_Daily,en_account_type_Weekly,NRB_Daily,next_refresh_base_gallons_Daily,next_refresh_base_gallons_Weekly,remaining_gallons_Daily,remaining_gallons_Weekly,additional_gallons_allowed_Daily,additional_gallons_allowed_Weekly,additional_gallons_remaining_Daily,additional_gallons_remaining_Weekly,staging_id_Daily,staging_id_Weekly,execution_date_Daily,execution_date_Weekly,customer_name_Daily,customer_name_Weekly,base_gallons_Monthly,Lifted_actual_monthly,lifted_gallons_monthly_flag,lifted_gallons_Monthly,beginning_gallons_Monthly,en_allocation_status_Monthly,percentage_allocation_Monthly_actual,percentage_allocation_Monthly,alerts_ratability_Monthly,next_refresh_date_Monthly,NRB_Monthly,next_refresh_base_gallons_Monthly,remaining_gallons_Monthly,additional_gallons_allowed_Monthly,additional_gallons_remaining_Monthly,execution_date_Monthly,base_gallons_Daily_Reconciled,base_gallons_Monthly_Reconciled,base_gallons_Weekly_Reconciled,beginning_gallons_Daily_Reconciled,beginning_gallons_Monthly_Reconciled,beginning_gallons_Weekly_Reconciled,sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,computedWeekly,sanityComputedWeekly,computedMonthly,sanityComputedMonthly,remaining_gallons_Daily_Reconciled,remaining_gallons_Monthly_Reconciled,remaining_gallons_Weekly_Reconciled,additional_gallons_remaining_Daily_Reconciled,additional_gallons_remaining_Monthly_Reconciled,additional_gallons_remaining_Weekly_Reconciled,Ratability_Monthly,Ratability_Daily,Ratability_Weekly,Synthetic_Base_Weekly,Synthetic_Base_Daily,Synthetic_Base_Monthly,Ratability_Monthly_computed,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
2015-10-01,2015-10-01 00:00:00,BP,Channel: 50 - Commercial,CINCINNATI OH - BP (PLANT 3957),DIESEL,6660,101667,1,6303,3,21304,21304,43809,1,w1,21304,0,6303,13320,111834,Available,Available,200%,200,110%,110,-1,-1,10/02 00:00:00 EDT,w1,0,2015-10-07 00:00:00,Contract,Contract,21667,21667,117742,-478,75531,32000,32000,24494,24494,5859531,5859532,2015-10-01 22:00:14,2015-10-01 22:00:14,Mansfield,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6660,0,101667,13320,0,111833,False,True,6303,True,6303,False,7017,0,105531,-1,-1,-1,-1,0.0,0,101667.0,14524.0,450244.0,-1,0,0
2015-10-02,2015-10-02 00:00:00,BP,Channel: 50 - Commercial,CINCINNATI OH - BP (PLANT 3957),DIESEL,21667,101667,1,15001,3,15001,15001,58810,1,w1,15001,0,21304,43334,111834,Available,Available,200%,200,110%,110,-1,-1,10/03 00:00:00 EDT,w1,0,2015-10-07 00:00:00,Contract,Contract,21667,21667,117742,28333,60530,32000,32000,24494,24494,5912135,5912136,2015-10-02 22:00:11,2015-10-02 22:00:11,Mansfield,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21667,0,101667,43334,0,111834,False,True,21304,True,21304,False,28333,0,90530,-1,-1,-1,-1,0.0,0,101667.0,14524.0,450244.0,-1,0,0
2015-10-03,2015-10-03 00:00:00,BP,Channel: 50 - Commercial,CINCINNATI OH - BP (PLANT 3957),DIESEL,21667,101667,3,37506,3,0,0,58810,1,w1,0,0,21304,43334,111834,Available,Available,200%,200,110%,110,-1,-1,10/04 00:00:00 EDT,w1,0,2015-10-07 00:00:00,Contract,Contract,9167,9167,79032,43334,60530,32000,32000,24494,24494,5959374,5959375,2015-10-03 22:00:12,2015-10-03 22:00:12,Mansfield,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21667,0,101667,43334,0,111834,False,False,58810,True,58810,False,5828,0,90530,-1,-1,-1,-1,133.0,0,101667.0,14524.0,450244.0,-1,0,0
2015-10-04,2015-10-04 00:00:00,BP,Channel: 50 - Commercial,CINCINNATI OH - BP (PLANT 3957),DIESEL,9167,101667,0,0,3,0,0,58810,0,w1,0,0,58810,18334,111834,Available,Available,200%,200,110%,110,-1,-1,10/05 00:00:00 EDT,w1,0,2015-10-07 00:00:00,Contract,Contract,9167,9167,79032,18334,60530,32000,32000,24494,24494,6005845,6005846,2015-10-04 22:00:12,2015-10-04 22:00:12,Mansfield,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9167,0,101667,18334,0,111834,False,True,58810,True,58810,False,18334,0,53024,-1,-1,-1,-1,0.0,0,101667.0,14524.0,450244.0,-1,0,0
2015-10-05,2015-10-05 00:00:00,BP,Channel: 50 - Commercial,CINCINNATI OH - BP (PLANT 3957),DIESEL,9167,101667,1,100,3,7600,7600,66410,1,w1,7600,0,58910,18334,111834,Available,Available,200%,200,110%,110,-1,-1,10/06 00:00:00 EDT,w1,0,2015-10-07 00:00:00,Contract,Contract,9167,9167,79032,10734,52930,32000,32000,24494,24494,6059706,6059707,2015-10-05 22:00:16,2015-10-05 22:00:16,Mansfield,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9167,0,101667,18334,0,111834,False,True,58910,True,58910,False,18234,0,52924,-1,-1,-1,-1,0.0,0,101667.0,14524.0,450244.0,-1,0,0
2015-10-06,2015-10-06 00:00:00,BP,Channel: 50 - Commercial,CINCINNATI OH - BP (PLANT 3957),DIESEL,9167,101667,1,2,0,7500,7500,73910,1,w1,7500,0,58912,18334,111834,Available,Available,200%,200,110%,110,-1,-1,10/07 00:00:00 EDT,w1,0,2015-10-07 00:00:00,Contract,Contract,11290,11290,79032,10834,45430,32000,32000,24494,24494,6116342,6116343,2015-10-06 22:00:13,2015-10-06 22:00:13,Mansfield,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9167,0,101667,18334,0,111834,False,True,58912,True,58912,False,18332,0,52922,-1,-1,-1,-1,0.0,0,101667.0,14524.0,450244.0,-1,0,0
2015-10-07,2015-10-07 00:00:00,BP,Channel: 50 - Commercial,CINCINNATI OH - BP (PLANT 3957),DIESEL,11290,79032,1,2,0,7498,7498,7498,1,w2,7498,0,2,22580,86935,Available,Available,200%,200,110%,110,-1,-1,10/08 00:00:00 EDT,w2,0,2015-10-14 00:00:00,Contract,Contract,11290,11290,79032,15082,79437,0,0,0,0,6166423,6166424,2015-10-07 22:00:13,2015-10-07 22:00:13,Mansfield,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11290,0,79032,22580,0,86935,True,True,2,False,58914,False,22578,0,86933,-1,-1,-1,-1,0.0,0,79032.0,11290.0,349990.0,-1,0,0
2015-10-08,2015-10-08 00:00:00,BP,Channel: 50 - Commercial,CINCINNATI OH - BP (PLANT 3957),DIESEL,11290,79032,1,7496,0,7496,7496,14994,1,w2,7496,0,7498,22580,86935,Available,Available,200%,200,110%,110,-1,-1,10/09 00:00:00 EDT,w2,0,2015-10-14 00:00:00,Contract,Contract,11290,11290,79032,15084,71941,0,0,0,0,6219502,6219503,2015-10-08 22:00:15,2015-10-08 22:00:15,Mansfield,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11290,0,79032,22580,0,86935,True,True,7498,False,66410,False,15084,0,79437,-1,-1,-1,-1,0.0,0,79032.0,11290.0,349990.0,-1,0,0
2015-10-09,2015-10-09 00:00:00,BP,Channel: 50 - Commercial,CINCINNATI OH - BP (PLANT 3957),DIESEL,11290,79032,1,0,0,0,0,14994,1,w2,0,0,7498,22580,86935,Available,Available,200%,200,110%,110,-1,-1,10/10 00:00:00 EDT,w2,0,2015-10-14 00:00:00,Contract,Contract,11290,11290,79032,22580,71941,0,0,0,0,6271049,6271050,2015-10-09 22:00:12,2015-10-09 22:00:12,Mansfield,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11290,0,79032,22580,0,86935,True,True,7498,False,66410,False,22580,0,79437,-1,-1,-1,-1,0.0,0,79032.0,11290.0,349990.0,-1,0,0
2015-10-10,2015-10-10 00:00:00,BP,Channel: 50 - Commercial,CINCINNATI OH - BP (PLANT 3957),DIESEL,11290,79032,3,7496,0,0,0,14994,1,w2,0,0,7498,22580,86935,Available,Available,200%,200,110%,110,-1,-1,10/11 00:00:00 EDT,w2,0,2015-10-14 00:00:00,Contract,Contract,11290,11290,79032,22580,71941,0,0,0,0,6318775,6318776,2015-10-10 22:00:11,2015-10-10 22:00:11,Mansfield,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11290,0,79032,22580,0,86935,True,False,14994,False,73906,False,15084,0,79437,-1,-1,-1,-1,0.0,0,79032.0,11290.0,349990.0,-1,0,0
2015-10-11,2015-10-11 00:00:00,BP,Channel: 50 - Commercial,CINCINNATI OH - BP (PLANT 3957),DIESEL,11290,79032,0,0,0,0,0,14994,0,w2,0,0,14994,22580,86935,Available,Available,200%,200,110%,110,-1,-1,10/12 00:00:00 EDT,w2,0,2015-10-14 00:00:00,Contract,Contract,11290,11290,79032,22580,71941,0,0,0,0,6366232,6366233,2015-10-11 22:00:14,2015-10-11 22:00:14,Mansfield,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11290,0,79032,22580,0,86935,True,True,14994,False,73906,False,22580,0,71941,-1,-1,-1,-1,0.0,0,79032.0,11290.0,349990.0,-1,0,0
2015-10-12,2015-10-12 00:00:00,BP,Channel: 50 - Commercial,CINCINNATI OH - BP (PLANT 3957),DIESEL,11290,79032,3,30012,0,22512,22512,37506,1,w2,22512,0,30006,22580,86935,Available,Available,200%,200,110%,110,-1,-1,10/13 00:00:00 EDT,w2,0,2015-10-14 00:00:00,Contract,Contract,11290,11290,79032,68,49429,0,0,0,0,6420780,6420781,2015-10-12 22:00:14,2015-10-12 22:00:14,Mansfield,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11290,0,79032,22580,0,86935,True,False,45006,False,103918,False,-7432,0,56929,-1,-1,-1,-1,267.0,0,79032.0,11290.0,349990.0,-1,0,0
2015-10-13,2015-10-13 00:00:00,BP,Channel: 50 - Commercial,CINCINNATI OH - BP (PLANT 3957),DIESEL,11290,79032,0,7500,0,7500,7500,45006,0,w2,7500,0,45006,22580,86935,Available,Available,200%,200,110%,110,-1,-1,10/14 00:00:00 EDT,w2,0,2015-10-14 00:00:00,Contract,Contract,11290,11290,79032,15080,41929,0,0,0,0,6475011,6475012,2015-10-13 22:00:14,2015-10-13 22:00:14,Mansfield,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11290,0,79032,22580,0,86935,True,False,52506,False,111418,False,15080,0,41929,-1,-1,-1,-1,0.0,0,79032.0,11290.0,349990.0,-1,0,0
