,date,supplier_name,account_type,supplier_terminal_name,product_name,base_gallons_Daily,base_gallons_Weekly,lifted_gallons_daily_flag,lifted_gallons_daily_modified,Modified_WeeksByLiftedGallons,lifted_gallons_modified_WeeksByLiftedGallons,lifted_gallons_Daily,Lifted_actual_weekly,lifted_gallons_weekly_flag,WeeksByLiftedGallons,lifted_gallonsWeekly_modified_aposteriori,Modified_LiftedGallonsaposteriori,lifted_gallons_Weekly,beginning_gallons_Daily,beginning_gallons_Weekly,en_allocation_status_Daily,en_allocation_status_Weekly,percentage_allocation_Daily_actual,percentage_allocation_Daily,percentage_allocation_Weekly_actual,percentage_allocation_Weekly,alerts_ratability_Daily,alerts_ratability_Weekly,next_refresh_date_Daily,Week_switch,Modified_NRD,next_refresh_date_Weekly,en_account_type_Daily,en_account_type_Weekly,NRB_Daily,next_refresh_base_gallons_Daily,next_refresh_base_gallons_Weekly,remaining_gallons_Daily,remaining_gallons_Weekly,additional_gallons_allowed_Daily,additional_gallons_allowed_Weekly,additional_gallons_remaining_Daily,additional_gallons_remaining_Weekly,staging_id_Daily,staging_id_Weekly,execution_date_Daily,execution_date_Weekly,customer_name_Daily,customer_name_Weekly,base_gallons_Monthly,Lifted_actual_monthly,lifted_gallons_monthly_flag,lifted_gallons_Monthly,beginning_gallons_Monthly,en_allocation_status_Monthly,percentage_allocation_Monthly_actual,percentage_allocation_Monthly,alerts_ratability_Monthly,next_refresh_date_Monthly,NRB_Monthly,next_refresh_base_gallons_Monthly,remaining_gallons_Monthly,additional_gallons_allowed_Monthly,additional_gallons_remaining_Monthly,execution_date_Monthly,base_gallons_Daily_Reconciled,base_gallons_Monthly_Reconciled,base_gallons_Weekly_Reconciled,beginning_gallons_Daily_Reconciled,beginning_gallons_Monthly_Reconciled,beginning_gallons_Weekly_Reconciled,sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,computedWeekly,sanityComputedWeekly,computedMonthly,sanityComputedMonthly,remaining_gallons_Daily_Reconciled,remaining_gallons_Monthly_Reconciled,remaining_gallons_Weekly_Reconciled,additional_gallons_remaining_Daily_Reconciled,additional_gallons_remaining_Monthly_Reconciled,additional_gallons_remaining_Weekly_Reconciled,Ratability_Monthly,Ratability_Daily,Ratability_Weekly,Synthetic_Base_Weekly,Synthetic_Base_Daily,Synthetic_Base_Monthly,Ratability_Monthly_computed,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
2015-10-01,2015-10-01 00:00:00,BP,Channel: 50 - Commercial,DORAVILLE GA - BP (PLANT 0435),DIESEL,23333,163333,3,30010,3,7501,7501,22509,1,w1,7501,0,0,46666,179666,Available,Available,200%,200,110%,110,-1,-1,10/02 00:00:00 EDT,w1,0,2015-10-07 00:00:00,Contract,Contract,23333,23333,158065,39165,157157,0,0,0,0,5859544,5859545,2015-10-01 22:00:14,2015-10-01 22:00:14,Mansfield,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23333,0,163333,46666,0,179666,False,False,30010,False,30010,False,16656,0,179666,-1,-1,-1,-1,133.0,0,163333.0,23333.0,723323.0,-1,0,0
2015-10-02,2015-10-02 00:00:00,BP,Channel: 50 - Commercial,DORAVILLE GA - BP (PLANT 0435),DIESEL,23333,163333,0,14705,3,14705,14705,37214,0,w1,14705,0,37214,46666,179666,Available,Available,200%,200,110%,110,-1,-1,10/03 00:00:00 EDT,w1,0,2015-10-07 00:00:00,Contract,Contract,23333,23333,158065,31961,142452,0,0,0,0,5912147,5912148,2015-10-02 22:00:11,2015-10-02 22:00:11,Mansfield,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23333,0,163333,46666,0,179666,False,False,44715,False,44715,False,31961,0,142452,-1,-1,-1,-1,0.0,0,163333.0,23333.0,723323.0,-1,0,0
2015-10-03,2015-10-03 00:00:00,BP,Channel: 50 - Commercial,DORAVILLE GA - BP (PLANT 0435),DIESEL,23333,163333,3,29996,3,29996,29996,67210,1,w1,29996,0,67210,46666,179666,Available,Available,200%,200,110%,110,-1,-1,10/04 00:00:00 EDT,w1,0,2015-10-07 00:00:00,Contract,Contract,23333,23333,158065,16670,112456,0,0,0,0,5959386,5959387,2015-10-03 22:00:12,2015-10-03 22:00:12,Mansfield,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23333,0,163333,46666,0,179666,False,False,74711,False,74711,False,16670,0,112456,-1,-1,-1,-1,133.0,0,163333.0,23333.0,723323.0,-1,0,0
2015-10-04,2015-10-04 00:00:00,BP,Channel: 50 - Commercial,DORAVILLE GA - BP (PLANT 0435),DIESEL,23333,163333,0,0,3,0,0,67210,0,w1,0,0,67210,46666,179666,Available,Available,200%,200,110%,110,-1,-1,10/05 00:00:00 EDT,w1,0,2015-10-07 00:00:00,Contract,Contract,23333,23333,158065,46666,112456,0,0,0,0,6005857,6005858,2015-10-04 22:00:12,2015-10-04 22:00:12,Mansfield,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23333,0,163333,46666,0,179666,False,False,74711,False,74711,False,46666,0,112456,-1,-1,-1,-1,0.0,0,163333.0,23333.0,723323.0,-1,0,0
2015-10-05,2015-10-05 00:00:00,BP,Channel: 50 - Commercial,DORAVILLE GA - BP (PLANT 0435),DIESEL,23333,163333,1,6500,3,29012,29012,96222,1,w1,29012,0,73710,46666,179666,Available,Available,200%,200,110%,110,-1,-1,10/06 00:00:00 EDT,w1,0,2015-10-07 00:00:00,Contract,Contract,23333,23333,158065,17654,83444,0,0,0,0,6059718,6059719,2015-10-05 22:00:16,2015-10-05 22:00:16,Mansfield,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23333,0,163333,46666,0,179666,False,False,81211,False,81211,False,40166,0,105956,-1,-1,-1,-1,0.0,0,163333.0,23333.0,723323.0,-1,0,0
2015-10-06,2015-10-06 00:00:00,BP,Channel: 50 - Commercial,DORAVILLE GA - BP (PLANT 0435),DIESEL,23333,163333,1,7514,0,22512,22512,118734,1,w1,22512,0,81224,46666,179666,Available,Available,200%,200,110%,110,-1,-1,10/07 00:00:00 EDT,w1,0,2015-10-07 00:00:00,Contract,Contract,22581,22581,158065,24154,60932,0,0,0,0,6116354,6116355,2015-10-06 22:00:13,2015-10-06 22:00:13,Mansfield,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23333,0,163333,46666,0,179666,False,False,88725,False,88725,False,39152,0,98442,-1,-1,-1,-1,0.0,0,163333.0,23333.0,723323.0,-1,0,0
2015-10-07,2015-10-07 00:00:00,BP,Channel: 50 - Commercial,DORAVILLE GA - BP (PLANT 0435),DIESEL,22581,158065,3,14998,0,14998,14998,14998,0,w2,14998,0,14998,45162,173872,Available,Available,200%,200,110%,110,-1,-1,10/08 00:00:00 EDT,w2,0,2015-10-14 00:00:00,Contract,Contract,22581,22581,158065,30164,158874,0,0,0,0,6166435,6166436,2015-10-07 22:00:13,2015-10-07 22:00:13,Mansfield,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22581,0,158065,45162,0,173872,True,True,14998,False,103723,False,30164,0,158874,-1,-1,-1,-1,0.0,0,158065.0,22581.0,700011.0,-1,0,0
2015-10-08,2015-10-08 00:00:00,BP,Channel: 50 - Commercial,DORAVILLE GA - BP (PLANT 0435),DIESEL,22581,158065,3,16352,0,16352,16352,31350,0,w2,16352,0,31350,45162,173872,Available,Available,200%,200,110%,110,-1,-1,10/09 00:00:00 EDT,w2,0,2015-10-14 00:00:00,Contract,Contract,22581,22581,158065,28810,142522,0,0,0,0,6219514,6219515,2015-10-08 22:00:15,2015-10-08 22:00:15,Mansfield,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22581,0,158065,45162,0,173872,True,True,31350,False,120075,False,28810,0,142522,-1,-1,-1,-1,0.0,0,158065.0,22581.0,700011.0,-1,0,0
2015-10-09,2015-10-09 00:00:00,BP,Channel: 50 - Commercial,DORAVILLE GA - BP (PLANT 0435),DIESEL,22581,158065,0,21900,0,21900,21900,53250,0,w2,21900,0,53250,45162,173872,Available,Available,200%,200,110%,110,-1,-1,10/10 00:00:00 EDT,w2,0,2015-10-14 00:00:00,Contract,Contract,22581,22581,158065,23262,120622,0,0,0,0,6271061,6271062,2015-10-09 22:00:12,2015-10-09 22:00:12,Mansfield,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22581,0,158065,45162,0,173872,True,True,53250,False,141975,False,23262,0,120622,-1,-1,-1,-1,0.0,0,158065.0,22581.0,700011.0,-1,0,0
2015-10-10,2015-10-10 00:00:00,BP,Channel: 50 - Commercial,DORAVILLE GA - BP (PLANT 0435),DIESEL,22581,158065,3,29503,0,22003,22003,75253,1,w2,22003,0,67753,45162,173872,Available,Available,200%,200,110%,110,-1,-1,10/11 00:00:00 EDT,w2,0,2015-10-14 00:00:00,Contract,Contract,22581,22581,158065,23159,98619,0,0,0,0,6318787,6318788,2015-10-10 22:00:11,2015-10-10 22:00:11,Mansfield,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22581,0,158065,45162,0,173872,True,False,82753,False,171478,False,15659,0,106119,-1,-1,-1,-1,133.0,0,158065.0,22581.0,700011.0,-1,0,0
