,date,supplier_name,account_type,supplier_terminal_name,product_name,base_gallons_Daily,base_gallons_Weekly,lifted_gallons_daily_flag,lifted_gallons_daily_modified,Modified_WeeksByLiftedGallons,lifted_gallons_modified_WeeksByLiftedGallons,lifted_gallons_Daily,Lifted_actual_weekly,lifted_gallons_weekly_flag,WeeksByLiftedGallons,lifted_gallonsWeekly_modified_aposteriori,Modified_LiftedGallonsaposteriori,lifted_gallons_Weekly,beginning_gallons_Daily,beginning_gallons_Weekly,en_allocation_status_Daily,en_allocation_status_Weekly,percentage_allocation_Daily_actual,percentage_allocation_Daily,percentage_allocation_Weekly_actual,percentage_allocation_Weekly,alerts_ratability_Daily,alerts_ratability_Weekly,next_refresh_date_Daily,Week_switch,Modified_NRD,next_refresh_date_Weekly,en_account_type_Daily,en_account_type_Weekly,NRB_Daily,next_refresh_base_gallons_Daily,next_refresh_base_gallons_Weekly,remaining_gallons_Daily,remaining_gallons_Weekly,additional_gallons_allowed_Daily,additional_gallons_allowed_Weekly,additional_gallons_remaining_Daily,additional_gallons_remaining_Weekly,staging_id_Daily,staging_id_Weekly,execution_date_Daily,execution_date_Weekly,customer_name_Daily,customer_name_Weekly,base_gallons_Monthly,Lifted_actual_monthly,lifted_gallons_monthly_flag,lifted_gallons_Monthly,beginning_gallons_Monthly,en_allocation_status_Monthly,percentage_allocation_Monthly_actual,percentage_allocation_Monthly,alerts_ratability_Monthly,next_refresh_date_Monthly,NRB_Monthly,next_refresh_base_gallons_Monthly,remaining_gallons_Monthly,additional_gallons_allowed_Monthly,additional_gallons_remaining_Monthly,execution_date_Monthly,base_gallons_Daily_Reconciled,base_gallons_Monthly_Reconciled,base_gallons_Weekly_Reconciled,beginning_gallons_Daily_Reconciled,beginning_gallons_Monthly_Reconciled,beginning_gallons_Weekly_Reconciled,sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,computedWeekly,sanityComputedWeekly,computedMonthly,sanityComputedMonthly,remaining_gallons_Daily_Reconciled,remaining_gallons_Monthly_Reconciled,remaining_gallons_Weekly_Reconciled,additional_gallons_remaining_Daily_Reconciled,additional_gallons_remaining_Monthly_Reconciled,additional_gallons_remaining_Weekly_Reconciled,Ratability_Monthly,Ratability_Daily,Ratability_Weekly,Synthetic_Base_Weekly,Synthetic_Base_Daily,Synthetic_Base_Monthly,Ratability_Monthly_computed,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
2015-09-01,2015-09-01 00:00:00,BP,Channel: 50 - Commercial,INDIANAPOLIS IN - BP (PLANT 0452),DIESEL,6452,45161,1,5700,0,11701,11701,50409,1,w1,11701,0,5700,12904,49677,Available,Available,200%,200,110%,110,-1,-1,09/02 00:00:00 EDT,w1,0,2015-09-02 00:00:00,Contract,Contract,6667,6667,46667,1203,6773,32000,32000,24495,24495,4251117,4251118,2015-09-01 19:00:15,2015-09-01 19:00:15,Mansfield,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6452,0,45161,12904,0,49677,True,False,5700,True,5700,False,7204,0,43977,-1,-1,-1,-1,0.0,0,45161.0,6452.0,193560.0,-1,0,0
2015-09-02,2015-09-02 00:00:00,BP,Channel: 50 - Commercial,INDIANAPOLIS IN - BP (PLANT 0452),DIESEL,6667,46667,0,6001,0,6001,6001,6001,0,w2,6001,0,6001,13334,51334,Available,Available,200%,200,110%,110,-1,-1,09/03 00:00:00 EDT,w2,0,2015-09-09 00:00:00,Contract,Contract,6667,6667,46667,7333,45333,0,0,0,0,4313088,4313089,2015-09-02 19:00:17,2015-09-02 19:00:17,Mansfield,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6667,0,46667,13334,0,51334,True,True,6001,True,11701,False,7333,0,45333,-1,-1,-1,-1,0.0,0,46667.0,6667.0,200010.0,-1,0,0
2015-09-03,2015-09-03 00:00:00,BP,Channel: 50 - Commercial,INDIANAPOLIS IN - BP (PLANT 0452),DIESEL,6667,46667,1,1116,0,12115,12115,18116,1,w2,12115,0,7117,13334,51334,Available,Available,200%,200,110%,110,-1,-1,09/04 00:00:00 EDT,w2,0,2015-09-09 00:00:00,Contract,Contract,6667,6667,46667,1219,33218,0,0,0,0,4372304,4372305,2015-09-03 22:00:13,2015-09-03 22:00:13,Mansfield,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6667,0,46667,13334,0,51334,True,True,7117,True,12817,False,12218,0,44217,-1,-1,-1,-1,0.0,0,46667.0,6667.0,200010.0,-1,0,0
2015-09-04,2015-09-04 00:00:00,BP,Channel: 50 - Commercial,INDIANAPOLIS IN - BP (PLANT 0452),DIESEL,6667,46667,1,3499,0,10999,10999,29115,1,w2,10999,0,10616,13334,51334,Available,Available,200%,200,110%,110,-1,-1,09/05 00:00:00 EDT,w2,0,2015-09-09 00:00:00,Contract,Contract,6667,6667,46667,2335,22219,0,0,0,0,4432416,4432417,2015-09-04 22:00:11,2015-09-04 22:00:11,Mansfield,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6667,0,46667,13334,0,51334,True,True,10616,True,16316,False,9835,0,40718,-1,-1,-1,-1,0.0,0,46667.0,6667.0,200010.0,-1,0,0
2015-09-05,2015-09-05 00:00:00,BP,Channel: 50 - Commercial,INDIANAPOLIS IN - BP (PLANT 0452),DIESEL,6667,46667,1,7500,0,7500,7500,36615,1,w2,7500,0,18116,13334,51334,Available,Available,200%,200,110%,110,-1,-1,09/06 00:00:00 EDT,w2,0,2015-09-09 00:00:00,Contract,Contract,6667,6667,46667,5834,14719,0,0,0,0,4485441,4485442,2015-09-05 22:00:14,2015-09-05 22:00:14,Mansfield,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6667,0,46667,13334,0,51334,True,True,18116,True,23816,False,5834,0,33218,-1,-1,-1,-1,133.0,0,46667.0,6667.0,200010.0,-1,0,0
2015-09-06,2015-09-06 00:00:00,BP,Channel: 50 - Commercial,INDIANAPOLIS IN - BP (PLANT 0452),DIESEL,6667,46667,1,0,0,0,0,36615,1,w2,0,0,18116,13334,51334,Available,Available,200%,200,110%,110,-1,-1,09/07 00:00:00 EDT,w2,0,2015-09-09 00:00:00,Contract,Contract,6667,6667,46667,13334,14719,0,0,0,0,4537823,4537824,2015-09-06 22:00:12,2015-09-06 22:00:12,Mansfield,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6667,0,46667,13334,0,51334,True,True,18116,True,23816,False,13334,0,33218,-1,-1,-1,-1,0.0,0,46667.0,6667.0,200010.0,-1,0,0
2015-09-07,2015-09-07 00:00:00,BP,Channel: 50 - Commercial,INDIANAPOLIS IN - BP (PLANT 0452),DIESEL,6667,46667,3,18499,0,0,0,36615,1,w2,0,0,18116,13334,51334,Available,Available,200%,200,110%,110,-1,-1,09/08 00:00:00 EDT,w2,0,2015-09-09 00:00:00,Contract,Contract,6667,6667,46667,13334,14719,0,0,0,0,4590911,4590912,2015-09-07 22:00:12,2015-09-07 22:00:12,Mansfield,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6667,0,46667,13334,0,51334,True,False,36615,True,42315,False,-5165,0,33218,-1,-1,-1,-1,267.0,0,46667.0,6667.0,200010.0,-1,0,0
2015-09-08,2015-09-08 00:00:00,BP,Channel: 50 - Commercial,INDIANAPOLIS IN - BP (PLANT 0452),DIESEL,6667,46667,0,0,0,0,0,36615,0,w2,0,0,36615,13334,51334,Available,Available,200%,200,110%,110,-1,-1,09/09 00:00:00 EDT,w2,0,2015-09-09 00:00:00,Contract,Contract,6667,6667,46667,13334,14719,0,0,0,0,4653458,4653459,2015-09-08 22:00:15,2015-09-08 22:00:15,Mansfield,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6667,0,46667,13334,0,51334,True,True,36615,True,42315,False,13334,0,14719,-1,-1,-1,-1,0.0,0,46667.0,6667.0,200010.0,-1,0,0
2015-09-09,2015-09-09 00:00:00,BP,Channel: 50 - Commercial,INDIANAPOLIS IN - BP (PLANT 0452),DIESEL,6667,46667,3,28640,0,20982,20982,20982,1,w3,20982,0,13324,13334,51334,Available,Available,200%,200,110%,110,-1,-1,09/10 00:00:00 EDT,w3,0,2015-09-16 00:00:00,Contract,Contract,6667,6667,46667,-143,37857,32000,32000,24495,24495,4713250,4713251,2015-09-09 22:00:13,2015-09-09 22:00:13,Mansfield,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6667,0,46667,13334,0,51334,True,False,28640,False,70955,False,-15306,0,38010,32000,-1,-1,-1,533.0,0,46667.0,6667.0,200010.0,-1,0,0
2015-09-10,2015-09-10 00:00:00,BP,Channel: 50 - Commercial,INDIANAPOLIS IN - BP (PLANT 0452),DIESEL,6667,46667,0,7658,0,7658,7658,28640,0,w3,7658,0,28640,13334,51334,Available,Available,200%,200,110%,110,-1,-1,09/11 00:00:00 EDT,w3,0,2015-09-16 00:00:00,Contract,Contract,6667,6667,46667,5676,30199,32000,32000,24495,24495,4768190,4768191,2015-09-10 22:00:16,2015-09-10 22:00:16,Mansfield,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6667,0,46667,13334,0,51334,True,False,36298,False,78613,False,5676,0,22694,-1,-1,-1,-1,133.0,0,46667.0,6667.0,200010.0,-1,0,0
