,date,supplier_name,account_type,supplier_terminal_name,product_name,base_gallons_Daily,base_gallons_Monthly,base_gallons_Weekly,lifted_gallons_daily_flag,lifted_gallons_daily_modified,Modified_WeeksByLiftedGallons,lifted_gallons_modified_WeeksByLiftedGallons,lifted_gallons_Daily,Lifted_actual_monthly,lifted_gallons_monthly_flag,lifted_gallons_Monthly,Lifted_actual_weekly,lifted_gallons_weekly_flag,WeeksByLiftedGallons,lifted_gallonsWeekly_modified_aposteriori,Modified_LiftedGallonsaposteriori,lifted_gallons_Weekly,beginning_gallons_Daily,beginning_gallons_Monthly,beginning_gallons_Weekly,en_allocation_status_Daily,en_allocation_status_Monthly,en_allocation_status_Weekly,percentage_allocation_Daily_actual,percentage_allocation_Daily,percentage_allocation_Monthly_actual,percentage_allocation_Monthly,percentage_allocation_Weekly_actual,percentage_allocation_Weekly,alerts_ratability_Daily,alerts_ratability_Monthly,alerts_ratability_Weekly,next_refresh_date_Daily,next_refresh_date_Monthly,Week_switch,Modified_NRD,next_refresh_date_Weekly,en_account_type_Daily,en_account_type_Monthly,en_account_type_Weekly,NRB_Daily,next_refresh_base_gallons_Daily,NRB_Monthly,next_refresh_base_gallons_Monthly,next_refresh_base_gallons_Weekly,remaining_gallons_Daily,remaining_gallons_Monthly,remaining_gallons_Weekly,additional_gallons_allowed_Daily,additional_gallons_allowed_Monthly,additional_gallons_allowed_Weekly,additional_gallons_remaining_Daily,additional_gallons_remaining_Monthly,additional_gallons_remaining_Weekly,staging_id_Daily,staging_id_Monthly,staging_id_Weekly,execution_date_Daily,execution_date_Monthly,execution_date_Weekly,customer_name_Daily,customer_name_Monthly,customer_name_Weekly,base_gallons_Daily_Reconciled,base_gallons_Monthly_Reconciled,base_gallons_Weekly_Reconciled,beginning_gallons_Daily_Reconciled,beginning_gallons_Monthly_Reconciled,beginning_gallons_Weekly_Reconciled,sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,computedWeekly,sanityComputedWeekly,computedMonthly,sanityComputedMonthly,remaining_gallons_Daily_Reconciled,remaining_gallons_Monthly_Reconciled,remaining_gallons_Weekly_Reconciled,additional_gallons_remaining_Daily_Reconciled,additional_gallons_remaining_Monthly_Reconciled,additional_gallons_remaining_Weekly_Reconciled,Ratability_Monthly,Ratability_Daily,Ratability_Weekly,Synthetic_Base_Weekly,Synthetic_Base_Daily,Synthetic_Base_Monthly,Ratability_Monthly_computed,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
2015-12-01,2015-12-01 00:00:00,Chevron,MANSFIELD OIL COMPANY : CHV5246494,1043 MONTEBELLO CA TRM CHEVRON,DIESEL #2,32668,1012696,228673,1,37701,0,37701,37701,37701,0,37701,187351,1,w1,37701,0,37701,32668,1012696,228673,Out,Available,Low,100%,100,100%,100,100%,100,Above Trend,Above Trend,Above Trend,12/02 00:00:00 PST,01/01 00:00:00 PST,w2,0,2015-12-02 00:00:00,Contract,Contract,Contract,32668,32668,1012696,1012696,228673,-5033,974995,41322,0,0,0,0,0,0,9241490,9241492,9241491,2015-12-01 22:16:11,2015-12-01 22:16:11,2015-12-01 22:16:11,Mansfield,Mansfield,Mansfield,32668,1012696,228673,32668,1012696,228673,True,False,37701,True,0,0,-5033,974995,190972,-1,-1,-1,115.0,133.0,0,228673.0,32668.0,1012708.0,-1,1,1
2015-12-02,2015-12-02 00:00:00,Chevron,MANSFIELD OIL COMPANY : CHV5246494,1043 MONTEBELLO CA TRM CHEVRON,DIESEL #2,32668,1012696,228673,1,35996,0,35996,35996,73697,0,73697,35996,1,w2,35996,0,35996,32668,1012696,228673,Out,Available,Available,100%,100,100%,100,100%,100,Above Trend,Above Trend,Above Trend,12/03 00:00:00 PST,01/01 00:00:00 PST,w3,0,2015-12-09 00:00:00,Contract,Contract,Contract,32668,32668,1012696,1012696,228673,-3328,938999,192677,0,0,0,0,0,0,9293447,9293449,9293448,2015-12-02 22:17:01,2015-12-02 22:17:01,2015-12-02 22:17:01,Mansfield,Mansfield,Mansfield,32668,1012696,228673,32668,1012696,228673,True,True,0,0,0,0,-3328,938999,192677,-1,-1,-1,113.0,133.0,0,228673.0,32668.0,1012708.0,-1,1,1
2015-12-03,2015-12-03 00:00:00,Chevron,MANSFIELD OIL COMPANY : CHV5246494,1043 MONTEBELLO CA TRM CHEVRON,DIESEL #2,32668,1012696,228673,1,36665,0,36665,36665,110362,0,110362,72661,1,w2,36665,0,72661,32668,1012696,228673,Out,Available,Available,100%,100,100%,100,100%,100,Above Trend,Above Trend,Above Trend,12/04 00:00:00 PST,01/01 00:00:00 PST,w3,0,2015-12-09 00:00:00,Contract,Contract,Contract,32668,32668,1012696,1012696,228673,-3997,902334,156012,0,0,0,0,0,0,9346718,9346720,9346719,2015-12-03 22:17:00,2015-12-03 22:17:00,2015-12-03 22:17:00,Mansfield,Mansfield,Mansfield,32668,1012696,228673,32668,1012696,228673,True,True,0,0,0,0,-3997,902334,156012,-1,-1,-1,113.0,133.0,0,228673.0,32668.0,1012708.0,-1,1,1
2015-12-04,2015-12-04 00:00:00,Chevron,MANSFIELD OIL COMPANY : CHV5246494,1043 MONTEBELLO CA TRM CHEVRON,DIESEL #2,32668,1012696,228673,1,35633,0,35633,35633,145995,0,145995,108294,1,w2,35633,0,108294,32668,1012696,228673,Out,Available,Available,100%,100,100%,100,100%,100,Above Trend,Above Trend,Above Trend,12/05 00:00:00 PST,01/01 00:00:00 PST,w3,0,2015-12-09 00:00:00,Contract,Contract,Contract,32668,32668,1012696,1012696,228673,-2965,866701,120379,0,0,0,0,0,0,9400244,9400246,9400245,2015-12-04 22:16:22,2015-12-04 22:16:22,2015-12-04 22:16:22,Mansfield,Mansfield,Mansfield,32668,1012696,228673,32668,1012696,228673,True,True,0,0,0,0,-2965,866701,120379,-1,-1,-1,112.0,133.0,0,228673.0,32668.0,1012708.0,-1,1,1
2015-12-05,2015-12-05 00:00:00,Chevron,MANSFIELD OIL COMPANY : CHV5246494,1043 MONTEBELLO CA TRM CHEVRON,DIESEL #2,32668,1012696,228673,1,23236,0,23236,23236,169231,0,169231,131530,1,w2,23236,0,131530,32668,1012696,228673,Limited,Available,Available,100%,100,100%,100,100%,100,Above Trend,Above Trend,Above Trend,12/06 00:00:00 PST,01/01 00:00:00 PST,w3,0,2015-12-09 00:00:00,Contract,Contract,Contract,32668,32668,1012696,1012696,228673,9432,843465,97143,0,0,0,0,0,0,9452431,9452433,9452432,2015-12-05 22:17:15,2015-12-05 22:17:15,2015-12-05 22:17:15,Mansfield,Mansfield,Mansfield,32668,1012696,228673,32668,1012696,228673,True,True,0,0,0,0,9432,843465,97143,-1,-1,-1,104.0,0.0,0,228673.0,32668.0,1012708.0,-1,1,1
2015-12-06,2015-12-06 00:00:00,Chevron,MANSFIELD OIL COMPANY : CHV5246494,1043 MONTEBELLO CA TRM CHEVRON,DIESEL #2,32668,1012696,228673,3,23325,0,23325,23325,192556,0,192556,154855,1,w2,23325,0,154855,32668,1012696,228673,Limited,Available,Available,100%,100,100%,100,100%,100,Above Trend,Above Trend,Above Trend,12/07 00:00:00 PST,01/01 00:00:00 PST,w3,0,2015-12-09 00:00:00,Contract,Contract,Contract,32668,32668,1012696,1012696,228673,9343,820140,73818,0,0,0,0,0,0,9489804,9489806,9489805,2015-12-06 22:16:24,2015-12-06 22:16:24,2015-12-06 22:16:24,Mansfield,Mansfield,Mansfield,32668,1012696,228673,32668,1012696,228673,True,True,0,0,0,0,9343,820140,73818,-1,-1,-1,98.0,0.0,0,228673.0,32668.0,1012708.0,-1,1,1
2015-12-07,2015-12-07 00:00:00,Chevron,MANSFIELD OIL COMPANY : CHV5246494,1043 MONTEBELLO CA TRM CHEVRON,DIESEL #2,32668,1012696,228673,0,23007,0,23007,23007,215563,0,215563,177862,0,w2,23007,0,177862,32668,1012696,228673,Limited,Available,Limited,100%,100,100%,100,100%,100,Above Trend,Above Trend,Above Trend,12/08 00:00:00 PST,01/01 00:00:00 PST,w3,0,2015-12-09 00:00:00,Contract,Contract,Contract,32668,32668,1012696,1012696,228673,9661,797133,50811,0,0,0,0,0,0,9503116,9503118,9503117,2015-12-07 09:18:51,2015-12-07 09:18:51,2015-12-07 09:18:51,Mansfield,Mansfield,Mansfield,32668,1012696,228673,32668,1012696,228673,True,True,0,0,0,0,9661,797133,50811,-1,-1,-1,94.0,0.0,0,228673.0,32668.0,1012708.0,-1,1,1
2015-12-08,2015-12-08 00:00:00,Chevron,MANSFIELD OIL COMPANY : CHV5246494,1043 MONTEBELLO CA TRM CHEVRON,DIESEL #2,-1,-1,-1,0,-1,0,-1,-1,-1,0,-1,-1,0,w3,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,100,-1,100,-1,100,-1,-1,-1,-1,-1,w3,1,2015-12-09 00:00:00,-1,-1,-1,32668,-1,1297222,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2015-12-08 00:00:00,2015-12-08 00:00:00,2015-12-08 00:00:00,-1,-1,-1,32668,1012696,228673,32668,1012696,228673,True,False,0,0,0,0,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,228673.0,32668.0,1012708.0,-1,0,0
2015-12-09,2015-12-09 00:00:00,Chevron,MANSFIELD OIL COMPANY : CHV5246494,1043 MONTEBELLO CA TRM CHEVRON,DIESEL #2,-1,-1,-1,0,-1,0,-1,-1,-1,0,-1,-1,0,w3,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,100,-1,100,-1,100,-1,-1,-1,-1,-1,w4,1,2015-12-16 00:00:00,-1,-1,-1,32668,-1,1297222,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2015-12-09 00:00:00,2015-12-09 00:00:00,2015-12-09 00:00:00,-1,-1,-1,-1,-1,-1,-1,-1,-1,False,True,0,0,0,0,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,0,0
2015-12-10,2015-12-10 00:00:00,Chevron,MANSFIELD OIL COMPANY : CHV5246494,1043 MONTEBELLO CA TRM CHEVRON,DIESEL #2,-1,-1,-1,0,-1,0,-1,-1,-1,0,-1,-1,0,w3,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,100,-1,100,-1,100,-1,-1,-1,-1,-1,w4,1,2015-12-16 00:00:00,-1,-1,-1,32668,-1,1297222,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2015-12-10 00:00:00,2015-12-10 00:00:00,2015-12-10 00:00:00,-1,-1,-1,-1,-1,-1,-1,-1,-1,False,False,0,0,0,0,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,0,0
