,date,supplier_name,account_type,supplier_terminal_name,product_name,base_gallons_Daily,base_gallons_Monthly,base_gallons_Weekly,lifted_gallons_daily_flag,lifted_gallons_daily_modified,Modified_WeeksByLiftedGallons,lifted_gallons_modified_WeeksByLiftedGallons,lifted_gallons_Daily,Lifted_actual_monthly,lifted_gallons_monthly_flag,lifted_gallons_Monthly,Lifted_actual_weekly,lifted_gallons_weekly_flag,WeeksByLiftedGallons,lifted_gallonsWeekly_modified_aposteriori,Modified_LiftedGallonsaposteriori,lifted_gallons_Weekly,beginning_gallons_Daily,beginning_gallons_Monthly,beginning_gallons_Weekly,en_allocation_status_Daily,en_allocation_status_Monthly,en_allocation_status_Weekly,percentage_allocation_Daily_actual,percentage_allocation_Daily,percentage_allocation_Monthly_actual,percentage_allocation_Monthly,percentage_allocation_Weekly_actual,percentage_allocation_Weekly,alerts_ratability_Daily,alerts_ratability_Monthly,alerts_ratability_Weekly,next_refresh_date_Daily,next_refresh_date_Monthly,Week_switch,Modified_NRD,next_refresh_date_Weekly,en_account_type_Daily,en_account_type_Monthly,en_account_type_Weekly,NRB_Daily,next_refresh_base_gallons_Daily,NRB_Monthly,next_refresh_base_gallons_Monthly,next_refresh_base_gallons_Weekly,remaining_gallons_Daily,remaining_gallons_Monthly,remaining_gallons_Weekly,additional_gallons_allowed_Daily,additional_gallons_allowed_Monthly,additional_gallons_allowed_Weekly,additional_gallons_remaining_Daily,additional_gallons_remaining_Monthly,additional_gallons_remaining_Weekly,staging_id_Daily,staging_id_Monthly,staging_id_Weekly,execution_date_Daily,execution_date_Monthly,execution_date_Weekly,customer_name_Daily,customer_name_Monthly,customer_name_Weekly,base_gallons_Daily_Reconciled,base_gallons_Monthly_Reconciled,base_gallons_Weekly_Reconciled,beginning_gallons_Daily_Reconciled,beginning_gallons_Monthly_Reconciled,beginning_gallons_Weekly_Reconciled,sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,computedWeekly,sanityComputedWeekly,computedMonthly,sanityComputedMonthly,remaining_gallons_Daily_Reconciled,remaining_gallons_Monthly_Reconciled,remaining_gallons_Weekly_Reconciled,additional_gallons_remaining_Daily_Reconciled,additional_gallons_remaining_Monthly_Reconciled,additional_gallons_remaining_Weekly_Reconciled,Ratability_Monthly,Ratability_Daily,Ratability_Weekly,Synthetic_Base_Weekly,Synthetic_Base_Daily,Synthetic_Base_Monthly,Ratability_Monthly_computed,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
2016-01-01,2016-01-01 00:00:00,Chevron,MANSFIELD OIL COMPANY : CHV5246494,1042 LAS VEGAS NV TRM CALNEV,DIESEL #2,6175,191433,43227,1,0,3,0,0,0,0,0,15553,1,w1,0,0,0,12350,210576,54034,Available,Available,Available,200%,200,110%,110,125%,125,Below Trend,Below Trend,On Target,01/02 00:00:00 PST,02/01 00:00:00 PST,w1,0,2016-01-06 00:00:00,Contract,Contract,Contract,6175,6175,191433,191433,43227,12350,210576,38481,0,0,0,0,0,0,11389465,11389467,11389466,2016-01-01 22:25:50,2016-01-01 22:25:50,2016-01-01 22:25:50,Mansfield,Mansfield,Mansfield,6175,191433,43227,12350,210576,54033,False,True,0,True,0,True,12350,210576,54034,-1,-1,-1,-1.0,0.0,0,43227.0,6175.0,191425.0,-1.0,1,1
2016-01-02,2016-01-02 00:00:00,Chevron,MANSFIELD OIL COMPANY : CHV5246494,1042 LAS VEGAS NV TRM CALNEV,DIESEL #2,6175,191433,43227,1,0,3,0,0,0,0,0,15553,1,w1,0,0,0,12350,210576,54034,Available,Available,Available,200%,200,110%,110,125%,125,Below Trend,Below Trend,On Target,01/03 00:00:00 PST,02/01 00:00:00 PST,w1,0,2016-01-06 00:00:00,Contract,Contract,Contract,6175,6175,191433,191433,43227,12350,210576,38481,0,0,0,0,0,0,11441402,11441404,11441403,2016-01-02 22:22:17,2016-01-02 22:22:17,2016-01-02 22:22:17,Mansfield,Mansfield,Mansfield,6175,191433,43227,12350,210576,54034,False,True,0,True,0,True,12350,210576,54034,-1,-1,-1,-1.0,0.0,0,43227.0,6175.0,191425.0,-1.0,1,1
2016-01-03,2016-01-03 00:00:00,Chevron,MANSFIELD OIL COMPANY : CHV5246494,1042 LAS VEGAS NV TRM CALNEV,DIESEL #2,6175,191433,43227,1,0,3,0,0,0,0,0,15553,1,w1,0,0,0,12350,210576,54034,Available,Available,Available,200%,200,110%,110,125%,125,Below Trend,Below Trend,On Target,01/04 00:00:00 PST,02/01 00:00:00 PST,w1,0,2016-01-06 00:00:00,Contract,Contract,Contract,6175,6175,191433,191433,43227,12350,210576,38481,0,0,0,0,0,0,11494450,11494452,11494451,2016-01-03 22:18:05,2016-01-03 22:18:05,2016-01-03 22:18:05,Mansfield,Mansfield,Mansfield,6175,191433,43227,12350,210576,54034,False,True,0,True,0,True,12350,210576,54034,-1,-1,-1,-1.0,0.0,0,43227.0,6175.0,191425.0,-1.0,1,1
2016-01-04,2016-01-04 00:00:00,Chevron,MANSFIELD OIL COMPANY : CHV5246494,1042 LAS VEGAS NV TRM CALNEV,DIESEL #2,6175,191433,43227,1,2014,3,2014,0,0,0,0,15553,1,w1,0,0,2014,12350,210576,54034,Available,Available,Available,200%,200,110%,110,125%,125,Below Trend,Below Trend,On Target,01/05 00:00:00 PST,02/01 00:00:00 PST,w1,0,2016-01-06 00:00:00,Contract,Contract,Contract,6175,6175,191433,191433,43227,12350,210576,38481,0,0,0,0,0,0,11618830,11618832,11618831,2016-01-04 22:35:19,2016-01-04 22:35:19,2016-01-04 22:35:19,Mansfield,Mansfield,Mansfield,6175,191433,43227,12350,210576,54034,False,True,2014,True,2014,True,10336,210576,52020,-1,-1,-1,-1.0,0.0,0,43227.0,6175.0,191425.0,8.0,0,0
2016-01-05,2016-01-05 00:00:00,Chevron,MANSFIELD OIL COMPANY : CHV5246494,1042 LAS VEGAS NV TRM CALNEV,DIESEL #2,6175,191433,43227,1,0,0,0,0,2014,0,2014,17567,1,w1,0,0,2014,12350,210576,54034,Available,Available,Available,200%,200,110%,110,125%,125,Below Trend,Below Trend,On Target,01/06 00:00:00 PST,02/01 00:00:00 PST,w1,0,2016-01-06 00:00:00,Contract,Contract,Contract,6175,6175,191433,191433,43227,12350,208562,36467,0,0,0,0,0,0,11791585,11791587,11791586,2016-01-05 22:15:18,2016-01-05 22:15:18,2016-01-05 22:15:18,Mansfield,Mansfield,Mansfield,6175,191433,43227,12350,210576,54034,False,True,2014,True,2014,True,12350,208562,52020,-1,-1,-1,7.0,0.0,0,43227.0,6175.0,191425.0,7.0,1,1
2016-01-06,2016-01-06 00:00:00,Chevron,MANSFIELD OIL COMPANY : CHV5246494,1042 LAS VEGAS NV TRM CALNEV,DIESEL #2,6175,191433,43227,1,1300,3,1300,1300,3314,0,3314,1300,1,w2,1300,0,1300,12350,210576,54034,Available,Available,Available,200%,200,110%,110,125%,125,Below Trend,Below Trend,On Target,01/07 00:00:00 PST,02/01 00:00:00 PST,w2,0,2016-01-13 00:00:00,Contract,Contract,Contract,6175,6175,191433,191433,43227,11050,207262,52734,0,0,0,0,0,0,11944260,11944262,11944261,2016-01-06 22:16:57,2016-01-06 22:16:57,2016-01-06 22:16:57,Mansfield,Mansfield,Mansfield,6175,191433,43227,12350,210576,54034,True,True,1300,True,3314,True,11050,207262,52734,-1,-1,-1,9.0,0.0,0,43227.0,6175.0,191425.0,9.0,1,1
2016-01-07,2016-01-07 00:00:00,Chevron,MANSFIELD OIL COMPANY : CHV5246494,1042 LAS VEGAS NV TRM CALNEV,DIESEL #2,6175,191433,43227,1,2073,3,2073,0,3314,0,3314,1300,1,w2,0,0,3373,12350,210576,54034,Available,Available,Available,200%,200,110%,110,125%,125,Below Trend,Below Trend,Below Trend,01/08 00:00:00 PST,02/01 00:00:00 PST,w2,0,2016-01-13 00:00:00,Contract,Contract,Contract,6175,6175,191433,191433,43227,12350,207262,52734,0,0,0,0,0,0,12103841,12103843,12103842,2016-01-07 22:06:45,2016-01-07 22:06:45,2016-01-07 22:06:45,Mansfield,Mansfield,Mansfield,6175,191433,43227,12350,210576,54034,False,True,3373,True,5387,True,10277,207262,50661,-1,-1,-1,8.0,0.0,0,43227.0,6175.0,191425.0,12.0,0,0
2016-01-08,2016-01-08 00:00:00,Chevron,MANSFIELD OIL COMPANY : CHV5246494,1042 LAS VEGAS NV TRM CALNEV,DIESEL #2,6175,191433,43227,1,2100,3,2100,0,5387,0,5387,3373,1,w2,0,0,5473,12350,210576,54034,Available,Available,Available,200%,200,110%,110,125%,125,Below Trend,Below Trend,Below Trend,01/09 00:00:00 PST,02/01 00:00:00 PST,w2,0,2016-01-13 00:00:00,Contract,Contract,Contract,6175,6175,191433,191433,43227,12350,205189,50661,0,0,0,0,0,0,12255600,12255602,12255601,2016-01-08 22:16:49,2016-01-08 22:16:49,2016-01-08 22:16:49,Mansfield,Mansfield,Mansfield,6175,191433,43227,12350,210576,54034,False,True,5473,True,7487,True,10250,205189,48561,-1,-1,-1,11.0,0.0,0,43227.0,6175.0,191425.0,15.0,0,0
2016-01-09,2016-01-09 00:00:00,Chevron,MANSFIELD OIL COMPANY : CHV5246494,1042 LAS VEGAS NV TRM CALNEV,DIESEL #2,6175,191433,43227,1,0,3,0,0,7487,0,7487,5473,1,w2,0,0,5473,12350,210576,54034,Available,Available,Available,200%,200,110%,110,125%,125,Below Trend,Below Trend,Below Trend,01/10 00:00:00 PST,02/01 00:00:00 PST,w2,0,2016-01-13 00:00:00,Contract,Contract,Contract,6175,6175,191433,191433,43227,12350,203089,48561,0,0,0,0,0,0,12411961,12411963,12411962,2016-01-09 22:14:57,2016-01-09 22:14:57,2016-01-09 22:14:57,Mansfield,Mansfield,Mansfield,6175,191433,43227,12350,210576,54034,True,True,5473,True,7487,True,12350,203089,48561,-1,-1,-1,13.0,0.0,0,43227.0,6175.0,191425.0,13.0,1,1
2016-01-10,2016-01-10 00:00:00,Chevron,MANSFIELD OIL COMPANY : CHV5246494,1042 LAS VEGAS NV TRM CALNEV,DIESEL #2,6175,191433,43227,1,0,3,0,0,7487,0,7487,5473,1,w2,0,0,5473,12350,210576,54034,Available,Available,Available,200%,200,110%,110,125%,125,Below Trend,Below Trend,Below Trend,01/11 00:00:00 PST,02/01 00:00:00 PST,w2,0,2016-01-13 00:00:00,Contract,Contract,Contract,6175,6175,191433,191433,43227,12350,203089,48561,0,0,0,0,0,0,12563020,12563022,12563021,2016-01-10 22:15:35,2016-01-10 22:15:35,2016-01-10 22:15:35,Mansfield,Mansfield,Mansfield,6175,191433,43227,12350,210576,54034,True,True,5473,True,7487,True,12350,203089,48561,-1,-1,-1,12.0,0.0,0,43227.0,6175.0,191425.0,12.0,1,1
