,date,supplier_name,account_type,supplier_terminal_name,product_name,base_gallons_Daily,base_gallons_Monthly,base_gallons_Weekly,lifted_gallons_daily_flag,lifted_gallons_daily_modified,Modified_WeeksByLiftedGallons,lifted_gallons_modified_WeeksByLiftedGallons,lifted_gallons_Daily,Lifted_actual_monthly,lifted_gallons_monthly_flag,lifted_gallons_Monthly,Lifted_actual_weekly,lifted_gallons_weekly_flag,WeeksByLiftedGallons,lifted_gallonsWeekly_modified_aposteriori,Modified_LiftedGallonsaposteriori,lifted_gallons_Weekly,beginning_gallons_Daily,beginning_gallons_Monthly,beginning_gallons_Weekly,en_allocation_status_Daily,en_allocation_status_Monthly,en_allocation_status_Weekly,percentage_allocation_Daily_actual,percentage_allocation_Daily,percentage_allocation_Monthly_actual,percentage_allocation_Monthly,percentage_allocation_Weekly_actual,percentage_allocation_Weekly,alerts_ratability_Daily,alerts_ratability_Monthly,alerts_ratability_Weekly,next_refresh_date_Daily,next_refresh_date_Monthly,Week_switch,Modified_NRD,next_refresh_date_Weekly,en_account_type_Daily,en_account_type_Monthly,en_account_type_Weekly,NRB_Daily,next_refresh_base_gallons_Daily,NRB_Monthly,next_refresh_base_gallons_Monthly,next_refresh_base_gallons_Weekly,remaining_gallons_Daily,remaining_gallons_Monthly,remaining_gallons_Weekly,additional_gallons_allowed_Daily,additional_gallons_allowed_Monthly,additional_gallons_allowed_Weekly,additional_gallons_remaining_Daily,additional_gallons_remaining_Monthly,additional_gallons_remaining_Weekly,staging_id_Daily,staging_id_Monthly,staging_id_Weekly,execution_date_Daily,execution_date_Monthly,execution_date_Weekly,customer_name_Daily,customer_name_Monthly,customer_name_Weekly,base_gallons_Daily_Reconciled,base_gallons_Monthly_Reconciled,base_gallons_Weekly_Reconciled,beginning_gallons_Daily_Reconciled,beginning_gallons_Monthly_Reconciled,beginning_gallons_Weekly_Reconciled,sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,computedWeekly,sanityComputedWeekly,computedMonthly,sanityComputedMonthly,remaining_gallons_Daily_Reconciled,remaining_gallons_Monthly_Reconciled,remaining_gallons_Weekly_Reconciled,additional_gallons_remaining_Daily_Reconciled,additional_gallons_remaining_Monthly_Reconciled,additional_gallons_remaining_Weekly_Reconciled,Ratability_Monthly,Ratability_Daily,Ratability_Weekly,Synthetic_Base_Weekly,Synthetic_Base_Daily,Synthetic_Base_Monthly,Ratability_Monthly_computed,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
2016-01-01,2016-01-01 00:00:00,Chevron,MANSFIELD OIL COMPANY : CHV5246494,1043 MONTEBELLO CA TRM CHEVRON,DIESEL #2,41846,1297222,292921,1,0,3,0,0,0,0,0,84373,1,w1,0,0,0,83692,1426944,366151,Available,Available,Available,200%,200,110%,110,125%,125,Below Trend,Below Trend,On Target,01/02 00:00:00 PST,02/01 00:00:00 PST,w1,0,2016-01-06 00:00:00,Contract,Contract,Contract,41846,41846,1297222,1297222,292921,83692,1426944,281778,0,0,0,0,0,0,11389471,11389473,11389472,2016-01-01 22:25:50,2016-01-01 22:25:50,2016-01-01 22:25:50,Mansfield,Mansfield,Mansfield,41846,1297222,292921,83692,1426944,366151,False,True,0,True,0,True,83692,1426944,366151,-1,-1,-1,-1.0,0.0,0,292921.0,41846.0,1297226.0,-1.0,1,1
2016-01-02,2016-01-02 00:00:00,Chevron,MANSFIELD OIL COMPANY : CHV5246494,1043 MONTEBELLO CA TRM CHEVRON,DIESEL #2,41846,1297222,292921,1,22592,3,22592,22592,22592,0,22592,106965,1,w1,22592,0,22592,83692,1426944,366151,Available,Available,Available,200%,200,110%,110,125%,125,On Target,On Target,On Target,01/03 00:00:00 PST,02/01 00:00:00 PST,w1,0,2016-01-06 00:00:00,Contract,Contract,Contract,41846,41846,1297222,1297222,292921,61100,1404352,259186,0,0,0,0,0,0,11441408,11441410,11441409,2016-01-02 22:22:17,2016-01-02 22:22:17,2016-01-02 22:22:17,Mansfield,Mansfield,Mansfield,41846,1297222,292921,83692,1426944,366151,False,True,22592,True,22592,True,61100,1404352,343559,-1,-1,-1,27.0,0.0,0,292921.0,41846.0,1297226.0,27.0,1,1
2016-01-03,2016-01-03 00:00:00,Chevron,MANSFIELD OIL COMPANY : CHV5246494,1043 MONTEBELLO CA TRM CHEVRON,DIESEL #2,41846,1297222,292921,1,0,3,0,0,22592,0,22592,106965,1,w1,0,0,22592,83692,1426944,366151,Available,Available,Available,200%,200,110%,110,125%,125,Below Trend,Below Trend,On Target,01/04 00:00:00 PST,02/01 00:00:00 PST,w1,0,2016-01-06 00:00:00,Contract,Contract,Contract,41846,41846,1297222,1297222,292921,83692,1404352,259186,0,0,0,0,0,0,11494456,11494458,11494457,2016-01-03 22:18:05,2016-01-03 22:18:05,2016-01-03 22:18:05,Mansfield,Mansfield,Mansfield,41846,1297222,292921,83692,1426944,366151,False,True,22592,True,22592,True,83692,1404352,343559,-1,-1,-1,18.0,0.0,0,292921.0,41846.0,1297226.0,18.0,1,1
2016-01-04,2016-01-04 00:00:00,Chevron,MANSFIELD OIL COMPANY : CHV5246494,1043 MONTEBELLO CA TRM CHEVRON,DIESEL #2,41846,1297222,292921,1,37698,3,37698,37698,60290,0,60290,144663,1,w1,37698,0,60290,83692,1426944,366151,Available,Available,Available,200%,200,110%,110,125%,125,On Target,On Target,On Target,01/05 00:00:00 PST,02/01 00:00:00 PST,w1,0,2016-01-06 00:00:00,Contract,Contract,Contract,41846,41846,1297222,1297222,292921,45994,1366654,221488,0,0,0,0,0,0,11618836,11618838,11618837,2016-01-04 22:35:19,2016-01-04 22:35:19,2016-01-04 22:35:19,Mansfield,Mansfield,Mansfield,41846,1297222,292921,83692,1426944,366151,False,True,60290,True,60290,True,45994,1366654,305861,-1,-1,-1,36.0,0.0,0,292921.0,41846.0,1297226.0,36.0,1,1
2016-01-05,2016-01-05 00:00:00,Chevron,MANSFIELD OIL COMPANY : CHV5246494,1043 MONTEBELLO CA TRM CHEVRON,DIESEL #2,41846,1297222,292921,1,81415,0,81415,81415,141705,0,141705,226078,1,w1,81415,0,141705,83692,1426944,366151,Low,Available,Available,200%,200,110%,110,125%,125,Above Trend,On Target,On Target,01/06 00:00:00 PST,02/01 00:00:00 PST,w1,0,2016-01-06 00:00:00,Contract,Contract,Contract,41846,41846,1297222,1297222,292921,2277,1285239,140073,0,0,0,0,0,0,11791591,11791593,11791592,2016-01-05 22:15:18,2016-01-05 22:15:18,2016-01-05 22:15:18,Mansfield,Mansfield,Mansfield,41846,1297222,292921,83692,1426944,366151,False,True,141705,True,141705,True,2277,1285239,224446,-1,-1,-1,68.0,133.0,0,292921.0,41846.0,1297226.0,68.0,1,1
2016-01-06,2016-01-06 00:00:00,Chevron,MANSFIELD OIL COMPANY : CHV5246494,1043 MONTEBELLO CA TRM CHEVRON,DIESEL #2,41846,1297222,292921,1,30407,0,30407,30407,172112,0,172112,30407,1,w2,30407,0,30407,83692,1426944,366151,Available,Available,Available,200%,200,110%,110,125%,125,On Target,On Target,On Target,01/07 00:00:00 PST,02/01 00:00:00 PST,w2,0,2016-01-13 00:00:00,Contract,Contract,Contract,41846,41846,1297222,1297222,292921,53285,1254832,335744,0,0,0,0,0,0,11944266,11944268,11944267,2016-01-06 22:16:57,2016-01-06 22:16:57,2016-01-06 22:16:57,Mansfield,Mansfield,Mansfield,41846,1297222,292921,83692,1426944,366151,True,True,30407,True,172112,True,53285,1254832,335744,-1,-1,-1,69.0,0.0,0,292921.0,41846.0,1297226.0,69.0,1,1
2016-01-07,2016-01-07 00:00:00,Chevron,MANSFIELD OIL COMPANY : CHV5246494,1043 MONTEBELLO CA TRM CHEVRON,DIESEL #2,41846,1297222,292921,1,56406,0,56406,56406,228518,0,228518,86813,1,w2,56406,0,86813,83692,1426944,366151,Available,Available,Available,200%,200,110%,110,125%,125,Above Trend,On Target,Above Trend,01/08 00:00:00 PST,02/01 00:00:00 PST,w2,0,2016-01-13 00:00:00,Contract,Contract,Contract,41846,41846,1297222,1297222,292921,27286,1198426,279338,0,0,0,0,0,0,12103847,12103849,12103848,2016-01-07 22:06:45,2016-01-07 22:06:45,2016-01-07 22:06:45,Mansfield,Mansfield,Mansfield,41846,1297222,292921,83692,1426944,366151,True,True,86813,True,228518,True,27286,1198426,279338,-1,-1,-1,78.0,133.0,0,292921.0,41846.0,1297226.0,78.0,1,1
2016-01-08,2016-01-08 00:00:00,Chevron,MANSFIELD OIL COMPANY : CHV5246494,1043 MONTEBELLO CA TRM CHEVRON,DIESEL #2,41846,1297222,292921,1,22598,0,22598,22598,251116,0,251116,109411,1,w2,22598,0,109411,83692,1426944,366151,Available,Available,Available,200%,200,110%,110,125%,125,On Target,On Target,On Target,01/09 00:00:00 PST,02/01 00:00:00 PST,w2,0,2016-01-13 00:00:00,Contract,Contract,Contract,41846,41846,1297222,1297222,292921,61094,1175828,256740,0,0,0,0,0,0,12255606,12255608,12255607,2016-01-08 22:16:49,2016-01-08 22:16:49,2016-01-08 22:16:49,Mansfield,Mansfield,Mansfield,41846,1297222,292921,83692,1426944,366151,True,True,109411,True,251116,True,61094,1175828,256740,-1,-1,-1,75.0,0.0,0,292921.0,41846.0,1297226.0,75.0,1,1
2016-01-09,2016-01-09 00:00:00,Chevron,MANSFIELD OIL COMPANY : CHV5246494,1043 MONTEBELLO CA TRM CHEVRON,DIESEL #2,41846,1297222,292921,1,22691,0,22691,22691,273807,0,273807,132102,1,w2,22691,0,132102,83692,1426944,366151,Available,Available,Available,200%,200,110%,110,125%,125,On Target,On Target,On Target,01/10 00:00:00 PST,02/01 00:00:00 PST,w2,0,2016-01-13 00:00:00,Contract,Contract,Contract,41846,41846,1297222,1297222,292921,61001,1153137,234049,0,0,0,0,0,0,12411967,12411969,12411968,2016-01-09 22:14:57,2016-01-09 22:14:57,2016-01-09 22:14:57,Mansfield,Mansfield,Mansfield,41846,1297222,292921,83692,1426944,366151,True,True,132102,True,273807,True,61001,1153137,234049,-1,-1,-1,73.0,0.0,0,292921.0,41846.0,1297226.0,73.0,1,1
2016-01-10,2016-01-10 00:00:00,Chevron,MANSFIELD OIL COMPANY : CHV5246494,1043 MONTEBELLO CA TRM CHEVRON,DIESEL #2,41846,1297222,292921,1,15202,0,15202,15202,289009,0,289009,147304,1,w2,15202,0,147304,83692,1426944,366151,Available,Available,Available,200%,200,110%,110,125%,125,On Target,On Target,On Target,01/11 00:00:00 PST,02/01 00:00:00 PST,w2,0,2016-01-13 00:00:00,Contract,Contract,Contract,41846,41846,1297222,1297222,292921,68490,1137935,218847,0,0,0,0,0,0,12563026,12563028,12563027,2016-01-10 22:15:35,2016-01-10 22:15:35,2016-01-10 22:15:35,Mansfield,Mansfield,Mansfield,41846,1297222,292921,83692,1426944,366151,True,True,147304,True,289009,True,68490,1137935,218847,-1,-1,-1,69.0,0.0,0,292921.0,41846.0,1297226.0,69.0,1,1
