,date,supplier_name,account_type,supplier_terminal_name,product_name,base_gallons_Daily,base_gallons_Monthly,base_gallons_Weekly,lifted_gallons_daily_flag,lifted_gallons_daily_modified,Modified_WeeksByLiftedGallons,lifted_gallons_modified_WeeksByLiftedGallons,lifted_gallons_Daily,Lifted_actual_monthly,lifted_gallons_monthly_flag,lifted_gallons_Monthly,Lifted_actual_weekly,lifted_gallons_weekly_flag,WeeksByLiftedGallons,lifted_gallonsWeekly_modified_aposteriori,Modified_LiftedGallonsaposteriori,lifted_gallons_Weekly,beginning_gallons_Daily,beginning_gallons_Monthly,beginning_gallons_Weekly,en_allocation_status_Daily,en_allocation_status_Monthly,en_allocation_status_Weekly,percentage_allocation_Daily_actual,percentage_allocation_Daily,percentage_allocation_Monthly_actual,percentage_allocation_Monthly,percentage_allocation_Weekly_actual,percentage_allocation_Weekly,alerts_ratability_Daily,alerts_ratability_Monthly,alerts_ratability_Weekly,next_refresh_date_Daily,next_refresh_date_Monthly,Week_switch,Modified_NRD,next_refresh_date_Weekly,en_account_type_Daily,en_account_type_Monthly,en_account_type_Weekly,NRB_Daily,next_refresh_base_gallons_Daily,NRB_Monthly,next_refresh_base_gallons_Monthly,next_refresh_base_gallons_Weekly,remaining_gallons_Daily,remaining_gallons_Monthly,remaining_gallons_Weekly,additional_gallons_allowed_Daily,additional_gallons_allowed_Monthly,additional_gallons_allowed_Weekly,additional_gallons_remaining_Daily,additional_gallons_remaining_Monthly,additional_gallons_remaining_Weekly,staging_id_Daily,staging_id_Monthly,staging_id_Weekly,execution_date_Daily,execution_date_Monthly,execution_date_Weekly,customer_name_Daily,customer_name_Monthly,customer_name_Weekly,base_gallons_Daily_Reconciled,base_gallons_Monthly_Reconciled,base_gallons_Weekly_Reconciled,beginning_gallons_Daily_Reconciled,beginning_gallons_Monthly_Reconciled,beginning_gallons_Weekly_Reconciled,sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,computedWeekly,sanityComputedWeekly,computedMonthly,sanityComputedMonthly,remaining_gallons_Daily_Reconciled,remaining_gallons_Monthly_Reconciled,remaining_gallons_Weekly_Reconciled,additional_gallons_remaining_Daily_Reconciled,additional_gallons_remaining_Monthly_Reconciled,additional_gallons_remaining_Weekly_Reconciled,Ratability_Monthly,Ratability_Daily,Ratability_Weekly,Synthetic_Base_Weekly,Synthetic_Base_Daily,Synthetic_Base_Monthly,Ratability_Monthly_computed,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
2015-06-01,2015-06-01 00:00:00,Chevron,MANSFIELD OIL COMPANY : GL5246494,1083 FRESNO CA TRM KINDER MORGAN,DIESEL #2,3995,119844,27964,1,0,3,0,0,0,0,0,9100,1,w1,0,0,0,4994,131828,30760,Available,Available,Available,125%,125,110%,110,110%,110,Below Trend,Below Trend,On Target,06/02 00:00:00 PDT,07/01 00:00:00 PDT,w1,0,2015-06-03 00:00:00,Contract,Contract,Contract,3995,3995,119844,119844,27964,4994,131828,21660,0,0,0,0,0,0,195772,195774,195773,2015-06-01 05:59:03,2015-06-01 05:59:03,2015-06-01 05:59:03,Mansfield,Mansfield,Mansfield,3995,119844,27964,4993,131828,30760,False,True,0,True,0,0,4994,131828,30760,-1,-1,-1,-1.0,0.0,0,27964.0,3995.0,119850.0,-1,1,1
2015-06-02,2015-06-02 00:00:00,Chevron,MANSFIELD OIL COMPANY : GL5246494,1083 FRESNO CA TRM KINDER MORGAN,DIESEL #2,3995,119844,27964,1,3200,3,3200,3200,3200,0,3200,12300,1,w1,3200,0,3200,4994,131828,30760,Limited,Available,Available,125%,125,110%,110,110%,110,On Target,On Target,On Target,06/02 00:00:00 PDT,07/01 00:00:00 PDT,w1,0,2015-06-03 00:00:00,Contract,Contract,Contract,3995,3995,119844,119844,27964,1794,128628,18460,0,0,0,0,0,0,200823,200825,200824,2015-06-02 02:11:28,2015-06-02 02:11:28,2015-06-02 02:11:28,Mansfield,Mansfield,Mansfield,3995,119844,27964,4994,131828,30760,False,True,3200,True,0,0,1794,128628,27560,-1,-1,-1,40.0,0.0,0,27964.0,3995.0,119850.0,-1,1,1
2015-06-03,2015-06-03 00:00:00,Chevron,MANSFIELD OIL COMPANY : GL5246494,1083 FRESNO CA TRM KINDER MORGAN,DIESEL #2,3995,119844,27964,1,5200,0,0,0,3200,0,3200,12300,1,w1,0,0,8400,4994,131828,30760,Available,Available,Available,125%,125,110%,110,110%,110,Below Trend,On Target,On Target,06/03 00:00:00 PDT,07/01 00:00:00 PDT,w1,0,2015-06-03 00:00:00,Contract,Contract,Contract,3995,3995,119844,119844,27964,4994,128628,18460,0,0,0,0,0,0,205882,205884,205883,2015-06-03 01:53:10,2015-06-03 01:53:10,2015-06-03 01:53:10,Mansfield,Mansfield,Mansfield,3995,119844,27964,4994,131828,30760,False,True,8400,True,0,0,-206,128628,22360,-1,-1,-1,27.0,0.0,0,27964.0,3995.0,119850.0,-1,1,0
2015-06-04,2015-06-04 00:00:00,Chevron,MANSFIELD OIL COMPANY : GL5246494,1083 FRESNO CA TRM KINDER MORGAN,DIESEL #2,3995,119844,27964,3,5200,3,0,0,8400,0,8400,5200,1,w2,0,0,0,4994,131828,30760,Available,Available,Available,125%,125,110%,110,110%,110,Below Trend,On Target,Above Trend,06/05 00:00:00 PDT,07/01 00:00:00 PDT,w2,0,2015-06-10 00:00:00,Contract,Contract,Contract,3995,3995,119844,119844,27964,4994,123428,25560,0,0,0,0,0,0,210941,210943,210942,2015-06-04 06:16:02,2015-06-04 06:16:02,2015-06-04 06:16:02,Mansfield,Mansfield,Mansfield,3995,119844,27964,4994,131828,30760,False,False,0,0,0,0,-206,123428,30760,-1,-1,-1,53.0,400.0,0,27964.0,3995.0,119850.0,-1,0,0
2015-06-05,2015-06-05 00:00:00,Chevron,MANSFIELD OIL COMPANY : GL5246494,1083 FRESNO CA TRM KINDER MORGAN,DIESEL #2,3995,119844,27964,0,7500,0,7500,7500,15900,0,15900,12700,0,w2,7500,0,12700,4994,131828,30760,Out,Available,Available,125%,125,110%,110,110%,110,Above Trend,Above Trend,Above Trend,06/05 00:00:00 PDT,07/01 00:00:00 PDT,w2,0,2015-06-10 00:00:00,Contract,Contract,Contract,3995,3995,119844,119844,27964,-2506,115928,18060,0,0,0,0,0,0,216063,216065,216064,2015-06-05 00:50:24,2015-06-05 00:50:24,2015-06-05 00:50:24,Mansfield,Mansfield,Mansfield,3995,119844,27964,4994,131828,30760,False,True,0,0,0,0,-2506,115928,18060,-1,-1,-1,80.0,0.0,0,27964.0,3995.0,119850.0,-1,0,0
2015-06-06,2015-06-06 00:00:00,Chevron,MANSFIELD OIL COMPANY : GL5246494,1083 FRESNO CA TRM KINDER MORGAN,DIESEL #2,-1,-1,-1,0,-1,0,-1,-1,-1,0,-1,-1,0,w3,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,125,-1,110,-1,110,-1,-1,-1,-1,-1,w2,1,2015-06-10 00:00:00,-1,-1,-1,3995,-1,130200,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2015-06-06 00:00:00,2015-06-06 00:00:00,2015-06-06 00:00:00,-1,-1,-1,3995,119844,27964,4994,131828,30760,True,False,0,0,0,0,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,27964.0,3995.0,119850.0,-1,0,0
2015-06-07,2015-06-07 00:00:00,Chevron,MANSFIELD OIL COMPANY : GL5246494,1083 FRESNO CA TRM KINDER MORGAN,DIESEL #2,-1,-1,-1,0,-1,0,-1,-1,-1,0,-1,-1,0,w3,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,125,-1,110,-1,110,-1,-1,-1,-1,-1,w2,1,2015-06-10 00:00:00,-1,-1,-1,3995,-1,119844,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2015-06-07 00:00:00,2015-06-07 00:00:00,2015-06-07 00:00:00,-1,-1,-1,-1,-1,-1,-1,-1,-1,False,False,0,0,0,0,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,0,0
2015-06-08,2015-06-08 00:00:00,Chevron,MANSFIELD OIL COMPANY : GL5246494,1083 FRESNO CA TRM KINDER MORGAN,DIESEL #2,3995,119844,27964,1,0,3,0,0,37100,0,37100,33900,0,w3,0,0,33900,4994,131828,30760,Available,Available,Out,125%,125,110%,110,110%,110,Below Trend,Above Trend,Above Trend,06/09 00:00:00 PDT,07/01 00:00:00 PDT,w2,0,2015-06-10 00:00:00,Contract,Contract,Contract,3995,3995,119844,119844,27964,4994,94728,-3140,0,0,0,0,0,0,226243,226245,226244,2015-06-08 12:53:20,2015-06-08 12:53:20,2015-06-08 12:53:20,Mansfield,Mansfield,Mansfield,3995,119844,27964,4994,131828,30760,False,False,0,0,0,0,4994,94728,-3140,-1,-1,-1,116.0,0.0,0,27964.0,3995.0,119850.0,-1,0,0
2015-06-09,2015-06-09 00:00:00,Chevron,MANSFIELD OIL COMPANY : GL5246494,1083 FRESNO CA TRM KINDER MORGAN,DIESEL #2,3995,119844,27964,1,0,0,0,0,37100,0,37100,33900,1,w3,0,0,33900,4994,131828,30760,Available,Available,Out,125%,125,110%,110,110%,110,Below Trend,Above Trend,Above Trend,06/09 00:00:00 PDT,07/01 00:00:00 PDT,w2,0,2015-06-10 00:00:00,Contract,Contract,Contract,3995,3995,119844,119844,27964,4994,94728,-3140,0,0,0,0,0,0,231301,231303,231302,2015-06-09 01:13:34,2015-06-09 01:13:34,2015-06-09 01:13:34,Mansfield,Mansfield,Mansfield,3995,119844,27964,4994,131828,30760,False,False,0,0,0,0,4994,94728,-3140,-1,-1,-1,103.0,0.0,100,27964.0,3995.0,119850.0,-1,0,0
2015-06-10,2015-06-10 00:00:00,Chevron,MANSFIELD OIL COMPANY : GL5246494,1083 FRESNO CA TRM KINDER MORGAN,DIESEL #2,3995,119844,27964,1,7500,0,7500,7500,44600,0,44600,7500,1,w4,7500,0,7500,4994,131828,30760,Out,Available,Available,125%,125,110%,110,110%,110,Above Trend,Above Trend,Above Trend,06/11 00:00:00 PDT,07/01 00:00:00 PDT,w3,0,2015-06-17 00:00:00,Contract,Contract,Contract,3995,3995,119844,119844,27964,-2506,87228,23260,0,0,0,0,0,0,244304,244306,244305,2015-06-10 16:32:18,2015-06-10 16:32:18,2015-06-10 16:32:18,Mansfield,Mansfield,Mansfield,3995,119844,27964,4994,131828,30760,True,True,7500,True,0,0,-2506,87228,23260,-1,-1,-1,112.0,200.0,0,27964.0,3995.0,119850.0,-1,0,0
