,date,supplier_name,account_type,supplier_terminal_name,product_name,base_gallons_Daily,base_gallons_Monthly,base_gallons_Weekly,lifted_gallons_daily_flag,lifted_gallons_daily_modified,Modified_WeeksByLiftedGallons,lifted_gallons_modified_WeeksByLiftedGallons,lifted_gallons_Daily,Lifted_actual_monthly,lifted_gallons_monthly_flag,lifted_gallons_Monthly,Lifted_actual_weekly,lifted_gallons_weekly_flag,WeeksByLiftedGallons,lifted_gallonsWeekly_modified_aposteriori,Modified_LiftedGallonsaposteriori,lifted_gallons_Weekly,beginning_gallons_Daily,beginning_gallons_Monthly,beginning_gallons_Weekly,en_allocation_status_Daily,en_allocation_status_Monthly,en_allocation_status_Weekly,percentage_allocation_Daily_actual,percentage_allocation_Daily,percentage_allocation_Monthly_actual,percentage_allocation_Monthly,percentage_allocation_Weekly_actual,percentage_allocation_Weekly,alerts_ratability_Daily,alerts_ratability_Monthly,alerts_ratability_Weekly,next_refresh_date_Daily,next_refresh_date_Monthly,Week_switch,Modified_NRD,next_refresh_date_Weekly,en_account_type_Daily,en_account_type_Monthly,en_account_type_Weekly,NRB_Daily,next_refresh_base_gallons_Daily,NRB_Monthly,next_refresh_base_gallons_Monthly,next_refresh_base_gallons_Weekly,remaining_gallons_Daily,remaining_gallons_Monthly,remaining_gallons_Weekly,additional_gallons_allowed_Daily,additional_gallons_allowed_Monthly,additional_gallons_allowed_Weekly,additional_gallons_remaining_Daily,additional_gallons_remaining_Monthly,additional_gallons_remaining_Weekly,staging_id_Daily,staging_id_Monthly,staging_id_Weekly,execution_date_Daily,execution_date_Monthly,execution_date_Weekly,customer_name_Daily,customer_name_Monthly,customer_name_Weekly,base_gallons_Daily_Reconciled,base_gallons_Monthly_Reconciled,base_gallons_Weekly_Reconciled,beginning_gallons_Daily_Reconciled,beginning_gallons_Monthly_Reconciled,beginning_gallons_Weekly_Reconciled,sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,computedWeekly,sanityComputedWeekly,computedMonthly,sanityComputedMonthly,remaining_gallons_Daily_Reconciled,remaining_gallons_Monthly_Reconciled,remaining_gallons_Weekly_Reconciled,additional_gallons_remaining_Daily_Reconciled,additional_gallons_remaining_Monthly_Reconciled,additional_gallons_remaining_Weekly_Reconciled,Ratability_Monthly,Ratability_Daily,Ratability_Weekly,Synthetic_Base_Weekly,Synthetic_Base_Daily,Synthetic_Base_Monthly,Ratability_Monthly_computed,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
2015-11-01,2015-11-01 00:00:00,Chevron,MANSFIELD OIL COMPANY : CHV5246494,1046 SAN DIEGO CA TRM CHEVRON,DIESEL #2,662,19847,4631,1,0,3,0,0,0,0,0,7505,1,w1,0,0,0,1324,21832,5789,Available,Available,Out,200%,200,110%,110,125%,125,Below Trend,Below Trend,Above Trend,11/02 00:00:00 PST,12/01 00:00:00 PST,w1,0,2015-11-04 00:00:00,Contract,Contract,Contract,662,662,19847,19847,4631,1324,21832,-1716,0,0,0,0,0,0,7364512,7364514,7364513,2015-11-01 22:19:18,2015-11-01 22:19:18,2015-11-01 22:19:18,Mansfield,Mansfield,Mansfield,662,19847,4631,1324,21831,5788,True,False,0,True,0,True,1324,21832,5789,-1,-1,-1,-1.0,0.0,0,4631.0,662.0,19860.0,-1.0,1,1
2015-11-02,2015-11-02 00:00:00,Chevron,MANSFIELD OIL COMPANY : CHV5246494,1046 SAN DIEGO CA TRM CHEVRON,DIESEL #2,662,19847,4631,1,7502,3,7502,7502,7502,0,7502,15007,1,w1,7502,0,7502,1324,21832,5789,Out,Available,Out,200%,200,110%,110,125%,125,Above Trend,Above Trend,Above Trend,11/03 00:00:00 PST,12/01 00:00:00 PST,w1,0,2015-11-04 00:00:00,Contract,Contract,Contract,662,662,19847,19847,4631,-6178,14330,-9218,7500,7500,7500,-2,-2,-2,7414135,7414137,7414136,2015-11-02 22:19:24,2015-11-02 22:19:24,2015-11-02 22:19:24,Mansfield,Mansfield,Mansfield,662,19847,4631,1324,21832,5789,True,False,7502,True,7502,True,-6178,14330,-1713,7500,-1,7500,567.0,1467.0,0,4631.0,662.0,19860.0,567.0,1,1
2015-11-03,2015-11-03 00:00:00,Chevron,MANSFIELD OIL COMPANY : CHV5246494,1046 SAN DIEGO CA TRM CHEVRON,DIESEL #2,662,19847,4631,1,0,0,0,0,7502,0,7502,15007,1,w1,0,0,7502,1324,21832,5789,Available,Available,Out,200%,200,110%,110,125%,125,Below Trend,Above Trend,Above Trend,11/04 00:00:00 PST,12/01 00:00:00 PST,w1,0,2015-11-04 00:00:00,Contract,Contract,Contract,662,662,19847,19847,4631,1324,14330,-9218,0,0,0,0,0,0,7475223,7475225,7475224,2015-11-03 22:10:19,2015-11-03 22:10:19,2015-11-03 22:10:19,Mansfield,Mansfield,Mansfield,662,19847,4631,1324,21832,5789,True,False,7502,True,7502,True,1324,14330,-1713,-1,-1,-1,378.0,0.0,100,4631.0,662.0,19860.0,378.0,1,1
2015-11-04,2015-11-04 00:00:00,Chevron,MANSFIELD OIL COMPANY : CHV5246494,1046 SAN DIEGO CA TRM CHEVRON,DIESEL #2,662,19847,4631,1,0,3,0,0,7502,0,7502,0,1,w2,0,0,0,1324,21832,5789,Available,Available,Available,200%,200,110%,110,125%,125,Below Trend,Above Trend,Below Trend,11/05 00:00:00 PST,12/01 00:00:00 PST,w2,0,2015-11-11 00:00:00,Contract,Contract,Contract,662,662,19847,19847,4631,1324,14330,5789,0,0,0,0,0,0,7699162,7699164,7699163,2015-11-04 23:44:05,2015-11-04 23:44:05,2015-11-04 23:44:05,Mansfield,Mansfield,Mansfield,662,19847,4631,1324,21832,5789,True,True,0,True,7502,True,1324,14330,5789,-1,-1,-1,283.0,0.0,0,4631.0,662.0,19860.0,283.0,1,1
2015-11-05,2015-11-05 00:00:00,Chevron,MANSFIELD OIL COMPANY : CHV5246494,1046 SAN DIEGO CA TRM CHEVRON,DIESEL #2,662,19847,4631,1,0,3,0,0,7502,0,7502,0,1,w2,0,0,0,1324,21832,5789,Available,Available,Available,200%,200,110%,110,125%,125,Below Trend,Above Trend,Below Trend,11/06 00:00:00 PST,12/01 00:00:00 PST,w2,0,2015-11-11 00:00:00,Contract,Contract,Contract,662,662,19847,19847,4631,1324,14330,5789,0,0,0,0,0,0,7836835,7836837,7836836,2015-11-05 22:10:57,2015-11-05 22:10:57,2015-11-05 22:10:57,Mansfield,Mansfield,Mansfield,662,19847,4631,1324,21832,5789,True,True,0,True,7502,True,1324,14330,5789,-1,-1,-1,227.0,0.0,0,4631.0,662.0,19860.0,227.0,1,1
2015-11-06,2015-11-06 00:00:00,Chevron,MANSFIELD OIL COMPANY : CHV5246494,1046 SAN DIEGO CA TRM CHEVRON,DIESEL #2,662,19847,4631,1,6999,3,6999,6999,14501,0,14501,6999,1,w2,6999,0,6999,1324,21832,5789,Out,Available,Out,200%,200,110%,110,125%,125,Above Trend,Above Trend,Above Trend,11/07 00:00:00 PST,12/01 00:00:00 PST,w2,0,2015-11-11 00:00:00,Contract,Contract,Contract,662,662,19847,19847,4631,-5675,7331,-1210,0,0,0,0,0,0,7885364,7885366,7885365,2015-11-06 22:18:49,2015-11-06 22:18:49,2015-11-06 22:18:49,Mansfield,Mansfield,Mansfield,662,19847,4631,1324,21832,5789,True,True,6999,True,14501,True,-5675,7331,-1210,-1,-1,-1,365.0,1333.0,0,4631.0,662.0,19860.0,365.0,1,1
2015-11-07,2015-11-07 00:00:00,Chevron,MANSFIELD OIL COMPANY : CHV5246494,1046 SAN DIEGO CA TRM CHEVRON,DIESEL #2,662,19847,4631,1,0,3,0,0,14501,0,14501,6999,1,w2,0,0,6999,1324,21832,5789,Available,Available,Out,200%,200,110%,110,125%,125,Below Trend,Above Trend,Above Trend,11/08 00:00:00 PST,12/01 00:00:00 PST,w2,0,2015-11-11 00:00:00,Contract,Contract,Contract,662,662,19847,19847,4631,1324,7331,-1210,0,0,0,0,0,0,7928798,7928800,7928799,2015-11-07 22:18:36,2015-11-07 22:18:36,2015-11-07 22:18:36,Mansfield,Mansfield,Mansfield,662,19847,4631,1324,21832,5789,True,True,6999,True,14501,True,1324,7331,-1210,-1,-1,-1,313.0,0.0,0,4631.0,662.0,19860.0,313.0,1,1
2015-11-08,2015-11-08 00:00:00,Chevron,MANSFIELD OIL COMPANY : CHV5246494,1046 SAN DIEGO CA TRM CHEVRON,DIESEL #2,662,19847,4631,1,0,3,0,0,14501,0,14501,6999,1,w2,0,0,6999,1324,21832,5789,Available,Available,Out,200%,200,110%,110,125%,125,Below Trend,Above Trend,Above Trend,11/09 00:00:00 PST,12/01 00:00:00 PST,w2,0,2015-11-11 00:00:00,Contract,Contract,Contract,662,662,19847,19847,4631,1324,7331,-1210,0,0,0,0,0,0,7980150,7980152,7980151,2015-11-08 23:42:08,2015-11-08 23:42:08,2015-11-08 23:42:08,Mansfield,Mansfield,Mansfield,662,19847,4631,1324,21832,5789,True,True,6999,True,14501,True,1324,7331,-1210,-1,-1,-1,274.0,0.0,0,4631.0,662.0,19860.0,274.0,1,1
2015-11-09,2015-11-09 00:00:00,Chevron,MANSFIELD OIL COMPANY : CHV5246494,1046 SAN DIEGO CA TRM CHEVRON,DIESEL #2,662,19847,4631,1,0,3,0,0,14501,0,14501,6999,1,w2,0,0,6999,1324,21832,5789,Available,Available,Out,200%,200,110%,110,125%,125,Below Trend,Above Trend,Above Trend,11/10 00:00:00 PST,12/01 00:00:00 PST,w2,0,2015-11-11 00:00:00,Contract,Contract,Contract,662,662,19847,19847,4631,1324,7331,-1210,0,0,0,0,0,0,8023526,8023528,8023527,2015-11-09 19:15:31,2015-11-09 19:15:31,2015-11-09 19:15:31,Mansfield,Mansfield,Mansfield,662,19847,4631,1324,21832,5789,True,True,6999,True,14501,True,1324,7331,-1210,-1,-1,-1,244.0,0.0,0,4631.0,662.0,19860.0,244.0,1,1
2015-11-10,2015-11-10 00:00:00,Chevron,MANSFIELD OIL COMPANY : CHV5246494,1046 SAN DIEGO CA TRM CHEVRON,DIESEL #2,662,19847,4631,1,0,3,-6999,0,14501,0,14501,6999,1,w2,0,0,6999,1324,21832,5789,Available,Available,Out,200%,200,110%,110,125%,125,Below Trend,Above Trend,Above Trend,11/11 00:00:00 PST,12/01 00:00:00 PST,w2,0,2015-11-11 00:00:00,Contract,Contract,Contract,662,662,19847,19847,4631,1324,7331,-1210,0,0,0,0,0,0,8079731,8079733,8079732,2015-11-10 23:36:04,2015-11-10 23:36:04,2015-11-10 23:36:04,Mansfield,Mansfield,Mansfield,662,19847,4631,1324,21832,5789,False,True,6999,True,14501,True,1324,7331,-1210,-1,-1,-1,219.0,0.0,100,4631.0,662.0,19860.0,219.0,0,1
