,date,supplier_name,account_type,supplier_terminal_name,product_name,base_gallons_Daily,base_gallons_Monthly,base_gallons_Weekly,lifted_gallons_daily_flag,lifted_gallons_daily_modified,Modified_WeeksByLiftedGallons,lifted_gallons_modified_WeeksByLiftedGallons,lifted_gallons_Daily,Lifted_actual_monthly,lifted_gallons_monthly_flag,lifted_gallons_Monthly,Lifted_actual_weekly,lifted_gallons_weekly_flag,WeeksByLiftedGallons,lifted_gallonsWeekly_modified_aposteriori,Modified_LiftedGallonsaposteriori,lifted_gallons_Weekly,beginning_gallons_Daily,beginning_gallons_Monthly,beginning_gallons_Weekly,en_allocation_status_Daily,en_allocation_status_Monthly,en_allocation_status_Weekly,percentage_allocation_Daily_actual,percentage_allocation_Daily,percentage_allocation_Monthly_actual,percentage_allocation_Monthly,percentage_allocation_Weekly_actual,percentage_allocation_Weekly,alerts_ratability_Daily,alerts_ratability_Monthly,alerts_ratability_Weekly,next_refresh_date_Daily,next_refresh_date_Monthly,Week_switch,Modified_NRD,next_refresh_date_Weekly,en_account_type_Daily,en_account_type_Monthly,en_account_type_Weekly,NRB_Daily,next_refresh_base_gallons_Daily,NRB_Monthly,next_refresh_base_gallons_Monthly,next_refresh_base_gallons_Weekly,remaining_gallons_Daily,remaining_gallons_Monthly,remaining_gallons_Weekly,additional_gallons_allowed_Daily,additional_gallons_allowed_Monthly,additional_gallons_allowed_Weekly,additional_gallons_remaining_Daily,additional_gallons_remaining_Monthly,additional_gallons_remaining_Weekly,staging_id_Daily,staging_id_Monthly,staging_id_Weekly,execution_date_Daily,execution_date_Monthly,execution_date_Weekly,customer_name_Daily,customer_name_Monthly,customer_name_Weekly,base_gallons_Daily_Reconciled,base_gallons_Monthly_Reconciled,base_gallons_Weekly_Reconciled,beginning_gallons_Daily_Reconciled,beginning_gallons_Monthly_Reconciled,beginning_gallons_Weekly_Reconciled,sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,computedWeekly,sanityComputedWeekly,computedMonthly,sanityComputedMonthly,remaining_gallons_Daily_Reconciled,remaining_gallons_Monthly_Reconciled,remaining_gallons_Weekly_Reconciled,additional_gallons_remaining_Daily_Reconciled,additional_gallons_remaining_Monthly_Reconciled,additional_gallons_remaining_Weekly_Reconciled,Ratability_Monthly,Ratability_Daily,Ratability_Weekly,Synthetic_Base_Weekly,Synthetic_Base_Daily,Synthetic_Base_Monthly,Ratability_Monthly_computed,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
2015-11-01,2015-11-01 00:00:00,Chevron,MANSFIELD OIL COMPANY : CHV5246494,2778 STOCKTON CA TRM NUSTAR,DIESEL #2,2710,81287,18967,1,0,0,0,0,0,0,0,0,1,w1,0,0,0,3388,89416,20864,Available,Available,Available,125%,125,110%,110,110%,110,Below Trend,Below Trend,Below Trend,11/02 00:00:00 PST,12/01 00:00:00 PST,w1,0,2015-11-04 00:00:00,Contract,Contract,Contract,2710,2710,81287,81287,18967,3388,89416,20864,0,0,0,0,0,0,7364539,7364541,7364540,2015-11-01 22:19:18,2015-11-01 22:19:18,2015-11-01 22:19:18,Mansfield,Mansfield,Mansfield,2710,81287,18967,3387,89415,20863,True,True,0,True,0,True,3388,89416,20864,-1,-1,-1,-1.0,0.0,0,18967.0,2710.0,81300.0,-1.0,1,1
2015-11-02,2015-11-02 00:00:00,Chevron,MANSFIELD OIL COMPANY : CHV5246494,2778 STOCKTON CA TRM NUSTAR,DIESEL #2,2710,81287,18967,1,0,0,0,0,0,0,0,0,1,w1,0,0,0,3388,89416,20864,Available,Available,Available,125%,125,110%,110,110%,110,Below Trend,Below Trend,Below Trend,11/03 00:00:00 PST,12/01 00:00:00 PST,w1,0,2015-11-04 00:00:00,Contract,Contract,Contract,2710,2710,81287,81287,18967,3388,89416,20864,0,0,0,0,0,0,7414162,7414164,7414163,2015-11-02 22:19:24,2015-11-02 22:19:24,2015-11-02 22:19:24,Mansfield,Mansfield,Mansfield,2710,81287,18967,3388,89416,20864,True,True,0,True,0,True,3388,89416,20864,-1,-1,-1,-1.0,0.0,0,18967.0,2710.0,81300.0,-1.0,1,1
2015-11-03,2015-11-03 00:00:00,Chevron,MANSFIELD OIL COMPANY : CHV5246494,2778 STOCKTON CA TRM NUSTAR,DIESEL #2,2710,81287,18967,1,6000,0,6000,6000,6000,0,6000,6000,1,w1,6000,0,6000,3388,89416,20864,Out,Available,Available,125%,125,110%,110,110%,110,Above Trend,On Target,On Target,11/04 00:00:00 PST,12/01 00:00:00 PST,w1,0,2015-11-04 00:00:00,Contract,Contract,Contract,2710,2710,81287,81287,18967,-2613,83416,14864,0,0,0,0,0,0,7475250,7475252,7475251,2015-11-03 22:10:19,2015-11-03 22:10:19,2015-11-03 22:10:19,Mansfield,Mansfield,Mansfield,2710,81287,18967,3388,89416,20864,True,True,6000,True,6000,True,-2612,83416,14864,-1,-1,-1,74.0,267.0,0,18967.0,2710.0,81300.0,74.0,1,1
2015-11-04,2015-11-04 00:00:00,Chevron,MANSFIELD OIL COMPANY : CHV5246494,2778 STOCKTON CA TRM NUSTAR,DIESEL #2,2710,81287,18967,1,0,0,0,0,6000,0,6000,0,1,w2,0,0,0,3388,89416,20864,Available,Available,Available,125%,125,110%,110,110%,110,Below Trend,On Target,Below Trend,11/05 00:00:00 PST,12/01 00:00:00 PST,w2,0,2015-11-11 00:00:00,Contract,Contract,Contract,2710,2710,81287,81287,18967,3388,83416,20864,0,0,0,0,0,0,7699189,7699191,7699190,2015-11-04 23:44:05,2015-11-04 23:44:05,2015-11-04 23:44:05,Mansfield,Mansfield,Mansfield,2710,81287,18967,3388,89416,20864,True,True,0,True,6000,True,3388,83416,20864,-1,-1,-1,55.0,0.0,0,18967.0,2710.0,81300.0,55.0,1,1
2015-11-05,2015-11-05 00:00:00,Chevron,MANSFIELD OIL COMPANY : CHV5246494,2778 STOCKTON CA TRM NUSTAR,DIESEL #2,2710,81287,18967,1,7500,0,7500,7500,13500,0,13500,7500,1,w2,7500,0,7500,3388,89416,20864,Out,Available,Available,125%,125,110%,110,110%,110,Above Trend,Above Trend,Above Trend,11/06 00:00:00 PST,12/01 00:00:00 PST,w2,0,2015-11-11 00:00:00,Contract,Contract,Contract,2710,2710,81287,81287,18967,-4113,75916,13364,0,0,0,0,0,0,7836862,7836864,7836863,2015-11-05 22:10:57,2015-11-05 22:10:57,2015-11-05 22:10:57,Mansfield,Mansfield,Mansfield,2710,81287,18967,3388,89416,20864,True,True,7500,True,13500,True,-4112,75916,13364,-1,-1,-1,100.0,267.0,0,18967.0,2710.0,81300.0,100.0,1,1
2015-11-06,2015-11-06 00:00:00,Chevron,MANSFIELD OIL COMPANY : CHV5246494,2778 STOCKTON CA TRM NUSTAR,DIESEL #2,2710,81287,18967,1,15000,0,15000,15000,28500,0,28500,22500,1,w2,15000,0,22500,3388,89416,20864,Out,Available,Out,125%,125,110%,110,110%,110,Above Trend,Above Trend,Above Trend,11/07 00:00:00 PST,12/01 00:00:00 PST,w2,0,2015-11-11 00:00:00,Contract,Contract,Contract,2710,2710,81287,81287,18967,-11613,60916,-1636,7500,7500,7500,-4113,-4113,-4113,7885391,7885393,7885392,2015-11-06 22:18:49,2015-11-06 22:18:49,2015-11-06 22:18:49,Mansfield,Mansfield,Mansfield,2710,81287,18967,3388,89416,20864,True,True,22500,True,28500,True,-11612,60916,-1636,7500,-1,7500,175.0,667.0,0,18967.0,2710.0,81300.0,175.0,1,1
2015-11-07,2015-11-07 00:00:00,Chevron,MANSFIELD OIL COMPANY : CHV5246494,2778 STOCKTON CA TRM NUSTAR,DIESEL #2,2710,81287,18967,1,0,0,0,0,28500,0,28500,22500,1,w2,0,0,22500,3388,89416,20864,Available,Available,Out,125%,125,110%,110,110%,110,Below Trend,Above Trend,Above Trend,11/08 00:00:00 PST,12/01 00:00:00 PST,w2,0,2015-11-11 00:00:00,Contract,Contract,Contract,2710,2710,81287,81287,18967,3388,60916,-1636,0,0,0,0,0,0,7928825,7928827,7928826,2015-11-07 22:18:36,2015-11-07 22:18:36,2015-11-07 22:18:36,Mansfield,Mansfield,Mansfield,2710,81287,18967,3388,89416,20864,True,True,22500,True,28500,True,3388,60916,-1636,-1,-1,-1,150.0,0.0,0,18967.0,2710.0,81300.0,150.0,1,1
2015-11-08,2015-11-08 00:00:00,Chevron,MANSFIELD OIL COMPANY : CHV5246494,2778 STOCKTON CA TRM NUSTAR,DIESEL #2,2710,81287,18967,1,0,0,0,0,28500,0,28500,22500,1,w2,0,0,22500,3388,89416,20864,Available,Available,Out,125%,125,110%,110,110%,110,Below Trend,Above Trend,Above Trend,11/09 00:00:00 PST,12/01 00:00:00 PST,w2,0,2015-11-11 00:00:00,Contract,Contract,Contract,2710,2710,81287,81287,18967,3388,60916,-1636,0,0,0,0,0,0,7980177,7980179,7980178,2015-11-08 23:42:08,2015-11-08 23:42:08,2015-11-08 23:42:08,Mansfield,Mansfield,Mansfield,2710,81287,18967,3388,89416,20864,True,True,22500,True,28500,True,3388,60916,-1636,-1,-1,-1,131.0,0.0,0,18967.0,2710.0,81300.0,131.0,1,1
2015-11-09,2015-11-09 00:00:00,Chevron,MANSFIELD OIL COMPANY : CHV5246494,2778 STOCKTON CA TRM NUSTAR,DIESEL #2,2710,81287,18967,1,7500,0,7500,7500,36000,0,36000,30000,1,w2,7500,0,30000,3388,89416,20864,Low,Available,Out,125%,125,110%,110,110%,110,Above Trend,Above Trend,Above Trend,11/10 00:00:00 PST,12/01 00:00:00 PST,w2,0,2015-11-11 00:00:00,Contract,Contract,Contract,2710,2710,81287,81287,18967,-4113,53416,-9136,15000,15000,15000,7500,7500,7500,8023553,8023555,8023554,2015-11-09 19:15:31,2015-11-09 19:15:31,2015-11-09 19:15:31,Mansfield,Mansfield,Mansfield,2710,81287,18967,3388,89416,20864,True,True,30000,True,36000,True,-4112,53416,-9136,15000,-1,15000,148.0,267.0,0,18967.0,2710.0,81300.0,148.0,1,1
2015-11-10,2015-11-10 00:00:00,Chevron,MANSFIELD OIL COMPANY : CHV5246494,2778 STOCKTON CA TRM NUSTAR,DIESEL #2,2710,81287,18967,1,0,0,0,0,36000,0,36000,30000,1,w2,0,0,30000,3388,89416,20864,Available,Available,Out,125%,125,110%,110,110%,110,Below Trend,Above Trend,Above Trend,11/11 00:00:00 PST,12/01 00:00:00 PST,w2,0,2015-11-11 00:00:00,Contract,Contract,Contract,2710,2710,81287,81287,18967,3388,53416,-9136,0,0,0,0,0,0,8079758,8079760,8079759,2015-11-10 23:36:04,2015-11-10 23:36:04,2015-11-10 23:36:04,Mansfield,Mansfield,Mansfield,2710,81287,18967,3388,89416,20864,True,True,30000,True,36000,True,3388,53416,-9136,-1,-1,-1,133.0,0.0,100,18967.0,2710.0,81300.0,133.0,1,1
