,date,supplier_name,account_type,supplier_terminal_name,product_name,base_gallons_Daily,base_gallons_Monthly,base_gallons_Weekly,lifted_gallons_daily_flag,lifted_gallons_daily_modified,Modified_WeeksByLiftedGallons,lifted_gallons_modified_WeeksByLiftedGallons,lifted_gallons_Daily,Lifted_actual_monthly,lifted_gallons_monthly_flag,lifted_gallons_Monthly,Lifted_actual_weekly,lifted_gallons_weekly_flag,WeeksByLiftedGallons,lifted_gallonsWeekly_modified_aposteriori,Modified_LiftedGallonsaposteriori,lifted_gallons_Weekly,beginning_gallons_Daily,beginning_gallons_Monthly,beginning_gallons_Weekly,en_allocation_status_Daily,en_allocation_status_Monthly,en_allocation_status_Weekly,percentage_allocation_Daily_actual,percentage_allocation_Daily,percentage_allocation_Monthly_actual,percentage_allocation_Monthly,percentage_allocation_Weekly_actual,percentage_allocation_Weekly,alerts_ratability_Daily,alerts_ratability_Monthly,alerts_ratability_Weekly,next_refresh_date_Daily,next_refresh_date_Monthly,Week_switch,Modified_NRD,next_refresh_date_Weekly,en_account_type_Daily,en_account_type_Monthly,en_account_type_Weekly,NRB_Daily,next_refresh_base_gallons_Daily,NRB_Monthly,next_refresh_base_gallons_Monthly,next_refresh_base_gallons_Weekly,remaining_gallons_Daily,remaining_gallons_Monthly,remaining_gallons_Weekly,additional_gallons_allowed_Daily,additional_gallons_allowed_Monthly,additional_gallons_allowed_Weekly,additional_gallons_remaining_Daily,additional_gallons_remaining_Monthly,additional_gallons_remaining_Weekly,staging_id_Daily,staging_id_Monthly,staging_id_Weekly,execution_date_Daily,execution_date_Monthly,execution_date_Weekly,customer_name_Daily,customer_name_Monthly,customer_name_Weekly,base_gallons_Daily_Reconciled,base_gallons_Monthly_Reconciled,base_gallons_Weekly_Reconciled,beginning_gallons_Daily_Reconciled,beginning_gallons_Monthly_Reconciled,beginning_gallons_Weekly_Reconciled,sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,computedWeekly,sanityComputedWeekly,computedMonthly,sanityComputedMonthly,remaining_gallons_Daily_Reconciled,remaining_gallons_Monthly_Reconciled,remaining_gallons_Weekly_Reconciled,additional_gallons_remaining_Daily_Reconciled,additional_gallons_remaining_Monthly_Reconciled,additional_gallons_remaining_Weekly_Reconciled,Ratability_Monthly,Ratability_Daily,Ratability_Weekly,Synthetic_Base_Weekly,Synthetic_Base_Daily,Synthetic_Base_Monthly,Ratability_Monthly_computed,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
2015-11-01,2015-11-01 00:00:00,Chevron,MANSFIELD OIL COMPANY : CHV5246494,3351 PHOENIX AZ TRM KINDER MORGAN,DIESEL #2,8755,262650,61285,1,0,3,0,0,0,0,0,5500,1,w1,0,0,0,8755,262650,61285,Available,Available,Available,100%,100,100%,100,100%,100,Below Trend,Below Trend,Below Trend,11/02 00:00:00 MST,12/01 00:00:00 MST,w1,0,2015-11-04 00:00:00,Contract,Contract,Contract,8755,8755,262650,262650,61285,8755,262650,55785,0,0,0,0,0,0,7364545,7364547,7364546,2015-11-01 22:19:18,2015-11-01 22:19:18,2015-11-01 22:19:18,Mansfield,Mansfield,Mansfield,8755,262650,61285,8755,262650,61285,True,False,0,True,0,True,8755,262650,61285,-1,-1,-1,-1.0,0.0,0,61285.0,8755.0,262650.0,-1.0,1,1
2015-11-02,2015-11-02 00:00:00,Chevron,MANSFIELD OIL COMPANY : CHV5246494,3351 PHOENIX AZ TRM KINDER MORGAN,DIESEL #2,8755,262650,61285,1,15000,3,15000,15000,15000,0,15000,20500,1,w1,15000,0,15000,8755,262650,61285,Out,Available,Available,100%,100,100%,100,100%,100,Above Trend,Above Trend,On Target,11/03 00:00:00 MST,12/01 00:00:00 MST,w1,0,2015-11-04 00:00:00,Contract,Contract,Contract,8755,8755,262650,262650,61285,-6245,247650,40785,0,0,0,0,0,0,7414168,7414170,7414169,2015-11-02 22:19:24,2015-11-02 22:19:24,2015-11-02 22:19:24,Mansfield,Mansfield,Mansfield,8755,262650,61285,8755,262650,61285,True,False,15000,True,15000,True,-6245,247650,46285,-1,-1,-1,86.0,133.0,0,61285.0,8755.0,262650.0,86.0,1,1
2015-11-03,2015-11-03 00:00:00,Chevron,MANSFIELD OIL COMPANY : CHV5246494,3351 PHOENIX AZ TRM KINDER MORGAN,DIESEL #2,8755,262650,61285,1,15000,0,15000,15000,30000,0,30000,35500,1,w1,15000,0,30000,8755,262650,61285,Out,Available,Available,100%,100,100%,100,100%,100,Above Trend,Above Trend,On Target,11/04 00:00:00 MST,12/01 00:00:00 MST,w1,0,2015-11-04 00:00:00,Contract,Contract,Contract,8755,8755,262650,262650,61285,-6245,232650,25785,0,0,0,0,0,0,7475256,7475258,7475257,2015-11-03 22:10:19,2015-11-03 22:10:19,2015-11-03 22:10:19,Mansfield,Mansfield,Mansfield,8755,262650,61285,8755,262650,61285,True,False,30000,True,30000,True,-6245,232650,31285,-1,-1,-1,114.0,133.0,0,61285.0,8755.0,262650.0,114.0,1,1
2015-11-04,2015-11-04 00:00:00,Chevron,MANSFIELD OIL COMPANY : CHV5246494,3351 PHOENIX AZ TRM KINDER MORGAN,DIESEL #2,8755,262650,61285,1,14803,0,14803,14803,44803,0,44803,14803,1,w2,14803,0,14803,8755,262650,61285,Out,Available,Available,100%,100,100%,100,100%,100,Above Trend,Above Trend,Above Trend,11/05 00:00:00 MST,12/01 00:00:00 MST,w2,0,2015-11-11 00:00:00,Contract,Contract,Contract,8755,8755,262650,262650,61285,-6048,217847,46482,0,0,0,0,0,0,7699195,7699197,7699196,2015-11-04 23:44:05,2015-11-04 23:44:05,2015-11-04 23:44:05,Mansfield,Mansfield,Mansfield,8755,262650,61285,8755,262650,61285,True,True,14803,True,44803,True,-6048,217847,46482,-1,-1,-1,128.0,133.0,0,61285.0,8755.0,262650.0,128.0,1,1
2015-11-05,2015-11-05 00:00:00,Chevron,MANSFIELD OIL COMPANY : CHV5246494,3351 PHOENIX AZ TRM KINDER MORGAN,DIESEL #2,8755,262650,61285,1,15200,0,15200,15200,60003,0,60003,30003,1,w2,15200,0,30003,8755,262650,61285,Out,Available,Available,100%,100,100%,100,100%,100,Above Trend,Above Trend,Above Trend,11/06 00:00:00 MST,12/01 00:00:00 MST,w2,0,2015-11-11 00:00:00,Contract,Contract,Contract,8755,8755,262650,262650,61285,-6445,202647,31282,0,0,0,0,0,0,7836868,7836870,7836869,2015-11-05 22:10:57,2015-11-05 22:10:57,2015-11-05 22:10:57,Mansfield,Mansfield,Mansfield,8755,262650,61285,8755,262650,61285,True,True,30003,True,60003,True,-6445,202647,31282,-1,-1,-1,137.0,133.0,0,61285.0,8755.0,262650.0,137.0,1,1
2015-11-06,2015-11-06 00:00:00,Chevron,MANSFIELD OIL COMPANY : CHV5246494,3351 PHOENIX AZ TRM KINDER MORGAN,DIESEL #2,8755,262650,61285,1,15000,0,15000,15000,75003,0,75003,45003,1,w2,15000,0,45003,8755,262650,61285,Out,Available,Limited,100%,100,100%,100,100%,100,Above Trend,Above Trend,Above Trend,11/07 00:00:00 MST,12/01 00:00:00 MST,w2,0,2015-11-11 00:00:00,Contract,Contract,Contract,8755,8755,262650,262650,61285,-6245,187647,16282,0,0,0,0,0,0,7885397,7885399,7885398,2015-11-06 22:18:49,2015-11-06 22:18:49,2015-11-06 22:18:49,Mansfield,Mansfield,Mansfield,8755,262650,61285,8755,262650,61285,True,True,45003,True,75003,True,-6245,187647,16282,-1,-1,-1,143.0,133.0,0,61285.0,8755.0,262650.0,143.0,1,1
2015-11-07,2015-11-07 00:00:00,Chevron,MANSFIELD OIL COMPANY : CHV5246494,3351 PHOENIX AZ TRM KINDER MORGAN,DIESEL #2,8755,262650,61285,1,7201,0,7201,7201,82204,0,82204,52204,1,w2,7201,0,52204,8755,262650,61285,Low,Available,Low,100%,100,100%,100,100%,100,Above Trend,Above Trend,Above Trend,11/08 00:00:00 MST,12/01 00:00:00 MST,w2,0,2015-11-11 00:00:00,Contract,Contract,Contract,8755,8755,262650,262650,61285,1554,180446,9081,0,0,0,0,0,0,7928831,7928833,7928832,2015-11-07 22:18:36,2015-11-07 22:18:36,2015-11-07 22:18:36,Mansfield,Mansfield,Mansfield,8755,262650,61285,8755,262650,61285,True,True,52204,True,82204,True,1554,180446,9081,-1,-1,-1,134.0,0.0,0,61285.0,8755.0,262650.0,134.0,1,1
2015-11-08,2015-11-08 00:00:00,Chevron,MANSFIELD OIL COMPANY : CHV5246494,3351 PHOENIX AZ TRM KINDER MORGAN,DIESEL #2,8755,262650,61285,1,0,0,0,0,82204,0,82204,52204,1,w2,0,0,52204,8755,262650,61285,Available,Available,Low,100%,100,100%,100,100%,100,Below Trend,Above Trend,Above Trend,11/09 00:00:00 MST,12/01 00:00:00 MST,w2,0,2015-11-11 00:00:00,Contract,Contract,Contract,8755,8755,262650,262650,61285,8755,180446,9081,0,0,0,0,0,0,7980183,7980185,7980184,2015-11-08 23:42:08,2015-11-08 23:42:08,2015-11-08 23:42:08,Mansfield,Mansfield,Mansfield,8755,262650,61285,8755,262650,61285,True,True,52204,True,82204,True,8755,180446,9081,-1,-1,-1,117.0,0.0,0,61285.0,8755.0,262650.0,117.0,1,1
2015-11-09,2015-11-09 00:00:00,Chevron,MANSFIELD OIL COMPANY : CHV5246494,3351 PHOENIX AZ TRM KINDER MORGAN,DIESEL #2,8755,262650,61285,1,7200,0,7200,7200,89404,0,89404,59404,1,w2,7200,0,59404,8755,262650,61285,Low,Available,Low,100%,100,100%,100,100%,100,Above Trend,Above Trend,Above Trend,11/10 00:00:00 MST,12/01 00:00:00 MST,w2,0,2015-11-11 00:00:00,Contract,Contract,Contract,8755,8755,262650,262650,61285,1555,173246,1881,0,0,0,0,0,0,8023559,8023561,8023560,2015-11-09 19:15:31,2015-11-09 19:15:31,2015-11-09 19:15:31,Mansfield,Mansfield,Mansfield,8755,262650,61285,8755,262650,61285,True,True,59404,True,89404,True,1555,173246,1881,-1,-1,-1,113.0,0.0,0,61285.0,8755.0,262650.0,113.0,1,1
2015-11-10,2015-11-10 00:00:00,Chevron,MANSFIELD OIL COMPANY : CHV5246494,3351 PHOENIX AZ TRM KINDER MORGAN,DIESEL #2,8755,262650,61285,1,7500,0,7500,7500,96904,0,96904,66904,1,w2,7500,0,66904,8755,262650,61285,Low,Available,Out,100%,100,100%,100,100%,100,Above Trend,Above Trend,Above Trend,11/11 00:00:00 MST,12/01 00:00:00 MST,w2,0,2015-11-11 00:00:00,Contract,Contract,Contract,8755,8755,262650,262650,61285,1255,165746,-5619,0,0,0,0,0,0,8079764,8079766,8079765,2015-11-10 23:36:04,2015-11-10 23:36:04,2015-11-10 23:36:04,Mansfield,Mansfield,Mansfield,8755,262650,61285,8755,262650,61285,True,True,66904,True,96904,True,1255,165746,-5619,-1,-1,-1,111.0,0.0,100,61285.0,8755.0,262650.0,111.0,1,1
