,supplier_name,en_account_type,alerts_ratability,en_allocation_status,percentage_allocation,account_type,base_gallons,beginning_gallons,supplier_terminal_name,lifted_gallons,remaining_gallons,additional_gallons_allowed,additional_gallons_remaining,next_refresh_date,next_refresh_base_gallons,product_name,period,batchno,execution_date,staging_id,customer_name,date
0,Chevron,Contract,Below Trend,Available,150%,MANSFIELD OIL COMPANY : AC5246494,12,18,1025 DORAVILLE GA TRM CHEVRON,0,18,0,0,10/02 00:00:00 EDT,12,DIESEL #2,Daily,9,2015-10-01 22:17:02,5862112,Mansfield,2015-10-01
1,Chevron,Contract,Below Trend,Available,110%,MANSFIELD OIL COMPANY : AC5246494,381,419,1025 DORAVILLE GA TRM CHEVRON,0,419,0,0,11/01 00:00:00 EST,381,DIESEL #2,Monthly,9,2015-10-01 22:17:02,5862114,Mansfield,2015-10-01
2,Chevron,Contract,Below Trend,Available,125%,MANSFIELD OIL COMPANY : AC5246494,86,108,1025 DORAVILLE GA TRM CHEVRON,0,108,0,0,10/07 00:00:00 EDT,86,DIESEL #2,Weekly,9,2015-10-01 22:17:02,5862113,Mansfield,2015-10-01
3,Chevron,Contract,Below Trend,Available,150%,MANSFIELD OIL COMPANY : AC5246494,12,18,1025 DORAVILLE GA TRM CHEVRON,0,18,0,0,10/03 00:00:00 EDT,12,DIESEL #2,Daily,10,2015-10-02 22:16:22,5914734,Mansfield,2015-10-02
4,Chevron,Contract,Below Trend,Available,110%,MANSFIELD OIL COMPANY : AC5246494,381,419,1025 DORAVILLE GA TRM CHEVRON,0,419,0,0,11/01 00:00:00 EST,381,DIESEL #2,Monthly,10,2015-10-02 22:16:22,5914736,Mansfield,2015-10-02
5,Chevron,Contract,Below Trend,Available,125%,MANSFIELD OIL COMPANY : AC5246494,86,108,1025 DORAVILLE GA TRM CHEVRON,0,108,0,0,10/07 00:00:00 EDT,86,DIESEL #2,Weekly,10,2015-10-02 22:16:22,5914735,Mansfield,2015-10-02
6,Chevron,Contract,Below Trend,Available,150%,MANSFIELD OIL COMPANY : AC5246494,12,18,1025 DORAVILLE GA TRM CHEVRON,0,18,0,0,10/04 00:00:00 EDT,12,DIESEL #2,Daily,10,2015-10-03 22:16:28,5961438,Mansfield,2015-10-03
7,Chevron,Contract,Below Trend,Available,110%,MANSFIELD OIL COMPANY : AC5246494,381,419,1025 DORAVILLE GA TRM CHEVRON,0,419,0,0,11/01 00:00:00 EST,381,DIESEL #2,Monthly,10,2015-10-03 22:16:28,5961440,Mansfield,2015-10-03
8,Chevron,Contract,Below Trend,Available,125%,MANSFIELD OIL COMPANY : AC5246494,86,108,1025 DORAVILLE GA TRM CHEVRON,0,108,0,0,10/07 00:00:00 EDT,86,DIESEL #2,Weekly,10,2015-10-03 22:16:28,5961439,Mansfield,2015-10-03
9,Chevron,Contract,Below Trend,Available,150%,MANSFIELD OIL COMPANY : AC5246494,12,18,1025 DORAVILLE GA TRM CHEVRON,0,18,0,0,10/05 00:00:00 EDT,12,DIESEL #2,Daily,10,2015-10-04 22:17:23,6007903,Mansfield,2015-10-04
10,Chevron,Contract,Below Trend,Available,110%,MANSFIELD OIL COMPANY : AC5246494,381,419,1025 DORAVILLE GA TRM CHEVRON,0,419,0,0,11/01 00:00:00 EST,381,DIESEL #2,Monthly,10,2015-10-04 22:17:23,6007905,Mansfield,2015-10-04
11,Chevron,Contract,Below Trend,Available,125%,MANSFIELD OIL COMPANY : AC5246494,86,108,1025 DORAVILLE GA TRM CHEVRON,0,108,0,0,10/07 00:00:00 EDT,86,DIESEL #2,Weekly,10,2015-10-04 22:17:23,6007904,Mansfield,2015-10-04
