,date,supplier_name,account_type,supplier_terminal_name,product_name,base_gallons_Daily,base_gallons_Monthly,base_gallons_Weekly,lifted_gallons_daily_flag,lifted_gallons_daily_modified,Modified_WeeksByLiftedGallons,lifted_gallons_modified_WeeksByLiftedGallons,lifted_gallons_Daily,Lifted_actual_monthly,lifted_gallons_monthly_flag,lifted_gallons_Monthly,Lifted_actual_weekly,lifted_gallons_weekly_flag,WeeksByLiftedGallons,lifted_gallonsWeekly_modified_aposteriori,Modified_LiftedGallonsaposteriori,lifted_gallons_Weekly,beginning_gallons_Daily,beginning_gallons_Monthly,beginning_gallons_Weekly,en_allocation_status_Daily,en_allocation_status_Monthly,en_allocation_status_Weekly,percentage_allocation_Daily_actual,percentage_allocation_Daily,percentage_allocation_Monthly_actual,percentage_allocation_Monthly,percentage_allocation_Weekly_actual,percentage_allocation_Weekly,alerts_ratability_Daily,alerts_ratability_Monthly,alerts_ratability_Weekly,next_refresh_date_Daily,next_refresh_date_Monthly,Week_switch,Modified_NRD,next_refresh_date_Weekly,en_account_type_Daily,en_account_type_Monthly,en_account_type_Weekly,NRB_Daily,next_refresh_base_gallons_Daily,NRB_Monthly,next_refresh_base_gallons_Monthly,next_refresh_base_gallons_Weekly,remaining_gallons_Daily,remaining_gallons_Monthly,remaining_gallons_Weekly,additional_gallons_allowed_Daily,additional_gallons_allowed_Monthly,additional_gallons_allowed_Weekly,additional_gallons_remaining_Daily,additional_gallons_remaining_Monthly,additional_gallons_remaining_Weekly,staging_id_Daily,staging_id_Monthly,staging_id_Weekly,execution_date_Daily,execution_date_Monthly,execution_date_Weekly,customer_name_Daily,customer_name_Monthly,customer_name_Weekly,base_gallons_Daily_Reconciled,base_gallons_Monthly_Reconciled,base_gallons_Weekly_Reconciled,beginning_gallons_Daily_Reconciled,beginning_gallons_Monthly_Reconciled,beginning_gallons_Weekly_Reconciled,sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,computedWeekly,sanityComputedWeekly,computedMonthly,sanityComputedMonthly,remaining_gallons_Daily_Reconciled,remaining_gallons_Monthly_Reconciled,remaining_gallons_Weekly_Reconciled,additional_gallons_remaining_Daily_Reconciled,additional_gallons_remaining_Monthly_Reconciled,additional_gallons_remaining_Weekly_Reconciled,Ratability_Monthly,Ratability_Daily,Ratability_Weekly,Synthetic_Base_Weekly,Synthetic_Base_Daily,Synthetic_Base_Monthly,Ratability_Monthly_computed,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
2015-10-01,2015-10-01 00:00:00,Chevron,MANSFIELD OIL COMPANY : AC5246494,3352 COLUMBUS GA TRM KINDER MORGAN,DIESEL #2,42,1302,294,1,0,0,0,0,0,0,0,0,1,w1,0,0,0,63,1302,323,Available,Available,Available,150%,150,100%,100,110%,110,Below Trend,Below Trend,Below Trend,10/02 00:00:00 EDT,11/01 00:00:00 EST,w1,0,2015-10-07 00:00:00,Contract,Contract,Contract,42,42,1302,1302,294,63,1302,323,0,0,0,0,0,0,5862175,5862177,5862176,2015-10-01 22:17:02,2015-10-01 22:17:02,2015-10-01 22:17:02,Mansfield,Mansfield,Mansfield,42,1302,294,63,1302,323,True,True,0,True,0,True,63,1302,323,-1,-1,-1,-1.0,0.0,0,294.0,42.0,1302.0,-1.0,1,1
2015-10-02,2015-10-02 00:00:00,Chevron,MANSFIELD OIL COMPANY : AC5246494,3352 COLUMBUS GA TRM KINDER MORGAN,DIESEL #2,42,1302,294,1,0,0,0,0,0,0,0,0,1,w1,0,0,0,63,1302,323,Available,Available,Available,150%,150,100%,100,110%,110,Below Trend,Below Trend,Below Trend,10/03 00:00:00 EDT,11/01 00:00:00 EST,w1,0,2015-10-07 00:00:00,Contract,Contract,Contract,42,42,1302,1302,294,63,1302,323,0,0,0,0,0,0,5914797,5914799,5914798,2015-10-02 22:16:22,2015-10-02 22:16:22,2015-10-02 22:16:22,Mansfield,Mansfield,Mansfield,42,1302,294,63,1302,323,True,True,0,True,0,True,63,1302,323,-1,-1,-1,-1.0,0.0,0,294.0,42.0,1302.0,-1.0,1,1
2015-10-03,2015-10-03 00:00:00,Chevron,MANSFIELD OIL COMPANY : AC5246494,3352 COLUMBUS GA TRM KINDER MORGAN,DIESEL #2,42,1302,294,1,0,0,0,0,0,0,0,0,1,w1,0,0,0,63,1302,323,Available,Available,Available,150%,150,100%,100,110%,110,Below Trend,Below Trend,Below Trend,10/04 00:00:00 EDT,11/01 00:00:00 EST,w1,0,2015-10-07 00:00:00,Contract,Contract,Contract,42,42,1302,1302,294,63,1302,323,0,0,0,0,0,0,5961501,5961503,5961502,2015-10-03 22:16:28,2015-10-03 22:16:28,2015-10-03 22:16:28,Mansfield,Mansfield,Mansfield,42,1302,294,63,1302,323,True,True,0,True,0,True,63,1302,323,-1,-1,-1,-1.0,0.0,0,294.0,42.0,1302.0,-1.0,1,1
2015-10-04,2015-10-04 00:00:00,Chevron,MANSFIELD OIL COMPANY : AC5246494,3352 COLUMBUS GA TRM KINDER MORGAN,DIESEL #2,42,1302,294,1,0,0,0,0,0,0,0,0,1,w1,0,0,0,63,1302,323,Available,Available,Available,150%,150,100%,100,110%,110,Below Trend,Below Trend,Below Trend,10/05 00:00:00 EDT,11/01 00:00:00 EST,w1,0,2015-10-07 00:00:00,Contract,Contract,Contract,42,42,1302,1302,294,63,1302,323,0,0,0,0,0,0,6007966,6007968,6007967,2015-10-04 22:17:23,2015-10-04 22:17:23,2015-10-04 22:17:23,Mansfield,Mansfield,Mansfield,42,1302,294,63,1302,323,True,True,0,True,0,True,63,1302,323,-1,-1,-1,-1.0,0.0,0,294.0,42.0,1302.0,-1.0,1,1
2015-10-05,2015-10-05 00:00:00,Chevron,MANSFIELD OIL COMPANY : AC5246494,3352 COLUMBUS GA TRM KINDER MORGAN,DIESEL #2,42,1302,294,1,0,0,0,0,0,0,0,0,1,w1,0,0,0,63,1302,323,Available,Available,Available,150%,150,100%,100,110%,110,Below Trend,Below Trend,Below Trend,10/06 00:00:00 EDT,11/01 00:00:00 EST,w1,0,2015-10-07 00:00:00,Contract,Contract,Contract,42,42,1302,1302,294,63,1302,323,0,0,0,0,0,0,6062340,6062342,6062341,2015-10-05 22:16:54,2015-10-05 22:16:54,2015-10-05 22:16:54,Mansfield,Mansfield,Mansfield,42,1302,294,63,1302,323,True,True,0,True,0,True,63,1302,323,-1,-1,-1,-1.0,0.0,0,294.0,42.0,1302.0,-1.0,1,1
2015-10-06,2015-10-06 00:00:00,Chevron,MANSFIELD OIL COMPANY : AC5246494,3352 COLUMBUS GA TRM KINDER MORGAN,DIESEL #2,42,1302,294,1,0,0,0,0,0,0,0,0,1,w1,0,0,0,63,1302,323,Available,Available,Available,150%,150,100%,100,110%,110,Below Trend,Below Trend,Below Trend,10/07 00:00:00 EDT,11/01 00:00:00 EST,w1,0,2015-10-07 00:00:00,Contract,Contract,Contract,42,42,1302,1302,294,63,1302,323,0,0,0,0,0,0,6119100,6119102,6119101,2015-10-06 22:18:00,2015-10-06 22:18:00,2015-10-06 22:18:00,Mansfield,Mansfield,Mansfield,42,1302,294,63,1302,323,True,True,0,True,0,True,63,1302,323,-1,-1,-1,-1.0,0.0,0,294.0,42.0,1302.0,-1.0,1,1
2015-10-07,2015-10-07 00:00:00,Chevron,MANSFIELD OIL COMPANY : AC5246494,3352 COLUMBUS GA TRM KINDER MORGAN,DIESEL #2,42,1302,294,1,0,0,0,0,0,0,0,0,1,w1,0,0,0,63,1302,323,Available,Available,Available,150%,150,100%,100,110%,110,Below Trend,Below Trend,Below Trend,10/08 00:00:00 EDT,11/01 00:00:00 EST,w2,0,2015-10-14 00:00:00,Contract,Contract,Contract,42,42,1302,1302,294,63,1302,323,0,0,0,0,0,0,6169118,6169120,6169119,2015-10-07 22:17:14,2015-10-07 22:17:14,2015-10-07 22:17:14,Mansfield,Mansfield,Mansfield,42,1302,294,63,1302,323,True,True,0,True,0,True,63,1302,323,-1,-1,-1,-1.0,0.0,0,294.0,42.0,1302.0,-1.0,1,1
2015-10-08,2015-10-08 00:00:00,Chevron,MANSFIELD OIL COMPANY : AC5246494,3352 COLUMBUS GA TRM KINDER MORGAN,DIESEL #2,42,1302,294,1,0,0,0,0,0,0,0,0,1,w1,0,0,0,63,1302,323,Available,Available,Available,150%,150,100%,100,110%,110,Below Trend,Below Trend,Below Trend,10/09 00:00:00 EDT,11/01 00:00:00 EST,w2,0,2015-10-14 00:00:00,Contract,Contract,Contract,42,42,1302,1302,294,63,1302,323,0,0,0,0,0,0,6222261,6222263,6222262,2015-10-08 22:18:29,2015-10-08 22:18:29,2015-10-08 22:18:29,Mansfield,Mansfield,Mansfield,42,1302,294,63,1302,323,True,True,0,True,0,True,63,1302,323,-1,-1,-1,-1.0,0.0,0,294.0,42.0,1302.0,-1.0,1,1
2015-10-09,2015-10-09 00:00:00,Chevron,MANSFIELD OIL COMPANY : AC5246494,3352 COLUMBUS GA TRM KINDER MORGAN,DIESEL #2,42,1302,294,1,0,0,0,0,0,0,0,0,1,w1,0,0,0,63,1302,323,Available,Available,Available,150%,150,100%,100,110%,110,Below Trend,Below Trend,Below Trend,10/10 00:00:00 EDT,11/01 00:00:00 EST,w2,0,2015-10-14 00:00:00,Contract,Contract,Contract,42,42,1302,1302,294,63,1302,323,0,0,0,0,0,0,6273361,6273363,6273362,2015-10-09 22:18:49,2015-10-09 22:18:49,2015-10-09 22:18:49,Mansfield,Mansfield,Mansfield,42,1302,294,63,1302,323,True,True,0,True,0,True,63,1302,323,-1,-1,-1,-1.0,0.0,0,294.0,42.0,1302.0,-1.0,1,1
2015-10-10,2015-10-10 00:00:00,Chevron,MANSFIELD OIL COMPANY : AC5246494,3352 COLUMBUS GA TRM KINDER MORGAN,DIESEL #2,42,1302,294,1,0,0,0,0,0,0,0,0,1,w1,0,0,0,63,1302,323,Available,Available,Available,150%,150,100%,100,110%,110,Below Trend,Below Trend,Below Trend,10/11 00:00:00 EDT,11/01 00:00:00 EST,w2,0,2015-10-14 00:00:00,Contract,Contract,Contract,42,42,1302,1302,294,63,1302,323,0,0,0,0,0,0,6322495,6322497,6322496,2015-10-10 22:18:27,2015-10-10 22:18:27,2015-10-10 22:18:27,Mansfield,Mansfield,Mansfield,42,1302,294,63,1302,323,True,True,0,True,0,True,63,1302,323,-1,-1,-1,-1.0,0.0,0,294.0,42.0,1302.0,-1.0,1,1
