,date,supplier_name,account_type,supplier_terminal_name,product_name,base_gallons_Daily,base_gallons_Monthly,base_gallons_Weekly,lifted_gallons_daily_flag,lifted_gallons_daily_modified,Modified_WeeksByLiftedGallons,lifted_gallons_modified_WeeksByLiftedGallons,lifted_gallons_Daily,Lifted_actual_monthly,lifted_gallons_monthly_flag,lifted_gallons_Monthly,Lifted_actual_weekly,lifted_gallons_weekly_flag,WeeksByLiftedGallons,lifted_gallonsWeekly_modified_aposteriori,Modified_LiftedGallonsaposteriori,lifted_gallons_Weekly,beginning_gallons_Daily,beginning_gallons_Monthly,beginning_gallons_Weekly,en_allocation_status_Daily,en_allocation_status_Monthly,en_allocation_status_Weekly,percentage_allocation_Daily_actual,percentage_allocation_Daily,percentage_allocation_Monthly_actual,percentage_allocation_Monthly,percentage_allocation_Weekly_actual,percentage_allocation_Weekly,alerts_ratability_Daily,alerts_ratability_Monthly,alerts_ratability_Weekly,next_refresh_date_Daily,next_refresh_date_Monthly,Week_switch,Modified_NRD,next_refresh_date_Weekly,en_account_type_Daily,en_account_type_Monthly,en_account_type_Weekly,NRB_Daily,next_refresh_base_gallons_Daily,NRB_Monthly,next_refresh_base_gallons_Monthly,next_refresh_base_gallons_Weekly,remaining_gallons_Daily,remaining_gallons_Monthly,remaining_gallons_Weekly,additional_gallons_allowed_Daily,additional_gallons_allowed_Monthly,additional_gallons_allowed_Weekly,additional_gallons_remaining_Daily,additional_gallons_remaining_Monthly,additional_gallons_remaining_Weekly,staging_id_Daily,staging_id_Monthly,staging_id_Weekly,execution_date_Daily,execution_date_Monthly,execution_date_Weekly,customer_name_Daily,customer_name_Monthly,customer_name_Weekly,base_gallons_Daily_Reconciled,base_gallons_Monthly_Reconciled,base_gallons_Weekly_Reconciled,beginning_gallons_Daily_Reconciled,beginning_gallons_Monthly_Reconciled,beginning_gallons_Weekly_Reconciled,sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,computedWeekly,sanityComputedWeekly,computedMonthly,sanityComputedMonthly,remaining_gallons_Daily_Reconciled,remaining_gallons_Monthly_Reconciled,remaining_gallons_Weekly_Reconciled,additional_gallons_remaining_Daily_Reconciled,additional_gallons_remaining_Monthly_Reconciled,additional_gallons_remaining_Weekly_Reconciled,Ratability_Monthly,Ratability_Daily,Ratability_Weekly,Synthetic_Base_Weekly,Synthetic_Base_Daily,Synthetic_Base_Monthly,Ratability_Monthly_computed,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
2015-10-01,2015-10-01 00:00:00,Chevron,MANSFIELD OIL COMPANY : CHV5246494,1021 FT LAUDERDALE FL TRM CHEVRON,DIESEL #2,8243,255523,57699,1,7250,0,7250,7250,7250,0,7250,7250,1,w1,7250,0,7250,12365,281075,72124,Available,Available,Available,150%,150,110%,110,125%,125,On Target,Above Trend,On Target,10/02 00:00:00 EDT,11/01 00:00:00 EST,w1,0,2015-10-07 00:00:00,Contract,Contract,Contract,8243,8243,255523,255523,57699,5115,273825,64874,0,0,0,0,0,0,5862106,5862108,5862107,2015-10-01 22:17:02,2015-10-01 22:17:02,2015-10-01 22:17:02,Mansfield,Mansfield,Mansfield,8243,255523,57699,12364,281075,72123,True,True,7250,True,7250,True,5115,273825,64874,-1,-1,-1,88.0,0.0,0,57699.0,8243.0,255533.0,88.0,1,1
2015-10-02,2015-10-02 00:00:00,Chevron,MANSFIELD OIL COMPANY : CHV5246494,1021 FT LAUDERDALE FL TRM CHEVRON,DIESEL #2,8243,255523,57699,1,15011,0,15011,15011,22261,0,22261,22261,1,w1,15011,0,22261,12365,281075,72124,Out,Available,Available,150%,150,110%,110,125%,125,Above Trend,Above Trend,On Target,10/03 00:00:00 EDT,11/01 00:00:00 EST,w1,0,2015-10-07 00:00:00,Contract,Contract,Contract,8243,8243,255523,255523,57699,-2647,258814,49863,0,0,0,0,0,0,5914728,5914730,5914729,2015-10-02 22:16:22,2015-10-02 22:16:22,2015-10-02 22:16:22,Mansfield,Mansfield,Mansfield,8243,255523,57699,12365,281075,72124,True,True,22261,True,22261,True,-2646,258814,49863,-1,-1,-1,135.0,133.0,0,57699.0,8243.0,255533.0,135.0,1,1
2015-10-03,2015-10-03 00:00:00,Chevron,MANSFIELD OIL COMPANY : CHV5246494,1021 FT LAUDERDALE FL TRM CHEVRON,DIESEL #2,8243,255523,57699,1,7502,0,7502,7502,29763,0,29763,29763,1,w1,7502,0,29763,12365,281075,72124,Available,Available,Available,150%,150,110%,110,125%,125,On Target,Above Trend,On Target,10/04 00:00:00 EDT,11/01 00:00:00 EST,w1,0,2015-10-07 00:00:00,Contract,Contract,Contract,8243,8243,255523,255523,57699,4863,251312,42361,0,0,0,0,0,0,5961432,5961434,5961433,2015-10-03 22:16:28,2015-10-03 22:16:28,2015-10-03 22:16:28,Mansfield,Mansfield,Mansfield,8243,255523,57699,12365,281075,72124,True,True,29763,True,29763,True,4863,251312,42361,-1,-1,-1,120.0,0.0,0,57699.0,8243.0,255533.0,120.0,1,1
2015-10-04,2015-10-04 00:00:00,Chevron,MANSFIELD OIL COMPANY : CHV5246494,1021 FT LAUDERDALE FL TRM CHEVRON,DIESEL #2,8243,255523,57699,1,0,0,0,0,29763,0,29763,29763,1,w1,0,0,29763,12365,281075,72124,Available,Available,Available,150%,150,110%,110,125%,125,Below Trend,Above Trend,On Target,10/05 00:00:00 EDT,11/01 00:00:00 EST,w1,0,2015-10-07 00:00:00,Contract,Contract,Contract,8243,8243,255523,255523,57699,12365,251312,42361,0,0,0,0,0,0,6007897,6007899,6007898,2015-10-04 22:17:23,2015-10-04 22:17:23,2015-10-04 22:17:23,Mansfield,Mansfield,Mansfield,8243,255523,57699,12365,281075,72124,True,True,29763,True,29763,True,12365,251312,42361,-1,-1,-1,90.0,0.0,0,57699.0,8243.0,255533.0,90.0,1,1
2015-10-05,2015-10-05 00:00:00,Chevron,MANSFIELD OIL COMPANY : CHV5246494,1021 FT LAUDERDALE FL TRM CHEVRON,DIESEL #2,8243,255523,57699,1,0,0,0,0,29763,0,29763,29763,1,w1,0,0,29763,12365,281075,72124,Available,Available,Available,150%,150,110%,110,125%,125,Below Trend,On Target,On Target,10/06 00:00:00 EDT,11/01 00:00:00 EST,w1,0,2015-10-07 00:00:00,Contract,Contract,Contract,8243,8243,255523,255523,57699,12365,251312,42361,0,0,0,0,0,0,6062271,6062273,6062272,2015-10-05 22:16:54,2015-10-05 22:16:54,2015-10-05 22:16:54,Mansfield,Mansfield,Mansfield,8243,255523,57699,12365,281075,72124,True,True,29763,True,29763,True,12365,251312,42361,-1,-1,-1,72.0,0.0,0,57699.0,8243.0,255533.0,72.0,1,1
2015-10-06,2015-10-06 00:00:00,Chevron,MANSFIELD OIL COMPANY : CHV5246494,1021 FT LAUDERDALE FL TRM CHEVRON,DIESEL #2,8243,255523,57699,1,15001,0,15001,15001,44764,0,44764,44764,1,w1,15001,0,44764,12365,281075,72124,Out,Available,Available,150%,150,110%,110,125%,125,Above Trend,Above Trend,On Target,10/07 00:00:00 EDT,11/01 00:00:00 EST,w1,0,2015-10-07 00:00:00,Contract,Contract,Contract,8243,8243,255523,255523,57699,-2637,236311,27360,0,0,0,0,0,0,6119031,6119033,6119032,2015-10-06 22:18:00,2015-10-06 22:18:00,2015-10-06 22:18:00,Mansfield,Mansfield,Mansfield,8243,255523,57699,12365,281075,72124,True,True,44764,True,44764,True,-2636,236311,27360,-1,-1,-1,91.0,133.0,0,57699.0,8243.0,255533.0,91.0,1,1
2015-10-07,2015-10-07 00:00:00,Chevron,MANSFIELD OIL COMPANY : CHV5246494,1021 FT LAUDERDALE FL TRM CHEVRON,DIESEL #2,8243,255523,57699,1,15011,0,15011,15011,59775,0,59775,15011,1,w2,15011,0,15011,12365,281075,72124,Out,Available,Available,150%,150,110%,110,125%,125,Above Trend,Above Trend,Above Trend,10/08 00:00:00 EDT,11/01 00:00:00 EST,w2,0,2015-10-14 00:00:00,Contract,Contract,Contract,8243,8243,255523,255523,57699,-2647,221300,57113,0,0,0,0,0,0,6169049,6169051,6169050,2015-10-07 22:17:14,2015-10-07 22:17:14,2015-10-07 22:17:14,Mansfield,Mansfield,Mansfield,8243,255523,57699,12365,281075,72124,True,True,15011,True,59775,True,-2646,221300,57113,-1,-1,-1,104.0,133.0,0,57699.0,8243.0,255533.0,104.0,1,1
2015-10-08,2015-10-08 00:00:00,Chevron,MANSFIELD OIL COMPANY : CHV5246494,1021 FT LAUDERDALE FL TRM CHEVRON,DIESEL #2,8243,255523,57699,1,7520,0,7520,7520,67295,0,67295,22531,1,w2,7520,0,22531,12365,281075,72124,Available,Available,Available,150%,150,110%,110,125%,125,On Target,Above Trend,Above Trend,10/09 00:00:00 EDT,11/01 00:00:00 EST,w2,0,2015-10-14 00:00:00,Contract,Contract,Contract,8243,8243,255523,255523,57699,4845,213780,49593,0,0,0,0,0,0,6222192,6222194,6222193,2015-10-08 22:18:29,2015-10-08 22:18:29,2015-10-08 22:18:29,Mansfield,Mansfield,Mansfield,8243,255523,57699,12365,281075,72124,True,True,22531,True,67295,True,4845,213780,49593,-1,-1,-1,102.0,0.0,0,57699.0,8243.0,255533.0,102.0,1,1
2015-10-09,2015-10-09 00:00:00,Chevron,MANSFIELD OIL COMPANY : CHV5246494,1021 FT LAUDERDALE FL TRM CHEVRON,DIESEL #2,8243,255523,57699,1,7500,0,7500,7500,74795,0,74795,30031,1,w2,7500,0,30031,12365,281075,72124,Available,Available,Available,150%,150,110%,110,125%,125,On Target,Above Trend,Above Trend,10/10 00:00:00 EDT,11/01 00:00:00 EST,w2,0,2015-10-14 00:00:00,Contract,Contract,Contract,8243,8243,255523,255523,57699,4865,206280,42093,0,0,0,0,0,0,6273292,6273294,6273293,2015-10-09 22:18:49,2015-10-09 22:18:49,2015-10-09 22:18:49,Mansfield,Mansfield,Mansfield,8243,255523,57699,12365,281075,72124,True,True,30031,True,74795,True,4865,206280,42093,-1,-1,-1,101.0,0.0,0,57699.0,8243.0,255533.0,101.0,1,1
2015-10-10,2015-10-10 00:00:00,Chevron,MANSFIELD OIL COMPANY : CHV5246494,1021 FT LAUDERDALE FL TRM CHEVRON,DIESEL #2,8243,255523,57699,1,7500,0,7500,7500,82295,0,82295,37531,1,w2,7500,0,37531,12365,281075,72124,Available,Available,Available,150%,150,110%,110,125%,125,On Target,Above Trend,Above Trend,10/11 00:00:00 EDT,11/01 00:00:00 EST,w2,0,2015-10-14 00:00:00,Contract,Contract,Contract,8243,8243,255523,255523,57699,4865,198780,34593,0,0,0,0,0,0,6322426,6322428,6322427,2015-10-10 22:18:27,2015-10-10 22:18:27,2015-10-10 22:18:27,Mansfield,Mansfield,Mansfield,8243,255523,57699,12365,281075,72124,True,True,37531,True,82295,True,4865,198780,34593,-1,-1,-1,100.0,0.0,0,57699.0,8243.0,255533.0,100.0,1,1
