,date,supplier_name,account_type,supplier_terminal_name,product_name,base_gallons_Daily,base_gallons_Monthly,base_gallons_Weekly,lifted_gallons_daily_flag,lifted_gallons_daily_modified,Modified_WeeksByLiftedGallons,lifted_gallons_modified_WeeksByLiftedGallons,lifted_gallons_Daily,Lifted_actual_monthly,lifted_gallons_monthly_flag,lifted_gallons_Monthly,Lifted_actual_weekly,lifted_gallons_weekly_flag,WeeksByLiftedGallons,lifted_gallonsWeekly_modified_aposteriori,Modified_LiftedGallonsaposteriori,lifted_gallons_Weekly,beginning_gallons_Daily,beginning_gallons_Monthly,beginning_gallons_Weekly,en_allocation_status_Daily,en_allocation_status_Monthly,en_allocation_status_Weekly,percentage_allocation_Daily_actual,percentage_allocation_Daily,percentage_allocation_Monthly_actual,percentage_allocation_Monthly,percentage_allocation_Weekly_actual,percentage_allocation_Weekly,alerts_ratability_Daily,alerts_ratability_Monthly,alerts_ratability_Weekly,next_refresh_date_Daily,next_refresh_date_Monthly,Week_switch,Modified_NRD,next_refresh_date_Weekly,en_account_type_Daily,en_account_type_Monthly,en_account_type_Weekly,NRB_Daily,next_refresh_base_gallons_Daily,NRB_Monthly,next_refresh_base_gallons_Monthly,next_refresh_base_gallons_Weekly,remaining_gallons_Daily,remaining_gallons_Monthly,remaining_gallons_Weekly,additional_gallons_allowed_Daily,additional_gallons_allowed_Monthly,additional_gallons_allowed_Weekly,additional_gallons_remaining_Daily,additional_gallons_remaining_Monthly,additional_gallons_remaining_Weekly,staging_id_Daily,staging_id_Monthly,staging_id_Weekly,execution_date_Daily,execution_date_Monthly,execution_date_Weekly,customer_name_Daily,customer_name_Monthly,customer_name_Weekly,base_gallons_Daily_Reconciled,base_gallons_Monthly_Reconciled,base_gallons_Weekly_Reconciled,beginning_gallons_Daily_Reconciled,beginning_gallons_Monthly_Reconciled,beginning_gallons_Weekly_Reconciled,sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,computedWeekly,sanityComputedWeekly,computedMonthly,sanityComputedMonthly,remaining_gallons_Daily_Reconciled,remaining_gallons_Monthly_Reconciled,remaining_gallons_Weekly_Reconciled,additional_gallons_remaining_Daily_Reconciled,additional_gallons_remaining_Monthly_Reconciled,additional_gallons_remaining_Weekly_Reconciled,Ratability_Monthly,Ratability_Daily,Ratability_Weekly,Synthetic_Base_Weekly,Synthetic_Base_Daily,Synthetic_Base_Monthly,Ratability_Monthly_computed,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
2015-10-01,2015-10-01 00:00:00,Chevron,MANSFIELD OIL COMPANY : CHV5246494,1042 LAS VEGAS NV TRM CALNEV,DIESEL #2,4200,130200,29400,1,800,3,800,800,800,0,800,800,1,w1,800,0,800,6300,143220,36750,Available,Available,Available,150%,150,110%,110,125%,125,Below Trend,On Target,Below Trend,10/02 00:00:00 PDT,11/01 00:00:00 PDT,w1,0,2015-10-07 00:00:00,Contract,Contract,Contract,4200,4200,130200,130200,29400,5500,142420,35950,0,0,0,0,0,0,5862127,5862129,5862128,2015-10-01 22:17:02,2015-10-01 22:17:02,2015-10-01 22:17:02,Mansfield,Mansfield,Mansfield,4200,130200,29400,6300,143220,36750,True,True,800,True,800,True,5500,142420,35950,-1,-1,-1,19.0,0.0,0,29400.0,4200.0,130200.0,19.0,1,1
2015-10-02,2015-10-02 00:00:00,Chevron,MANSFIELD OIL COMPANY : CHV5246494,1042 LAS VEGAS NV TRM CALNEV,DIESEL #2,4200,130200,29400,1,14152,3,14152,10152,10952,0,10952,10952,1,w1,10152,0,14952,6300,143220,36750,Available,Available,Available,150%,150,110%,110,125%,125,Above Trend,Above Trend,On Target,10/03 00:00:00 PDT,11/01 00:00:00 PDT,w1,0,2015-10-07 00:00:00,Contract,Contract,Contract,4200,4200,130200,130200,29400,-3852,132268,25798,15000,15000,15000,15000,15000,15000,5914749,5914751,5914750,2015-10-02 22:16:22,2015-10-02 22:16:22,2015-10-02 22:16:22,Mansfield,Mansfield,Mansfield,4200,130200,29400,6300,143220,36750,False,True,14952,True,14952,True,-7852,132268,21798,15000,-1,-1,130.0,400.0,0,29400.0,4200.0,130200.0,178.0,0,0
2015-10-03,2015-10-03 00:00:00,Chevron,MANSFIELD OIL COMPANY : CHV5246494,1042 LAS VEGAS NV TRM CALNEV,DIESEL #2,4200,130200,29400,1,0,3,0,0,14952,0,14952,14952,1,w1,0,0,14952,6300,143220,36750,Available,Available,Available,150%,150,110%,110,125%,125,Below Trend,Above Trend,On Target,10/04 00:00:00 PDT,11/01 00:00:00 PDT,w1,0,2015-10-07 00:00:00,Contract,Contract,Contract,4200,4200,130200,130200,29400,6300,128268,21798,0,0,0,0,0,0,5961453,5961455,5961454,2015-10-03 22:16:28,2015-10-03 22:16:28,2015-10-03 22:16:28,Mansfield,Mansfield,Mansfield,4200,130200,29400,6300,143220,36750,True,True,14952,True,14952,True,6300,128268,21798,-1,-1,-1,119.0,0.0,0,29400.0,4200.0,130200.0,119.0,1,1
2015-10-04,2015-10-04 00:00:00,Chevron,MANSFIELD OIL COMPANY : CHV5246494,1042 LAS VEGAS NV TRM CALNEV,DIESEL #2,4200,130200,29400,1,0,3,0,0,14952,0,14952,14952,1,w1,0,0,14952,6300,143220,36750,Available,Available,Available,150%,150,110%,110,125%,125,Below Trend,Above Trend,On Target,10/05 00:00:00 PDT,11/01 00:00:00 PDT,w1,0,2015-10-07 00:00:00,Contract,Contract,Contract,4200,4200,130200,130200,29400,6300,128268,21798,0,0,0,0,0,0,6007918,6007920,6007919,2015-10-04 22:17:23,2015-10-04 22:17:23,2015-10-04 22:17:23,Mansfield,Mansfield,Mansfield,4200,130200,29400,6300,143220,36750,True,True,14952,True,14952,True,6300,128268,21798,-1,-1,-1,89.0,0.0,0,29400.0,4200.0,130200.0,89.0,1,1
2015-10-05,2015-10-05 00:00:00,Chevron,MANSFIELD OIL COMPANY : CHV5246494,1042 LAS VEGAS NV TRM CALNEV,DIESEL #2,4200,130200,29400,1,5450,3,5450,3300,18252,0,18252,18252,1,w1,3300,0,20402,6300,143220,36750,Available,Available,Available,150%,150,110%,110,125%,125,On Target,Above Trend,On Target,10/06 00:00:00 PDT,11/01 00:00:00 PDT,w1,0,2015-10-07 00:00:00,Contract,Contract,Contract,4200,4200,130200,130200,29400,3000,124968,18498,0,0,0,0,0,0,6062292,6062294,6062293,2015-10-05 22:16:54,2015-10-05 22:16:54,2015-10-05 22:16:54,Mansfield,Mansfield,Mansfield,4200,130200,29400,6300,143220,36750,False,True,20402,True,20402,True,850,124968,16348,-1,-1,-1,87.0,133.0,0,29400.0,4200.0,130200.0,97.0,0,0
2015-10-06,2015-10-06 00:00:00,Chevron,MANSFIELD OIL COMPANY : CHV5246494,1042 LAS VEGAS NV TRM CALNEV,DIESEL #2,4200,130200,29400,1,17603,0,17603,17603,38005,0,38005,38005,1,w1,17603,0,38005,6300,143220,36750,Out,Available,Low,150%,150,110%,110,125%,125,Above Trend,Above Trend,Above Trend,10/07 00:00:00 PDT,11/01 00:00:00 PDT,w1,0,2015-10-07 00:00:00,Contract,Contract,Contract,4200,4200,130200,130200,29400,-11303,105215,-1255,15000,15000,15000,3697,3697,3697,6119052,6119054,6119053,2015-10-06 22:18:00,2015-10-06 22:18:00,2015-10-06 22:18:00,Mansfield,Mansfield,Mansfield,4200,130200,29400,6300,143220,36750,True,True,38005,True,38005,True,-11303,105215,-1255,15000,-1,15000,151.0,533.0,100,29400.0,4200.0,130200.0,151.0,1,1
2015-10-07,2015-10-07 00:00:00,Chevron,MANSFIELD OIL COMPANY : CHV5246494,1042 LAS VEGAS NV TRM CALNEV,DIESEL #2,4200,130200,29400,1,9500,3,9500,9500,47505,0,47505,9500,1,w2,9500,0,9500,6300,143220,36750,Out,Available,Available,150%,150,110%,110,125%,125,Above Trend,Above Trend,Above Trend,10/08 00:00:00 PDT,11/01 00:00:00 PDT,w2,0,2015-10-14 00:00:00,Contract,Contract,Contract,4200,4200,130200,130200,29400,-3200,95715,27250,0,0,0,0,0,0,6169070,6169072,6169071,2015-10-07 22:17:14,2015-10-07 22:17:14,2015-10-07 22:17:14,Mansfield,Mansfield,Mansfield,4200,130200,29400,6300,143220,36750,True,True,9500,True,47505,True,-3200,95715,27250,-1,-1,-1,162.0,267.0,0,29400.0,4200.0,130200.0,162.0,1,1
2015-10-08,2015-10-08 00:00:00,Chevron,MANSFIELD OIL COMPANY : CHV5246494,1042 LAS VEGAS NV TRM CALNEV,DIESEL #2,4200,130200,29400,1,0,3,0,0,47505,0,47505,9500,1,w2,0,0,9500,6300,143220,36750,Available,Available,Available,150%,150,110%,110,125%,125,Below Trend,Above Trend,Above Trend,10/09 00:00:00 PDT,11/01 00:00:00 PDT,w2,0,2015-10-14 00:00:00,Contract,Contract,Contract,4200,4200,130200,130200,29400,6300,95715,27250,0,0,0,0,0,0,6222213,6222215,6222214,2015-10-08 22:18:29,2015-10-08 22:18:29,2015-10-08 22:18:29,Mansfield,Mansfield,Mansfield,4200,130200,29400,6300,143220,36750,True,True,9500,True,47505,True,6300,95715,27250,-1,-1,-1,141.0,0.0,0,29400.0,4200.0,130200.0,141.0,1,1
2015-10-09,2015-10-09 00:00:00,Chevron,MANSFIELD OIL COMPANY : CHV5246494,1042 LAS VEGAS NV TRM CALNEV,DIESEL #2,4200,130200,29400,1,9225,3,9225,5825,53330,0,53330,15325,1,w2,5825,0,18725,6300,143220,36750,Low,Available,Available,150%,150,110%,110,125%,125,Above Trend,Above Trend,Above Trend,10/10 00:00:00 PDT,11/01 00:00:00 PDT,w2,0,2015-10-14 00:00:00,Contract,Contract,Contract,4200,4200,130200,130200,29400,475,89890,21425,0,0,0,0,0,0,6273313,6273315,6273314,2015-10-09 22:18:49,2015-10-09 22:18:49,2015-10-09 22:18:49,Mansfield,Mansfield,Mansfield,4200,130200,29400,6300,143220,36750,False,True,18725,True,56730,True,-2925,89890,18025,-1,-1,-1,141.0,267.0,0,29400.0,4200.0,130200.0,150.0,0,0
2015-10-10,2015-10-10 00:00:00,Chevron,MANSFIELD OIL COMPANY : CHV5246494,1042 LAS VEGAS NV TRM CALNEV,DIESEL #2,4200,130200,29400,1,0,3,0,0,56730,0,56730,18725,1,w2,0,0,18725,6300,143220,36750,Available,Available,Available,150%,150,110%,110,125%,125,Below Trend,Above Trend,Above Trend,10/11 00:00:00 PDT,11/01 00:00:00 PDT,w2,0,2015-10-14 00:00:00,Contract,Contract,Contract,4200,4200,130200,130200,29400,6300,86490,18025,0,0,0,0,0,0,6322447,6322449,6322448,2015-10-10 22:18:27,2015-10-10 22:18:27,2015-10-10 22:18:27,Mansfield,Mansfield,Mansfield,4200,130200,29400,6300,143220,36750,True,True,18725,True,56730,True,6300,86490,18025,-1,-1,-1,135.0,0.0,0,29400.0,4200.0,130200.0,135.0,1,1
