,date,supplier_name,account_type,supplier_terminal_name,product_name,base_gallons_Daily,base_gallons_Monthly,base_gallons_Weekly,lifted_gallons_daily_flag,lifted_gallons_daily_modified,Modified_WeeksByLiftedGallons,lifted_gallons_modified_WeeksByLiftedGallons,lifted_gallons_Daily,Lifted_actual_monthly,lifted_gallons_monthly_flag,lifted_gallons_Monthly,Lifted_actual_weekly,lifted_gallons_weekly_flag,WeeksByLiftedGallons,lifted_gallonsWeekly_modified_aposteriori,Modified_LiftedGallonsaposteriori,lifted_gallons_Weekly,beginning_gallons_Daily,beginning_gallons_Monthly,beginning_gallons_Weekly,en_allocation_status_Daily,en_allocation_status_Monthly,en_allocation_status_Weekly,percentage_allocation_Daily_actual,percentage_allocation_Daily,percentage_allocation_Monthly_actual,percentage_allocation_Monthly,percentage_allocation_Weekly_actual,percentage_allocation_Weekly,alerts_ratability_Daily,alerts_ratability_Monthly,alerts_ratability_Weekly,next_refresh_date_Daily,next_refresh_date_Monthly,Week_switch,Modified_NRD,next_refresh_date_Weekly,en_account_type_Daily,en_account_type_Monthly,en_account_type_Weekly,NRB_Daily,next_refresh_base_gallons_Daily,NRB_Monthly,next_refresh_base_gallons_Monthly,next_refresh_base_gallons_Weekly,remaining_gallons_Daily,remaining_gallons_Monthly,remaining_gallons_Weekly,additional_gallons_allowed_Daily,additional_gallons_allowed_Monthly,additional_gallons_allowed_Weekly,additional_gallons_remaining_Daily,additional_gallons_remaining_Monthly,additional_gallons_remaining_Weekly,staging_id_Daily,staging_id_Monthly,staging_id_Weekly,execution_date_Daily,execution_date_Monthly,execution_date_Weekly,customer_name_Daily,customer_name_Monthly,customer_name_Weekly,base_gallons_Daily_Reconciled,base_gallons_Monthly_Reconciled,base_gallons_Weekly_Reconciled,beginning_gallons_Daily_Reconciled,beginning_gallons_Monthly_Reconciled,beginning_gallons_Weekly_Reconciled,sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,computedWeekly,sanityComputedWeekly,computedMonthly,sanityComputedMonthly,remaining_gallons_Daily_Reconciled,remaining_gallons_Monthly_Reconciled,remaining_gallons_Weekly_Reconciled,additional_gallons_remaining_Daily_Reconciled,additional_gallons_remaining_Monthly_Reconciled,additional_gallons_remaining_Weekly_Reconciled,Ratability_Monthly,Ratability_Daily,Ratability_Weekly,Synthetic_Base_Weekly,Synthetic_Base_Daily,Synthetic_Base_Monthly,Ratability_Monthly_computed,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
2015-10-01,2015-10-01 00:00:00,Chevron,MANSFIELD OIL COMPANY : CHV5246494,1046 SAN DIEGO CA TRM CHEVRON,DIESEL #2,739,22902,5171,1,0,0,0,0,0,0,0,0,1,w1,0,0,0,1478,25192,5171,Available,Available,Available,200%,200,110%,110,100%,100,Below Trend,Below Trend,Below Trend,10/02 00:00:00 PDT,11/01 00:00:00 PDT,w1,0,2015-10-07 00:00:00,Contract,Contract,Contract,739,739,22902,22902,5171,1478,25192,5171,0,0,0,0,0,0,5862139,5862141,5862140,2015-10-01 22:17:02,2015-10-01 22:17:02,2015-10-01 22:17:02,Mansfield,Mansfield,Mansfield,739,22902,5171,1478,25192,5171,True,True,0,True,0,True,1478,25192,5171,-1,-1,-1,-1.0,0.0,0,5171.0,739.0,22909.0,-1.0,1,1
2015-10-02,2015-10-02 00:00:00,Chevron,MANSFIELD OIL COMPANY : CHV5246494,1046 SAN DIEGO CA TRM CHEVRON,DIESEL #2,739,22902,5171,1,0,0,0,0,0,0,0,0,1,w1,0,0,0,1478,25192,5171,Available,Available,Available,200%,200,110%,110,100%,100,Below Trend,Below Trend,Below Trend,10/03 00:00:00 PDT,11/01 00:00:00 PDT,w1,0,2015-10-07 00:00:00,Contract,Contract,Contract,739,739,22902,22902,5171,1478,25192,5171,0,0,0,0,0,0,5914761,5914763,5914762,2015-10-02 22:16:22,2015-10-02 22:16:22,2015-10-02 22:16:22,Mansfield,Mansfield,Mansfield,739,22902,5171,1478,25192,5171,True,True,0,True,0,True,1478,25192,5171,-1,-1,-1,-1.0,0.0,0,5171.0,739.0,22909.0,-1.0,1,1
2015-10-03,2015-10-03 00:00:00,Chevron,MANSFIELD OIL COMPANY : CHV5246494,1046 SAN DIEGO CA TRM CHEVRON,DIESEL #2,739,22902,5171,1,0,0,0,0,0,0,0,0,1,w1,0,0,0,1478,25192,5171,Available,Available,Available,200%,200,110%,110,100%,100,Below Trend,Below Trend,Below Trend,10/04 00:00:00 PDT,11/01 00:00:00 PDT,w1,0,2015-10-07 00:00:00,Contract,Contract,Contract,739,739,22902,22902,5171,1478,25192,5171,0,0,0,0,0,0,5961465,5961467,5961466,2015-10-03 22:16:28,2015-10-03 22:16:28,2015-10-03 22:16:28,Mansfield,Mansfield,Mansfield,739,22902,5171,1478,25192,5171,True,True,0,True,0,True,1478,25192,5171,-1,-1,-1,-1.0,0.0,0,5171.0,739.0,22909.0,-1.0,1,1
2015-10-04,2015-10-04 00:00:00,Chevron,MANSFIELD OIL COMPANY : CHV5246494,1046 SAN DIEGO CA TRM CHEVRON,DIESEL #2,739,22902,5171,1,0,0,0,0,0,0,0,0,1,w1,0,0,0,1478,25192,5171,Available,Available,Available,200%,200,110%,110,100%,100,Below Trend,Below Trend,Below Trend,10/05 00:00:00 PDT,11/01 00:00:00 PDT,w1,0,2015-10-07 00:00:00,Contract,Contract,Contract,739,739,22902,22902,5171,1478,25192,5171,0,0,0,0,0,0,6007930,6007932,6007931,2015-10-04 22:17:23,2015-10-04 22:17:23,2015-10-04 22:17:23,Mansfield,Mansfield,Mansfield,739,22902,5171,1478,25192,5171,True,True,0,True,0,True,1478,25192,5171,-1,-1,-1,-1.0,0.0,0,5171.0,739.0,22909.0,-1.0,1,1
2015-10-05,2015-10-05 00:00:00,Chevron,MANSFIELD OIL COMPANY : CHV5246494,1046 SAN DIEGO CA TRM CHEVRON,DIESEL #2,739,22902,5171,1,7501,0,7501,7501,7501,0,7501,7501,1,w1,7501,0,7501,1478,25192,6464,Out,Available,Out,200%,200,110%,110,125%,125,Above Trend,Above Trend,Above Trend,10/06 00:00:00 PDT,11/01 00:00:00 PDT,w1,0,2015-10-07 00:00:00,Contract,Contract,Contract,739,739,22902,22902,5171,-6023,17691,-1037,0,0,0,0,0,0,6062304,6062306,6062305,2015-10-05 22:16:54,2015-10-05 22:16:54,2015-10-05 22:16:54,Mansfield,Mansfield,Mansfield,739,22902,5171,1478,25192,6464,True,True,7501,True,7501,True,-6023,17691,-1037,-1,-1,-1,203.0,1333.0,0,5171.0,739.0,22909.0,203.0,1,1
2015-10-06,2015-10-06 00:00:00,Chevron,MANSFIELD OIL COMPANY : CHV5246494,1046 SAN DIEGO CA TRM CHEVRON,DIESEL #2,739,22902,5171,1,0,0,0,0,7501,0,7501,7501,1,w1,0,0,7501,1478,25192,6464,Available,Available,Out,200%,200,110%,110,125%,125,Below Trend,Above Trend,Above Trend,10/07 00:00:00 PDT,11/01 00:00:00 PDT,w1,0,2015-10-07 00:00:00,Contract,Contract,Contract,739,739,22902,22902,5171,1478,17691,-1037,0,0,0,0,0,0,6119064,6119066,6119065,2015-10-06 22:18:00,2015-10-06 22:18:00,2015-10-06 22:18:00,Mansfield,Mansfield,Mansfield,739,22902,5171,1478,25192,6464,True,True,7501,True,7501,True,1478,17691,-1037,-1,-1,-1,169.0,0.0,100,5171.0,739.0,22909.0,169.0,1,1
2015-10-07,2015-10-07 00:00:00,Chevron,MANSFIELD OIL COMPANY : CHV5246494,1046 SAN DIEGO CA TRM CHEVRON,DIESEL #2,739,22902,5171,1,0,0,0,0,7501,0,7501,0,1,w2,0,0,0,1478,25192,6464,Available,Available,Available,200%,200,110%,110,125%,125,Below Trend,Above Trend,Below Trend,10/08 00:00:00 PDT,11/01 00:00:00 PDT,w2,0,2015-10-14 00:00:00,Contract,Contract,Contract,739,739,22902,22902,5171,1478,17691,6464,0,0,0,0,0,0,6169082,6169084,6169083,2015-10-07 22:17:14,2015-10-07 22:17:14,2015-10-07 22:17:14,Mansfield,Mansfield,Mansfield,739,22902,5171,1478,25192,6464,True,True,0,True,7501,True,1478,17691,6464,-1,-1,-1,145.0,0.0,0,5171.0,739.0,22909.0,145.0,1,1
2015-10-08,2015-10-08 00:00:00,Chevron,MANSFIELD OIL COMPANY : CHV5246494,1046 SAN DIEGO CA TRM CHEVRON,DIESEL #2,739,22902,5171,1,0,0,0,0,7501,0,7501,0,1,w2,0,0,0,1478,25192,6464,Available,Available,Available,200%,200,110%,110,125%,125,Below Trend,Above Trend,Below Trend,10/09 00:00:00 PDT,11/01 00:00:00 PDT,w2,0,2015-10-14 00:00:00,Contract,Contract,Contract,739,739,22902,22902,5171,1478,17691,6464,0,0,0,0,0,0,6222225,6222227,6222226,2015-10-08 22:18:29,2015-10-08 22:18:29,2015-10-08 22:18:29,Mansfield,Mansfield,Mansfield,739,22902,5171,1478,25192,6464,True,True,0,True,7501,True,1478,17691,6464,-1,-1,-1,127.0,0.0,0,5171.0,739.0,22909.0,127.0,1,1
2015-10-09,2015-10-09 00:00:00,Chevron,MANSFIELD OIL COMPANY : CHV5246494,1046 SAN DIEGO CA TRM CHEVRON,DIESEL #2,739,22902,5171,1,7125,0,7125,7125,14626,0,14626,7125,1,w2,7125,0,7125,1478,25192,6464,Out,Available,Out,200%,200,110%,110,125%,125,Above Trend,Above Trend,Above Trend,10/10 00:00:00 PDT,11/01 00:00:00 PDT,w2,0,2015-10-14 00:00:00,Contract,Contract,Contract,739,739,22902,22902,5171,-5647,10566,-661,0,0,0,0,0,0,6273325,6273327,6273326,2015-10-09 22:18:49,2015-10-09 22:18:49,2015-10-09 22:18:49,Mansfield,Mansfield,Mansfield,739,22902,5171,1478,25192,6464,True,True,7125,True,14626,True,-5647,10566,-661,-1,-1,-1,220.0,1200.0,0,5171.0,739.0,22909.0,220.0,1,1
2015-10-10,2015-10-10 00:00:00,Chevron,MANSFIELD OIL COMPANY : CHV5246494,1046 SAN DIEGO CA TRM CHEVRON,DIESEL #2,739,22902,5171,1,0,0,0,0,14626,0,14626,7125,1,w2,0,0,7125,1478,25192,6464,Available,Available,Out,200%,200,110%,110,125%,125,Below Trend,Above Trend,Above Trend,10/11 00:00:00 PDT,11/01 00:00:00 PDT,w2,0,2015-10-14 00:00:00,Contract,Contract,Contract,739,739,22902,22902,5171,1478,10566,-661,0,0,0,0,0,0,6322459,6322461,6322460,2015-10-10 22:18:27,2015-10-10 22:18:27,2015-10-10 22:18:27,Mansfield,Mansfield,Mansfield,739,22902,5171,1478,25192,6464,True,True,7125,True,14626,True,1478,10566,-661,-1,-1,-1,198.0,0.0,0,5171.0,739.0,22909.0,198.0,1,1
