,date,supplier_name,account_type,supplier_terminal_name,product_name,base_gallons_Daily,base_gallons_Monthly,base_gallons_Weekly,lifted_gallons_daily_flag,lifted_gallons_daily_modified,Modified_WeeksByLiftedGallons,lifted_gallons_modified_WeeksByLiftedGallons,lifted_gallons_Daily,Lifted_actual_monthly,lifted_gallons_monthly_flag,lifted_gallons_Monthly,Lifted_actual_weekly,lifted_gallons_weekly_flag,WeeksByLiftedGallons,lifted_gallonsWeekly_modified_aposteriori,Modified_LiftedGallonsaposteriori,lifted_gallons_Weekly,beginning_gallons_Daily,beginning_gallons_Monthly,beginning_gallons_Weekly,en_allocation_status_Daily,en_allocation_status_Monthly,en_allocation_status_Weekly,percentage_allocation_Daily_actual,percentage_allocation_Daily,percentage_allocation_Monthly_actual,percentage_allocation_Monthly,percentage_allocation_Weekly_actual,percentage_allocation_Weekly,alerts_ratability_Daily,alerts_ratability_Monthly,alerts_ratability_Weekly,next_refresh_date_Daily,next_refresh_date_Monthly,Week_switch,Modified_NRD,next_refresh_date_Weekly,en_account_type_Daily,en_account_type_Monthly,en_account_type_Weekly,NRB_Daily,next_refresh_base_gallons_Daily,NRB_Monthly,next_refresh_base_gallons_Monthly,next_refresh_base_gallons_Weekly,remaining_gallons_Daily,remaining_gallons_Monthly,remaining_gallons_Weekly,additional_gallons_allowed_Daily,additional_gallons_allowed_Monthly,additional_gallons_allowed_Weekly,additional_gallons_remaining_Daily,additional_gallons_remaining_Monthly,additional_gallons_remaining_Weekly,staging_id_Daily,staging_id_Monthly,staging_id_Weekly,execution_date_Daily,execution_date_Monthly,execution_date_Weekly,customer_name_Daily,customer_name_Monthly,customer_name_Weekly,base_gallons_Daily_Reconciled,base_gallons_Monthly_Reconciled,base_gallons_Weekly_Reconciled,beginning_gallons_Daily_Reconciled,beginning_gallons_Monthly_Reconciled,beginning_gallons_Weekly_Reconciled,sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,computedWeekly,sanityComputedWeekly,computedMonthly,sanityComputedMonthly,remaining_gallons_Daily_Reconciled,remaining_gallons_Monthly_Reconciled,remaining_gallons_Weekly_Reconciled,additional_gallons_remaining_Daily_Reconciled,additional_gallons_remaining_Monthly_Reconciled,additional_gallons_remaining_Weekly_Reconciled,Ratability_Monthly,Ratability_Daily,Ratability_Weekly,Synthetic_Base_Weekly,Synthetic_Base_Daily,Synthetic_Base_Monthly,Ratability_Monthly_computed,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
2015-09-01,2015-09-01 00:00:00,Chevron,MANSFIELD OIL COMPANY : CHV5246494,1045 SALT LAKE CITY UT TRM CHEVRON,DIESEL #2,16846,505384,117923,1,15858,0,15858,15858,15858,0,15858,64804,1,w1,15858,0,15858,18531,555922,129715,Low,Available,Available,110%,110,110%,110,110%,110,Above Trend,Above Trend,On Target,09/02 00:00:00 MDT,10/01 00:00:00 MDT,w1,0,2015-09-02 00:00:00,Contract,Contract,Contract,16846,16846,505384,505384,117923,2673,540064,64911,0,0,0,0,0,0,4253796,4253798,4253797,2015-09-01 19:13:50,2015-09-01 19:13:50,2015-09-01 19:13:50,Mansfield,Mansfield,Mansfield,16846,505384,117923,18530,555922,129715,True,False,15858,True,15858,True,2673,540064,113857,-1,-1,-1,94.0,0.0,0,117923.0,16846.0,505380.0,94.0,1,1
2015-09-02,2015-09-02 00:00:00,Chevron,MANSFIELD OIL COMPANY : CHV5246494,1045 SALT LAKE CITY UT TRM CHEVRON,DIESEL #2,16846,505384,117923,1,20019,0,20019,20019,35877,0,35877,20019,1,w2,20019,0,20019,25269,555922,147404,Limited,Available,Available,150%,150,110%,110,125%,125,Above Trend,Above Trend,Above Trend,09/03 00:00:00 MDT,10/01 00:00:00 MDT,w2,0,2015-09-09 00:00:00,Contract,Contract,Contract,16846,16846,505384,505384,117923,5250,520045,127385,0,0,0,0,0,0,4315443,4315445,4315444,2015-09-02 19:14:00,2015-09-02 19:14:00,2015-09-02 19:14:00,Mansfield,Mansfield,Mansfield,16846,505384,117923,25269,555922,147404,True,True,20019,True,35877,True,5250,520045,127385,-1,-1,-1,106.0,133.0,0,117923.0,16846.0,505380.0,106.0,1,1
2015-09-03,2015-09-03 00:00:00,Chevron,MANSFIELD OIL COMPANY : CHV5246494,1045 SALT LAKE CITY UT TRM CHEVRON,DIESEL #2,16846,505384,117923,1,40279,0,40279,40279,76156,0,76156,60298,1,w2,40279,0,60298,25269,555922,147404,Out,Available,Available,150%,150,110%,110,125%,125,Above Trend,Above Trend,Above Trend,09/04 00:00:00 MDT,10/01 00:00:00 MDT,w2,0,2015-09-09 00:00:00,Contract,Contract,Contract,16846,16846,505384,505384,117923,-15010,479766,87106,22500,22500,22500,9233,9233,9233,4374755,4374757,4374756,2015-09-03 22:13:29,2015-09-03 22:13:29,2015-09-03 22:13:29,Mansfield,Mansfield,Mansfield,16846,505384,117923,25269,555922,147404,True,True,60298,True,76156,True,-15010,479766,87106,22500,-1,-1,151.0,267.0,0,117923.0,16846.0,505380.0,151.0,1,1
2015-09-04,2015-09-04 00:00:00,Chevron,MANSFIELD OIL COMPANY : CHV5246494,1045 SALT LAKE CITY UT TRM CHEVRON,DIESEL #2,16846,505384,117923,1,20013,0,20013,20013,96169,0,96169,80311,1,w2,20013,0,80311,25269,555922,147404,Limited,Available,Available,150%,150,110%,110,125%,125,Above Trend,Above Trend,Above Trend,09/05 00:00:00 MDT,10/01 00:00:00 MDT,w2,0,2015-09-09 00:00:00,Contract,Contract,Contract,16846,16846,505384,505384,117923,5256,459753,67093,0,0,0,0,0,0,4434866,4434868,4434867,2015-09-04 22:13:51,2015-09-04 22:13:51,2015-09-04 22:13:51,Mansfield,Mansfield,Mansfield,16846,505384,117923,25269,555922,147404,True,True,80311,True,96169,True,5256,459753,67093,-1,-1,-1,143.0,133.0,0,117923.0,16846.0,505380.0,143.0,1,1
2015-09-05,2015-09-05 00:00:00,Chevron,MANSFIELD OIL COMPANY : CHV5246494,1045 SALT LAKE CITY UT TRM CHEVRON,DIESEL #2,16846,505384,117923,1,0,0,0,0,96169,0,96169,80311,1,w2,0,0,80311,25269,555922,147404,Available,Available,Available,150%,150,110%,110,125%,125,Below Trend,Above Trend,Above Trend,09/06 00:00:00 MDT,10/01 00:00:00 MDT,w2,0,2015-09-09 00:00:00,Contract,Contract,Contract,16846,16846,505384,505384,117923,25269,459753,67093,0,0,0,0,0,0,4487890,4487892,4487891,2015-09-05 22:13:59,2015-09-05 22:13:59,2015-09-05 22:13:59,Mansfield,Mansfield,Mansfield,16846,505384,117923,25269,555922,147404,True,True,80311,True,96169,True,25269,459753,67093,-1,-1,-1,114.0,0.0,0,117923.0,16846.0,505380.0,114.0,1,1
2015-09-06,2015-09-06 00:00:00,Chevron,MANSFIELD OIL COMPANY : CHV5246494,1045 SALT LAKE CITY UT TRM CHEVRON,DIESEL #2,16846,505384,117923,1,0,0,0,0,96169,0,96169,80311,1,w2,0,0,80311,25269,555922,147404,Available,Available,Available,150%,150,110%,110,125%,125,Below Trend,Above Trend,On Target,09/07 00:00:00 MDT,10/01 00:00:00 MDT,w2,0,2015-09-09 00:00:00,Contract,Contract,Contract,16846,16846,505384,505384,117923,25269,459753,67093,0,0,0,0,0,0,4540528,4540530,4540529,2015-09-06 22:14:47,2015-09-06 22:14:47,2015-09-06 22:14:47,Mansfield,Mansfield,Mansfield,16846,505384,117923,25269,555922,147404,True,True,80311,True,96169,True,25269,459753,67093,-1,-1,-1,95.0,0.0,0,117923.0,16846.0,505380.0,95.0,1,1
2015-09-07,2015-09-07 00:00:00,Chevron,MANSFIELD OIL COMPANY : CHV5246494,1045 SALT LAKE CITY UT TRM CHEVRON,DIESEL #2,16846,505384,117923,1,0,0,0,0,96169,0,96169,80311,1,w2,0,0,80311,25269,555922,147404,Available,Available,Available,150%,150,110%,110,125%,125,Below Trend,On Target,On Target,09/08 00:00:00 MDT,10/01 00:00:00 MDT,w2,0,2015-09-09 00:00:00,Contract,Contract,Contract,16846,16846,505384,505384,117923,25269,459753,67093,0,0,0,0,0,0,4592850,4592852,4592851,2015-09-07 22:13:31,2015-09-07 22:13:31,2015-09-07 22:13:31,Mansfield,Mansfield,Mansfield,16846,505384,117923,25269,555922,147404,True,True,80311,True,96169,True,25269,459753,67093,-1,-1,-1,82.0,0.0,0,117923.0,16846.0,505380.0,82.0,1,1
2015-09-08,2015-09-08 00:00:00,Chevron,MANSFIELD OIL COMPANY : CHV5246494,1045 SALT LAKE CITY UT TRM CHEVRON,DIESEL #2,16846,505384,117923,1,7503,0,7503,7503,103672,0,103672,87814,1,w2,7503,0,87814,25269,555922,147404,Available,Available,Available,150%,150,110%,110,125%,125,On Target,On Target,On Target,09/09 00:00:00 MDT,10/01 00:00:00 MDT,w2,0,2015-09-09 00:00:00,Contract,Contract,Contract,16846,16846,505384,505384,117923,17766,452250,59590,0,0,0,0,0,0,4656164,4656166,4656165,2015-09-08 22:15:14,2015-09-08 22:15:14,2015-09-08 22:15:14,Mansfield,Mansfield,Mansfield,16846,505384,117923,25269,555922,147404,True,True,87814,True,103672,True,17766,452250,59590,-1,-1,-1,77.0,0.0,0,117923.0,16846.0,505380.0,77.0,1,1
2015-09-09,2015-09-09 00:00:00,Chevron,MANSFIELD OIL COMPANY : CHV5246494,1045 SALT LAKE CITY UT TRM CHEVRON,DIESEL #2,16846,505384,117923,1,30015,0,30015,30015,133687,0,133687,30015,1,w3,30015,0,30015,25269,555922,147404,Out,Available,Available,150%,150,110%,110,125%,125,Above Trend,Above Trend,Above Trend,09/10 00:00:00 MDT,10/01 00:00:00 MDT,w3,0,2015-09-16 00:00:00,Contract,Contract,Contract,16846,16846,505384,505384,117923,-4746,422235,117389,0,0,0,0,0,0,4716216,4716218,4716217,2015-09-09 22:14:28,2015-09-09 22:14:28,2015-09-09 22:14:28,Mansfield,Mansfield,Mansfield,16846,505384,117923,25269,555922,147404,True,True,30015,True,133687,True,-4746,422235,117389,-1,-1,-1,88.0,133.0,0,117923.0,16846.0,505380.0,88.0,1,1
2015-09-10,2015-09-10 00:00:00,Chevron,MANSFIELD OIL COMPANY : CHV5246494,1045 SALT LAKE CITY UT TRM CHEVRON,DIESEL #2,16846,505384,117923,1,7242,0,7242,7242,140929,0,140929,37257,1,w3,7242,0,37257,25269,555922,147404,Available,Available,Available,150%,150,110%,110,125%,125,On Target,On Target,Above Trend,09/11 00:00:00 MDT,10/01 00:00:00 MDT,w3,0,2015-09-16 00:00:00,Contract,Contract,Contract,16846,16846,505384,505384,117923,18027,414993,110147,0,0,0,0,0,0,4770901,4770903,4770902,2015-09-10 22:14:46,2015-09-10 22:14:46,2015-09-10 22:14:46,Mansfield,Mansfield,Mansfield,16846,505384,117923,25269,555922,147404,True,True,37257,True,140929,True,18027,414993,110147,-1,-1,-1,84.0,0.0,0,117923.0,16846.0,505380.0,84.0,1,1
