,date,supplier_name,account_type,supplier_terminal_name,product_name,base_gallons_Daily,base_gallons_Monthly,base_gallons_Weekly,lifted_gallons_daily_flag,lifted_gallons_daily_modified,Modified_WeeksByLiftedGallons,lifted_gallons_modified_WeeksByLiftedGallons,lifted_gallons_Daily,Lifted_actual_monthly,lifted_gallons_monthly_flag,lifted_gallons_Monthly,Lifted_actual_weekly,lifted_gallons_weekly_flag,WeeksByLiftedGallons,lifted_gallonsWeekly_modified_aposteriori,Modified_LiftedGallonsaposteriori,lifted_gallons_Weekly,beginning_gallons_Daily,beginning_gallons_Monthly,beginning_gallons_Weekly,en_allocation_status_Daily,en_allocation_status_Monthly,en_allocation_status_Weekly,percentage_allocation_Daily_actual,percentage_allocation_Daily,percentage_allocation_Monthly_actual,percentage_allocation_Monthly,percentage_allocation_Weekly_actual,percentage_allocation_Weekly,alerts_ratability_Daily,alerts_ratability_Monthly,alerts_ratability_Weekly,next_refresh_date_Daily,next_refresh_date_Monthly,Week_switch,Modified_NRD,next_refresh_date_Weekly,en_account_type_Daily,en_account_type_Monthly,en_account_type_Weekly,NRB_Daily,next_refresh_base_gallons_Daily,NRB_Monthly,next_refresh_base_gallons_Monthly,next_refresh_base_gallons_Weekly,remaining_gallons_Daily,remaining_gallons_Monthly,remaining_gallons_Weekly,additional_gallons_allowed_Daily,additional_gallons_allowed_Monthly,additional_gallons_allowed_Weekly,additional_gallons_remaining_Daily,additional_gallons_remaining_Monthly,additional_gallons_remaining_Weekly,staging_id_Daily,staging_id_Monthly,staging_id_Weekly,execution_date_Daily,execution_date_Monthly,execution_date_Weekly,customer_name_Daily,customer_name_Monthly,customer_name_Weekly,base_gallons_Daily_Reconciled,base_gallons_Monthly_Reconciled,base_gallons_Weekly_Reconciled,beginning_gallons_Daily_Reconciled,beginning_gallons_Monthly_Reconciled,beginning_gallons_Weekly_Reconciled,sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,computedWeekly,sanityComputedWeekly,computedMonthly,sanityComputedMonthly,remaining_gallons_Daily_Reconciled,remaining_gallons_Monthly_Reconciled,remaining_gallons_Weekly_Reconciled,additional_gallons_remaining_Daily_Reconciled,additional_gallons_remaining_Monthly_Reconciled,additional_gallons_remaining_Weekly_Reconciled,Ratability_Monthly,Ratability_Daily,Ratability_Weekly,Synthetic_Base_Weekly,Synthetic_Base_Daily,Synthetic_Base_Monthly,Ratability_Monthly_computed,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
2015-09-01,2015-09-01 00:00:00,Chevron,MANSFIELD OIL COMPANY : CHV5246494,1046 SAN DIEGO CA TRM CHEVRON,DIESEL #2,848,25448,5938,1,0,0,0,0,0,0,0,0,1,w1,0,0,0,1696,27993,5938,Available,Available,Available,200%,200,110%,110,100%,100,Below Trend,Below Trend,Below Trend,09/02 00:00:00 PDT,10/01 00:00:00 PDT,w1,0,2015-09-02 00:00:00,Contract,Contract,Contract,848,848,25448,25448,5938,1696,27993,5938,0,0,0,0,0,0,4253799,4253801,4253800,2015-09-01 19:13:50,2015-09-01 19:13:50,2015-09-01 19:13:50,Mansfield,Mansfield,Mansfield,848,25448,5938,1696,27992,5938,True,True,0,True,0,True,1696,27993,5938,-1,-1,-1,-1.0,0.0,0,5938.0,848.0,25440.0,-1.0,1,1
2015-09-02,2015-09-02 00:00:00,Chevron,MANSFIELD OIL COMPANY : CHV5246494,1046 SAN DIEGO CA TRM CHEVRON,DIESEL #2,848,25448,5938,1,0,0,0,0,0,0,0,0,1,w1,0,0,0,1696,27993,5938,Available,Available,Available,200%,200,110%,110,100%,100,Below Trend,Below Trend,Below Trend,09/03 00:00:00 PDT,10/01 00:00:00 PDT,w2,0,2015-09-09 00:00:00,Contract,Contract,Contract,848,848,25448,25448,5938,1696,27993,5938,0,0,0,0,0,0,4315446,4315448,4315447,2015-09-02 19:14:00,2015-09-02 19:14:00,2015-09-02 19:14:00,Mansfield,Mansfield,Mansfield,848,25448,5938,1696,27993,5938,True,True,0,True,0,True,1696,27993,5938,-1,-1,-1,-1.0,0.0,0,5938.0,848.0,25440.0,-1.0,1,1
2015-09-03,2015-09-03 00:00:00,Chevron,MANSFIELD OIL COMPANY : CHV5246494,1046 SAN DIEGO CA TRM CHEVRON,DIESEL #2,848,25448,5938,1,7604,0,7604,7604,7604,0,7604,7604,1,w1,7604,0,7604,1696,27993,5938,Low,Available,Available,200%,200,110%,110,100%,100,Above Trend,Above Trend,Above Trend,09/04 00:00:00 PDT,10/01 00:00:00 PDT,w2,0,2015-09-09 00:00:00,Contract,Contract,Contract,848,848,25448,25448,5938,-5908,20389,-1666,7500,7500,7500,7500,7500,7500,4374758,4374760,4374759,2015-09-03 22:13:29,2015-09-03 22:13:29,2015-09-03 22:13:29,Mansfield,Mansfield,Mansfield,848,25448,5938,1696,27993,5938,True,True,7604,True,7604,True,-5908,20389,-1666,7500,-1,7500,299.0,1067.0,0,5938.0,848.0,25440.0,299.0,1,1
2015-09-04,2015-09-04 00:00:00,Chevron,MANSFIELD OIL COMPANY : CHV5246494,1046 SAN DIEGO CA TRM CHEVRON,DIESEL #2,848,25448,5938,1,1001,0,1001,1001,8605,0,8605,8605,1,w1,1001,0,8605,1696,27993,5938,Available,Available,Limited,200%,200,110%,110,100%,100,On Target,Above Trend,Above Trend,09/05 00:00:00 PDT,10/01 00:00:00 PDT,w2,0,2015-09-09 00:00:00,Contract,Contract,Contract,848,848,25448,25448,5938,695,19388,-2667,7500,7500,7500,6499,6499,6499,4434869,4434871,4434870,2015-09-04 22:13:51,2015-09-04 22:13:51,2015-09-04 22:13:51,Mansfield,Mansfield,Mansfield,848,25448,5938,1696,27993,5938,True,True,8605,True,8605,True,695,19388,-2667,-1,-1,7500,254.0,133.0,0,5938.0,848.0,25440.0,254.0,1,1
2015-09-05,2015-09-05 00:00:00,Chevron,MANSFIELD OIL COMPANY : CHV5246494,1046 SAN DIEGO CA TRM CHEVRON,DIESEL #2,848,25448,5938,1,0,0,0,0,8605,0,8605,8605,1,w1,0,0,8605,1696,27993,5938,Available,Available,Out,200%,200,110%,110,100%,100,Below Trend,Above Trend,Above Trend,09/06 00:00:00 PDT,10/01 00:00:00 PDT,w2,0,2015-09-09 00:00:00,Contract,Contract,Contract,848,848,25448,25448,5938,1696,19388,-2667,0,0,0,0,0,0,4487893,4487895,4487894,2015-09-05 22:13:59,2015-09-05 22:13:59,2015-09-05 22:13:59,Mansfield,Mansfield,Mansfield,848,25448,5938,1696,27993,5938,True,True,8605,True,8605,True,1696,19388,-2667,-1,-1,-1,203.0,0.0,0,5938.0,848.0,25440.0,203.0,1,1
2015-09-06,2015-09-06 00:00:00,Chevron,MANSFIELD OIL COMPANY : CHV5246494,1046 SAN DIEGO CA TRM CHEVRON,DIESEL #2,848,25448,5938,1,0,0,0,0,8605,0,8605,8605,1,w1,0,0,8605,1696,27993,5938,Available,Available,Out,200%,200,110%,110,100%,100,Below Trend,Above Trend,Above Trend,09/07 00:00:00 PDT,10/01 00:00:00 PDT,w2,0,2015-09-09 00:00:00,Contract,Contract,Contract,848,848,25448,25448,5938,1696,19388,-2667,0,0,0,0,0,0,4540531,4540533,4540532,2015-09-06 22:14:47,2015-09-06 22:14:47,2015-09-06 22:14:47,Mansfield,Mansfield,Mansfield,848,25448,5938,1696,27993,5938,True,True,8605,True,8605,True,1696,19388,-2667,-1,-1,-1,169.0,0.0,0,5938.0,848.0,25440.0,169.0,1,1
2015-09-07,2015-09-07 00:00:00,Chevron,MANSFIELD OIL COMPANY : CHV5246494,1046 SAN DIEGO CA TRM CHEVRON,DIESEL #2,848,25448,5938,1,0,0,0,0,8605,0,8605,8605,1,w1,0,0,8605,1696,27993,5938,Available,Available,Out,200%,200,110%,110,100%,100,Below Trend,Above Trend,Above Trend,09/08 00:00:00 PDT,10/01 00:00:00 PDT,w2,0,2015-09-09 00:00:00,Contract,Contract,Contract,848,848,25448,25448,5938,1696,19388,-2667,0,0,0,0,0,0,4592853,4592855,4592854,2015-09-07 22:13:31,2015-09-07 22:13:31,2015-09-07 22:13:31,Mansfield,Mansfield,Mansfield,848,25448,5938,1696,27993,5938,True,True,8605,True,8605,True,1696,19388,-2667,-1,-1,-1,145.0,0.0,0,5938.0,848.0,25440.0,145.0,1,1
2015-09-08,2015-09-08 00:00:00,Chevron,MANSFIELD OIL COMPANY : CHV5246494,1046 SAN DIEGO CA TRM CHEVRON,DIESEL #2,848,25448,5938,1,0,0,0,0,8605,0,8605,8605,1,w1,0,0,8605,1696,27993,5938,Available,Available,Out,200%,200,110%,110,100%,100,Below Trend,Above Trend,Above Trend,09/09 00:00:00 PDT,10/01 00:00:00 PDT,w2,0,2015-09-09 00:00:00,Contract,Contract,Contract,848,848,25448,25448,5938,1696,19388,-2667,0,0,0,0,0,0,4656167,4656169,4656168,2015-09-08 22:15:14,2015-09-08 22:15:14,2015-09-08 22:15:14,Mansfield,Mansfield,Mansfield,848,25448,5938,1696,27993,5938,True,True,8605,True,8605,True,1696,19388,-2667,-1,-1,-1,127.0,0.0,100,5938.0,848.0,25440.0,127.0,1,1
2015-09-09,2015-09-09 00:00:00,Chevron,MANSFIELD OIL COMPANY : CHV5246494,1046 SAN DIEGO CA TRM CHEVRON,DIESEL #2,848,25448,5938,1,0,0,0,0,8605,0,8605,0,1,w2,0,0,0,1696,27993,5938,Available,Available,Available,200%,200,110%,110,100%,100,Below Trend,Above Trend,Below Trend,09/10 00:00:00 PDT,10/01 00:00:00 PDT,w3,0,2015-09-16 00:00:00,Contract,Contract,Contract,848,848,25448,25448,5938,1696,19388,5938,0,0,0,0,0,0,4716219,4716221,4716220,2015-09-09 22:14:28,2015-09-09 22:14:28,2015-09-09 22:14:28,Mansfield,Mansfield,Mansfield,848,25448,5938,1696,27993,5938,True,True,0,True,8605,True,1696,19388,5938,-1,-1,-1,113.0,0.0,0,5938.0,848.0,25440.0,113.0,1,1
2015-09-10,2015-09-10 00:00:00,Chevron,MANSFIELD OIL COMPANY : CHV5246494,1046 SAN DIEGO CA TRM CHEVRON,DIESEL #2,848,25448,5938,1,0,0,0,0,8605,0,8605,0,1,w2,0,0,0,1696,27993,5938,Available,Available,Available,200%,200,110%,110,100%,100,Below Trend,Above Trend,Below Trend,09/11 00:00:00 PDT,10/01 00:00:00 PDT,w3,0,2015-09-16 00:00:00,Contract,Contract,Contract,848,848,25448,25448,5938,1696,19388,5938,0,0,0,0,0,0,4770904,4770906,4770905,2015-09-10 22:14:46,2015-09-10 22:14:46,2015-09-10 22:14:46,Mansfield,Mansfield,Mansfield,848,25448,5938,1696,27993,5938,True,True,0,True,8605,True,1696,19388,5938,-1,-1,-1,101.0,0.0,0,5938.0,848.0,25440.0,101.0,1,1
