,date,supplier_name,account_type,supplier_terminal_name,product_name,base_gallons_Daily,base_gallons_Monthly,base_gallons_Weekly,lifted_gallons_daily_flag,lifted_gallons_daily_modified,Modified_WeeksByLiftedGallons,lifted_gallons_modified_WeeksByLiftedGallons,lifted_gallons_Daily,Lifted_actual_monthly,lifted_gallons_monthly_flag,lifted_gallons_Monthly,Lifted_actual_weekly,lifted_gallons_weekly_flag,WeeksByLiftedGallons,lifted_gallonsWeekly_modified_aposteriori,Modified_LiftedGallonsaposteriori,lifted_gallons_Weekly,beginning_gallons_Daily,beginning_gallons_Monthly,beginning_gallons_Weekly,en_allocation_status_Daily,en_allocation_status_Monthly,en_allocation_status_Weekly,percentage_allocation_Daily_actual,percentage_allocation_Daily,percentage_allocation_Monthly_actual,percentage_allocation_Monthly,percentage_allocation_Weekly_actual,percentage_allocation_Weekly,alerts_ratability_Daily,alerts_ratability_Monthly,alerts_ratability_Weekly,next_refresh_date_Daily,next_refresh_date_Monthly,Week_switch,Modified_NRD,next_refresh_date_Weekly,en_account_type_Daily,en_account_type_Monthly,en_account_type_Weekly,NRB_Daily,next_refresh_base_gallons_Daily,NRB_Monthly,next_refresh_base_gallons_Monthly,next_refresh_base_gallons_Weekly,remaining_gallons_Daily,remaining_gallons_Monthly,remaining_gallons_Weekly,additional_gallons_allowed_Daily,additional_gallons_allowed_Monthly,additional_gallons_allowed_Weekly,additional_gallons_remaining_Daily,additional_gallons_remaining_Monthly,additional_gallons_remaining_Weekly,staging_id_Daily,staging_id_Monthly,staging_id_Weekly,execution_date_Daily,execution_date_Monthly,execution_date_Weekly,customer_name_Daily,customer_name_Monthly,customer_name_Weekly,base_gallons_Daily_Reconciled,base_gallons_Monthly_Reconciled,base_gallons_Weekly_Reconciled,beginning_gallons_Daily_Reconciled,beginning_gallons_Monthly_Reconciled,beginning_gallons_Weekly_Reconciled,sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,computedWeekly,sanityComputedWeekly,computedMonthly,sanityComputedMonthly,remaining_gallons_Daily_Reconciled,remaining_gallons_Monthly_Reconciled,remaining_gallons_Weekly_Reconciled,additional_gallons_remaining_Daily_Reconciled,additional_gallons_remaining_Monthly_Reconciled,additional_gallons_remaining_Weekly_Reconciled,Ratability_Monthly,Ratability_Daily,Ratability_Weekly,Synthetic_Base_Weekly,Synthetic_Base_Daily,Synthetic_Base_Monthly,Ratability_Monthly_computed,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
2015-09-01,2015-09-01 00:00:00,Chevron,MANSFIELD OIL COMPANY : CHV5246494,3351 PHOENIX AZ TRM KINDER MORGAN,DIESEL #2,8144,244309,57005,1,0,0,0,0,0,0,0,0,1,w1,0,0,0,8144,268740,71256,Available,Available,Available,100%,100,110%,110,125%,125,Below Trend,Below Trend,Below Trend,09/02 00:00:00 MDT,10/01 00:00:00 MDT,w1,0,2015-09-02 00:00:00,Contract,Contract,Contract,8144,8144,244309,244309,57005,8144,268740,71256,0,0,0,0,0,0,4253829,4253831,4253830,2015-09-01 19:13:50,2015-09-01 19:13:50,2015-09-01 19:13:50,Mansfield,Mansfield,Mansfield,8144,244309,57005,8144,268739,71256,True,True,0,True,0,True,8144,268740,71256,-1,-1,-1,-1.0,0.0,0,57005.0,8144.0,244320.0,-1.0,1,1
2015-09-02,2015-09-02 00:00:00,Chevron,MANSFIELD OIL COMPANY : CHV5246494,3351 PHOENIX AZ TRM KINDER MORGAN,DIESEL #2,8144,244309,57005,1,0,0,0,0,0,0,0,0,1,w1,0,0,0,8144,268740,71256,Available,Available,Available,100%,100,110%,110,125%,125,Below Trend,Below Trend,Below Trend,09/03 00:00:00 MDT,10/01 00:00:00 MDT,w2,0,2015-09-09 00:00:00,Contract,Contract,Contract,8144,8144,244309,244309,57005,8144,268740,71256,0,0,0,0,0,0,4315476,4315478,4315477,2015-09-02 19:14:00,2015-09-02 19:14:00,2015-09-02 19:14:00,Mansfield,Mansfield,Mansfield,8144,244309,57005,8144,268740,71256,True,True,0,True,0,True,8144,268740,71256,-1,-1,-1,-1.0,0.0,0,57005.0,8144.0,244320.0,-1.0,1,1
2015-09-03,2015-09-03 00:00:00,Chevron,MANSFIELD OIL COMPANY : CHV5246494,3351 PHOENIX AZ TRM KINDER MORGAN,DIESEL #2,8144,244309,57005,1,7500,0,7500,7500,7500,0,7500,7500,1,w1,7500,0,7500,8144,268740,71256,Low,Available,Available,100%,100,110%,110,125%,125,Above Trend,On Target,On Target,09/04 00:00:00 MDT,10/01 00:00:00 MDT,w2,0,2015-09-09 00:00:00,Contract,Contract,Contract,8144,8144,244309,244309,57005,644,261240,63756,0,0,0,0,0,0,4374788,4374790,4374789,2015-09-03 22:13:29,2015-09-03 22:13:29,2015-09-03 22:13:29,Mansfield,Mansfield,Mansfield,8144,244309,57005,8144,268740,71256,True,True,7500,True,7500,True,644,261240,63756,-1,-1,-1,31.0,0.0,0,57005.0,8144.0,244320.0,31.0,1,1
2015-09-04,2015-09-04 00:00:00,Chevron,MANSFIELD OIL COMPANY : CHV5246494,3351 PHOENIX AZ TRM KINDER MORGAN,DIESEL #2,8144,244309,57005,1,7500,0,7500,7500,15000,0,15000,15000,1,w1,7500,0,15000,8144,268740,71256,Low,Available,Available,100%,100,110%,110,125%,125,Above Trend,On Target,On Target,09/05 00:00:00 MDT,10/01 00:00:00 MDT,w2,0,2015-09-09 00:00:00,Contract,Contract,Contract,8144,8144,244309,244309,57005,644,253740,56256,0,0,0,0,0,0,4434899,4434901,4434900,2015-09-04 22:13:51,2015-09-04 22:13:51,2015-09-04 22:13:51,Mansfield,Mansfield,Mansfield,8144,244309,57005,8144,268740,71256,True,True,15000,True,15000,True,644,253740,56256,-1,-1,-1,46.0,0.0,0,57005.0,8144.0,244320.0,46.0,1,1
2015-09-05,2015-09-05 00:00:00,Chevron,MANSFIELD OIL COMPANY : CHV5246494,3351 PHOENIX AZ TRM KINDER MORGAN,DIESEL #2,8144,244309,57005,1,7000,0,7000,7000,22000,0,22000,22000,1,w1,7000,0,22000,8144,268740,71256,Low,Available,Available,100%,100,110%,110,125%,125,Above Trend,On Target,On Target,09/06 00:00:00 MDT,10/01 00:00:00 MDT,w2,0,2015-09-09 00:00:00,Contract,Contract,Contract,8144,8144,244309,244309,57005,1144,246740,49256,0,0,0,0,0,0,4487923,4487925,4487924,2015-09-05 22:13:59,2015-09-05 22:13:59,2015-09-05 22:13:59,Mansfield,Mansfield,Mansfield,8144,244309,57005,8144,268740,71256,True,True,22000,True,22000,True,1144,246740,49256,-1,-1,-1,54.0,0.0,0,57005.0,8144.0,244320.0,54.0,1,1
2015-09-06,2015-09-06 00:00:00,Chevron,MANSFIELD OIL COMPANY : CHV5246494,3351 PHOENIX AZ TRM KINDER MORGAN,DIESEL #2,8144,244309,57005,1,0,0,0,0,22000,0,22000,22000,1,w1,0,0,22000,8144,268740,71256,Available,Available,Available,100%,100,110%,110,125%,125,Below Trend,On Target,On Target,09/07 00:00:00 MDT,10/01 00:00:00 MDT,w2,0,2015-09-09 00:00:00,Contract,Contract,Contract,8144,8144,244309,244309,57005,8144,246740,49256,0,0,0,0,0,0,4540561,4540563,4540562,2015-09-06 22:14:47,2015-09-06 22:14:47,2015-09-06 22:14:47,Mansfield,Mansfield,Mansfield,8144,244309,57005,8144,268740,71256,True,True,22000,True,22000,True,8144,246740,49256,-1,-1,-1,45.0,0.0,0,57005.0,8144.0,244320.0,45.0,1,1
2015-09-07,2015-09-07 00:00:00,Chevron,MANSFIELD OIL COMPANY : CHV5246494,3351 PHOENIX AZ TRM KINDER MORGAN,DIESEL #2,8144,244309,57005,1,7600,0,7600,7600,29600,0,29600,29600,1,w1,7600,0,29600,8144,268740,71256,Low,Available,Available,100%,100,110%,110,125%,125,Above Trend,On Target,On Target,09/08 00:00:00 MDT,10/01 00:00:00 MDT,w2,0,2015-09-09 00:00:00,Contract,Contract,Contract,8144,8144,244309,244309,57005,544,239140,41656,0,0,0,0,0,0,4592883,4592885,4592884,2015-09-07 22:13:31,2015-09-07 22:13:31,2015-09-07 22:13:31,Mansfield,Mansfield,Mansfield,8144,244309,57005,8144,268740,71256,True,True,29600,True,29600,True,544,239140,41656,-1,-1,-1,52.0,0.0,0,57005.0,8144.0,244320.0,52.0,1,1
2015-09-08,2015-09-08 00:00:00,Chevron,MANSFIELD OIL COMPANY : CHV5246494,3351 PHOENIX AZ TRM KINDER MORGAN,DIESEL #2,8144,244309,57005,1,6000,0,6000,6000,35600,0,35600,35600,1,w1,6000,0,35600,8144,268740,71256,Limited,Available,Available,100%,100,110%,110,125%,125,Above Trend,On Target,On Target,09/09 00:00:00 MDT,10/01 00:00:00 MDT,w2,0,2015-09-09 00:00:00,Contract,Contract,Contract,8144,8144,244309,244309,57005,2144,233140,35656,0,0,0,0,0,0,4656197,4656199,4656198,2015-09-08 22:15:14,2015-09-08 22:15:14,2015-09-08 22:15:14,Mansfield,Mansfield,Mansfield,8144,244309,57005,8144,268740,71256,True,True,35600,True,35600,True,2144,233140,35656,-1,-1,-1,55.0,0.0,0,57005.0,8144.0,244320.0,55.0,1,1
2015-09-09,2015-09-09 00:00:00,Chevron,MANSFIELD OIL COMPANY : CHV5246494,3351 PHOENIX AZ TRM KINDER MORGAN,DIESEL #2,8144,244309,57005,1,7500,3,7500,7500,43100,0,43100,7500,1,w2,7500,0,7500,8144,268740,71256,Low,Available,Available,100%,100,110%,110,125%,125,Above Trend,On Target,Above Trend,09/10 00:00:00 MDT,10/01 00:00:00 MDT,w3,0,2015-09-16 00:00:00,Contract,Contract,Contract,8144,8144,244309,244309,57005,644,225640,63756,0,0,0,0,0,0,4716249,4716251,4716250,2015-09-09 22:14:28,2015-09-09 22:14:28,2015-09-09 22:14:28,Mansfield,Mansfield,Mansfield,8144,244309,57005,8144,268740,71256,True,True,7500,True,43100,True,644,225640,63756,-1,-1,-1,59.0,0.0,0,57005.0,8144.0,244320.0,59.0,1,1
2015-09-10,2015-09-10 00:00:00,Chevron,MANSFIELD OIL COMPANY : CHV5246494,3351 PHOENIX AZ TRM KINDER MORGAN,DIESEL #2,8144,244309,57005,1,15000,3,15000,15000,58100,0,58100,22500,1,w2,15000,0,22500,8144,268740,71256,Out,Available,Available,100%,100,110%,110,125%,125,Above Trend,On Target,Above Trend,09/11 00:00:00 MDT,10/01 00:00:00 MDT,w3,0,2015-09-16 00:00:00,Contract,Contract,Contract,8144,8144,244309,244309,57005,-6856,210640,48756,0,0,0,0,0,0,4770934,4770936,4770935,2015-09-10 22:14:46,2015-09-10 22:14:46,2015-09-10 22:14:46,Mansfield,Mansfield,Mansfield,8144,244309,57005,8144,268740,71256,True,True,22500,True,58100,True,-6856,210640,48756,-1,-1,-1,71.0,133.0,0,57005.0,8144.0,244320.0,71.0,1,1
