,date,supplier_name,account_type,supplier_terminal_name,product_name,base_gallons_Daily,base_gallons_Monthly,base_gallons_Weekly,lifted_gallons_daily_flag,lifted_gallons_daily_modified,Modified_WeeksByLiftedGallons,lifted_gallons_modified_WeeksByLiftedGallons,lifted_gallons_Daily,Lifted_actual_monthly,lifted_gallons_monthly_flag,lifted_gallons_Monthly,Lifted_actual_weekly,lifted_gallons_weekly_flag,WeeksByLiftedGallons,lifted_gallonsWeekly_modified_aposteriori,Modified_LiftedGallonsaposteriori,lifted_gallons_Weekly,beginning_gallons_Daily,beginning_gallons_Monthly,beginning_gallons_Weekly,en_allocation_status_Daily,en_allocation_status_Monthly,en_allocation_status_Weekly,percentage_allocation_Daily_actual,percentage_allocation_Daily,percentage_allocation_Monthly_actual,percentage_allocation_Monthly,percentage_allocation_Weekly_actual,percentage_allocation_Weekly,alerts_ratability_Daily,alerts_ratability_Monthly,alerts_ratability_Weekly,next_refresh_date_Daily,next_refresh_date_Monthly,Week_switch,Modified_NRD,next_refresh_date_Weekly,en_account_type_Daily,en_account_type_Monthly,en_account_type_Weekly,NRB_Daily,next_refresh_base_gallons_Daily,NRB_Monthly,next_refresh_base_gallons_Monthly,next_refresh_base_gallons_Weekly,remaining_gallons_Daily,remaining_gallons_Monthly,remaining_gallons_Weekly,additional_gallons_allowed_Daily,additional_gallons_allowed_Monthly,additional_gallons_allowed_Weekly,additional_gallons_remaining_Daily,additional_gallons_remaining_Monthly,additional_gallons_remaining_Weekly,staging_id_Daily,staging_id_Monthly,staging_id_Weekly,execution_date_Daily,execution_date_Monthly,execution_date_Weekly,customer_name_Daily,customer_name_Monthly,customer_name_Weekly,base_gallons_Daily_Reconciled,base_gallons_Monthly_Reconciled,base_gallons_Weekly_Reconciled,beginning_gallons_Daily_Reconciled,beginning_gallons_Monthly_Reconciled,beginning_gallons_Weekly_Reconciled,sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,computedWeekly,sanityComputedWeekly,computedMonthly,sanityComputedMonthly,remaining_gallons_Daily_Reconciled,remaining_gallons_Monthly_Reconciled,remaining_gallons_Weekly_Reconciled,additional_gallons_remaining_Daily_Reconciled,additional_gallons_remaining_Monthly_Reconciled,additional_gallons_remaining_Weekly_Reconciled,Ratability_Monthly,Ratability_Daily,Ratability_Weekly,Synthetic_Base_Weekly,Synthetic_Base_Daily,Synthetic_Base_Monthly,Ratability_Monthly_computed,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
2016-01-01,2016-01-01 00:00:00,Citgo,MANSFIELD OIL COMPANY/COSTCO-389615,1262-LEMONT-CITGO,UNL,96774,3000000,677419,1,0,3,0,0,0,0,0,87019,1,w1,0,0,0,241935,3000000,846774,Unknown,Unknown,Unknown,250%,250,100%,100,125%,125,-1,-1,-1,01/02 00:01:00 CST,02/01 00:01:00 CST,w1,0,2016-01-07 00:01:00,Contract,Contract,Contract,96774,-1,3000000,-1,-1,241935,3000000,759755,0,0,0,0,0,0,11388022,11388024,11388023,2016-01-01 22:00:12,2016-01-01 22:00:12,2016-01-01 22:00:12,Mansfield,Mansfield,Mansfield,96774,3000000,677419,241935,3000000,846773,False,True,0,True,0,True,241935,3000000,846774,-1,-1,-1,-1.0,0.0,0,677419.0,96774.0,2999994.0,-1.0,1,1
2016-01-02,2016-01-02 00:00:00,Citgo,MANSFIELD OIL COMPANY/COSTCO-389615,1262-LEMONT-CITGO,UNL,96774,3000000,677419,1,112871,3,112871,112871,112871,0,112871,199890,1,w1,112871,0,112871,241935,3000000,846774,Unknown,Unknown,Unknown,250%,250,100%,100,125%,125,-1,-1,-1,01/03 00:01:00 CST,02/01 00:01:00 CST,w1,0,2016-01-07 00:01:00,Contract,Contract,Contract,96774,-1,3000000,-1,-1,129064,2887129,646884,0,0,0,0,0,0,11440086,11440088,11440087,2016-01-02 22:00:08,2016-01-02 22:00:08,2016-01-02 22:00:08,Mansfield,Mansfield,Mansfield,96774,3000000,677419,241935,3000000,846774,False,True,112871,True,112871,True,129064,2887129,733903,-1,-1,-1,58.0,133.0,0,677419.0,96774.0,2999994.0,58.0,1,1
2016-01-03,2016-01-03 00:00:00,Citgo,MANSFIELD OIL COMPANY/COSTCO-389615,1262-LEMONT-CITGO,UNL,96774,3000000,677419,1,78115,3,78115,78115,190986,0,190986,278005,1,w1,78115,0,190986,241935,3000000,846774,Unknown,Unknown,Unknown,250%,250,100%,100,125%,125,-1,-1,-1,01/04 00:01:00 CST,02/01 00:01:00 CST,w1,0,2016-01-07 00:01:00,Contract,Contract,Contract,96774,-1,3000000,-1,-1,163820,2809014,568769,0,0,0,0,0,0,11492591,11492593,11492592,2016-01-03 22:00:13,2016-01-03 22:00:13,2016-01-03 22:00:13,Mansfield,Mansfield,Mansfield,96774,3000000,677419,241935,3000000,846774,False,True,190986,True,190986,True,163820,2809014,655788,-1,-1,-1,66.0,0.0,0,677419.0,96774.0,2999994.0,66.0,1,1
2016-01-04,2016-01-04 00:00:00,Citgo,MANSFIELD OIL COMPANY/COSTCO-389615,1262-LEMONT-CITGO,UNL,96774,3000000,677419,1,84818,3,84818,84818,275804,0,275804,362823,1,w1,84818,0,275804,241935,3000000,846774,Unknown,Unknown,Unknown,250%,250,100%,100,125%,125,-1,-1,-1,01/05 00:01:00 CST,02/01 00:01:00 CST,w1,0,2016-01-07 00:01:00,Contract,Contract,Contract,96774,-1,3000000,-1,-1,157117,2724196,483951,0,0,0,0,0,0,11611325,11611327,11611326,2016-01-04 22:00:10,2016-01-04 22:00:10,2016-01-04 22:00:10,Mansfield,Mansfield,Mansfield,96774,3000000,677419,241935,3000000,846774,False,True,275804,True,275804,True,157117,2724196,570970,-1,-1,-1,71.0,0.0,0,677419.0,96774.0,2999994.0,71.0,1,1
2016-01-05,2016-01-05 00:00:00,Citgo,MANSFIELD OIL COMPANY/COSTCO-389615,1262-LEMONT-CITGO,UNL,96774,3000000,677419,1,86715,3,86715,86715,362519,0,362519,449538,1,w1,86715,0,362519,241935,3000000,846774,Unknown,Unknown,Unknown,250%,250,100%,100,125%,125,-1,-1,-1,01/06 00:01:00 CST,02/01 00:01:00 CST,w1,0,2016-01-07 00:01:00,Contract,Contract,Contract,96774,-1,3000000,-1,-1,155220,2637481,397236,0,0,0,0,0,0,11790139,11790141,11790140,2016-01-05 22:00:11,2016-01-05 22:00:11,2016-01-05 22:00:11,Mansfield,Mansfield,Mansfield,96774,3000000,677419,241935,3000000,846774,False,True,362519,True,362519,True,155220,2637481,484255,-1,-1,-1,75.0,0.0,0,677419.0,96774.0,2999994.0,75.0,1,1
2016-01-06,2016-01-06 00:00:00,Citgo,MANSFIELD OIL COMPANY/COSTCO-389615,1262-LEMONT-CITGO,UNL,96774,3000000,677419,1,95638,0,95638,95638,458157,0,458157,545176,1,w1,95638,0,458157,241935,3000000,846774,Unknown,Unknown,Unknown,250%,250,100%,100,125%,125,-1,-1,-1,01/07 00:01:00 CST,02/01 00:01:00 CST,w1,0,2016-01-07 00:01:00,Contract,Contract,Contract,96774,-1,3000000,-1,-1,146297,2541843,301598,0,0,0,0,0,0,11943078,11943080,11943079,2016-01-06 22:00:07,2016-01-06 22:00:07,2016-01-06 22:00:07,Mansfield,Mansfield,Mansfield,96774,3000000,677419,241935,3000000,846774,False,True,458157,True,458157,True,146297,2541843,388617,-1,-1,-1,79.0,0.0,0,677419.0,96774.0,2999994.0,79.0,1,1
2016-01-07,2016-01-07 00:00:00,Citgo,MANSFIELD OIL COMPANY/COSTCO-389615,1262-LEMONT-CITGO,UNL,96774,3000000,677419,1,60703,3,60703,60703,518860,0,518860,60703,1,w2,60703,0,60703,241935,3000000,846774,Unknown,Unknown,Unknown,250%,250,100%,100,125%,125,-1,-1,-1,01/08 00:01:00 CST,02/01 00:01:00 CST,w2,0,2016-01-14 00:01:00,Contract,Contract,Contract,96774,-1,3000000,-1,-1,181232,2481140,786071,0,0,0,0,0,0,12096434,12096436,12096435,2016-01-07 20:00:08,2016-01-07 20:00:08,2016-01-07 20:00:08,Mansfield,Mansfield,Mansfield,96774,3000000,677419,241935,3000000,846774,True,True,60703,True,518860,True,181232,2481140,786071,-1,-1,-1,77.0,0.0,0,677419.0,96774.0,2999994.0,77.0,1,1
2016-01-08,2016-01-08 00:00:00,Citgo,MANSFIELD OIL COMPANY/COSTCO-389615,1262-LEMONT-CITGO,UNL,96774,3000000,677419,1,95620,3,95620,95620,614480,0,614480,156323,1,w2,95620,0,156323,241935,3000000,846774,Unknown,Unknown,Unknown,250%,250,100%,100,125%,125,-1,-1,-1,01/09 00:01:00 CST,02/01 00:01:00 CST,w2,0,2016-01-14 00:01:00,Contract,Contract,Contract,96774,-1,3000000,-1,-1,146315,2385520,690451,0,0,0,0,0,0,12254163,12254165,12254164,2016-01-08 22:00:07,2016-01-08 22:00:07,2016-01-08 22:00:07,Mansfield,Mansfield,Mansfield,96774,3000000,677419,241935,3000000,846774,True,True,156323,True,614480,True,146315,2385520,690451,-1,-1,-1,79.0,0.0,0,677419.0,96774.0,2999994.0,79.0,1,1
2016-01-09,2016-01-09 00:00:00,Citgo,MANSFIELD OIL COMPANY/COSTCO-389615,1262-LEMONT-CITGO,UNL,96774,3000000,677419,1,75511,3,75511,58113,672593,0,672593,214436,1,w2,58113,0,231834,241935,3000000,846774,Unknown,Unknown,Unknown,250%,250,100%,100,125%,125,-1,-1,-1,01/10 00:01:00 CST,02/01 00:01:00 CST,w2,0,2016-01-14 00:01:00,Contract,Contract,Contract,96774,-1,3000000,-1,-1,183822,2327407,632338,0,0,0,0,0,0,12410651,12410653,12410652,2016-01-09 22:00:10,2016-01-09 22:00:10,2016-01-09 22:00:10,Mansfield,Mansfield,Mansfield,96774,3000000,677419,241935,3000000,846774,False,True,231834,True,689991,True,166424,2327407,614940,-1,-1,-1,77.0,0.0,0,677419.0,96774.0,2999994.0,79.0,0,0
2016-01-10,2016-01-10 00:00:00,Citgo,MANSFIELD OIL COMPANY/COSTCO-389615,1262-LEMONT-CITGO,UNL,96774,3000000,677419,1,60805,3,60805,60805,750796,0,750796,292639,1,w2,60805,0,292639,241935,3000000,846774,Unknown,Unknown,Unknown,250%,250,100%,100,125%,125,-1,-1,-1,01/11 00:01:00 CST,02/01 00:01:00 CST,w2,0,2016-01-14 00:01:00,Contract,Contract,Contract,96774,-1,3000000,-1,-1,181130,2249204,554135,0,0,0,0,0,0,12561583,12561585,12561584,2016-01-10 22:00:07,2016-01-10 22:00:07,2016-01-10 22:00:07,Mansfield,Mansfield,Mansfield,96774,3000000,677419,241935,3000000,846774,True,True,292639,True,750796,True,181130,2249204,554135,-1,-1,-1,78.0,0.0,0,677419.0,96774.0,2999994.0,78.0,1,1
2016-01-11,2016-01-11 00:00:00,Citgo,MANSFIELD OIL COMPANY/COSTCO-389615,1262-LEMONT-CITGO,UNL,96774,3000000,677419,1,95231,3,95231,95231,846027,0,846027,387870,1,w2,95231,0,387870,241935,3000000,846774,Unknown,Unknown,Unknown,250%,250,100%,100,125%,125,-1,-1,-1,01/12 00:01:00 CST,02/01 00:01:00 CST,w2,0,2016-01-14 00:01:00,Contract,Contract,Contract,96774,-1,3000000,-1,-1,146704,2153973,458904,0,0,0,0,0,0,12713569,12713571,12713570,2016-01-11 22:00:12,2016-01-11 22:00:12,2016-01-11 22:00:12,Mansfield,Mansfield,Mansfield,96774,3000000,677419,241935,3000000,846774,True,True,387870,True,846027,True,146704,2153973,458904,-1,-1,-1,79.0,0.0,0,677419.0,96774.0,2999994.0,79.0,1,1
