,date,supplier_name,account_type,supplier_terminal_name,product_name,base_gallons_Daily,base_gallons_Monthly,base_gallons_Weekly,lifted_gallons_daily_flag,lifted_gallons_daily_modified,Modified_WeeksByLiftedGallons,lifted_gallons_modified_WeeksByLiftedGallons,lifted_gallons_Daily,Lifted_actual_monthly,lifted_gallons_monthly_flag,lifted_gallons_Monthly,Lifted_actual_weekly,lifted_gallons_weekly_flag,WeeksByLiftedGallons,lifted_gallonsWeekly_modified_aposteriori,Modified_LiftedGallonsaposteriori,lifted_gallons_Weekly,beginning_gallons_Daily,beginning_gallons_Monthly,beginning_gallons_Weekly,en_allocation_status_Daily,en_allocation_status_Monthly,en_allocation_status_Weekly,percentage_allocation_Daily_actual,percentage_allocation_Daily,percentage_allocation_Monthly_actual,percentage_allocation_Monthly,percentage_allocation_Weekly_actual,percentage_allocation_Weekly,alerts_ratability_Daily,alerts_ratability_Monthly,alerts_ratability_Weekly,next_refresh_date_Daily,next_refresh_date_Monthly,Week_switch,Modified_NRD,next_refresh_date_Weekly,en_account_type_Daily,en_account_type_Monthly,en_account_type_Weekly,NRB_Daily,next_refresh_base_gallons_Daily,NRB_Monthly,next_refresh_base_gallons_Monthly,next_refresh_base_gallons_Weekly,remaining_gallons_Daily,remaining_gallons_Monthly,remaining_gallons_Weekly,additional_gallons_allowed_Daily,additional_gallons_allowed_Monthly,additional_gallons_allowed_Weekly,additional_gallons_remaining_Daily,additional_gallons_remaining_Monthly,additional_gallons_remaining_Weekly,staging_id_Daily,staging_id_Monthly,staging_id_Weekly,execution_date_Daily,execution_date_Monthly,execution_date_Weekly,customer_name_Daily,customer_name_Monthly,customer_name_Weekly,base_gallons_Daily_Reconciled,base_gallons_Monthly_Reconciled,base_gallons_Weekly_Reconciled,beginning_gallons_Daily_Reconciled,beginning_gallons_Monthly_Reconciled,beginning_gallons_Weekly_Reconciled,sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,computedWeekly,sanityComputedWeekly,computedMonthly,sanityComputedMonthly,remaining_gallons_Daily_Reconciled,remaining_gallons_Monthly_Reconciled,remaining_gallons_Weekly_Reconciled,additional_gallons_remaining_Daily_Reconciled,additional_gallons_remaining_Monthly_Reconciled,additional_gallons_remaining_Weekly_Reconciled,Ratability_Monthly,Ratability_Daily,Ratability_Weekly,Synthetic_Base_Weekly,Synthetic_Base_Daily,Synthetic_Base_Monthly,Ratability_Monthly_computed,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
2016-01-01,2016-01-01 00:00:00,Citgo,MANSFIELD OIL CO OF GAINESVILLE--224531,1251-ARLINGTON HEIGHTS(EAST)DES P-CITGO,ULS,54839,1700000,383871,1,21902,3,21902,21902,21902,0,21902,59960,1,w1,21902,0,21902,109678,1700000,383871,Unknown,Unknown,Unknown,200%,200,100%,100,100%,100,-1,-1,-1,01/02 00:01:00 CST,02/01 00:01:00 CST,w1,0,2016-01-07 00:01:00,Contract,Contract,Contract,54839,-1,1700000,-1,-1,87776,1678098,323911,0,0,0,0,0,0,11387959,11387961,11387960,2016-01-01 22:00:12,2016-01-01 22:00:12,2016-01-01 22:00:12,Mansfield,Mansfield,Mansfield,54839,1700000,383871,109678,1700000,383871,False,True,21902,True,21902,True,87776,1678098,361969,-1,-1,-1,40.0,0.0,0,383871.0,54839.0,1700009.0,40.0,1,1
2016-01-02,2016-01-02 00:00:00,Citgo,MANSFIELD OIL CO OF GAINESVILLE--224531,1251-ARLINGTON HEIGHTS(EAST)DES P-CITGO,ULS,54839,1700000,383871,1,29204,3,29204,21903,43805,0,43805,81863,1,w1,21903,0,51106,109678,1700000,383871,Unknown,Unknown,Unknown,200%,200,100%,100,100%,100,-1,-1,-1,01/03 00:01:00 CST,02/01 00:01:00 CST,w1,0,2016-01-07 00:01:00,Contract,Contract,Contract,54839,-1,1700000,-1,-1,87775,1656195,302008,0,0,0,0,0,0,11440023,11440025,11440024,2016-01-02 22:00:08,2016-01-02 22:00:08,2016-01-02 22:00:08,Mansfield,Mansfield,Mansfield,54839,1700000,383871,109678,1700000,383871,False,True,51106,True,51106,True,80474,1656195,332765,-1,-1,-1,40.0,0.0,0,383871.0,54839.0,1700009.0,47.0,0,0
2016-01-03,2016-01-03 00:00:00,Citgo,MANSFIELD OIL CO OF GAINESVILLE--224531,1251-ARLINGTON HEIGHTS(EAST)DES P-CITGO,ULS,54839,1700000,383871,1,13792,3,13792,13792,64898,0,64898,102956,1,w1,13792,0,64898,109678,1700000,383871,Unknown,Unknown,Unknown,200%,200,100%,100,100%,100,-1,-1,-1,01/04 00:01:00 CST,02/01 00:01:00 CST,w1,0,2016-01-07 00:01:00,Contract,Contract,Contract,54839,-1,1700000,-1,-1,95886,1635102,280915,0,0,0,0,0,0,11492528,11492530,11492529,2016-01-03 22:00:13,2016-01-03 22:00:13,2016-01-03 22:00:13,Mansfield,Mansfield,Mansfield,54839,1700000,383871,109678,1700000,383871,False,True,64898,True,64898,True,95886,1635102,318973,-1,-1,-1,39.0,0.0,0,383871.0,54839.0,1700009.0,39.0,1,1
2016-01-04,2016-01-04 00:00:00,Citgo,MANSFIELD OIL CO OF GAINESVILLE--224531,1251-ARLINGTON HEIGHTS(EAST)DES P-CITGO,ULS,54839,1700000,383871,1,57063,3,57063,57063,121961,0,121961,160019,1,w1,57063,0,121961,109678,1700000,383871,Unknown,Unknown,Unknown,200%,200,100%,100,100%,100,-1,-1,-1,01/05 00:01:00 CST,02/01 00:01:00 CST,w1,0,2016-01-07 00:01:00,Contract,Contract,Contract,54839,-1,1700000,-1,-1,52615,1578039,223852,0,0,0,0,0,0,11611262,11611264,11611263,2016-01-04 22:00:10,2016-01-04 22:00:10,2016-01-04 22:00:10,Mansfield,Mansfield,Mansfield,54839,1700000,383871,109678,1700000,383871,False,True,121961,True,121961,True,52615,1578039,261910,-1,-1,-1,56.0,133.0,0,383871.0,54839.0,1700009.0,56.0,1,1
2016-01-05,2016-01-05 00:00:00,Citgo,MANSFIELD OIL CO OF GAINESVILLE--224531,1251-ARLINGTON HEIGHTS(EAST)DES P-CITGO,ULS,54839,1700000,383871,1,77179,3,77179,69879,191840,0,191840,229898,1,w1,69879,0,199140,109678,1700000,383871,Unknown,Unknown,Unknown,200%,200,100%,100,100%,100,-1,-1,-1,01/06 00:01:00 CST,02/01 00:01:00 CST,w1,0,2016-01-07 00:01:00,Contract,Contract,Contract,54839,-1,1700000,-1,-1,39799,1508160,153973,0,0,0,0,0,0,11790076,11790078,11790077,2016-01-05 22:00:11,2016-01-05 22:00:11,2016-01-05 22:00:11,Mansfield,Mansfield,Mansfield,54839,1700000,383871,109678,1700000,383871,False,True,199140,True,199140,True,32499,1508160,184731,-1,-1,-1,70.0,133.0,0,383871.0,54839.0,1700009.0,73.0,0,0
2016-01-06,2016-01-06 00:00:00,Citgo,MANSFIELD OIL CO OF GAINESVILLE--224531,1251-ARLINGTON HEIGHTS(EAST)DES P-CITGO,ULS,54839,1700000,383871,1,44511,0,42360,42360,241500,0,241500,279558,1,w1,42360,0,243651,109678,1700000,383871,Unknown,Unknown,Unknown,200%,200,100%,100,100%,100,-1,-1,-1,01/07 00:01:00 CST,02/01 00:01:00 CST,w1,0,2016-01-07 00:01:00,Contract,Contract,Contract,54839,-1,1700000,-1,-1,67318,1458500,104313,0,0,0,0,0,0,11943015,11943017,11943016,2016-01-06 22:00:07,2016-01-06 22:00:07,2016-01-06 22:00:07,Mansfield,Mansfield,Mansfield,54839,1700000,383871,109678,1700000,383871,False,True,243651,True,243651,True,65167,1458500,140220,-1,-1,-1,73.0,0.0,0,383871.0,54839.0,1700009.0,74.0,1,0
2016-01-07,2016-01-07 00:00:00,Citgo,MANSFIELD OIL CO OF GAINESVILLE--224531,1251-ARLINGTON HEIGHTS(EAST)DES P-CITGO,ULS,54839,1700000,383871,1,52694,3,52694,31386,275037,0,275037,31386,1,w2,31386,0,52694,109678,1700000,383871,Unknown,Unknown,Unknown,200%,200,100%,100,100%,100,-1,-1,-1,01/08 00:01:00 CST,02/01 00:01:00 CST,w2,0,2016-01-14 00:01:00,Contract,Contract,Contract,54839,-1,1700000,-1,-1,78292,1424963,352485,0,0,0,0,0,0,12096371,12096373,12096372,2016-01-07 20:00:08,2016-01-07 20:00:08,2016-01-07 20:00:08,Mansfield,Mansfield,Mansfield,54839,1700000,383871,109678,1700000,383871,False,True,52694,True,296345,True,56984,1424963,331177,-1,-1,-1,72.0,0.0,0,383871.0,54839.0,1700009.0,77.0,0,0
2016-01-08,2016-01-08 00:00:00,Citgo,MANSFIELD OIL CO OF GAINESVILLE--224531,1251-ARLINGTON HEIGHTS(EAST)DES P-CITGO,ULS,54839,1700000,383871,1,36499,3,36499,36499,332844,0,332844,89193,1,w2,36499,0,89193,109678,1700000,383871,Unknown,Unknown,Unknown,200%,200,100%,100,100%,100,-1,-1,-1,01/09 00:01:00 CST,02/01 00:01:00 CST,w2,0,2016-01-14 00:01:00,Contract,Contract,Contract,54839,-1,1700000,-1,-1,73179,1367156,294678,0,0,0,0,0,0,12254100,12254102,12254101,2016-01-08 22:00:07,2016-01-08 22:00:07,2016-01-08 22:00:07,Mansfield,Mansfield,Mansfield,54839,1700000,383871,109678,1700000,383871,True,True,89193,True,332844,True,73179,1367156,294678,-1,-1,-1,76.0,0.0,0,383871.0,54839.0,1700009.0,76.0,0,1
2016-01-09,2016-01-09 00:00:00,Citgo,MANSFIELD OIL CO OF GAINESVILLE--224531,1251-ARLINGTON HEIGHTS(EAST)DES P-CITGO,ULS,54839,1700000,383871,1,51209,3,51209,43909,376753,0,376753,133102,1,w2,43909,0,140402,109678,1700000,383871,Unknown,Unknown,Unknown,200%,200,100%,100,100%,100,-1,-1,-1,01/10 00:01:00 CST,02/01 00:01:00 CST,w2,0,2016-01-14 00:01:00,Contract,Contract,Contract,54839,-1,1700000,-1,-1,65769,1323247,250769,0,0,0,0,0,0,12410588,12410590,12410589,2016-01-09 22:00:10,2016-01-09 22:00:10,2016-01-09 22:00:10,Mansfield,Mansfield,Mansfield,54839,1700000,383871,109678,1700000,383871,False,True,140402,True,384053,True,58469,1323247,243469,-1,-1,-1,76.0,0.0,0,383871.0,54839.0,1700009.0,78.0,0,0
2016-01-10,2016-01-10 00:00:00,Citgo,MANSFIELD OIL CO OF GAINESVILLE--224531,1251-ARLINGTON HEIGHTS(EAST)DES P-CITGO,ULS,54839,1700000,383871,1,29103,3,29103,21903,405956,0,405956,162305,1,w2,21903,0,169505,109678,1700000,383871,Unknown,Unknown,Unknown,200%,200,100%,100,100%,100,-1,-1,-1,01/11 00:01:00 CST,02/01 00:01:00 CST,w2,0,2016-01-14 00:01:00,Contract,Contract,Contract,54839,-1,1700000,-1,-1,87775,1294044,221566,0,0,0,0,0,0,12561520,12561522,12561521,2016-01-10 22:00:07,2016-01-10 22:00:07,2016-01-10 22:00:07,Mansfield,Mansfield,Mansfield,54839,1700000,383871,109678,1700000,383871,False,True,169505,True,413156,True,80575,1294044,214366,-1,-1,-1,74.0,0.0,0,383871.0,54839.0,1700009.0,75.0,0,0
