,date,supplier_name,account_type,supplier_terminal_name,product_name,base_gallons_Daily,base_gallons_Monthly,base_gallons_Weekly,lifted_gallons_daily_flag,lifted_gallons_daily_modified,Modified_WeeksByLiftedGallons,lifted_gallons_modified_WeeksByLiftedGallons,lifted_gallons_Daily,Lifted_actual_monthly,lifted_gallons_monthly_flag,lifted_gallons_Monthly,Lifted_actual_weekly,lifted_gallons_weekly_flag,WeeksByLiftedGallons,lifted_gallonsWeekly_modified_aposteriori,Modified_LiftedGallonsaposteriori,lifted_gallons_Weekly,beginning_gallons_Daily,beginning_gallons_Monthly,beginning_gallons_Weekly,en_allocation_status_Daily,en_allocation_status_Monthly,en_allocation_status_Weekly,percentage_allocation_Daily_actual,percentage_allocation_Daily,percentage_allocation_Monthly_actual,percentage_allocation_Monthly,percentage_allocation_Weekly_actual,percentage_allocation_Weekly,alerts_ratability_Daily,alerts_ratability_Monthly,alerts_ratability_Weekly,next_refresh_date_Daily,next_refresh_date_Monthly,Week_switch,Modified_NRD,next_refresh_date_Weekly,en_account_type_Daily,en_account_type_Monthly,en_account_type_Weekly,NRB_Daily,next_refresh_base_gallons_Daily,NRB_Monthly,next_refresh_base_gallons_Monthly,next_refresh_base_gallons_Weekly,remaining_gallons_Daily,remaining_gallons_Monthly,remaining_gallons_Weekly,additional_gallons_allowed_Daily,additional_gallons_allowed_Monthly,additional_gallons_allowed_Weekly,additional_gallons_remaining_Daily,additional_gallons_remaining_Monthly,additional_gallons_remaining_Weekly,staging_id_Daily,staging_id_Monthly,staging_id_Weekly,execution_date_Daily,execution_date_Monthly,execution_date_Weekly,customer_name_Daily,customer_name_Monthly,customer_name_Weekly,base_gallons_Daily_Reconciled,base_gallons_Monthly_Reconciled,base_gallons_Weekly_Reconciled,beginning_gallons_Daily_Reconciled,beginning_gallons_Monthly_Reconciled,beginning_gallons_Weekly_Reconciled,sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,computedWeekly,sanityComputedWeekly,computedMonthly,sanityComputedMonthly,remaining_gallons_Daily_Reconciled,remaining_gallons_Monthly_Reconciled,remaining_gallons_Weekly_Reconciled,additional_gallons_remaining_Daily_Reconciled,additional_gallons_remaining_Monthly_Reconciled,additional_gallons_remaining_Weekly_Reconciled,Ratability_Monthly,Ratability_Daily,Ratability_Weekly,Synthetic_Base_Weekly,Synthetic_Base_Daily,Synthetic_Base_Monthly,Ratability_Monthly_computed,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
2016-01-01,2016-01-01 00:00:00,Citgo,MANSFIELD OIL CO OF GAINESVILLE--224531,1803-CORPUS CHRISTI-CITGO,ULS,15015,465465,105105,1,0,3,0,0,0,0,0,12499,1,w1,0,0,0,30030,488738,115616,Unknown,Unknown,Unknown,200%,200,105%,105,110%,110,-1,-1,-1,01/02 00:01:00 CST,02/01 00:01:00 CST,w1,0,2016-01-07 00:01:00,Contract,Contract,Contract,15015,-1,465465,-1,-1,30030,488738,103117,0,0,0,0,0,0,11388049,11388051,11388050,2016-01-01 22:00:12,2016-01-01 22:00:12,2016-01-01 22:00:12,Mansfield,Mansfield,Mansfield,15015,465465,105105,30030,488738,115615,False,True,0,True,0,True,30030,488738,115616,-1,-1,-1,-1.0,0.0,0,105105.0,15015.0,465465.0,-1.0,1,1
2016-01-02,2016-01-02 00:00:00,Citgo,MANSFIELD OIL CO OF GAINESVILLE--224531,1803-CORPUS CHRISTI-CITGO,ULS,15015,465465,105105,1,0,3,0,0,0,0,0,12499,1,w1,0,0,0,30030,488738,115616,Unknown,Unknown,Unknown,200%,200,105%,105,110%,110,-1,-1,-1,01/03 00:01:00 CST,02/01 00:01:00 CST,w1,0,2016-01-07 00:01:00,Contract,Contract,Contract,15015,-1,465465,-1,-1,30030,488738,103117,0,0,0,0,0,0,11440113,11440115,11440114,2016-01-02 22:00:08,2016-01-02 22:00:08,2016-01-02 22:00:08,Mansfield,Mansfield,Mansfield,15015,465465,105105,30030,488738,115616,False,True,0,True,0,True,30030,488738,115616,-1,-1,-1,-1.0,0.0,0,105105.0,15015.0,465465.0,-1.0,1,1
2016-01-03,2016-01-03 00:00:00,Citgo,MANSFIELD OIL CO OF GAINESVILLE--224531,1803-CORPUS CHRISTI-CITGO,ULS,15015,465465,105105,1,1500,3,1500,1500,1500,0,1500,13999,1,w1,1500,0,1500,30030,488738,115616,Unknown,Unknown,Unknown,200%,200,105%,105,110%,110,-1,-1,-1,01/04 00:01:00 CST,02/01 00:01:00 CST,w1,0,2016-01-07 00:01:00,Contract,Contract,Contract,15015,-1,465465,-1,-1,28530,487238,101617,0,0,0,0,0,0,11492618,11492620,11492619,2016-01-03 22:00:13,2016-01-03 22:00:13,2016-01-03 22:00:13,Mansfield,Mansfield,Mansfield,15015,465465,105105,30030,488738,115616,False,True,1500,True,1500,True,28530,487238,114116,-1,-1,-1,3.0,0.0,0,105105.0,15015.0,465465.0,3.0,1,1
2016-01-04,2016-01-04 00:00:00,Citgo,MANSFIELD OIL CO OF GAINESVILLE--224531,1803-CORPUS CHRISTI-CITGO,ULS,15015,465465,105105,1,20308,3,20308,20308,21808,0,21808,34307,1,w1,20308,0,21808,30030,488738,115616,Unknown,Unknown,Unknown,200%,200,105%,105,110%,110,-1,-1,-1,01/05 00:01:00 CST,02/01 00:01:00 CST,w1,0,2016-01-07 00:01:00,Contract,Contract,Contract,15015,-1,465465,-1,-1,9722,466930,81309,0,0,0,0,0,0,11611352,11611354,11611353,2016-01-04 22:00:10,2016-01-04 22:00:10,2016-01-04 22:00:10,Mansfield,Mansfield,Mansfield,15015,465465,105105,30030,488738,115616,False,True,21808,True,21808,True,9722,466930,93808,-1,-1,-1,36.0,133.0,0,105105.0,15015.0,465465.0,36.0,1,1
2016-01-05,2016-01-05 00:00:00,Citgo,MANSFIELD OIL CO OF GAINESVILLE--224531,1803-CORPUS CHRISTI-CITGO,ULS,15015,465465,105105,1,7500,3,7500,7500,29308,0,29308,41807,1,w1,7500,0,29308,30030,488738,115616,Unknown,Unknown,Unknown,200%,200,105%,105,110%,110,-1,-1,-1,01/06 00:01:00 CST,02/01 00:01:00 CST,w1,0,2016-01-07 00:01:00,Contract,Contract,Contract,15015,-1,465465,-1,-1,22530,459430,73809,0,0,0,0,0,0,11790166,11790168,11790167,2016-01-05 22:00:11,2016-01-05 22:00:11,2016-01-05 22:00:11,Mansfield,Mansfield,Mansfield,15015,465465,105105,30030,488738,115616,False,True,29308,True,29308,True,22530,459430,86308,-1,-1,-1,39.0,0.0,0,105105.0,15015.0,465465.0,39.0,1,1
2016-01-06,2016-01-06 00:00:00,Citgo,MANSFIELD OIL CO OF GAINESVILLE--224531,1803-CORPUS CHRISTI-CITGO,ULS,15015,465465,105105,1,22403,0,22403,22403,51711,0,51711,64210,1,w1,22403,0,51711,30030,488738,115616,Unknown,Unknown,Unknown,200%,200,105%,105,110%,110,-1,-1,-1,01/07 00:01:00 CST,02/01 00:01:00 CST,w1,0,2016-01-07 00:01:00,Contract,Contract,Contract,15015,-1,465465,-1,-1,7627,437027,51406,0,0,0,0,0,0,11943105,11943107,11943106,2016-01-06 22:00:07,2016-01-06 22:00:07,2016-01-06 22:00:07,Mansfield,Mansfield,Mansfield,15015,465465,105105,30030,488738,115616,False,True,51711,True,51711,True,7627,437027,63905,-1,-1,-1,57.0,133.0,0,105105.0,15015.0,465465.0,57.0,1,1
2016-01-07,2016-01-07 00:00:00,Citgo,MANSFIELD OIL CO OF GAINESVILLE--224531,1803-CORPUS CHRISTI-CITGO,ULS,15015,465465,105105,1,7300,0,7300,7300,59011,0,59011,7300,1,w2,7300,0,7300,30030,488738,115616,Unknown,Unknown,Unknown,200%,200,105%,105,110%,110,-1,-1,-1,01/08 00:01:00 CST,02/01 00:01:00 CST,w2,0,2016-01-14 00:01:00,Contract,Contract,Contract,15015,-1,465465,-1,-1,22730,429727,108316,0,0,0,0,0,0,12096461,12096463,12096462,2016-01-07 20:00:08,2016-01-07 20:00:08,2016-01-07 20:00:08,Mansfield,Mansfield,Mansfield,15015,465465,105105,30030,488738,115616,True,True,7300,True,59011,True,22730,429727,108316,-1,-1,-1,56.0,0.0,0,105105.0,15015.0,465465.0,56.0,1,1
2016-01-08,2016-01-08 00:00:00,Citgo,MANSFIELD OIL CO OF GAINESVILLE--224531,1803-CORPUS CHRISTI-CITGO,ULS,15015,465465,105105,1,5998,0,5998,5998,65009,0,65009,13298,1,w2,5998,0,13298,30030,488738,115616,Unknown,Unknown,Unknown,200%,200,105%,105,110%,110,-1,-1,-1,01/09 00:01:00 CST,02/01 00:01:00 CST,w2,0,2016-01-14 00:01:00,Contract,Contract,Contract,15015,-1,465465,-1,-1,24032,423729,102318,0,0,0,0,0,0,12254190,12254192,12254191,2016-01-08 22:00:07,2016-01-08 22:00:07,2016-01-08 22:00:07,Mansfield,Mansfield,Mansfield,15015,465465,105105,30030,488738,115616,True,True,13298,True,65009,True,24032,423729,102318,-1,-1,-1,54.0,0.0,0,105105.0,15015.0,465465.0,54.0,1,1
2016-01-09,2016-01-09 00:00:00,Citgo,MANSFIELD OIL CO OF GAINESVILLE--224531,1803-CORPUS CHRISTI-CITGO,ULS,15015,465465,105105,1,0,0,0,0,65009,0,65009,13298,1,w2,0,0,13298,30030,488738,115616,Unknown,Unknown,Unknown,200%,200,105%,105,110%,110,-1,-1,-1,01/10 00:01:00 CST,02/01 00:01:00 CST,w2,0,2016-01-14 00:01:00,Contract,Contract,Contract,15015,-1,465465,-1,-1,30030,423729,102318,0,0,0,0,0,0,12410678,12410680,12410679,2016-01-09 22:00:10,2016-01-09 22:00:10,2016-01-09 22:00:10,Mansfield,Mansfield,Mansfield,15015,465465,105105,30030,488738,115616,True,True,13298,True,65009,True,30030,423729,102318,-1,-1,-1,48.0,0.0,0,105105.0,15015.0,465465.0,48.0,1,1
2016-01-10,2016-01-10 00:00:00,Citgo,MANSFIELD OIL CO OF GAINESVILLE--224531,1803-CORPUS CHRISTI-CITGO,ULS,15015,465465,105105,1,0,0,0,0,65009,0,65009,13298,1,w2,0,0,13298,30030,488738,115616,Unknown,Unknown,Unknown,200%,200,105%,105,110%,110,-1,-1,-1,01/11 00:01:00 CST,02/01 00:01:00 CST,w2,0,2016-01-14 00:01:00,Contract,Contract,Contract,15015,-1,465465,-1,-1,30030,423729,102318,0,0,0,0,0,0,12561610,12561612,12561611,2016-01-10 22:00:07,2016-01-10 22:00:07,2016-01-10 22:00:07,Mansfield,Mansfield,Mansfield,15015,465465,105105,30030,488738,115616,True,True,13298,True,65009,True,30030,423729,102318,-1,-1,-1,43.0,0.0,0,105105.0,15015.0,465465.0,43.0,1,1
