,date,supplier_name,account_type,supplier_terminal_name,product_name,base_gallons_Daily,base_gallons_Monthly,base_gallons_Weekly,lifted_gallons_daily_flag,lifted_gallons_daily_modified,Modified_WeeksByLiftedGallons,lifted_gallons_modified_WeeksByLiftedGallons,lifted_gallons_Daily,Lifted_actual_monthly,lifted_gallons_monthly_flag,lifted_gallons_Monthly,Lifted_actual_weekly,lifted_gallons_weekly_flag,WeeksByLiftedGallons,lifted_gallonsWeekly_modified_aposteriori,Modified_LiftedGallonsaposteriori,lifted_gallons_Weekly,beginning_gallons_Daily,beginning_gallons_Monthly,beginning_gallons_Weekly,en_allocation_status_Daily,en_allocation_status_Monthly,en_allocation_status_Weekly,percentage_allocation_Daily_actual,percentage_allocation_Daily,percentage_allocation_Monthly_actual,percentage_allocation_Monthly,percentage_allocation_Weekly_actual,percentage_allocation_Weekly,alerts_ratability_Daily,alerts_ratability_Monthly,alerts_ratability_Weekly,next_refresh_date_Daily,next_refresh_date_Monthly,Week_switch,Modified_NRD,next_refresh_date_Weekly,en_account_type_Daily,en_account_type_Monthly,en_account_type_Weekly,NRB_Daily,next_refresh_base_gallons_Daily,NRB_Monthly,next_refresh_base_gallons_Monthly,next_refresh_base_gallons_Weekly,remaining_gallons_Daily,remaining_gallons_Monthly,remaining_gallons_Weekly,additional_gallons_allowed_Daily,additional_gallons_allowed_Monthly,additional_gallons_allowed_Weekly,additional_gallons_remaining_Daily,additional_gallons_remaining_Monthly,additional_gallons_remaining_Weekly,staging_id_Daily,staging_id_Monthly,staging_id_Weekly,execution_date_Daily,execution_date_Monthly,execution_date_Weekly,customer_name_Daily,customer_name_Monthly,customer_name_Weekly,base_gallons_Daily_Reconciled,base_gallons_Monthly_Reconciled,base_gallons_Weekly_Reconciled,beginning_gallons_Daily_Reconciled,beginning_gallons_Monthly_Reconciled,beginning_gallons_Weekly_Reconciled,sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,computedWeekly,sanityComputedWeekly,computedMonthly,sanityComputedMonthly,remaining_gallons_Daily_Reconciled,remaining_gallons_Monthly_Reconciled,remaining_gallons_Weekly_Reconciled,additional_gallons_remaining_Daily_Reconciled,additional_gallons_remaining_Monthly_Reconciled,additional_gallons_remaining_Weekly_Reconciled,Ratability_Monthly,Ratability_Daily,Ratability_Weekly,Synthetic_Base_Weekly,Synthetic_Base_Daily,Synthetic_Base_Monthly,Ratability_Monthly_computed,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
2016-01-01,2016-01-01 00:00:00,Citgo,MANSFIELD OIL CO OF GAINESVILLE--224531,1840-BROWNSVILLE-CITGO,ULS,4171,129301,29197,1,0,0,0,0,0,0,0,0,1,w1,0,0,0,8342,129301,36496,Unknown,Unknown,Unknown,200%,200,100%,100,125%,125,-1,-1,-1,01/02 00:01:00 CST,02/01 00:01:00 CST,w1,0,2016-01-07 00:01:00,Contract,Contract,Contract,4171,-1,129301,-1,-1,8342,129301,36496,0,0,0,0,0,0,11388064,11388066,11388065,2016-01-01 22:00:12,2016-01-01 22:00:12,2016-01-01 22:00:12,Mansfield,Mansfield,Mansfield,4171,129301,29197,8342,129301,36496,True,True,0,True,0,True,8342,129301,36496,-1,-1,-1,-1.0,0.0,0,29197.0,4171.0,129301.0,-1.0,1,1
2016-01-02,2016-01-02 00:00:00,Citgo,MANSFIELD OIL CO OF GAINESVILLE--224531,1840-BROWNSVILLE-CITGO,ULS,4171,129301,29197,1,0,0,0,0,0,0,0,0,1,w1,0,0,0,8342,129301,36496,Unknown,Unknown,Unknown,200%,200,100%,100,125%,125,-1,-1,-1,01/03 00:01:00 CST,02/01 00:01:00 CST,w1,0,2016-01-07 00:01:00,Contract,Contract,Contract,4171,-1,129301,-1,-1,8342,129301,36496,0,0,0,0,0,0,11440128,11440130,11440129,2016-01-02 22:00:08,2016-01-02 22:00:08,2016-01-02 22:00:08,Mansfield,Mansfield,Mansfield,4171,129301,29197,8342,129301,36496,True,True,0,True,0,True,8342,129301,36496,-1,-1,-1,-1.0,0.0,0,29197.0,4171.0,129301.0,-1.0,1,1
2016-01-03,2016-01-03 00:00:00,Citgo,MANSFIELD OIL CO OF GAINESVILLE--224531,1840-BROWNSVILLE-CITGO,ULS,4171,129301,29197,1,0,0,0,0,0,0,0,0,1,w1,0,0,0,8342,129301,36496,Unknown,Unknown,Unknown,200%,200,100%,100,125%,125,-1,-1,-1,01/04 00:01:00 CST,02/01 00:01:00 CST,w1,0,2016-01-07 00:01:00,Contract,Contract,Contract,4171,-1,129301,-1,-1,8342,129301,36496,0,0,0,0,0,0,11492633,11492635,11492634,2016-01-03 22:00:13,2016-01-03 22:00:13,2016-01-03 22:00:13,Mansfield,Mansfield,Mansfield,4171,129301,29197,8342,129301,36496,True,True,0,True,0,True,8342,129301,36496,-1,-1,-1,-1.0,0.0,0,29197.0,4171.0,129301.0,-1.0,1,1
2016-01-04,2016-01-04 00:00:00,Citgo,MANSFIELD OIL CO OF GAINESVILLE--224531,1840-BROWNSVILLE-CITGO,ULS,4171,129301,29197,1,0,0,0,0,0,0,0,0,1,w1,0,0,0,8342,129301,36496,Unknown,Unknown,Unknown,200%,200,100%,100,125%,125,-1,-1,-1,01/05 00:01:00 CST,02/01 00:01:00 CST,w1,0,2016-01-07 00:01:00,Contract,Contract,Contract,4171,-1,129301,-1,-1,8342,129301,36496,0,0,0,0,0,0,11611367,11611369,11611368,2016-01-04 22:00:10,2016-01-04 22:00:10,2016-01-04 22:00:10,Mansfield,Mansfield,Mansfield,4171,129301,29197,8342,129301,36496,True,True,0,True,0,True,8342,129301,36496,-1,-1,-1,-1.0,0.0,0,29197.0,4171.0,129301.0,-1.0,1,1
2016-01-05,2016-01-05 00:00:00,Citgo,MANSFIELD OIL CO OF GAINESVILLE--224531,1840-BROWNSVILLE-CITGO,ULS,4171,129301,29197,1,14006,0,14006,14006,14006,0,14006,14006,1,w1,14006,0,14006,8342,129301,36496,Unknown,Unknown,Unknown,200%,200,100%,100,125%,125,-1,-1,-1,01/06 00:01:00 CST,02/01 00:01:00 CST,w1,0,2016-01-07 00:01:00,Contract,Contract,Contract,4171,-1,129301,-1,-1,-5664,115295,22490,0,0,0,0,0,0,11790181,11790183,11790182,2016-01-05 22:00:11,2016-01-05 22:00:11,2016-01-05 22:00:11,Mansfield,Mansfield,Mansfield,4171,129301,29197,8342,129301,36496,True,True,14006,True,14006,True,-5664,115295,22490,-1,-1,-1,67.0,400.0,0,29197.0,4171.0,129301.0,67.0,1,1
2016-01-06,2016-01-06 00:00:00,Citgo,MANSFIELD OIL CO OF GAINESVILLE--224531,1840-BROWNSVILLE-CITGO,ULS,4171,129301,29197,1,0,0,0,0,14006,0,14006,14006,1,w1,0,0,14006,8342,129301,36496,Unknown,Unknown,Unknown,200%,200,100%,100,125%,125,-1,-1,-1,01/07 00:01:00 CST,02/01 00:01:00 CST,w1,0,2016-01-07 00:01:00,Contract,Contract,Contract,4171,-1,129301,-1,-1,8342,115295,22490,0,0,0,0,0,0,11943123,11943125,11943124,2016-01-06 22:00:07,2016-01-06 22:00:07,2016-01-06 22:00:07,Mansfield,Mansfield,Mansfield,4171,129301,29197,8342,129301,36496,True,True,14006,True,14006,True,8342,115295,22490,-1,-1,-1,56.0,0.0,0,29197.0,4171.0,129301.0,56.0,1,1
2016-01-07,2016-01-07 00:00:00,Citgo,MANSFIELD OIL CO OF GAINESVILLE--224531,1840-BROWNSVILLE-CITGO,ULS,4171,129301,29197,1,0,0,0,0,14006,0,14006,0,1,w2,0,0,0,8342,129301,36496,Unknown,Unknown,Unknown,200%,200,100%,100,125%,125,-1,-1,-1,01/08 00:01:00 CST,02/01 00:01:00 CST,w2,0,2016-01-14 00:01:00,Contract,Contract,Contract,4171,-1,129301,-1,-1,8342,115295,36496,0,0,0,0,0,0,12096479,12096481,12096480,2016-01-07 20:00:08,2016-01-07 20:00:08,2016-01-07 20:00:08,Mansfield,Mansfield,Mansfield,4171,129301,29197,8342,129301,36496,True,True,0,True,14006,True,8342,115295,36496,-1,-1,-1,48.0,0.0,0,29197.0,4171.0,129301.0,48.0,1,1
2016-01-08,2016-01-08 00:00:00,Citgo,MANSFIELD OIL CO OF GAINESVILLE--224531,1840-BROWNSVILLE-CITGO,ULS,4171,129301,29197,1,7499,0,7499,7499,21505,0,21505,7499,1,w2,7499,0,7499,8342,129301,36496,Unknown,Unknown,Unknown,200%,200,100%,100,125%,125,-1,-1,-1,01/09 00:01:00 CST,02/01 00:01:00 CST,w2,0,2016-01-14 00:01:00,Contract,Contract,Contract,4171,-1,129301,-1,-1,843,107796,28997,0,0,0,0,0,0,12254208,12254210,12254209,2016-01-08 22:00:07,2016-01-08 22:00:07,2016-01-08 22:00:07,Mansfield,Mansfield,Mansfield,4171,129301,29197,8342,129301,36496,True,True,7499,True,21505,True,843,107796,28997,-1,-1,-1,64.0,133.0,0,29197.0,4171.0,129301.0,64.0,1,1
2016-01-09,2016-01-09 00:00:00,Citgo,MANSFIELD OIL CO OF GAINESVILLE--224531,1840-BROWNSVILLE-CITGO,ULS,4171,129301,29197,1,7504,0,7504,7504,29009,0,29009,15003,1,w2,7504,0,15003,8342,129301,36496,Unknown,Unknown,Unknown,200%,200,100%,100,125%,125,-1,-1,-1,01/10 00:01:00 CST,02/01 00:01:00 CST,w2,0,2016-01-14 00:01:00,Contract,Contract,Contract,4171,-1,129301,-1,-1,838,100292,21493,0,0,0,0,0,0,12410696,12410698,12410697,2016-01-09 22:00:10,2016-01-09 22:00:10,2016-01-09 22:00:10,Mansfield,Mansfield,Mansfield,4171,129301,29197,8342,129301,36496,True,True,15003,True,29009,True,838,100292,21493,-1,-1,-1,77.0,133.0,0,29197.0,4171.0,129301.0,77.0,1,1
2016-01-10,2016-01-10 00:00:00,Citgo,MANSFIELD OIL CO OF GAINESVILLE--224531,1840-BROWNSVILLE-CITGO,ULS,4171,129301,29197,1,0,0,0,0,29009,0,29009,15003,1,w2,0,0,15003,8342,129301,36496,Unknown,Unknown,Unknown,200%,200,100%,100,125%,125,-1,-1,-1,01/11 00:01:00 CST,02/01 00:01:00 CST,w2,0,2016-01-14 00:01:00,Contract,Contract,Contract,4171,-1,129301,-1,-1,8342,100292,21493,0,0,0,0,0,0,12561628,12561630,12561629,2016-01-10 22:00:07,2016-01-10 22:00:07,2016-01-10 22:00:07,Mansfield,Mansfield,Mansfield,4171,129301,29197,8342,129301,36496,True,True,15003,True,29009,True,8342,100292,21493,-1,-1,-1,70.0,0.0,0,29197.0,4171.0,129301.0,70.0,1,1
