,date,supplier_name,account_type,supplier_terminal_name,product_name,base_gallons_Daily,base_gallons_Monthly,base_gallons_Weekly,lifted_gallons_daily_flag,lifted_gallons_daily_modified,Modified_WeeksByLiftedGallons,lifted_gallons_modified_WeeksByLiftedGallons,lifted_gallons_Daily,Lifted_actual_monthly,lifted_gallons_monthly_flag,lifted_gallons_Monthly,Lifted_actual_weekly,lifted_gallons_weekly_flag,WeeksByLiftedGallons,lifted_gallonsWeekly_modified_aposteriori,Modified_LiftedGallonsaposteriori,lifted_gallons_Weekly,beginning_gallons_Daily,beginning_gallons_Monthly,beginning_gallons_Weekly,en_allocation_status_Daily,en_allocation_status_Monthly,en_allocation_status_Weekly,percentage_allocation_Daily_actual,percentage_allocation_Daily,percentage_allocation_Monthly_actual,percentage_allocation_Monthly,percentage_allocation_Weekly_actual,percentage_allocation_Weekly,alerts_ratability_Daily,alerts_ratability_Monthly,alerts_ratability_Weekly,next_refresh_date_Daily,next_refresh_date_Monthly,Week_switch,Modified_NRD,next_refresh_date_Weekly,en_account_type_Daily,en_account_type_Monthly,en_account_type_Weekly,NRB_Daily,next_refresh_base_gallons_Daily,NRB_Monthly,next_refresh_base_gallons_Monthly,next_refresh_base_gallons_Weekly,remaining_gallons_Daily,remaining_gallons_Monthly,remaining_gallons_Weekly,additional_gallons_allowed_Daily,additional_gallons_allowed_Monthly,additional_gallons_allowed_Weekly,additional_gallons_remaining_Daily,additional_gallons_remaining_Monthly,additional_gallons_remaining_Weekly,staging_id_Daily,staging_id_Monthly,staging_id_Weekly,execution_date_Daily,execution_date_Monthly,execution_date_Weekly,customer_name_Daily,customer_name_Monthly,customer_name_Weekly,base_gallons_Daily_Reconciled,base_gallons_Monthly_Reconciled,base_gallons_Weekly_Reconciled,beginning_gallons_Daily_Reconciled,beginning_gallons_Monthly_Reconciled,beginning_gallons_Weekly_Reconciled,sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,computedWeekly,sanityComputedWeekly,computedMonthly,sanityComputedMonthly,remaining_gallons_Daily_Reconciled,remaining_gallons_Monthly_Reconciled,remaining_gallons_Weekly_Reconciled,additional_gallons_remaining_Daily_Reconciled,additional_gallons_remaining_Monthly_Reconciled,additional_gallons_remaining_Weekly_Reconciled,Ratability_Monthly,Ratability_Daily,Ratability_Weekly,Synthetic_Base_Weekly,Synthetic_Base_Daily,Synthetic_Base_Monthly,Ratability_Monthly_computed,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
2016-01-01,2016-01-01 00:00:00,Citgo,MANSFIELD OIL CO OF GAINESVILLE--224531,3110-EAST BRAINTREE-CITGO,ULS,11290,350000,79032,1,0,0,0,0,0,0,0,3504,1,w1,0,0,0,33870,350000,79032,Unknown,Unknown,Unknown,300%,300,100%,100,100%,100,-1,-1,-1,01/02 00:01:00 EST,02/01 00:01:00 EST,w1,0,2016-01-07 00:01:00,Contract,Contract,Contract,11290,-1,350000,-1,-1,33870,350000,75528,0,0,0,0,0,0,11388115,11388117,11388116,2016-01-01 22:00:12,2016-01-01 22:00:12,2016-01-01 22:00:12,Mansfield,Mansfield,Mansfield,11290,350000,79032,33870,350000,79032,False,True,0,True,0,True,33870,350000,79032,-1,-1,-1,-1.0,0.0,0,79032.0,11290.0,349990.0,-1.0,1,1
2016-01-02,2016-01-02 00:00:00,Citgo,MANSFIELD OIL CO OF GAINESVILLE--224531,3110-EAST BRAINTREE-CITGO,ULS,11290,350000,79032,1,0,0,0,0,0,0,0,3504,1,w1,0,0,0,33870,350000,79032,Unknown,Unknown,Unknown,300%,300,100%,100,100%,100,-1,-1,-1,01/03 00:01:00 EST,02/01 00:01:00 EST,w1,0,2016-01-07 00:01:00,Contract,Contract,Contract,11290,-1,350000,-1,-1,33870,350000,75528,0,0,0,0,0,0,11440179,11440181,11440180,2016-01-02 22:00:08,2016-01-02 22:00:08,2016-01-02 22:00:08,Mansfield,Mansfield,Mansfield,11290,350000,79032,33870,350000,79032,False,True,0,True,0,True,33870,350000,79032,-1,-1,-1,-1.0,0.0,0,79032.0,11290.0,349990.0,-1.0,1,1
2016-01-03,2016-01-03 00:00:00,Citgo,MANSFIELD OIL CO OF GAINESVILLE--224531,3110-EAST BRAINTREE-CITGO,ULS,11290,350000,79032,1,0,0,0,0,0,0,0,3504,1,w1,0,0,0,33870,350000,79032,Unknown,Unknown,Unknown,300%,300,100%,100,100%,100,-1,-1,-1,01/04 00:01:00 EST,02/01 00:01:00 EST,w1,0,2016-01-07 00:01:00,Contract,Contract,Contract,11290,-1,350000,-1,-1,33870,350000,75528,0,0,0,0,0,0,11492684,11492686,11492685,2016-01-03 22:00:13,2016-01-03 22:00:13,2016-01-03 22:00:13,Mansfield,Mansfield,Mansfield,11290,350000,79032,33870,350000,79032,False,True,0,True,0,True,33870,350000,79032,-1,-1,-1,-1.0,0.0,0,79032.0,11290.0,349990.0,-1.0,1,1
2016-01-04,2016-01-04 00:00:00,Citgo,MANSFIELD OIL CO OF GAINESVILLE--224531,3110-EAST BRAINTREE-CITGO,ULS,11290,350000,79032,1,0,0,0,0,0,0,0,3504,1,w1,0,0,0,33870,350000,79032,Unknown,Unknown,Unknown,300%,300,100%,100,100%,100,-1,-1,-1,01/05 00:01:00 EST,02/01 00:01:00 EST,w1,0,2016-01-07 00:01:00,Contract,Contract,Contract,11290,-1,350000,-1,-1,33870,350000,75528,0,0,0,0,0,0,11611418,11611420,11611419,2016-01-04 22:00:10,2016-01-04 22:00:10,2016-01-04 22:00:10,Mansfield,Mansfield,Mansfield,11290,350000,79032,33870,350000,79032,False,True,0,True,0,True,33870,350000,79032,-1,-1,-1,-1.0,0.0,0,79032.0,11290.0,349990.0,-1.0,1,1
2016-01-05,2016-01-05 00:00:00,Citgo,MANSFIELD OIL CO OF GAINESVILLE--224531,3110-EAST BRAINTREE-CITGO,ULS,11290,350000,79032,1,0,0,0,0,0,0,0,3504,1,w1,0,0,0,33870,350000,79032,Unknown,Unknown,Unknown,300%,300,100%,100,100%,100,-1,-1,-1,01/06 00:01:00 EST,02/01 00:01:00 EST,w1,0,2016-01-07 00:01:00,Contract,Contract,Contract,11290,-1,350000,-1,-1,33870,350000,75528,0,0,0,0,0,0,11790232,11790234,11790233,2016-01-05 22:00:11,2016-01-05 22:00:11,2016-01-05 22:00:11,Mansfield,Mansfield,Mansfield,11290,350000,79032,33870,350000,79032,False,True,0,True,0,True,33870,350000,79032,-1,-1,-1,-1.0,0.0,0,79032.0,11290.0,349990.0,-1.0,1,1
2016-01-06,2016-01-06 00:00:00,Citgo,MANSFIELD OIL CO OF GAINESVILLE--224531,3110-EAST BRAINTREE-CITGO,ULS,11290,350000,79032,1,0,0,0,0,0,0,0,3504,1,w1,0,0,0,33870,350000,79032,Unknown,Unknown,Unknown,300%,300,100%,100,100%,100,-1,-1,-1,01/07 00:01:00 EST,02/01 00:01:00 EST,w1,0,2016-01-07 00:01:00,Contract,Contract,Contract,11290,-1,350000,-1,-1,33870,350000,75528,0,0,0,0,0,0,11943174,11943176,11943175,2016-01-06 22:00:07,2016-01-06 22:00:07,2016-01-06 22:00:07,Mansfield,Mansfield,Mansfield,11290,350000,79032,33870,350000,79032,False,True,0,True,0,True,33870,350000,79032,-1,-1,-1,-1.0,0.0,0,79032.0,11290.0,349990.0,-1.0,1,1
2016-01-07,2016-01-07 00:00:00,Citgo,MANSFIELD OIL CO OF GAINESVILLE--224531,3110-EAST BRAINTREE-CITGO,ULS,11290,350000,79032,1,7503,0,7503,7503,7503,0,7503,7503,1,w1,7503,0,7503,33870,350000,79032,Unknown,Unknown,Unknown,300%,300,100%,100,100%,100,-1,-1,-1,01/08 00:01:00 EST,02/01 00:01:00 EST,w2,0,2016-01-14 00:01:00,Contract,Contract,Contract,11290,-1,350000,-1,-1,26367,342497,71529,0,0,0,0,0,0,12096530,12096532,12096531,2016-01-07 20:00:08,2016-01-07 20:00:08,2016-01-07 20:00:08,Mansfield,Mansfield,Mansfield,11290,350000,79032,33870,350000,79032,True,True,7503,True,7503,True,26367,342497,71529,-1,-1,-1,9.0,0.0,0,79032.0,11290.0,349990.0,9.0,1,1
2016-01-08,2016-01-08 00:00:00,Citgo,MANSFIELD OIL CO OF GAINESVILLE--224531,3110-EAST BRAINTREE-CITGO,ULS,11290,350000,79032,1,3999,0,3999,3999,11502,0,11502,11502,1,w1,3999,0,11502,33870,350000,79032,Unknown,Unknown,Unknown,300%,300,100%,100,100%,100,-1,-1,-1,01/09 00:01:00 EST,02/01 00:01:00 EST,w2,0,2016-01-14 00:01:00,Contract,Contract,Contract,11290,-1,350000,-1,-1,29871,338498,67530,0,0,0,0,0,0,12254259,12254261,12254260,2016-01-08 22:00:07,2016-01-08 22:00:07,2016-01-08 22:00:07,Mansfield,Mansfield,Mansfield,11290,350000,79032,33870,350000,79032,True,True,11502,True,11502,True,29871,338498,67530,-1,-1,-1,13.0,0.0,0,79032.0,11290.0,349990.0,13.0,1,1
2016-01-09,2016-01-09 00:00:00,Citgo,MANSFIELD OIL CO OF GAINESVILLE--224531,3110-EAST BRAINTREE-CITGO,ULS,11290,350000,79032,1,0,0,0,0,11502,0,11502,11502,1,w1,0,0,11502,33870,350000,79032,Unknown,Unknown,Unknown,300%,300,100%,100,100%,100,-1,-1,-1,01/10 00:01:00 EST,02/01 00:01:00 EST,w2,0,2016-01-14 00:01:00,Contract,Contract,Contract,11290,-1,350000,-1,-1,33870,338498,67530,0,0,0,0,0,0,12410747,12410749,12410748,2016-01-09 22:00:10,2016-01-09 22:00:10,2016-01-09 22:00:10,Mansfield,Mansfield,Mansfield,11290,350000,79032,33870,350000,79032,True,True,11502,True,11502,True,33870,338498,67530,-1,-1,-1,11.0,0.0,0,79032.0,11290.0,349990.0,11.0,1,1
2016-01-10,2016-01-10 00:00:00,Citgo,MANSFIELD OIL CO OF GAINESVILLE--224531,3110-EAST BRAINTREE-CITGO,ULS,11290,350000,79032,1,0,0,0,0,11502,0,11502,11502,1,w1,0,0,11502,33870,350000,79032,Unknown,Unknown,Unknown,300%,300,100%,100,100%,100,-1,-1,-1,01/11 00:01:00 EST,02/01 00:01:00 EST,w2,0,2016-01-14 00:01:00,Contract,Contract,Contract,11290,-1,350000,-1,-1,33870,338498,67530,0,0,0,0,0,0,12561679,12561681,12561680,2016-01-10 22:00:07,2016-01-10 22:00:07,2016-01-10 22:00:07,Mansfield,Mansfield,Mansfield,11290,350000,79032,33870,350000,79032,True,True,11502,True,11502,True,33870,338498,67530,-1,-1,-1,10.0,0.0,0,79032.0,11290.0,349990.0,10.0,1,1
