,date,supplier_name,account_type,supplier_terminal_name,product_name,base_gallons_Daily,base_gallons_Monthly,base_gallons_Weekly,lifted_gallons_daily_flag,lifted_gallons_daily_modified,Modified_WeeksByLiftedGallons,lifted_gallons_modified_WeeksByLiftedGallons,lifted_gallons_Daily,Lifted_actual_monthly,lifted_gallons_monthly_flag,lifted_gallons_Monthly,Lifted_actual_weekly,lifted_gallons_weekly_flag,WeeksByLiftedGallons,lifted_gallonsWeekly_modified_aposteriori,Modified_LiftedGallonsaposteriori,lifted_gallons_Weekly,beginning_gallons_Daily,beginning_gallons_Monthly,beginning_gallons_Weekly,en_allocation_status_Daily,en_allocation_status_Monthly,en_allocation_status_Weekly,percentage_allocation_Daily_actual,percentage_allocation_Daily,percentage_allocation_Monthly_actual,percentage_allocation_Monthly,percentage_allocation_Weekly_actual,percentage_allocation_Weekly,alerts_ratability_Daily,alerts_ratability_Monthly,alerts_ratability_Weekly,next_refresh_date_Daily,next_refresh_date_Monthly,Week_switch,Modified_NRD,next_refresh_date_Weekly,en_account_type_Daily,en_account_type_Monthly,en_account_type_Weekly,NRB_Daily,next_refresh_base_gallons_Daily,NRB_Monthly,next_refresh_base_gallons_Monthly,next_refresh_base_gallons_Weekly,remaining_gallons_Daily,remaining_gallons_Monthly,remaining_gallons_Weekly,additional_gallons_allowed_Daily,additional_gallons_allowed_Monthly,additional_gallons_allowed_Weekly,additional_gallons_remaining_Daily,additional_gallons_remaining_Monthly,additional_gallons_remaining_Weekly,staging_id_Daily,staging_id_Monthly,staging_id_Weekly,execution_date_Daily,execution_date_Monthly,execution_date_Weekly,customer_name_Daily,customer_name_Monthly,customer_name_Weekly,base_gallons_Daily_Reconciled,base_gallons_Monthly_Reconciled,base_gallons_Weekly_Reconciled,beginning_gallons_Daily_Reconciled,beginning_gallons_Monthly_Reconciled,beginning_gallons_Weekly_Reconciled,sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,computedWeekly,sanityComputedWeekly,computedMonthly,sanityComputedMonthly,remaining_gallons_Daily_Reconciled,remaining_gallons_Monthly_Reconciled,remaining_gallons_Weekly_Reconciled,additional_gallons_remaining_Daily_Reconciled,additional_gallons_remaining_Monthly_Reconciled,additional_gallons_remaining_Weekly_Reconciled,Ratability_Monthly,Ratability_Daily,Ratability_Weekly,Synthetic_Base_Weekly,Synthetic_Base_Daily,Synthetic_Base_Monthly,Ratability_Monthly_computed,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
2016-01-01,2016-01-01 00:00:00,Citgo,MANSFIELD OIL CO OF GAINESVILLE--224531,3112-VICTORIA-CITGO,UNL,6243,193533,43701,1,0,3,0,0,0,0,0,0,1,w1,0,0,0,12486,193533,43701,Unknown,Unknown,Unknown,200%,200,100%,100,100%,100,-1,-1,-1,01/02 00:01:00 CST,02/01 00:01:00 CST,w1,0,2016-01-07 00:01:00,Contract,Contract,Contract,6243,-1,193533,-1,-1,12486,193533,43701,0,0,0,0,0,0,11388130,11388132,11388131,2016-01-01 22:00:12,2016-01-01 22:00:12,2016-01-01 22:00:12,Mansfield,Mansfield,Mansfield,6243,193533,43701,12486,193533,43701,True,True,0,True,0,True,12486,193533,43701,-1,-1,-1,-1.0,0.0,0,43701.0,6243.0,193533.0,-1.0,1,1
2016-01-02,2016-01-02 00:00:00,Citgo,MANSFIELD OIL CO OF GAINESVILLE--224531,3112-VICTORIA-CITGO,UNL,6243,193533,43701,1,15806,3,15806,15806,15806,0,15806,15806,1,w1,15806,0,15806,12486,193533,43701,Unknown,Unknown,Unknown,200%,200,100%,100,100%,100,-1,-1,-1,01/03 00:01:00 CST,02/01 00:01:00 CST,w1,0,2016-01-07 00:01:00,Contract,Contract,Contract,6243,-1,193533,-1,-1,-3320,177727,27895,0,0,0,0,0,0,11440194,11440196,11440195,2016-01-02 22:00:08,2016-01-02 22:00:08,2016-01-02 22:00:08,Mansfield,Mansfield,Mansfield,6243,193533,43701,12486,193533,43701,True,True,15806,True,15806,True,-3320,177727,27895,-1,-1,-1,127.0,267.0,0,43701.0,6243.0,193533.0,127.0,1,1
2016-01-03,2016-01-03 00:00:00,Citgo,MANSFIELD OIL CO OF GAINESVILLE--224531,3112-VICTORIA-CITGO,UNL,6243,193533,43701,1,0,3,0,0,15806,0,15806,15806,1,w1,0,0,15806,12486,193533,43701,Unknown,Unknown,Unknown,200%,200,100%,100,100%,100,-1,-1,-1,01/04 00:01:00 CST,02/01 00:01:00 CST,w1,0,2016-01-07 00:01:00,Contract,Contract,Contract,6243,-1,193533,-1,-1,12486,177727,27895,0,0,0,0,0,0,11492699,11492701,11492700,2016-01-03 22:00:13,2016-01-03 22:00:13,2016-01-03 22:00:13,Mansfield,Mansfield,Mansfield,6243,193533,43701,12486,193533,43701,True,True,15806,True,15806,True,12486,177727,27895,-1,-1,-1,84.0,0.0,0,43701.0,6243.0,193533.0,84.0,1,1
2016-01-04,2016-01-04 00:00:00,Citgo,MANSFIELD OIL CO OF GAINESVILLE--224531,3112-VICTORIA-CITGO,UNL,6243,193533,43701,1,8801,3,8801,0,15806,0,15806,15806,1,w1,0,0,24607,12486,193533,43701,Unknown,Unknown,Unknown,200%,200,100%,100,100%,100,-1,-1,-1,01/05 00:01:00 CST,02/01 00:01:00 CST,w1,0,2016-01-07 00:01:00,Contract,Contract,Contract,6243,-1,193533,-1,-1,12486,177727,27895,0,0,0,0,0,0,11611433,11611435,11611434,2016-01-04 22:00:10,2016-01-04 22:00:10,2016-01-04 22:00:10,Mansfield,Mansfield,Mansfield,6243,193533,43701,12486,193533,43701,False,True,24607,True,24607,True,3685,177727,19094,-1,-1,-1,63.0,133.0,0,43701.0,6243.0,193533.0,99.0,0,0
2016-01-05,2016-01-05 00:00:00,Citgo,MANSFIELD OIL CO OF GAINESVILLE--224531,3112-VICTORIA-CITGO,UNL,6243,193533,43701,1,8498,3,8498,8498,33105,0,33105,33105,1,w1,8498,0,33105,12486,193533,43701,Unknown,Unknown,Unknown,200%,200,100%,100,100%,100,-1,-1,-1,01/06 00:01:00 CST,02/01 00:01:00 CST,w1,0,2016-01-07 00:01:00,Contract,Contract,Contract,6243,-1,193533,-1,-1,3988,160428,10596,0,0,0,0,0,0,11790247,11790249,11790248,2016-01-05 22:00:11,2016-01-05 22:00:11,2016-01-05 22:00:11,Mansfield,Mansfield,Mansfield,6243,193533,43701,12486,193533,43701,True,True,33105,True,33105,True,3988,160428,10596,-1,-1,-1,106.0,133.0,0,43701.0,6243.0,193533.0,106.0,1,1
2016-01-06,2016-01-06 00:00:00,Citgo,MANSFIELD OIL CO OF GAINESVILLE--224531,3112-VICTORIA-CITGO,UNL,6243,193533,43701,1,0,0,0,0,33105,0,33105,33105,1,w1,0,0,33105,12486,193533,43701,Unknown,Unknown,Unknown,200%,200,100%,100,100%,100,-1,-1,-1,01/07 00:01:00 CST,02/01 00:01:00 CST,w1,0,2016-01-07 00:01:00,Contract,Contract,Contract,6243,-1,193533,-1,-1,12486,160428,10596,0,0,0,0,0,0,11943189,11943191,11943190,2016-01-06 22:00:07,2016-01-06 22:00:07,2016-01-06 22:00:07,Mansfield,Mansfield,Mansfield,6243,193533,43701,12486,193533,43701,True,True,33105,True,33105,True,12486,160428,10596,-1,-1,-1,88.0,0.0,0,43701.0,6243.0,193533.0,88.0,1,1
2016-01-07,2016-01-07 00:00:00,Citgo,MANSFIELD OIL CO OF GAINESVILLE--224531,3112-VICTORIA-CITGO,UNL,6243,193533,43701,1,0,0,0,0,33105,0,33105,0,1,w2,0,0,0,12486,193533,43701,Unknown,Unknown,Unknown,200%,200,100%,100,100%,100,-1,-1,-1,01/08 00:01:00 CST,02/01 00:01:00 CST,w2,0,2016-01-14 00:01:00,Contract,Contract,Contract,6243,-1,193533,-1,-1,12486,160428,43701,0,0,0,0,0,0,12096545,12096547,12096546,2016-01-07 20:00:08,2016-01-07 20:00:08,2016-01-07 20:00:08,Mansfield,Mansfield,Mansfield,6243,193533,43701,12486,193533,43701,True,True,0,True,33105,True,12486,160428,43701,-1,-1,-1,76.0,0.0,0,43701.0,6243.0,193533.0,76.0,1,1
2016-01-08,2016-01-08 00:00:00,Citgo,MANSFIELD OIL CO OF GAINESVILLE--224531,3112-VICTORIA-CITGO,UNL,6243,193533,43701,1,0,0,0,0,33105,0,33105,0,1,w2,0,0,0,12486,193533,43701,Unknown,Unknown,Unknown,200%,200,100%,100,100%,100,-1,-1,-1,01/09 00:01:00 CST,02/01 00:01:00 CST,w2,0,2016-01-14 00:01:00,Contract,Contract,Contract,6243,-1,193533,-1,-1,12486,160428,43701,0,0,0,0,0,0,12254274,12254276,12254275,2016-01-08 22:00:07,2016-01-08 22:00:07,2016-01-08 22:00:07,Mansfield,Mansfield,Mansfield,6243,193533,43701,12486,193533,43701,True,True,0,True,33105,True,12486,160428,43701,-1,-1,-1,66.0,0.0,0,43701.0,6243.0,193533.0,66.0,1,1
2016-01-09,2016-01-09 00:00:00,Citgo,MANSFIELD OIL CO OF GAINESVILLE--224531,3112-VICTORIA-CITGO,UNL,6243,193533,43701,1,0,0,0,0,33105,0,33105,0,1,w2,0,0,0,12486,193533,43701,Unknown,Unknown,Unknown,200%,200,100%,100,100%,100,-1,-1,-1,01/10 00:01:00 CST,02/01 00:01:00 CST,w2,0,2016-01-14 00:01:00,Contract,Contract,Contract,6243,-1,193533,-1,-1,12486,160428,43701,0,0,0,0,0,0,12410762,12410764,12410763,2016-01-09 22:00:10,2016-01-09 22:00:10,2016-01-09 22:00:10,Mansfield,Mansfield,Mansfield,6243,193533,43701,12486,193533,43701,True,True,0,True,33105,True,12486,160428,43701,-1,-1,-1,59.0,0.0,0,43701.0,6243.0,193533.0,59.0,1,1
2016-01-10,2016-01-10 00:00:00,Citgo,MANSFIELD OIL CO OF GAINESVILLE--224531,3112-VICTORIA-CITGO,UNL,6243,193533,43701,1,7001,0,7001,7001,40106,0,40106,7001,1,w2,7001,0,7001,12486,193533,43701,Unknown,Unknown,Unknown,200%,200,100%,100,100%,100,-1,-1,-1,01/11 00:01:00 CST,02/01 00:01:00 CST,w2,0,2016-01-14 00:01:00,Contract,Contract,Contract,6243,-1,193533,-1,-1,5485,153427,36700,0,0,0,0,0,0,12561694,12561696,12561695,2016-01-10 22:00:07,2016-01-10 22:00:07,2016-01-10 22:00:07,Mansfield,Mansfield,Mansfield,6243,193533,43701,12486,193533,43701,True,True,7001,True,40106,True,5485,153427,36700,-1,-1,-1,64.0,133.0,0,43701.0,6243.0,193533.0,64.0,1,1
