,date,supplier_name,account_type,supplier_terminal_name,product_name,base_gallons_Daily,base_gallons_Monthly,base_gallons_Weekly,lifted_gallons_daily_flag,lifted_gallons_daily_modified,Modified_WeeksByLiftedGallons,lifted_gallons_modified_WeeksByLiftedGallons,lifted_gallons_Daily,Lifted_actual_monthly,lifted_gallons_monthly_flag,lifted_gallons_Monthly,Lifted_actual_weekly,lifted_gallons_weekly_flag,WeeksByLiftedGallons,lifted_gallonsWeekly_modified_aposteriori,Modified_LiftedGallonsaposteriori,lifted_gallons_Weekly,beginning_gallons_Daily,beginning_gallons_Monthly,beginning_gallons_Weekly,en_allocation_status_Daily,en_allocation_status_Monthly,en_allocation_status_Weekly,percentage_allocation_Daily_actual,percentage_allocation_Daily,percentage_allocation_Monthly_actual,percentage_allocation_Monthly,percentage_allocation_Weekly_actual,percentage_allocation_Weekly,alerts_ratability_Daily,alerts_ratability_Monthly,alerts_ratability_Weekly,next_refresh_date_Daily,next_refresh_date_Monthly,Week_switch,Modified_NRD,next_refresh_date_Weekly,en_account_type_Daily,en_account_type_Monthly,en_account_type_Weekly,NRB_Daily,next_refresh_base_gallons_Daily,NRB_Monthly,next_refresh_base_gallons_Monthly,next_refresh_base_gallons_Weekly,remaining_gallons_Daily,remaining_gallons_Monthly,remaining_gallons_Weekly,additional_gallons_allowed_Daily,additional_gallons_allowed_Monthly,additional_gallons_allowed_Weekly,additional_gallons_remaining_Daily,additional_gallons_remaining_Monthly,additional_gallons_remaining_Weekly,staging_id_Daily,staging_id_Monthly,staging_id_Weekly,execution_date_Daily,execution_date_Monthly,execution_date_Weekly,customer_name_Daily,customer_name_Monthly,customer_name_Weekly,base_gallons_Daily_Reconciled,base_gallons_Monthly_Reconciled,base_gallons_Weekly_Reconciled,beginning_gallons_Daily_Reconciled,beginning_gallons_Monthly_Reconciled,beginning_gallons_Weekly_Reconciled,sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,computedWeekly,sanityComputedWeekly,computedMonthly,sanityComputedMonthly,remaining_gallons_Daily_Reconciled,remaining_gallons_Monthly_Reconciled,remaining_gallons_Weekly_Reconciled,additional_gallons_remaining_Daily_Reconciled,additional_gallons_remaining_Monthly_Reconciled,additional_gallons_remaining_Weekly_Reconciled,Ratability_Monthly,Ratability_Daily,Ratability_Weekly,Synthetic_Base_Weekly,Synthetic_Base_Daily,Synthetic_Base_Monthly,Ratability_Monthly_computed,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
2016-01-01,2016-01-01 00:00:00,Citgo,MANSFIELD OIL CO OF GAINESVILLE--224531,3347-BALTIMORE-CITGO,ULS,13548,420000,94839,1,0,3,0,0,0,0,0,14404,1,w1,0,0,0,27096,420000,94839,Unknown,Unknown,Unknown,200%,200,100%,100,100%,100,-1,-1,-1,01/02 00:01:00 EST,02/01 00:01:00 EST,w1,0,2016-01-07 00:01:00,Contract,Contract,Contract,13548,-1,420000,-1,-1,27096,420000,80435,0,0,0,0,0,0,11388163,11388165,11388164,2016-01-01 22:00:12,2016-01-01 22:00:12,2016-01-01 22:00:12,Mansfield,Mansfield,Mansfield,13548,420000,94839,27096,420000,94839,False,True,0,True,0,True,27096,420000,94839,-1,-1,-1,-1.0,0.0,0,94839.0,13548.0,419988.0,-1.0,1,1
2016-01-02,2016-01-02 00:00:00,Citgo,MANSFIELD OIL CO OF GAINESVILLE--224531,3347-BALTIMORE-CITGO,ULS,13548,420000,94839,1,0,3,0,0,0,0,0,14404,1,w1,0,0,0,27096,420000,94839,Unknown,Unknown,Unknown,200%,200,100%,100,100%,100,-1,-1,-1,01/03 00:01:00 EST,02/01 00:01:00 EST,w1,0,2016-01-07 00:01:00,Contract,Contract,Contract,13548,-1,420000,-1,-1,27096,420000,80435,0,0,0,0,0,0,11440227,11440229,11440228,2016-01-02 22:00:08,2016-01-02 22:00:08,2016-01-02 22:00:08,Mansfield,Mansfield,Mansfield,13548,420000,94839,27096,420000,94839,False,True,0,True,0,True,27096,420000,94839,-1,-1,-1,-1.0,0.0,0,94839.0,13548.0,419988.0,-1.0,1,1
2016-01-03,2016-01-03 00:00:00,Citgo,MANSFIELD OIL CO OF GAINESVILLE--224531,3347-BALTIMORE-CITGO,ULS,13548,420000,94839,1,0,3,0,0,0,0,0,14404,1,w1,0,0,0,27096,420000,94839,Unknown,Unknown,Unknown,200%,200,100%,100,100%,100,-1,-1,-1,01/04 00:01:00 EST,02/01 00:01:00 EST,w1,0,2016-01-07 00:01:00,Contract,Contract,Contract,13548,-1,420000,-1,-1,27096,420000,80435,0,0,0,0,0,0,11492732,11492734,11492733,2016-01-03 22:00:13,2016-01-03 22:00:13,2016-01-03 22:00:13,Mansfield,Mansfield,Mansfield,13548,420000,94839,27096,420000,94839,False,True,0,True,0,True,27096,420000,94839,-1,-1,-1,-1.0,0.0,0,94839.0,13548.0,419988.0,-1.0,1,1
2016-01-04,2016-01-04 00:00:00,Citgo,MANSFIELD OIL CO OF GAINESVILLE--224531,3347-BALTIMORE-CITGO,ULS,13548,420000,94839,1,27705,3,27705,27705,27705,0,27705,42109,1,w1,27705,0,27705,27096,420000,94839,Unknown,Unknown,Unknown,200%,200,100%,100,100%,100,-1,-1,-1,01/05 00:01:00 EST,02/01 00:01:00 EST,w1,0,2016-01-07 00:01:00,Contract,Contract,Contract,13548,-1,420000,-1,-1,-609,392295,52730,0,0,0,0,0,0,11611466,11611468,11611467,2016-01-04 22:00:10,2016-01-04 22:00:10,2016-01-04 22:00:10,Mansfield,Mansfield,Mansfield,13548,420000,94839,27096,420000,94839,False,True,27705,True,27705,True,-609,392295,67134,-1,-1,-1,51.0,267.0,0,94839.0,13548.0,419988.0,51.0,1,1
2016-01-05,2016-01-05 00:00:00,Citgo,MANSFIELD OIL CO OF GAINESVILLE--224531,3347-BALTIMORE-CITGO,ULS,13548,420000,94839,1,30047,3,30047,30047,57752,0,57752,72156,1,w1,30047,0,57752,27096,420000,94839,Unknown,Unknown,Unknown,200%,200,100%,100,100%,100,-1,-1,-1,01/06 00:01:00 EST,02/01 00:01:00 EST,w1,0,2016-01-07 00:01:00,Contract,Contract,Contract,13548,-1,420000,-1,-1,-2951,362248,22683,0,0,0,0,0,0,11790280,11790282,11790281,2016-01-05 22:00:11,2016-01-05 22:00:11,2016-01-05 22:00:11,Mansfield,Mansfield,Mansfield,13548,420000,94839,27096,420000,94839,False,True,57752,True,57752,True,-2951,362248,37087,-1,-1,-1,85.0,267.0,0,94839.0,13548.0,419988.0,85.0,1,1
2016-01-06,2016-01-06 00:00:00,Citgo,MANSFIELD OIL CO OF GAINESVILLE--224531,3347-BALTIMORE-CITGO,ULS,13548,420000,94839,1,14802,0,14802,14802,72554,0,72554,86958,1,w1,14802,0,72554,27096,420000,94839,Unknown,Unknown,Unknown,200%,200,100%,100,100%,100,-1,-1,-1,01/07 00:01:00 EST,02/01 00:01:00 EST,w1,0,2016-01-07 00:01:00,Contract,Contract,Contract,13548,-1,420000,-1,-1,12294,347446,7881,0,0,0,0,0,0,11943222,11943224,11943223,2016-01-06 22:00:07,2016-01-06 22:00:07,2016-01-06 22:00:07,Mansfield,Mansfield,Mansfield,13548,420000,94839,27096,420000,94839,False,True,72554,True,72554,True,12294,347446,22285,-1,-1,-1,89.0,133.0,0,94839.0,13548.0,419988.0,89.0,1,1
2016-01-07,2016-01-07 00:00:00,Citgo,MANSFIELD OIL CO OF GAINESVILLE--224531,3347-BALTIMORE-CITGO,ULS,13548,420000,94839,1,30203,0,30203,30203,102757,0,102757,30203,1,w2,30203,0,30203,27096,420000,94839,Unknown,Unknown,Unknown,200%,200,100%,100,100%,100,-1,-1,-1,01/08 00:01:00 EST,02/01 00:01:00 EST,w2,0,2016-01-14 00:01:00,Contract,Contract,Contract,13548,-1,420000,-1,-1,-3107,317243,64636,0,0,0,0,0,0,12096578,12096580,12096579,2016-01-07 20:00:08,2016-01-07 20:00:08,2016-01-07 20:00:08,Mansfield,Mansfield,Mansfield,13548,420000,94839,27096,420000,94839,True,True,30203,True,102757,True,-3107,317243,64636,-1,-1,-1,108.0,267.0,0,94839.0,13548.0,419988.0,108.0,1,1
2016-01-08,2016-01-08 00:00:00,Citgo,MANSFIELD OIL CO OF GAINESVILLE--224531,3347-BALTIMORE-CITGO,ULS,13548,420000,94839,1,36038,0,36038,36038,138795,0,138795,66241,1,w2,36038,0,66241,27096,420000,94839,Unknown,Unknown,Unknown,200%,200,100%,100,100%,100,-1,-1,-1,01/09 00:01:00 EST,02/01 00:01:00 EST,w2,0,2016-01-14 00:01:00,Contract,Contract,Contract,13548,-1,420000,-1,-1,-8942,281205,28598,5000,0,0,-2005,0,0,12254307,12254309,12254308,2016-01-08 22:00:07,2016-01-08 22:00:07,2016-01-08 22:00:07,Mansfield,Mansfield,Mansfield,13548,420000,94839,27096,420000,94839,True,True,66241,True,138795,True,-8942,281205,28598,5000,-1,-1,128.0,267.0,0,94839.0,13548.0,419988.0,128.0,1,1
2016-01-09,2016-01-09 00:00:00,Citgo,MANSFIELD OIL CO OF GAINESVILLE--224531,3347-BALTIMORE-CITGO,ULS,13548,420000,94839,1,0,0,0,0,138795,0,138795,66241,1,w2,0,0,66241,27096,420000,94839,Unknown,Unknown,Unknown,200%,200,100%,100,100%,100,-1,-1,-1,01/10 00:01:00 EST,02/01 00:01:00 EST,w2,0,2016-01-14 00:01:00,Contract,Contract,Contract,13548,-1,420000,-1,-1,27096,281205,28598,0,0,0,0,0,0,12410795,12410797,12410796,2016-01-09 22:00:10,2016-01-09 22:00:10,2016-01-09 22:00:10,Mansfield,Mansfield,Mansfield,13548,420000,94839,27096,420000,94839,True,True,66241,True,138795,True,27096,281205,28598,-1,-1,-1,114.0,0.0,0,94839.0,13548.0,419988.0,114.0,1,1
2016-01-10,2016-01-10 00:00:00,Citgo,MANSFIELD OIL CO OF GAINESVILLE--224531,3347-BALTIMORE-CITGO,ULS,13548,420000,94839,1,0,0,0,0,138795,0,138795,66241,1,w2,0,0,66241,27096,420000,94839,Unknown,Unknown,Unknown,200%,200,100%,100,100%,100,-1,-1,-1,01/11 00:01:00 EST,02/01 00:01:00 EST,w2,0,2016-01-14 00:01:00,Contract,Contract,Contract,13548,-1,420000,-1,-1,27096,281205,28598,0,0,0,0,0,0,12561727,12561729,12561728,2016-01-10 22:00:07,2016-01-10 22:00:07,2016-01-10 22:00:07,Mansfield,Mansfield,Mansfield,13548,420000,94839,27096,420000,94839,True,True,66241,True,138795,True,27096,281205,28598,-1,-1,-1,102.0,0.0,0,94839.0,13548.0,419988.0,102.0,1,1
