,date,supplier_name,account_type,supplier_terminal_name,product_name,base_gallons_Daily,base_gallons_Monthly,base_gallons_Weekly,lifted_gallons_daily_flag,lifted_gallons_daily_modified,Modified_WeeksByLiftedGallons,lifted_gallons_modified_WeeksByLiftedGallons,lifted_gallons_Daily,Lifted_actual_monthly,lifted_gallons_monthly_flag,lifted_gallons_Monthly,Lifted_actual_weekly,lifted_gallons_weekly_flag,WeeksByLiftedGallons,lifted_gallonsWeekly_modified_aposteriori,Modified_LiftedGallonsaposteriori,lifted_gallons_Weekly,beginning_gallons_Daily,beginning_gallons_Monthly,beginning_gallons_Weekly,en_allocation_status_Daily,en_allocation_status_Monthly,en_allocation_status_Weekly,percentage_allocation_Daily_actual,percentage_allocation_Daily,percentage_allocation_Monthly_actual,percentage_allocation_Monthly,percentage_allocation_Weekly_actual,percentage_allocation_Weekly,alerts_ratability_Daily,alerts_ratability_Monthly,alerts_ratability_Weekly,next_refresh_date_Daily,next_refresh_date_Monthly,Week_switch,Modified_NRD,next_refresh_date_Weekly,en_account_type_Daily,en_account_type_Monthly,en_account_type_Weekly,NRB_Daily,next_refresh_base_gallons_Daily,NRB_Monthly,next_refresh_base_gallons_Monthly,next_refresh_base_gallons_Weekly,remaining_gallons_Daily,remaining_gallons_Monthly,remaining_gallons_Weekly,additional_gallons_allowed_Daily,additional_gallons_allowed_Monthly,additional_gallons_allowed_Weekly,additional_gallons_remaining_Daily,additional_gallons_remaining_Monthly,additional_gallons_remaining_Weekly,staging_id_Daily,staging_id_Monthly,staging_id_Weekly,execution_date_Daily,execution_date_Monthly,execution_date_Weekly,customer_name_Daily,customer_name_Monthly,customer_name_Weekly,base_gallons_Daily_Reconciled,base_gallons_Monthly_Reconciled,base_gallons_Weekly_Reconciled,beginning_gallons_Daily_Reconciled,beginning_gallons_Monthly_Reconciled,beginning_gallons_Weekly_Reconciled,sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,computedWeekly,sanityComputedWeekly,computedMonthly,sanityComputedMonthly,remaining_gallons_Daily_Reconciled,remaining_gallons_Monthly_Reconciled,remaining_gallons_Weekly_Reconciled,additional_gallons_remaining_Daily_Reconciled,additional_gallons_remaining_Monthly_Reconciled,additional_gallons_remaining_Weekly_Reconciled,Ratability_Monthly,Ratability_Daily,Ratability_Weekly,Synthetic_Base_Weekly,Synthetic_Base_Daily,Synthetic_Base_Monthly,Ratability_Monthly_computed,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
2016-01-01,2016-01-01 00:00:00,Citgo,MANSFIELD OIL CO OF GAINESVILLE--224531,3442-SELMA-CITGO,PRM,7786,241366,54502,1,0,3,0,0,0,0,0,3000,1,w1,0,0,0,15572,241366,54502,Unknown,Unknown,Unknown,200%,200,100%,100,100%,100,-1,-1,-1,01/02 00:01:00 EST,02/01 00:01:00 EST,w1,0,2016-01-07 00:01:00,Contract,Contract,Contract,7786,-1,241366,-1,-1,15572,241366,51502,0,0,0,0,0,0,11388286,11388288,11388287,2016-01-01 22:00:12,2016-01-01 22:00:12,2016-01-01 22:00:12,Mansfield,Mansfield,Mansfield,7786,241366,54502,15572,241366,54502,False,True,0,True,0,True,15572,241366,54502,-1,-1,-1,-1.0,0.0,0,54502.0,7786.0,241366.0,-1.0,1,1
2016-01-02,2016-01-02 00:00:00,Citgo,MANSFIELD OIL CO OF GAINESVILLE--224531,3442-SELMA-CITGO,PRM,7786,241366,54502,1,2000,3,2000,2000,2000,0,2000,5000,1,w1,2000,0,2000,15572,241366,54502,Unknown,Unknown,Unknown,200%,200,100%,100,100%,100,-1,-1,-1,01/03 00:01:00 EST,02/01 00:01:00 EST,w1,0,2016-01-07 00:01:00,Contract,Contract,Contract,7786,-1,241366,-1,-1,13572,239366,49502,0,0,0,0,0,0,11440350,11440352,11440351,2016-01-02 22:00:08,2016-01-02 22:00:08,2016-01-02 22:00:08,Mansfield,Mansfield,Mansfield,7786,241366,54502,15572,241366,54502,False,True,2000,True,2000,True,13572,239366,52502,-1,-1,-1,13.0,0.0,0,54502.0,7786.0,241366.0,13.0,1,1
2016-01-03,2016-01-03 00:00:00,Citgo,MANSFIELD OIL CO OF GAINESVILLE--224531,3442-SELMA-CITGO,PRM,7786,241366,54502,1,5804,3,5804,5804,7804,0,7804,10804,1,w1,5804,0,7804,15572,241366,54502,Unknown,Unknown,Unknown,200%,200,100%,100,100%,100,-1,-1,-1,01/04 00:01:00 EST,02/01 00:01:00 EST,w1,0,2016-01-07 00:01:00,Contract,Contract,Contract,7786,-1,241366,-1,-1,9768,233562,43698,0,0,0,0,0,0,11492855,11492857,11492856,2016-01-03 22:00:13,2016-01-03 22:00:13,2016-01-03 22:00:13,Mansfield,Mansfield,Mansfield,7786,241366,54502,15572,241366,54502,False,True,7804,True,7804,True,9768,233562,46698,-1,-1,-1,33.0,0.0,0,54502.0,7786.0,241366.0,33.0,1,1
2016-01-04,2016-01-04 00:00:00,Citgo,MANSFIELD OIL CO OF GAINESVILLE--224531,3442-SELMA-CITGO,PRM,7786,241366,54502,1,8681,3,8681,8681,16485,0,16485,19485,1,w1,8681,0,16485,15572,241366,54502,Unknown,Unknown,Unknown,200%,200,100%,100,100%,100,-1,-1,-1,01/05 00:01:00 EST,02/01 00:01:00 EST,w1,0,2016-01-07 00:01:00,Contract,Contract,Contract,7786,-1,241366,-1,-1,6891,224881,35017,0,0,0,0,0,0,11611589,11611591,11611590,2016-01-04 22:00:10,2016-01-04 22:00:10,2016-01-04 22:00:10,Mansfield,Mansfield,Mansfield,7786,241366,54502,15572,241366,54502,False,True,16485,True,16485,True,6891,224881,38017,-1,-1,-1,53.0,133.0,0,54502.0,7786.0,241366.0,53.0,1,1
2016-01-05,2016-01-05 00:00:00,Citgo,MANSFIELD OIL CO OF GAINESVILLE--224531,3442-SELMA-CITGO,PRM,7786,241366,54502,1,976,3,976,976,17461,0,17461,20461,1,w1,976,0,17461,15572,241366,54502,Unknown,Unknown,Unknown,200%,200,100%,100,100%,100,-1,-1,-1,01/06 00:01:00 EST,02/01 00:01:00 EST,w1,0,2016-01-07 00:01:00,Contract,Contract,Contract,7786,-1,241366,-1,-1,14596,223905,34041,0,0,0,0,0,0,11790403,11790405,11790404,2016-01-05 22:00:11,2016-01-05 22:00:11,2016-01-05 22:00:11,Mansfield,Mansfield,Mansfield,7786,241366,54502,15572,241366,54502,False,True,17461,True,17461,True,14596,223905,37041,-1,-1,-1,45.0,0.0,0,54502.0,7786.0,241366.0,45.0,1,1
2016-01-06,2016-01-06 00:00:00,Citgo,MANSFIELD OIL CO OF GAINESVILLE--224531,3442-SELMA-CITGO,PRM,7786,241366,54502,1,7609,0,7609,7609,25070,0,25070,28070,1,w1,7609,0,25070,15572,241366,54502,Unknown,Unknown,Unknown,200%,200,100%,100,100%,100,-1,-1,-1,01/07 00:01:00 EST,02/01 00:01:00 EST,w1,0,2016-01-07 00:01:00,Contract,Contract,Contract,7786,-1,241366,-1,-1,7963,216296,26432,0,0,0,0,0,0,11943345,11943347,11943346,2016-01-06 22:00:07,2016-01-06 22:00:07,2016-01-06 22:00:07,Mansfield,Mansfield,Mansfield,7786,241366,54502,15572,241366,54502,False,True,25070,True,25070,True,7963,216296,29432,-1,-1,-1,54.0,0.0,0,54502.0,7786.0,241366.0,54.0,1,1
2016-01-07,2016-01-07 00:00:00,Citgo,MANSFIELD OIL CO OF GAINESVILLE--224531,3442-SELMA-CITGO,PRM,7786,241366,54502,1,7301,0,7301,7301,32371,0,32371,7301,1,w2,7301,0,7301,15572,241366,54502,Unknown,Unknown,Unknown,200%,200,100%,100,100%,100,-1,-1,-1,01/08 00:01:00 EST,02/01 00:01:00 EST,w2,0,2016-01-14 00:01:00,Contract,Contract,Contract,7786,-1,241366,-1,-1,8271,208995,47201,0,0,0,0,0,0,12096701,12096703,12096702,2016-01-07 20:00:08,2016-01-07 20:00:08,2016-01-07 20:00:08,Mansfield,Mansfield,Mansfield,7786,241366,54502,15572,241366,54502,True,True,7301,True,32371,True,8271,208995,47201,-1,-1,-1,59.0,0.0,0,54502.0,7786.0,241366.0,59.0,1,1
2016-01-08,2016-01-08 00:00:00,Citgo,MANSFIELD OIL CO OF GAINESVILLE--224531,3442-SELMA-CITGO,PRM,7786,241366,54502,1,951,0,951,951,33322,0,33322,8252,1,w2,951,0,8252,15572,241366,54502,Unknown,Unknown,Unknown,200%,200,100%,100,100%,100,-1,-1,-1,01/09 00:01:00 EST,02/01 00:01:00 EST,w2,0,2016-01-14 00:01:00,Contract,Contract,Contract,7786,-1,241366,-1,-1,14621,208044,46250,0,0,0,0,0,0,12254430,12254432,12254431,2016-01-08 22:00:07,2016-01-08 22:00:07,2016-01-08 22:00:07,Mansfield,Mansfield,Mansfield,7786,241366,54502,15572,241366,54502,True,True,8252,True,33322,True,14621,208044,46250,-1,-1,-1,53.0,0.0,0,54502.0,7786.0,241366.0,53.0,1,1
2016-01-09,2016-01-09 00:00:00,Citgo,MANSFIELD OIL CO OF GAINESVILLE--224531,3442-SELMA-CITGO,PRM,7786,241366,54502,1,2000,0,2000,2000,35322,0,35322,10252,1,w2,2000,0,10252,15572,241366,54502,Unknown,Unknown,Unknown,200%,200,100%,100,100%,100,-1,-1,-1,01/10 00:01:00 EST,02/01 00:01:00 EST,w2,0,2016-01-14 00:01:00,Contract,Contract,Contract,7786,-1,241366,-1,-1,13572,206044,44250,0,0,0,0,0,0,12410918,12410920,12410919,2016-01-09 22:00:10,2016-01-09 22:00:10,2016-01-09 22:00:10,Mansfield,Mansfield,Mansfield,7786,241366,54502,15572,241366,54502,True,True,10252,True,35322,True,13572,206044,44250,-1,-1,-1,50.0,0.0,0,54502.0,7786.0,241366.0,50.0,1,1
2016-01-10,2016-01-10 00:00:00,Citgo,MANSFIELD OIL CO OF GAINESVILLE--224531,3442-SELMA-CITGO,PRM,7786,241366,54502,1,0,0,0,0,35322,0,35322,10252,1,w2,0,0,10252,15572,241366,54502,Unknown,Unknown,Unknown,200%,200,100%,100,100%,100,-1,-1,-1,01/11 00:01:00 EST,02/01 00:01:00 EST,w2,0,2016-01-14 00:01:00,Contract,Contract,Contract,7786,-1,241366,-1,-1,15572,206044,44250,0,0,0,0,0,0,12561850,12561852,12561851,2016-01-10 22:00:07,2016-01-10 22:00:07,2016-01-10 22:00:07,Mansfield,Mansfield,Mansfield,7786,241366,54502,15572,241366,54502,True,True,10252,True,35322,True,15572,206044,44250,-1,-1,-1,45.0,0.0,0,54502.0,7786.0,241366.0,45.0,1,1
