,date,supplier_name,account_type,supplier_terminal_name,product_name,base_gallons_Daily,base_gallons_Monthly,base_gallons_Weekly,lifted_gallons_daily_flag,lifted_gallons_daily_modified,Modified_WeeksByLiftedGallons,lifted_gallons_modified_WeeksByLiftedGallons,lifted_gallons_Daily,Lifted_actual_monthly,lifted_gallons_monthly_flag,lifted_gallons_Monthly,Lifted_actual_weekly,lifted_gallons_weekly_flag,WeeksByLiftedGallons,lifted_gallonsWeekly_modified_aposteriori,Modified_LiftedGallonsaposteriori,lifted_gallons_Weekly,beginning_gallons_Daily,beginning_gallons_Monthly,beginning_gallons_Weekly,en_allocation_status_Daily,en_allocation_status_Monthly,en_allocation_status_Weekly,percentage_allocation_Daily_actual,percentage_allocation_Daily,percentage_allocation_Monthly_actual,percentage_allocation_Monthly,percentage_allocation_Weekly_actual,percentage_allocation_Weekly,alerts_ratability_Daily,alerts_ratability_Monthly,alerts_ratability_Weekly,next_refresh_date_Daily,next_refresh_date_Monthly,Week_switch,Modified_NRD,next_refresh_date_Weekly,en_account_type_Daily,en_account_type_Monthly,en_account_type_Weekly,NRB_Daily,next_refresh_base_gallons_Daily,NRB_Monthly,next_refresh_base_gallons_Monthly,next_refresh_base_gallons_Weekly,remaining_gallons_Daily,remaining_gallons_Monthly,remaining_gallons_Weekly,additional_gallons_allowed_Daily,additional_gallons_allowed_Monthly,additional_gallons_allowed_Weekly,additional_gallons_remaining_Daily,additional_gallons_remaining_Monthly,additional_gallons_remaining_Weekly,staging_id_Daily,staging_id_Monthly,staging_id_Weekly,execution_date_Daily,execution_date_Monthly,execution_date_Weekly,customer_name_Daily,customer_name_Monthly,customer_name_Weekly,base_gallons_Daily_Reconciled,base_gallons_Monthly_Reconciled,base_gallons_Weekly_Reconciled,beginning_gallons_Daily_Reconciled,beginning_gallons_Monthly_Reconciled,beginning_gallons_Weekly_Reconciled,sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,computedWeekly,sanityComputedWeekly,computedMonthly,sanityComputedMonthly,remaining_gallons_Daily_Reconciled,remaining_gallons_Monthly_Reconciled,remaining_gallons_Weekly_Reconciled,additional_gallons_remaining_Daily_Reconciled,additional_gallons_remaining_Monthly_Reconciled,additional_gallons_remaining_Weekly_Reconciled,Ratability_Monthly,Ratability_Daily,Ratability_Weekly,Synthetic_Base_Weekly,Synthetic_Base_Daily,Synthetic_Base_Monthly,Ratability_Monthly_computed,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
2016-01-01,2016-01-01 00:00:00,Citgo,MANSFIELD OIL CO OF GAINESVILLE--224531,3450-N CHARLESTON-BUCKEYE,ULS,8548,265000,59839,1,0,3,0,0,0,0,0,7500,1,w1,0,0,0,17096,265000,59839,Unknown,Unknown,Unknown,200%,200,100%,100,100%,100,-1,-1,-1,01/02 00:01:00 EST,02/01 00:01:00 EST,w1,0,2016-01-07 00:01:00,Contract,Contract,Contract,8548,-1,265000,-1,-1,17096,265000,52339,0,0,0,0,0,0,11388307,11388309,11388308,2016-01-01 22:00:12,2016-01-01 22:00:12,2016-01-01 22:00:12,Mansfield,Mansfield,Mansfield,8548,265000,59839,17096,265000,59839,False,True,0,True,0,True,17096,265000,59839,-1,-1,-1,-1.0,0.0,0,59839.0,8548.0,264988.0,-1.0,1,1
2016-01-02,2016-01-02 00:00:00,Citgo,MANSFIELD OIL CO OF GAINESVILLE--224531,3450-N CHARLESTON-BUCKEYE,ULS,8548,265000,59839,1,0,3,0,0,0,0,0,7500,1,w1,0,0,0,17096,265000,59839,Unknown,Unknown,Unknown,200%,200,100%,100,100%,100,-1,-1,-1,01/03 00:01:00 EST,02/01 00:01:00 EST,w1,0,2016-01-07 00:01:00,Contract,Contract,Contract,8548,-1,265000,-1,-1,17096,265000,52339,0,0,0,0,0,0,11440371,11440373,11440372,2016-01-02 22:00:08,2016-01-02 22:00:08,2016-01-02 22:00:08,Mansfield,Mansfield,Mansfield,8548,265000,59839,17096,265000,59839,False,True,0,True,0,True,17096,265000,59839,-1,-1,-1,-1.0,0.0,0,59839.0,8548.0,264988.0,-1.0,1,1
2016-01-03,2016-01-03 00:00:00,Citgo,MANSFIELD OIL CO OF GAINESVILLE--224531,3450-N CHARLESTON-BUCKEYE,ULS,8548,265000,59839,1,0,3,0,0,0,0,0,7500,1,w1,0,0,0,17096,265000,59839,Unknown,Unknown,Unknown,200%,200,100%,100,100%,100,-1,-1,-1,01/04 00:01:00 EST,02/01 00:01:00 EST,w1,0,2016-01-07 00:01:00,Contract,Contract,Contract,8548,-1,265000,-1,-1,17096,265000,52339,0,0,0,0,0,0,11492876,11492878,11492877,2016-01-03 22:00:13,2016-01-03 22:00:13,2016-01-03 22:00:13,Mansfield,Mansfield,Mansfield,8548,265000,59839,17096,265000,59839,False,True,0,True,0,True,17096,265000,59839,-1,-1,-1,-1.0,0.0,0,59839.0,8548.0,264988.0,-1.0,1,1
2016-01-04,2016-01-04 00:00:00,Citgo,MANSFIELD OIL CO OF GAINESVILLE--224531,3450-N CHARLESTON-BUCKEYE,ULS,8548,265000,59839,1,22200,3,22200,22200,22200,0,22200,29700,1,w1,22200,0,22200,17096,265000,59839,Unknown,Unknown,Unknown,200%,200,100%,100,100%,100,-1,-1,-1,01/05 00:01:00 EST,02/01 00:01:00 EST,w1,0,2016-01-07 00:01:00,Contract,Contract,Contract,8548,-1,265000,-1,-1,-5104,242800,30139,0,0,0,0,0,0,11611610,11611612,11611611,2016-01-04 22:00:10,2016-01-04 22:00:10,2016-01-04 22:00:10,Mansfield,Mansfield,Mansfield,8548,265000,59839,17096,265000,59839,False,True,22200,True,22200,True,-5104,242800,37639,-1,-1,-1,65.0,267.0,0,59839.0,8548.0,264988.0,65.0,1,1
2016-01-05,2016-01-05 00:00:00,Citgo,MANSFIELD OIL CO OF GAINESVILLE--224531,3450-N CHARLESTON-BUCKEYE,ULS,8548,265000,59839,1,16999,3,16999,16999,39199,0,39199,46699,1,w1,16999,0,39199,17096,265000,59839,Unknown,Unknown,Unknown,200%,200,100%,100,100%,100,-1,-1,-1,01/06 00:01:00 EST,02/01 00:01:00 EST,w1,0,2016-01-07 00:01:00,Contract,Contract,Contract,8548,-1,265000,-1,-1,97,225801,13140,0,0,0,0,0,0,11790424,11790426,11790425,2016-01-05 22:00:11,2016-01-05 22:00:11,2016-01-05 22:00:11,Mansfield,Mansfield,Mansfield,8548,265000,59839,17096,265000,59839,False,True,39199,True,39199,True,97,225801,20640,-1,-1,-1,92.0,133.0,0,59839.0,8548.0,264988.0,92.0,1,1
2016-01-06,2016-01-06 00:00:00,Citgo,MANSFIELD OIL CO OF GAINESVILLE--224531,3450-N CHARLESTON-BUCKEYE,ULS,8548,265000,59839,1,9279,0,9279,9279,48478,0,48478,55978,1,w1,9279,0,48478,17096,265000,59839,Unknown,Unknown,Unknown,200%,200,100%,100,100%,100,-1,-1,-1,01/07 00:01:00 EST,02/01 00:01:00 EST,w1,0,2016-01-07 00:01:00,Contract,Contract,Contract,8548,-1,265000,-1,-1,7817,216522,3861,0,0,0,0,0,0,11943366,11943368,11943367,2016-01-06 22:00:07,2016-01-06 22:00:07,2016-01-06 22:00:07,Mansfield,Mansfield,Mansfield,8548,265000,59839,17096,265000,59839,False,True,48478,True,48478,True,7817,216522,11361,-1,-1,-1,95.0,133.0,0,59839.0,8548.0,264988.0,95.0,1,1
2016-01-07,2016-01-07 00:00:00,Citgo,MANSFIELD OIL CO OF GAINESVILLE--224531,3450-N CHARLESTON-BUCKEYE,ULS,8548,265000,59839,1,12502,0,12502,12502,60980,0,60980,12502,1,w2,12502,0,12502,17096,265000,59839,Unknown,Unknown,Unknown,200%,200,100%,100,100%,100,-1,-1,-1,01/08 00:01:00 EST,02/01 00:01:00 EST,w2,0,2016-01-14 00:01:00,Contract,Contract,Contract,8548,-1,265000,-1,-1,4594,204020,47337,0,0,0,0,0,0,12096722,12096724,12096723,2016-01-07 20:00:08,2016-01-07 20:00:08,2016-01-07 20:00:08,Mansfield,Mansfield,Mansfield,8548,265000,59839,17096,265000,59839,True,True,12502,True,60980,True,4594,204020,47337,-1,-1,-1,102.0,133.0,0,59839.0,8548.0,264988.0,102.0,1,1
2016-01-08,2016-01-08 00:00:00,Citgo,MANSFIELD OIL CO OF GAINESVILLE--224531,3450-N CHARLESTON-BUCKEYE,ULS,8548,265000,59839,1,0,0,0,0,60980,0,60980,12502,1,w2,0,0,12502,17096,265000,59839,Unknown,Unknown,Unknown,200%,200,100%,100,100%,100,-1,-1,-1,01/09 00:01:00 EST,02/01 00:01:00 EST,w2,0,2016-01-14 00:01:00,Contract,Contract,Contract,8548,-1,265000,-1,-1,17096,204020,47337,0,0,0,0,0,0,12254451,12254453,12254452,2016-01-08 22:00:07,2016-01-08 22:00:07,2016-01-08 22:00:07,Mansfield,Mansfield,Mansfield,8548,265000,59839,17096,265000,59839,True,True,12502,True,60980,True,17096,204020,47337,-1,-1,-1,89.0,0.0,0,59839.0,8548.0,264988.0,89.0,1,1
2016-01-09,2016-01-09 00:00:00,Citgo,MANSFIELD OIL CO OF GAINESVILLE--224531,3450-N CHARLESTON-BUCKEYE,ULS,8548,265000,59839,1,0,0,0,0,60980,0,60980,12502,1,w2,0,0,12502,17096,265000,59839,Unknown,Unknown,Unknown,200%,200,100%,100,100%,100,-1,-1,-1,01/10 00:01:00 EST,02/01 00:01:00 EST,w2,0,2016-01-14 00:01:00,Contract,Contract,Contract,8548,-1,265000,-1,-1,17096,204020,47337,0,0,0,0,0,0,12410939,12410941,12410940,2016-01-09 22:00:10,2016-01-09 22:00:10,2016-01-09 22:00:10,Mansfield,Mansfield,Mansfield,8548,265000,59839,17096,265000,59839,True,True,12502,True,60980,True,17096,204020,47337,-1,-1,-1,79.0,0.0,0,59839.0,8548.0,264988.0,79.0,1,1
2016-01-10,2016-01-10 00:00:00,Citgo,MANSFIELD OIL CO OF GAINESVILLE--224531,3450-N CHARLESTON-BUCKEYE,ULS,8548,265000,59839,1,0,0,0,0,60980,0,60980,12502,1,w2,0,0,12502,17096,265000,59839,Unknown,Unknown,Unknown,200%,200,100%,100,100%,100,-1,-1,-1,01/11 00:01:00 EST,02/01 00:01:00 EST,w2,0,2016-01-14 00:01:00,Contract,Contract,Contract,8548,-1,265000,-1,-1,17096,204020,47337,0,0,0,0,0,0,12561871,12561873,12561872,2016-01-10 22:00:07,2016-01-10 22:00:07,2016-01-10 22:00:07,Mansfield,Mansfield,Mansfield,8548,265000,59839,17096,265000,59839,True,True,12502,True,60980,True,17096,204020,47337,-1,-1,-1,71.0,0.0,0,59839.0,8548.0,264988.0,71.0,1,1
2016-01-11,2016-01-11 00:00:00,Citgo,MANSFIELD OIL CO OF GAINESVILLE--224531,3450-N CHARLESTON-BUCKEYE,ULS,8548,265000,59839,1,8000,0,8000,8000,68980,0,68980,20502,1,w2,8000,0,20502,17096,265000,59839,Unknown,Unknown,Unknown,200%,200,100%,100,100%,100,-1,-1,-1,01/12 00:01:00 EST,02/01 00:01:00 EST,w2,0,2016-01-14 00:01:00,Contract,Contract,Contract,8548,-1,265000,-1,-1,9096,196020,39337,0,0,0,0,0,0,12713857,12713859,12713858,2016-01-11 22:00:12,2016-01-11 22:00:12,2016-01-11 22:00:12,Mansfield,Mansfield,Mansfield,8548,265000,59839,17096,265000,59839,True,True,20502,True,68980,True,9096,196020,39337,-1,-1,-1,73.0,0.0,0,59839.0,8548.0,264988.0,73.0,1,1
2016-01-12,2016-01-12 00:00:00,Citgo,MANSFIELD OIL CO OF GAINESVILLE--224531,3450-N CHARLESTON-BUCKEYE,ULS,8548,265000,59839,1,15198,0,15198,15198,84178,0,84178,35700,1,w2,15198,0,35700,17096,265000,59839,Unknown,Unknown,Unknown,200%,200,100%,100,100%,100,-1,-1,-1,01/13 00:01:00 EST,02/01 00:01:00 EST,w2,0,2016-01-14 00:01:00,Contract,Contract,Contract,8548,-1,265000,-1,-1,1898,180822,24139,0,0,0,0,0,0,12861587,12861589,12861588,2016-01-12 22:00:08,2016-01-12 22:00:08,2016-01-12 22:00:08,Mansfield,Mansfield,Mansfield,8548,265000,59839,17096,265000,59839,True,True,35700,True,84178,True,1898,180822,24139,-1,-1,-1,82.0,133.0,0,59839.0,8548.0,264988.0,82.0,1,1
2016-01-13,2016-01-13 00:00:00,Citgo,MANSFIELD OIL CO OF GAINESVILLE--224531,3450-N CHARLESTON-BUCKEYE,ULS,8548,265000,59839,1,15000,0,15000,15000,99178,0,99178,50700,1,w2,15000,0,50700,17096,265000,59839,Unknown,Unknown,Unknown,200%,200,100%,100,100%,100,-1,-1,-1,01/14 00:01:00 EST,02/01 00:01:00 EST,w2,0,2016-01-14 00:01:00,Contract,Contract,Contract,8548,-1,265000,-1,-1,2096,165822,9139,0,0,0,0,0,0,12926374,12926376,12926375,2016-01-13 22:00:07,2016-01-13 22:00:07,2016-01-13 22:00:07,Mansfield,Mansfield,Mansfield,8548,265000,59839,17096,265000,59839,True,True,50700,True,99178,True,2096,165822,9139,-1,-1,-1,89.0,133.0,0,59839.0,8548.0,264988.0,89.0,1,1
2016-01-14,2016-01-14 00:00:00,Citgo,MANSFIELD OIL CO OF GAINESVILLE--224531,3450-N CHARLESTON-BUCKEYE,ULS,8548,265000,59839,1,7501,0,7501,7501,106679,0,106679,7501,1,w3,7501,0,7501,17096,265000,59839,Unknown,Unknown,Unknown,200%,200,100%,100,100%,100,-1,-1,-1,01/15 00:01:00 EST,02/01 00:01:00 EST,w3,0,2016-01-21 00:01:00,Contract,Contract,Contract,8548,-1,265000,-1,-1,9595,158321,52338,0,0,0,0,0,0,13017576,13017578,13017577,2016-01-14 22:00:07,2016-01-14 22:00:07,2016-01-14 22:00:07,Mansfield,Mansfield,Mansfield,8548,265000,59839,17096,265000,59839,True,True,7501,True,106679,True,9595,158321,52338,-1,-1,-1,89.0,0.0,0,59839.0,8548.0,264988.0,89.0,1,1
2016-01-15,2016-01-15 00:00:00,Citgo,MANSFIELD OIL CO OF GAINESVILLE--224531,3450-N CHARLESTON-BUCKEYE,ULS,8548,265000,59839,1,21299,0,21299,21299,127978,0,127978,28800,1,w3,21299,0,28800,17096,265000,59839,Unknown,Unknown,Unknown,200%,200,100%,100,100%,100,-1,-1,-1,01/16 00:01:00 EST,02/01 00:01:00 EST,w3,0,2016-01-21 00:01:00,Contract,Contract,Contract,8548,-1,265000,-1,-1,-4203,137022,31039,0,0,0,0,0,0,13075724,13075726,13075725,2016-01-15 23:18:46,2016-01-15 23:18:46,2016-01-15 23:18:46,Mansfield,Mansfield,Mansfield,8548,265000,59839,17096,265000,59839,True,True,28800,True,127978,True,-4203,137022,31039,-1,-1,-1,100.0,267.0,0,59839.0,8548.0,264988.0,100.0,1,1
2016-01-16,2016-01-16 00:00:00,Citgo,MANSFIELD OIL CO OF GAINESVILLE--224531,3450-N CHARLESTON-BUCKEYE,ULS,8548,265000,59839,1,0,0,0,0,127978,0,127978,28800,1,w3,0,0,28800,17096,265000,59839,Unknown,Unknown,Unknown,200%,200,100%,100,100%,100,-1,-1,-1,01/17 00:01:00 EST,02/01 00:01:00 EST,w3,0,2016-01-21 00:01:00,Contract,Contract,Contract,8548,-1,265000,-1,-1,17096,137022,31039,0,0,0,0,0,0,13258047,13258049,13258048,2016-01-16 22:00:11,2016-01-16 22:00:11,2016-01-16 22:00:11,Mansfield,Mansfield,Mansfield,8548,265000,59839,17096,265000,59839,True,True,28800,True,127978,True,17096,137022,31039,-1,-1,-1,94.0,0.0,0,59839.0,8548.0,264988.0,94.0,1,1
2016-01-17,2016-01-17 00:00:00,Citgo,MANSFIELD OIL CO OF GAINESVILLE--224531,3450-N CHARLESTON-BUCKEYE,ULS,8548,265000,59839,1,0,0,0,0,127978,0,127978,28800,1,w3,0,0,28800,17096,265000,59839,Unknown,Unknown,Unknown,200%,200,100%,100,100%,100,-1,-1,-1,01/18 00:01:00 EST,02/01 00:01:00 EST,w3,0,2016-01-21 00:01:00,Contract,Contract,Contract,8548,-1,265000,-1,-1,17096,137022,31039,0,0,0,0,0,0,13420476,13420478,13420477,2016-01-17 22:00:09,2016-01-17 22:00:09,2016-01-17 22:00:09,Mansfield,Mansfield,Mansfield,8548,265000,59839,17096,265000,59839,True,True,28800,True,127978,True,17096,137022,31039,-1,-1,-1,88.0,0.0,0,59839.0,8548.0,264988.0,88.0,1,1
2016-01-18,2016-01-18 00:00:00,Citgo,MANSFIELD OIL CO OF GAINESVILLE--224531,3450-N CHARLESTON-BUCKEYE,ULS,8548,265000,59839,1,15502,0,15502,15502,143480,0,143480,44302,1,w3,15502,0,44302,17096,265000,59839,Unknown,Unknown,Unknown,200%,200,100%,100,100%,100,-1,-1,-1,01/19 00:01:00 EST,02/01 00:01:00 EST,w3,0,2016-01-21 00:01:00,Contract,Contract,Contract,8548,-1,265000,-1,-1,1594,121520,15537,0,0,0,0,0,0,13507394,13507396,13507395,2016-01-18 23:13:08,2016-01-18 23:13:08,2016-01-18 23:13:08,Mansfield,Mansfield,Mansfield,8548,265000,59839,17096,265000,59839,True,True,44302,True,143480,True,1594,121520,15537,-1,-1,-1,93.0,133.0,0,59839.0,8548.0,264988.0,93.0,1,1
2016-01-19,2016-01-19 00:00:00,Citgo,MANSFIELD OIL CO OF GAINESVILLE--224531,3450-N CHARLESTON-BUCKEYE,ULS,8548,265000,59839,1,23601,0,23601,23601,167081,0,167081,67903,1,w3,23601,0,67903,17096,265000,59839,Unknown,Unknown,Unknown,200%,200,100%,100,100%,100,-1,-1,-1,01/20 00:01:00 EST,02/01 00:01:00 EST,w3,0,2016-01-21 00:01:00,Contract,Contract,Contract,8548,-1,265000,-1,-1,-6505,97919,-8064,0,0,0,0,0,0,122721,122723,122722,2016-01-19 22:30:09,2016-01-19 22:30:09,2016-01-19 22:30:09,Mansfield,Mansfield,Mansfield,8548,265000,59839,17096,265000,59839,True,True,67903,True,167081,True,-6505,97919,-8064,-1,-1,-1,103.0,267.0,0,59839.0,8548.0,264988.0,103.0,1,1
2016-01-20,2016-01-20 00:00:00,Citgo,MANSFIELD OIL CO OF GAINESVILLE--224531,3450-N CHARLESTON-BUCKEYE,ULS,8548,265000,59839,1,0,0,0,0,167081,0,167081,67903,1,w3,0,0,67903,17096,265000,59839,Unknown,Unknown,Unknown,200%,200,100%,100,100%,100,-1,-1,-1,01/21 00:01:00 EST,02/01 00:01:00 EST,w3,0,2016-01-21 00:01:00,Contract,Contract,Contract,8548,-1,265000,-1,-1,17096,97919,-8064,0,0,0,0,0,0,260061,260063,260062,2016-01-20 22:00:10,2016-01-20 22:00:10,2016-01-20 22:00:10,Mansfield,Mansfield,Mansfield,8548,265000,59839,17096,265000,59839,True,True,67903,True,167081,True,17096,97919,-8064,-1,-1,-1,98.0,0.0,100,59839.0,8548.0,264988.0,98.0,1,1
