,date,supplier_name,account_type,supplier_terminal_name,product_name,base_gallons_Daily,base_gallons_Monthly,base_gallons_Weekly,lifted_gallons_daily_flag,lifted_gallons_daily_modified,Modified_WeeksByLiftedGallons,lifted_gallons_modified_WeeksByLiftedGallons,lifted_gallons_Daily,Lifted_actual_monthly,lifted_gallons_monthly_flag,lifted_gallons_Monthly,Lifted_actual_weekly,lifted_gallons_weekly_flag,WeeksByLiftedGallons,lifted_gallonsWeekly_modified_aposteriori,Modified_LiftedGallonsaposteriori,lifted_gallons_Weekly,beginning_gallons_Daily,beginning_gallons_Monthly,beginning_gallons_Weekly,en_allocation_status_Daily,en_allocation_status_Monthly,en_allocation_status_Weekly,percentage_allocation_Daily_actual,percentage_allocation_Daily,percentage_allocation_Monthly_actual,percentage_allocation_Monthly,percentage_allocation_Weekly_actual,percentage_allocation_Weekly,alerts_ratability_Daily,alerts_ratability_Monthly,alerts_ratability_Weekly,next_refresh_date_Daily,next_refresh_date_Monthly,Week_switch,Modified_NRD,next_refresh_date_Weekly,en_account_type_Daily,en_account_type_Monthly,en_account_type_Weekly,NRB_Daily,next_refresh_base_gallons_Daily,NRB_Monthly,next_refresh_base_gallons_Monthly,next_refresh_base_gallons_Weekly,remaining_gallons_Daily,remaining_gallons_Monthly,remaining_gallons_Weekly,additional_gallons_allowed_Daily,additional_gallons_allowed_Monthly,additional_gallons_allowed_Weekly,additional_gallons_remaining_Daily,additional_gallons_remaining_Monthly,additional_gallons_remaining_Weekly,staging_id_Daily,staging_id_Monthly,staging_id_Weekly,execution_date_Daily,execution_date_Monthly,execution_date_Weekly,customer_name_Daily,customer_name_Monthly,customer_name_Weekly,base_gallons_Daily_Reconciled,base_gallons_Monthly_Reconciled,base_gallons_Weekly_Reconciled,beginning_gallons_Daily_Reconciled,beginning_gallons_Monthly_Reconciled,beginning_gallons_Weekly_Reconciled,sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,computedWeekly,sanityComputedWeekly,computedMonthly,sanityComputedMonthly,remaining_gallons_Daily_Reconciled,remaining_gallons_Monthly_Reconciled,remaining_gallons_Weekly_Reconciled,additional_gallons_remaining_Daily_Reconciled,additional_gallons_remaining_Monthly_Reconciled,additional_gallons_remaining_Weekly_Reconciled,Ratability_Monthly,Ratability_Daily,Ratability_Weekly,Synthetic_Base_Weekly,Synthetic_Base_Daily,Synthetic_Base_Monthly,Ratability_Monthly_computed,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
2016-01-01,2016-01-01 00:00:00,Citgo,MANSFIELD OIL CO OF GAINESVILLE--224531,3454-FAIRFAX-CITGO,PRM,471,14601,3297,1,0,0,0,0,0,0,0,0,1,w1,0,0,0,1413,14601,3297,Unknown,Unknown,Unknown,300%,300,100%,100,100%,100,-1,-1,-1,01/02 00:01:00 EST,02/01 00:01:00 EST,w1,0,2016-01-07 00:01:00,Contract,Contract,Contract,471,-1,14601,-1,-1,1413,14601,3297,0,0,0,0,0,0,11388325,11388327,11388326,2016-01-01 22:00:12,2016-01-01 22:00:12,2016-01-01 22:00:12,Mansfield,Mansfield,Mansfield,471,14601,3297,1413,14601,3297,True,True,0,True,0,True,1413,14601,3297,-1,-1,-1,-1.0,0.0,0,3297.0,471.0,14601.0,-1.0,1,1
2016-01-02,2016-01-02 00:00:00,Citgo,MANSFIELD OIL CO OF GAINESVILLE--224531,3454-FAIRFAX-CITGO,PRM,471,14601,3297,1,0,0,0,0,0,0,0,0,1,w1,0,0,0,1413,14601,3297,Unknown,Unknown,Unknown,300%,300,100%,100,100%,100,-1,-1,-1,01/03 00:01:00 EST,02/01 00:01:00 EST,w1,0,2016-01-07 00:01:00,Contract,Contract,Contract,471,-1,14601,-1,-1,1413,14601,3297,0,0,0,0,0,0,11440389,11440391,11440390,2016-01-02 22:00:08,2016-01-02 22:00:08,2016-01-02 22:00:08,Mansfield,Mansfield,Mansfield,471,14601,3297,1413,14601,3297,True,True,0,True,0,True,1413,14601,3297,-1,-1,-1,-1.0,0.0,0,3297.0,471.0,14601.0,-1.0,1,1
2016-01-03,2016-01-03 00:00:00,Citgo,MANSFIELD OIL CO OF GAINESVILLE--224531,3454-FAIRFAX-CITGO,PRM,471,14601,3297,1,0,0,0,0,0,0,0,0,1,w1,0,0,0,1413,14601,3297,Unknown,Unknown,Unknown,300%,300,100%,100,100%,100,-1,-1,-1,01/04 00:01:00 EST,02/01 00:01:00 EST,w1,0,2016-01-07 00:01:00,Contract,Contract,Contract,471,-1,14601,-1,-1,1413,14601,3297,0,0,0,0,0,0,11492894,11492896,11492895,2016-01-03 22:00:13,2016-01-03 22:00:13,2016-01-03 22:00:13,Mansfield,Mansfield,Mansfield,471,14601,3297,1413,14601,3297,True,True,0,True,0,True,1413,14601,3297,-1,-1,-1,-1.0,0.0,0,3297.0,471.0,14601.0,-1.0,1,1
2016-01-04,2016-01-04 00:00:00,Citgo,MANSFIELD OIL CO OF GAINESVILLE--224531,3454-FAIRFAX-CITGO,PRM,471,14601,3297,1,1050,0,1050,1050,1050,0,1050,1050,1,w1,1050,0,1050,1413,14601,3297,Unknown,Unknown,Unknown,300%,300,100%,100,100%,100,-1,-1,-1,01/05 00:01:00 EST,02/01 00:01:00 EST,w1,0,2016-01-07 00:01:00,Contract,Contract,Contract,471,-1,14601,-1,-1,363,13551,2247,0,0,0,0,0,0,11611628,11611630,11611629,2016-01-04 22:00:10,2016-01-04 22:00:10,2016-01-04 22:00:10,Mansfield,Mansfield,Mansfield,471,14601,3297,1413,14601,3297,True,True,1050,True,1050,True,363,13551,2247,-1,-1,-1,56.0,267.0,0,3297.0,471.0,14601.0,56.0,1,1
2016-01-05,2016-01-05 00:00:00,Citgo,MANSFIELD OIL CO OF GAINESVILLE--224531,3454-FAIRFAX-CITGO,PRM,471,14601,3297,1,2200,0,2200,2200,3250,0,3250,3250,1,w1,2200,0,3250,1413,14601,3297,Unknown,Unknown,Unknown,300%,300,100%,100,100%,100,-1,-1,-1,01/06 00:01:00 EST,02/01 00:01:00 EST,w1,0,2016-01-07 00:01:00,Contract,Contract,Contract,471,-1,14601,-1,-1,-787,11351,47,0,0,0,0,0,0,11790442,11790444,11790443,2016-01-05 22:00:11,2016-01-05 22:00:11,2016-01-05 22:00:11,Mansfield,Mansfield,Mansfield,471,14601,3297,1413,14601,3297,True,True,3250,True,3250,True,-787,11351,47,-1,-1,-1,138.0,533.0,0,3297.0,471.0,14601.0,138.0,1,1
2016-01-06,2016-01-06 00:00:00,Citgo,MANSFIELD OIL CO OF GAINESVILLE--224531,3454-FAIRFAX-CITGO,PRM,471,14601,3297,1,0,0,0,0,3250,0,3250,3250,1,w1,0,0,3250,1413,14601,3297,Unknown,Unknown,Unknown,300%,300,100%,100,100%,100,-1,-1,-1,01/07 00:01:00 EST,02/01 00:01:00 EST,w1,0,2016-01-07 00:01:00,Contract,Contract,Contract,471,-1,14601,-1,-1,1413,11351,47,0,0,0,0,0,0,11943384,11943386,11943385,2016-01-06 22:00:07,2016-01-06 22:00:07,2016-01-06 22:00:07,Mansfield,Mansfield,Mansfield,471,14601,3297,1413,14601,3297,True,True,3250,True,3250,True,1413,11351,47,-1,-1,-1,115.0,0.0,0,3297.0,471.0,14601.0,115.0,1,1
2016-01-07,2016-01-07 00:00:00,Citgo,MANSFIELD OIL CO OF GAINESVILLE--224531,3454-FAIRFAX-CITGO,PRM,471,14601,3297,1,2000,0,2000,2000,5250,0,5250,2000,1,w2,2000,0,2000,1413,14601,3297,Unknown,Unknown,Unknown,300%,300,100%,100,100%,100,-1,-1,-1,01/08 00:01:00 EST,02/01 00:01:00 EST,w2,0,2016-01-14 00:01:00,Contract,Contract,Contract,471,-1,14601,-1,-1,-587,9351,1297,0,0,0,0,0,0,12096740,12096742,12096741,2016-01-07 20:00:08,2016-01-07 20:00:08,2016-01-07 20:00:08,Mansfield,Mansfield,Mansfield,471,14601,3297,1413,14601,3297,True,True,2000,True,5250,True,-587,9351,1297,-1,-1,-1,159.0,533.0,0,3297.0,471.0,14601.0,159.0,1,1
2016-01-08,2016-01-08 00:00:00,Citgo,MANSFIELD OIL CO OF GAINESVILLE--224531,3454-FAIRFAX-CITGO,PRM,471,14601,3297,1,0,0,0,0,5250,0,5250,2000,1,w2,0,0,2000,1413,14601,3297,Unknown,Unknown,Unknown,300%,300,100%,100,100%,100,-1,-1,-1,01/09 00:01:00 EST,02/01 00:01:00 EST,w2,0,2016-01-14 00:01:00,Contract,Contract,Contract,471,-1,14601,-1,-1,1413,9351,1297,0,0,0,0,0,0,12254469,12254471,12254470,2016-01-08 22:00:07,2016-01-08 22:00:07,2016-01-08 22:00:07,Mansfield,Mansfield,Mansfield,471,14601,3297,1413,14601,3297,True,True,2000,True,5250,True,1413,9351,1297,-1,-1,-1,139.0,0.0,0,3297.0,471.0,14601.0,139.0,1,1
2016-01-09,2016-01-09 00:00:00,Citgo,MANSFIELD OIL CO OF GAINESVILLE--224531,3454-FAIRFAX-CITGO,PRM,471,14601,3297,1,0,0,0,0,5250,0,5250,2000,1,w2,0,0,2000,1413,14601,3297,Unknown,Unknown,Unknown,300%,300,100%,100,100%,100,-1,-1,-1,01/10 00:01:00 EST,02/01 00:01:00 EST,w2,0,2016-01-14 00:01:00,Contract,Contract,Contract,471,-1,14601,-1,-1,1413,9351,1297,0,0,0,0,0,0,12410957,12410959,12410958,2016-01-09 22:00:10,2016-01-09 22:00:10,2016-01-09 22:00:10,Mansfield,Mansfield,Mansfield,471,14601,3297,1413,14601,3297,True,True,2000,True,5250,True,1413,9351,1297,-1,-1,-1,124.0,0.0,0,3297.0,471.0,14601.0,124.0,1,1
2016-01-10,2016-01-10 00:00:00,Citgo,MANSFIELD OIL CO OF GAINESVILLE--224531,3454-FAIRFAX-CITGO,PRM,471,14601,3297,1,0,0,0,0,5250,0,5250,2000,1,w2,0,0,2000,1413,14601,3297,Unknown,Unknown,Unknown,300%,300,100%,100,100%,100,-1,-1,-1,01/11 00:01:00 EST,02/01 00:01:00 EST,w2,0,2016-01-14 00:01:00,Contract,Contract,Contract,471,-1,14601,-1,-1,1413,9351,1297,0,0,0,0,0,0,12561889,12561891,12561890,2016-01-10 22:00:07,2016-01-10 22:00:07,2016-01-10 22:00:07,Mansfield,Mansfield,Mansfield,471,14601,3297,1413,14601,3297,True,True,2000,True,5250,True,1413,9351,1297,-1,-1,-1,111.0,0.0,0,3297.0,471.0,14601.0,111.0,1,1
2016-01-11,2016-01-11 00:00:00,Citgo,MANSFIELD OIL CO OF GAINESVILLE--224531,3454-FAIRFAX-CITGO,PRM,471,14601,3297,1,0,0,0,0,5250,0,5250,2000,1,w2,0,0,2000,1413,14601,3297,Unknown,Unknown,Unknown,300%,300,100%,100,100%,100,-1,-1,-1,01/12 00:01:00 EST,02/01 00:01:00 EST,w2,0,2016-01-14 00:01:00,Contract,Contract,Contract,471,-1,14601,-1,-1,1413,9351,1297,0,0,0,0,0,0,12713875,12713877,12713876,2016-01-11 22:00:12,2016-01-11 22:00:12,2016-01-11 22:00:12,Mansfield,Mansfield,Mansfield,471,14601,3297,1413,14601,3297,True,True,2000,True,5250,True,1413,9351,1297,-1,-1,-1,101.0,0.0,0,3297.0,471.0,14601.0,101.0,1,1
2016-01-12,2016-01-12 00:00:00,Citgo,MANSFIELD OIL CO OF GAINESVILLE--224531,3454-FAIRFAX-CITGO,PRM,471,14601,3297,1,2202,0,2202,2202,7452,0,7452,4202,1,w2,2202,0,4202,1413,14601,3297,Unknown,Unknown,Unknown,300%,300,100%,100,100%,100,-1,-1,-1,01/13 00:01:00 EST,02/01 00:01:00 EST,w2,0,2016-01-14 00:01:00,Contract,Contract,Contract,471,-1,14601,-1,-1,-789,7149,-905,0,0,0,0,0,0,12861605,12861607,12861606,2016-01-12 22:00:08,2016-01-12 22:00:08,2016-01-12 22:00:08,Mansfield,Mansfield,Mansfield,471,14601,3297,1413,14601,3297,True,True,4202,True,7452,True,-789,7149,-905,-1,-1,-1,132.0,533.0,0,3297.0,471.0,14601.0,132.0,1,1
