,date,supplier_name,account_type,supplier_terminal_name,product_name,base_gallons_Daily,base_gallons_Monthly,base_gallons_Weekly,lifted_gallons_daily_flag,lifted_gallons_daily_modified,Modified_WeeksByLiftedGallons,lifted_gallons_modified_WeeksByLiftedGallons,lifted_gallons_Daily,Lifted_actual_monthly,lifted_gallons_monthly_flag,lifted_gallons_Monthly,Lifted_actual_weekly,lifted_gallons_weekly_flag,WeeksByLiftedGallons,lifted_gallonsWeekly_modified_aposteriori,Modified_LiftedGallonsaposteriori,lifted_gallons_Weekly,beginning_gallons_Daily,beginning_gallons_Monthly,beginning_gallons_Weekly,en_allocation_status_Daily,en_allocation_status_Monthly,en_allocation_status_Weekly,percentage_allocation_Daily_actual,percentage_allocation_Daily,percentage_allocation_Monthly_actual,percentage_allocation_Monthly,percentage_allocation_Weekly_actual,percentage_allocation_Weekly,alerts_ratability_Daily,alerts_ratability_Monthly,alerts_ratability_Weekly,next_refresh_date_Daily,next_refresh_date_Monthly,Week_switch,Modified_NRD,next_refresh_date_Weekly,en_account_type_Daily,en_account_type_Monthly,en_account_type_Weekly,NRB_Daily,next_refresh_base_gallons_Daily,NRB_Monthly,next_refresh_base_gallons_Monthly,next_refresh_base_gallons_Weekly,remaining_gallons_Daily,remaining_gallons_Monthly,remaining_gallons_Weekly,additional_gallons_allowed_Daily,additional_gallons_allowed_Monthly,additional_gallons_allowed_Weekly,additional_gallons_remaining_Daily,additional_gallons_remaining_Monthly,additional_gallons_remaining_Weekly,staging_id_Daily,staging_id_Monthly,staging_id_Weekly,execution_date_Daily,execution_date_Monthly,execution_date_Weekly,customer_name_Daily,customer_name_Monthly,customer_name_Weekly,base_gallons_Daily_Reconciled,base_gallons_Monthly_Reconciled,base_gallons_Weekly_Reconciled,beginning_gallons_Daily_Reconciled,beginning_gallons_Monthly_Reconciled,beginning_gallons_Weekly_Reconciled,sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,computedWeekly,sanityComputedWeekly,computedMonthly,sanityComputedMonthly,remaining_gallons_Daily_Reconciled,remaining_gallons_Monthly_Reconciled,remaining_gallons_Weekly_Reconciled,additional_gallons_remaining_Daily_Reconciled,additional_gallons_remaining_Monthly_Reconciled,additional_gallons_remaining_Weekly_Reconciled,Ratability_Monthly,Ratability_Daily,Ratability_Weekly,Synthetic_Base_Weekly,Synthetic_Base_Daily,Synthetic_Base_Monthly,Ratability_Monthly_computed,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
2016-01-01,2016-01-01 00:00:00,Citgo,MANSFIELD OIL CO OF GAINESVILLE/-373043,1001-EAST CHICAGO-CITGO,KUL,12903,400000,90323,1,12609,3,12609,12609,12609,0,12609,21019,1,w1,12609,0,12609,38709,400000,112904,Unknown,Unknown,Unknown,300%,300,100%,100,125%,125,-1,-1,-1,01/02 00:01:00 CST,02/01 00:01:00 CST,w1,0,2016-01-07 00:01:00,Contract,Contract,Contract,12903,-1,400000,-1,-1,26100,387391,91885,0,0,0,0,0,0,11387908,11387910,11387909,2016-01-01 22:00:12,2016-01-01 22:00:12,2016-01-01 22:00:12,Mansfield,Mansfield,Mansfield,12903,400000,90323,38709,400000,112903,False,True,12609,True,12609,True,26100,387391,100295,-1,-1,-1,98.0,0.0,0,90323.0,12903.0,399993.0,98.0,1,1
2016-01-02,2016-01-02 00:00:00,Citgo,MANSFIELD OIL CO OF GAINESVILLE/-373043,1001-EAST CHICAGO-CITGO,KUL,12903,400000,90323,1,6306,3,6306,6306,18915,0,18915,27325,1,w1,6306,0,18915,38709,400000,112904,Unknown,Unknown,Unknown,300%,300,100%,100,125%,125,-1,-1,-1,01/03 00:01:00 CST,02/01 00:01:00 CST,w1,0,2016-01-07 00:01:00,Contract,Contract,Contract,12903,-1,400000,-1,-1,32403,381085,85579,0,0,0,0,0,0,11439972,11439974,11439973,2016-01-02 22:00:08,2016-01-02 22:00:08,2016-01-02 22:00:08,Mansfield,Mansfield,Mansfield,12903,400000,90323,38709,400000,112904,False,True,18915,True,18915,True,32403,381085,93989,-1,-1,-1,73.0,0.0,0,90323.0,12903.0,399993.0,73.0,1,1
2016-01-03,2016-01-03 00:00:00,Citgo,MANSFIELD OIL CO OF GAINESVILLE/-373043,1001-EAST CHICAGO-CITGO,KUL,12903,400000,90323,1,12607,3,12607,12607,31522,0,31522,39932,1,w1,12607,0,31522,38709,400000,112904,Unknown,Unknown,Unknown,300%,300,100%,100,125%,125,-1,-1,-1,01/04 00:01:00 CST,02/01 00:01:00 CST,w1,0,2016-01-07 00:01:00,Contract,Contract,Contract,12903,-1,400000,-1,-1,26102,368478,72972,0,0,0,0,0,0,11492477,11492479,11492478,2016-01-03 22:00:13,2016-01-03 22:00:13,2016-01-03 22:00:13,Mansfield,Mansfield,Mansfield,12903,400000,90323,38709,400000,112904,False,True,31522,True,31522,True,26102,368478,81382,-1,-1,-1,81.0,0.0,0,90323.0,12903.0,399993.0,81.0,1,1
2016-01-04,2016-01-04 00:00:00,Citgo,MANSFIELD OIL CO OF GAINESVILLE/-373043,1001-EAST CHICAGO-CITGO,KUL,12903,400000,90323,1,16808,3,16808,12607,44129,0,44129,52539,1,w1,12607,0,48330,38709,400000,112904,Unknown,Unknown,Unknown,300%,300,100%,100,125%,125,-1,-1,-1,01/05 00:01:00 CST,02/01 00:01:00 CST,w1,0,2016-01-07 00:01:00,Contract,Contract,Contract,12903,-1,400000,-1,-1,26102,355871,60365,0,0,0,0,0,0,11611211,11611213,11611212,2016-01-04 22:00:10,2016-01-04 22:00:10,2016-01-04 22:00:10,Mansfield,Mansfield,Mansfield,12903,400000,90323,38709,400000,112904,False,True,48330,True,48330,True,21901,355871,64574,-1,-1,-1,85.0,133.0,0,90323.0,12903.0,399993.0,94.0,0,0
2016-01-05,2016-01-05 00:00:00,Citgo,MANSFIELD OIL CO OF GAINESVILLE/-373043,1001-EAST CHICAGO-CITGO,KUL,12903,400000,90323,1,14706,3,14706,10505,58835,0,58835,67245,1,w1,10505,0,63036,38709,400000,112904,Unknown,Unknown,Unknown,300%,300,100%,100,125%,125,-1,-1,-1,01/06 00:01:00 CST,02/01 00:01:00 CST,w1,0,2016-01-07 00:01:00,Contract,Contract,Contract,12903,-1,400000,-1,-1,28204,341165,45659,0,0,0,0,0,0,11790025,11790027,11790026,2016-01-05 22:00:11,2016-01-05 22:00:11,2016-01-05 22:00:11,Mansfield,Mansfield,Mansfield,12903,400000,90323,38709,400000,112904,False,True,63036,True,63036,True,24003,341165,49868,-1,-1,-1,91.0,133.0,0,90323.0,12903.0,399993.0,98.0,0,0
2016-01-06,2016-01-06 00:00:00,Citgo,MANSFIELD OIL CO OF GAINESVILLE/-373043,1001-EAST CHICAGO-CITGO,KUL,12903,400000,90323,1,6305,0,4202,4202,67238,0,67238,75648,1,w1,4202,0,69341,38709,400000,112904,Unknown,Unknown,Unknown,300%,300,100%,100,125%,125,-1,-1,-1,01/07 00:01:00 CST,02/01 00:01:00 CST,w1,0,2016-01-07 00:01:00,Contract,Contract,Contract,12903,-1,400000,-1,-1,34507,332762,37256,0,0,0,0,0,0,11942955,11942957,11942956,2016-01-06 22:00:07,2016-01-06 22:00:07,2016-01-06 22:00:07,Mansfield,Mansfield,Mansfield,12903,400000,90323,38709,400000,112904,False,True,69341,True,69341,True,32404,332762,43563,-1,-1,-1,87.0,0.0,0,90323.0,12903.0,399993.0,90.0,1,0
2016-01-07,2016-01-07 00:00:00,Citgo,MANSFIELD OIL CO OF GAINESVILLE/-373043,1001-EAST CHICAGO-CITGO,KUL,12903,400000,90323,1,10508,3,10508,8408,77749,0,77749,8408,1,w2,8408,0,10508,38709,400000,112904,Unknown,Unknown,Unknown,300%,300,100%,100,125%,125,-1,-1,-1,01/08 00:01:00 CST,02/01 00:01:00 CST,w2,0,2016-01-14 00:01:00,Contract,Contract,Contract,12903,-1,400000,-1,-1,30301,322251,104496,0,0,0,0,0,0,12096311,12096313,12096312,2016-01-07 20:00:08,2016-01-07 20:00:08,2016-01-07 20:00:08,Mansfield,Mansfield,Mansfield,12903,400000,90323,38709,400000,112904,False,True,10508,True,79849,True,28201,322251,102396,-1,-1,-1,86.0,0.0,0,90323.0,12903.0,399993.0,88.0,0,0
2016-01-08,2016-01-08 00:00:00,Citgo,MANSFIELD OIL CO OF GAINESVILLE/-373043,1001-EAST CHICAGO-CITGO,KUL,12903,400000,90323,1,6307,3,6307,6307,86156,0,86156,16815,1,w2,6307,0,16815,38709,400000,112904,Unknown,Unknown,Unknown,300%,300,100%,100,125%,125,-1,-1,-1,01/09 00:01:00 CST,02/01 00:01:00 CST,w2,0,2016-01-14 00:01:00,Contract,Contract,Contract,12903,-1,400000,-1,-1,32402,313844,96089,0,0,0,0,0,0,12254040,12254042,12254041,2016-01-08 22:00:07,2016-01-08 22:00:07,2016-01-08 22:00:07,Mansfield,Mansfield,Mansfield,12903,400000,90323,38709,400000,112904,True,True,16815,True,86156,True,32402,313844,96089,-1,-1,-1,83.0,0.0,0,90323.0,12903.0,399993.0,83.0,0,1
2016-01-09,2016-01-09 00:00:00,Citgo,MANSFIELD OIL CO OF GAINESVILLE/-373043,1001-EAST CHICAGO-CITGO,KUL,12903,400000,90323,1,12608,3,12608,12608,98764,0,98764,29423,1,w2,12608,0,29423,38709,400000,112904,Unknown,Unknown,Unknown,300%,300,100%,100,125%,125,-1,-1,-1,01/10 00:01:00 CST,02/01 00:01:00 CST,w2,0,2016-01-14 00:01:00,Contract,Contract,Contract,12903,-1,400000,-1,-1,26101,301236,83481,0,0,0,0,0,0,12410528,12410530,12410529,2016-01-09 22:00:10,2016-01-09 22:00:10,2016-01-09 22:00:10,Mansfield,Mansfield,Mansfield,12903,400000,90323,38709,400000,112904,True,True,29423,True,98764,True,26101,301236,83481,-1,-1,-1,85.0,0.0,0,90323.0,12903.0,399993.0,85.0,0,1
2016-01-10,2016-01-10 00:00:00,Citgo,MANSFIELD OIL CO OF GAINESVILLE/-373043,1001-EAST CHICAGO-CITGO,KUL,12903,400000,90323,1,12602,3,12602,10502,109266,0,109266,39925,1,w2,10502,0,42025,38709,400000,112904,Unknown,Unknown,Unknown,300%,300,100%,100,125%,125,-1,-1,-1,01/11 00:01:00 CST,02/01 00:01:00 CST,w2,0,2016-01-14 00:01:00,Contract,Contract,Contract,12903,-1,400000,-1,-1,28207,290734,72979,0,0,0,0,0,0,12561460,12561462,12561461,2016-01-10 22:00:07,2016-01-10 22:00:07,2016-01-10 22:00:07,Mansfield,Mansfield,Mansfield,12903,400000,90323,38709,400000,112904,False,True,42025,True,111366,True,26107,290734,70879,-1,-1,-1,85.0,0.0,0,90323.0,12903.0,399993.0,86.0,0,0
