,date,supplier_name,account_type,supplier_terminal_name,product_name,base_gallons_Daily,base_gallons_Monthly,base_gallons_Weekly,lifted_gallons_daily_flag,lifted_gallons_daily_modified,Modified_WeeksByLiftedGallons,lifted_gallons_modified_WeeksByLiftedGallons,lifted_gallons_Daily,Lifted_actual_monthly,lifted_gallons_monthly_flag,lifted_gallons_Monthly,Lifted_actual_weekly,lifted_gallons_weekly_flag,WeeksByLiftedGallons,lifted_gallonsWeekly_modified_aposteriori,Modified_LiftedGallonsaposteriori,lifted_gallons_Weekly,beginning_gallons_Daily,beginning_gallons_Monthly,beginning_gallons_Weekly,en_allocation_status_Daily,en_allocation_status_Monthly,en_allocation_status_Weekly,percentage_allocation_Daily_actual,percentage_allocation_Daily,percentage_allocation_Monthly_actual,percentage_allocation_Monthly,percentage_allocation_Weekly_actual,percentage_allocation_Weekly,alerts_ratability_Daily,alerts_ratability_Monthly,alerts_ratability_Weekly,next_refresh_date_Daily,next_refresh_date_Monthly,Week_switch,Modified_NRD,next_refresh_date_Weekly,en_account_type_Daily,en_account_type_Monthly,en_account_type_Weekly,NRB_Daily,next_refresh_base_gallons_Daily,NRB_Monthly,next_refresh_base_gallons_Monthly,next_refresh_base_gallons_Weekly,remaining_gallons_Daily,remaining_gallons_Monthly,remaining_gallons_Weekly,additional_gallons_allowed_Daily,additional_gallons_allowed_Monthly,additional_gallons_allowed_Weekly,additional_gallons_remaining_Daily,additional_gallons_remaining_Monthly,additional_gallons_remaining_Weekly,staging_id_Daily,staging_id_Monthly,staging_id_Weekly,execution_date_Daily,execution_date_Monthly,execution_date_Weekly,customer_name_Daily,customer_name_Monthly,customer_name_Weekly,base_gallons_Daily_Reconciled,base_gallons_Monthly_Reconciled,base_gallons_Weekly_Reconciled,beginning_gallons_Daily_Reconciled,beginning_gallons_Monthly_Reconciled,beginning_gallons_Weekly_Reconciled,sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,computedWeekly,sanityComputedWeekly,computedMonthly,sanityComputedMonthly,remaining_gallons_Daily_Reconciled,remaining_gallons_Monthly_Reconciled,remaining_gallons_Weekly_Reconciled,additional_gallons_remaining_Daily_Reconciled,additional_gallons_remaining_Monthly_Reconciled,additional_gallons_remaining_Weekly_Reconciled,Ratability_Monthly,Ratability_Daily,Ratability_Weekly,Synthetic_Base_Weekly,Synthetic_Base_Daily,Synthetic_Base_Monthly,Ratability_Monthly_computed,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
2016-01-01,2016-01-01 00:00:00,Citgo,MANSFIELD OIL CO OF GAINESVILLE/-373043,1262-LEMONT-CITGO,ULS,32258,1000000,225806,1,4898,3,4898,4898,4898,0,4898,34650,1,w1,4898,0,4898,64516,1000000,225806,Unknown,Unknown,Unknown,200%,200,100%,100,100%,100,-1,-1,-1,01/02 00:01:00 CST,02/01 00:01:00 CST,w1,0,2016-01-07 00:01:00,Contract,Contract,Contract,32258,-1,1000000,-1,-1,59618,995102,191156,0,0,0,0,0,0,11388004,11388006,11388005,2016-01-01 22:00:12,2016-01-01 22:00:12,2016-01-01 22:00:12,Mansfield,Mansfield,Mansfield,32258,1000000,225806,64516,1000000,225806,False,True,4898,True,4898,True,59618,995102,220908,-1,-1,-1,15.0,0.0,0,225806.0,32258.0,999998.0,15.0,1,1
2016-01-02,2016-01-02 00:00:00,Citgo,MANSFIELD OIL CO OF GAINESVILLE/-373043,1262-LEMONT-CITGO,ULS,32258,1000000,225806,1,9805,3,9805,9805,14703,0,14703,44455,1,w1,9805,0,14703,64516,1000000,225806,Unknown,Unknown,Unknown,200%,200,100%,100,100%,100,-1,-1,-1,01/03 00:01:00 CST,02/01 00:01:00 CST,w1,0,2016-01-07 00:01:00,Contract,Contract,Contract,32258,-1,1000000,-1,-1,54711,985297,181351,0,0,0,0,0,0,11440068,11440070,11440069,2016-01-02 22:00:08,2016-01-02 22:00:08,2016-01-02 22:00:08,Mansfield,Mansfield,Mansfield,32258,1000000,225806,64516,1000000,225806,False,True,14703,True,14703,True,54711,985297,211103,-1,-1,-1,23.0,0.0,0,225806.0,32258.0,999998.0,23.0,1,1
2016-01-03,2016-01-03 00:00:00,Citgo,MANSFIELD OIL CO OF GAINESVILLE/-373043,1262-LEMONT-CITGO,ULS,32258,1000000,225806,1,53909,3,53909,44107,58810,0,58810,88562,1,w1,44107,0,68612,64516,1000000,225806,Unknown,Unknown,Unknown,200%,200,100%,100,100%,100,-1,-1,-1,01/04 00:01:00 CST,02/01 00:01:00 CST,w1,0,2016-01-07 00:01:00,Contract,Contract,Contract,32258,-1,1000000,-1,-1,20409,941190,137244,0,0,0,0,0,0,11492573,11492575,11492574,2016-01-03 22:00:13,2016-01-03 22:00:13,2016-01-03 22:00:13,Mansfield,Mansfield,Mansfield,32258,1000000,225806,64516,1000000,225806,False,True,68612,True,68612,True,10607,941190,157194,-1,-1,-1,61.0,133.0,0,225806.0,32258.0,999998.0,71.0,0,0
2016-01-04,2016-01-04 00:00:00,Citgo,MANSFIELD OIL CO OF GAINESVILLE/-373043,1262-LEMONT-CITGO,ULS,32258,1000000,225806,1,34457,3,34457,34457,103069,0,103069,132821,1,w1,34457,0,103069,64516,1000000,225806,Unknown,Unknown,Unknown,200%,200,100%,100,100%,100,-1,-1,-1,01/05 00:01:00 CST,02/01 00:01:00 CST,w1,0,2016-01-07 00:01:00,Contract,Contract,Contract,32258,-1,1000000,-1,-1,30059,896931,92985,0,0,0,0,0,0,11611307,11611309,11611308,2016-01-04 22:00:10,2016-01-04 22:00:10,2016-01-04 22:00:10,Mansfield,Mansfield,Mansfield,32258,1000000,225806,64516,1000000,225806,False,True,103069,True,103069,True,30059,896931,122737,-1,-1,-1,80.0,133.0,0,225806.0,32258.0,999998.0,80.0,1,1
2016-01-05,2016-01-05 00:00:00,Citgo,MANSFIELD OIL CO OF GAINESVILLE/-373043,1262-LEMONT-CITGO,ULS,32258,1000000,225806,1,9875,3,9875,9875,112944,0,112944,142696,1,w1,9875,0,112944,64516,1000000,225806,Unknown,Unknown,Unknown,200%,200,100%,100,100%,100,-1,-1,-1,01/06 00:01:00 CST,02/01 00:01:00 CST,w1,0,2016-01-07 00:01:00,Contract,Contract,Contract,32258,-1,1000000,-1,-1,54641,887056,83110,0,0,0,0,0,0,11790121,11790123,11790122,2016-01-05 22:00:11,2016-01-05 22:00:11,2016-01-05 22:00:11,Mansfield,Mansfield,Mansfield,32258,1000000,225806,64516,1000000,225806,False,True,112944,True,112944,True,54641,887056,112862,-1,-1,-1,70.0,0.0,0,225806.0,32258.0,999998.0,70.0,1,1
2016-01-06,2016-01-06 00:00:00,Citgo,MANSFIELD OIL CO OF GAINESVILLE/-373043,1262-LEMONT-CITGO,ULS,32258,1000000,225806,1,9802,0,4902,4902,117846,0,117846,147598,1,w1,4902,0,122746,64516,1000000,225806,Unknown,Unknown,Unknown,200%,200,100%,100,100%,100,-1,-1,-1,01/07 00:01:00 CST,02/01 00:01:00 CST,w1,0,2016-01-07 00:01:00,Contract,Contract,Contract,32258,-1,1000000,-1,-1,59614,882154,78208,0,0,0,0,0,0,11943060,11943062,11943061,2016-01-06 22:00:07,2016-01-06 22:00:07,2016-01-06 22:00:07,Mansfield,Mansfield,Mansfield,32258,1000000,225806,64516,1000000,225806,False,True,122746,True,122746,True,54714,882154,103060,-1,-1,-1,61.0,0.0,0,225806.0,32258.0,999998.0,63.0,1,0
2016-01-07,2016-01-07 00:00:00,Citgo,MANSFIELD OIL CO OF GAINESVILLE/-373043,1262-LEMONT-CITGO,ULS,32258,1000000,225806,1,14704,3,14704,4903,127649,0,127649,4903,1,w2,4903,0,14704,64516,1000000,225806,Unknown,Unknown,Unknown,200%,200,100%,100,100%,100,-1,-1,-1,01/08 00:01:00 CST,02/01 00:01:00 CST,w2,0,2016-01-14 00:01:00,Contract,Contract,Contract,32258,-1,1000000,-1,-1,59613,872351,220903,0,0,0,0,0,0,12096416,12096418,12096417,2016-01-07 20:00:08,2016-01-07 20:00:08,2016-01-07 20:00:08,Mansfield,Mansfield,Mansfield,32258,1000000,225806,64516,1000000,225806,False,True,14704,True,137450,True,49812,872351,211102,-1,-1,-1,57.0,0.0,0,225806.0,32258.0,999998.0,61.0,0,0
2016-01-08,2016-01-08 00:00:00,Citgo,MANSFIELD OIL CO OF GAINESVILLE/-373043,1262-LEMONT-CITGO,ULS,32258,1000000,225806,1,4903,3,4903,4903,142353,0,142353,19607,1,w2,4903,0,19607,64516,1000000,225806,Unknown,Unknown,Unknown,200%,200,100%,100,100%,100,-1,-1,-1,01/09 00:01:00 CST,02/01 00:01:00 CST,w2,0,2016-01-14 00:01:00,Contract,Contract,Contract,32258,-1,1000000,-1,-1,59613,857647,206199,0,0,0,0,0,0,12254145,12254147,12254146,2016-01-08 22:00:07,2016-01-08 22:00:07,2016-01-08 22:00:07,Mansfield,Mansfield,Mansfield,32258,1000000,225806,64516,1000000,225806,True,True,19607,True,142353,True,59613,857647,206199,-1,-1,-1,55.0,0.0,0,225806.0,32258.0,999998.0,55.0,0,1
2016-01-09,2016-01-09 00:00:00,Citgo,MANSFIELD OIL CO OF GAINESVILLE/-373043,1262-LEMONT-CITGO,ULS,32258,1000000,225806,1,19609,3,19609,19609,161962,0,161962,39216,1,w2,19609,0,39216,64516,1000000,225806,Unknown,Unknown,Unknown,200%,200,100%,100,100%,100,-1,-1,-1,01/10 00:01:00 CST,02/01 00:01:00 CST,w2,0,2016-01-14 00:01:00,Contract,Contract,Contract,32258,-1,1000000,-1,-1,44907,838038,186590,0,0,0,0,0,0,12410633,12410635,12410634,2016-01-09 22:00:10,2016-01-09 22:00:10,2016-01-09 22:00:10,Mansfield,Mansfield,Mansfield,32258,1000000,225806,64516,1000000,225806,True,True,39216,True,161962,True,44907,838038,186590,-1,-1,-1,56.0,0.0,0,225806.0,32258.0,999998.0,56.0,0,1
2016-01-10,2016-01-10 00:00:00,Citgo,MANSFIELD OIL CO OF GAINESVILLE/-373043,1262-LEMONT-CITGO,ULS,32258,1000000,225806,1,39204,3,39204,34304,196266,0,196266,73520,1,w2,34304,0,78420,64516,1000000,225806,Unknown,Unknown,Unknown,200%,200,100%,100,100%,100,-1,-1,-1,01/11 00:01:00 CST,02/01 00:01:00 CST,w2,0,2016-01-14 00:01:00,Contract,Contract,Contract,32258,-1,1000000,-1,-1,30212,803734,152286,0,0,0,0,0,0,12561565,12561567,12561566,2016-01-10 22:00:07,2016-01-10 22:00:07,2016-01-10 22:00:07,Mansfield,Mansfield,Mansfield,32258,1000000,225806,64516,1000000,225806,False,True,78420,True,201166,True,25312,803734,147386,-1,-1,-1,61.0,133.0,0,225806.0,32258.0,999998.0,62.0,1,0
2016-01-11,2016-01-11 00:00:00,Citgo,MANSFIELD OIL CO OF GAINESVILLE/-373043,1262-LEMONT-CITGO,ULS,32258,1000000,225806,1,14699,3,14699,9799,210965,0,210965,88219,1,w2,9799,0,93119,64516,1000000,225806,Unknown,Unknown,Unknown,200%,200,100%,100,100%,100,-1,-1,-1,01/12 00:01:00 CST,02/01 00:01:00 CST,w2,0,2016-01-14 00:01:00,Contract,Contract,Contract,32258,-1,1000000,-1,-1,54717,789035,137587,0,0,0,0,0,0,12713551,12713553,12713552,2016-01-11 22:00:12,2016-01-11 22:00:12,2016-01-11 22:00:12,Mansfield,Mansfield,Mansfield,32258,1000000,225806,64516,1000000,225806,False,True,93119,True,215865,True,49817,789035,132687,-1,-1,-1,59.0,0.0,0,225806.0,32258.0,999998.0,61.0,1,0
2016-01-12,2016-01-12 00:00:00,Citgo,MANSFIELD OIL CO OF GAINESVILLE/-373043,1262-LEMONT-CITGO,ULS,32258,1000000,225806,1,29404,3,29404,24501,240366,0,240366,117620,1,w2,24501,0,122523,64516,1000000,225806,Unknown,Unknown,Unknown,200%,200,100%,100,100%,100,-1,-1,-1,01/13 00:01:00 CST,02/01 00:01:00 CST,w2,0,2016-01-14 00:01:00,Contract,Contract,Contract,32258,-1,1000000,-1,-1,40015,759634,108186,0,0,0,0,0,0,12861281,12861283,12861282,2016-01-12 22:00:08,2016-01-12 22:00:08,2016-01-12 22:00:08,Mansfield,Mansfield,Mansfield,32258,1000000,225806,64516,1000000,225806,False,True,122523,True,245269,True,35112,759634,103283,-1,-1,-1,62.0,0.0,0,225806.0,32258.0,999998.0,63.0,0,0
2016-01-13,2016-01-13 00:00:00,Citgo,MANSFIELD OIL CO OF GAINESVILLE/-373043,1262-LEMONT-CITGO,ULS,32258,1000000,225806,1,24505,0,14005,14005,259274,0,259274,136528,1,w2,14005,0,147028,64516,1000000,225806,Unknown,Unknown,Unknown,200%,200,100%,100,100%,100,-1,-1,-1,01/14 00:01:00 CST,02/01 00:01:00 CST,w2,0,2016-01-14 00:01:00,Contract,Contract,Contract,32258,-1,1000000,-1,-1,50511,740726,89278,0,0,0,0,0,0,12926068,12926070,12926069,2016-01-13 22:00:07,2016-01-13 22:00:07,2016-01-13 22:00:07,Mansfield,Mansfield,Mansfield,32258,1000000,225806,64516,1000000,225806,True,True,147028,True,269774,True,40011,740726,78778,-1,-1,-1,62.0,0.0,0,225806.0,32258.0,999998.0,64.0,0,0
2016-01-14,2016-01-14 00:00:00,Citgo,MANSFIELD OIL CO OF GAINESVILLE/-373043,1262-LEMONT-CITGO,ULS,32258,1000000,225806,1,31511,3,31511,24506,294280,0,294280,24506,1,w3,24506,0,31511,64516,1000000,225806,Unknown,Unknown,Unknown,200%,200,100%,100,100%,100,-1,-1,-1,01/15 00:01:00 CST,02/01 00:01:00 CST,w3,0,2016-01-21 00:01:00,Contract,Contract,Contract,32258,-1,1000000,-1,-1,40010,705720,201300,0,0,0,0,0,0,13017270,13017272,13017271,2016-01-14 22:00:07,2016-01-14 22:00:07,2016-01-14 22:00:07,Mansfield,Mansfield,Mansfield,32258,1000000,225806,64516,1000000,225806,False,True,31511,True,301285,True,33005,705720,194295,-1,-1,-1,65.0,0.0,0,225806.0,32258.0,999998.0,67.0,0,0
2016-01-15,2016-01-15 00:00:00,Citgo,MANSFIELD OIL CO OF GAINESVILLE/-373043,1262-LEMONT-CITGO,ULS,32258,1000000,225806,1,24509,3,24509,21009,322294,0,322294,52520,1,w3,21009,0,56020,64516,1000000,225806,Unknown,Unknown,Unknown,200%,200,100%,100,100%,100,-1,-1,-1,01/16 00:01:00 CST,02/01 00:01:00 CST,w3,0,2016-01-21 00:01:00,Contract,Contract,Contract,32258,-1,1000000,-1,-1,43507,677706,173286,0,0,0,0,0,0,13075418,13075420,13075419,2016-01-15 23:18:46,2016-01-15 23:18:46,2016-01-15 23:18:46,Mansfield,Mansfield,Mansfield,32258,1000000,225806,64516,1000000,225806,False,True,56020,True,325794,True,40007,677706,169786,-1,-1,-1,67.0,0.0,0,225806.0,32258.0,999998.0,67.0,0,0
