,date,supplier_name,account_type,supplier_terminal_name,product_name,base_gallons_Daily,base_gallons_Monthly,base_gallons_Weekly,lifted_gallons_daily_flag,lifted_gallons_daily_modified,Modified_WeeksByLiftedGallons,lifted_gallons_modified_WeeksByLiftedGallons,lifted_gallons_Daily,Lifted_actual_monthly,lifted_gallons_monthly_flag,lifted_gallons_Monthly,Lifted_actual_weekly,lifted_gallons_weekly_flag,WeeksByLiftedGallons,lifted_gallonsWeekly_modified_aposteriori,Modified_LiftedGallonsaposteriori,lifted_gallons_Weekly,beginning_gallons_Daily,beginning_gallons_Monthly,beginning_gallons_Weekly,en_allocation_status_Daily,en_allocation_status_Monthly,en_allocation_status_Weekly,percentage_allocation_Daily_actual,percentage_allocation_Daily,percentage_allocation_Monthly_actual,percentage_allocation_Monthly,percentage_allocation_Weekly_actual,percentage_allocation_Weekly,alerts_ratability_Daily,alerts_ratability_Monthly,alerts_ratability_Weekly,next_refresh_date_Daily,next_refresh_date_Monthly,Week_switch,Modified_NRD,next_refresh_date_Weekly,en_account_type_Daily,en_account_type_Monthly,en_account_type_Weekly,NRB_Daily,next_refresh_base_gallons_Daily,NRB_Monthly,next_refresh_base_gallons_Monthly,next_refresh_base_gallons_Weekly,remaining_gallons_Daily,remaining_gallons_Monthly,remaining_gallons_Weekly,additional_gallons_allowed_Daily,additional_gallons_allowed_Monthly,additional_gallons_allowed_Weekly,additional_gallons_remaining_Daily,additional_gallons_remaining_Monthly,additional_gallons_remaining_Weekly,staging_id_Daily,staging_id_Monthly,staging_id_Weekly,execution_date_Daily,execution_date_Monthly,execution_date_Weekly,customer_name_Daily,customer_name_Monthly,customer_name_Weekly,base_gallons_Daily_Reconciled,base_gallons_Monthly_Reconciled,base_gallons_Weekly_Reconciled,beginning_gallons_Daily_Reconciled,beginning_gallons_Monthly_Reconciled,beginning_gallons_Weekly_Reconciled,sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,computedWeekly,sanityComputedWeekly,computedMonthly,sanityComputedMonthly,remaining_gallons_Daily_Reconciled,remaining_gallons_Monthly_Reconciled,remaining_gallons_Weekly_Reconciled,additional_gallons_remaining_Daily_Reconciled,additional_gallons_remaining_Monthly_Reconciled,additional_gallons_remaining_Weekly_Reconciled,Ratability_Monthly,Ratability_Daily,Ratability_Weekly,Synthetic_Base_Weekly,Synthetic_Base_Daily,Synthetic_Base_Monthly,Ratability_Monthly_computed,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
2015-08-01,2015-08-01 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 IW,BELTON SC BUCKEYE TP - 02EM,ULSD,-1,-1,-1,0,-1,0,-1,-1,-1,0,-1,-1,0,w1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,-1,-1,-1,-1,-1,-1,-1,w1,1,2015-08-06 00:00:00,-1,-1,-1,9660,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2015-08-01 00:00:00,2015-08-01 00:00:00,2015-08-01 00:00:00,-1,-1,-1,-1,-1,-1,-1,-1,-1,False,False,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1.0,-1,-1,-1.0,-1.0,-1,1,1
2015-08-02,2015-08-02 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 IW,BELTON SC BUCKEYE TP - 02EM,ULSD,9660,-1,67620,3,5800,3,5800,5800,-1,0,-1,31291,0,w1,5800,0,31291,14490,-1,94668,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,08/03 00:00:00 EDT,-1,w1,0,2015-08-06 00:00:00,Contract,-1,Contract,9660,9660,-1,-1,67620,8690,-1,63377,0,-1,0,0,-1,0,2614352,-1,2614353,2015-08-02 22:00:18,2015-08-02 00:00:00,2015-08-02 22:00:18,Mansfield,-1,Mansfield,9660,-1,67620,14490,-1,94668,False,False,0,0,0,0,8690,-1,63377,-1,-1,-1,-1,0.0,0,67620,9660.0,299460.0,-1,0,0
2015-08-03,2015-08-03 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 IW,BELTON SC BUCKEYE TP - 02EM,ULSD,9660,-1,67620,3,6701,3,6701,6701,-1,0,-1,37992,0,w1,6701,0,37992,14490,-1,94668,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,08/04 00:00:00 EDT,-1,w1,0,2015-08-06 00:00:00,Contract,-1,Contract,9660,9660,-1,-1,67620,7789,-1,56676,7500,-1,7500,7500,-1,7500,2664088,-1,2664089,2015-08-03 19:02:32,2015-08-03 00:00:00,2015-08-03 19:02:32,Mansfield,-1,Mansfield,9660,-1,67620,14490,-1,94668,False,False,0,0,0,0,7789,-1,56676,-1,-1,-1,-1,0.0,0,67620,9660.0,299460.0,-1,0,0
2015-08-04,2015-08-04 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 IW,BELTON SC BUCKEYE TP - 02EM,ULSD,9660,-1,67620,3,23998,3,23998,23998,-1,0,-1,61990,0,w1,23998,0,61990,14490,-1,94668,Out,-1,Out,150%,150,-1,100,140%,140,Above Trend,-1,Below Trend,08/05 00:00:00 EDT,-1,w1,0,2015-08-06 00:00:00,Contract,-1,Contract,9660,9660,-1,-1,67620,0,-1,42186,7500,-1,7500,2008,-1,2008,2724811,-1,2724812,2015-08-04 22:00:16,2015-08-04 00:00:00,2015-08-04 22:00:16,Mansfield,-1,Mansfield,9660,-1,67620,14490,-1,94668,False,False,0,0,0,0,-9508,-1,32678,7500,-1,-1,-1,267.0,0,67620,9660.0,299460.0,-1,0,0
2015-08-05,2015-08-05 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 IW,BELTON SC BUCKEYE TP - 02EM,ULSD,9660,-1,67620,0,16693,0,16693,16693,-1,0,-1,78683,0,w1,16693,0,78683,14490,-1,94668,Out,-1,Out,150%,150,-1,100,140%,140,Above Trend,-1,On Track,08/06 00:00:00 EDT,-1,w1,0,2015-08-06 00:00:00,Contract,-1,Contract,9660,9660,-1,-1,67620,0,-1,27696,7500,-1,7500,4211,-1,4211,2785688,-1,2785689,2015-08-05 22:02:03,2015-08-05 00:00:00,2015-08-05 22:02:03,Mansfield,-1,Mansfield,9660,-1,67620,14490,-1,94668,False,False,0,0,0,0,-2203,-1,15985,7500,-1,-1,-1,133.0,100,67620,9660.0,299460.0,-1,0,0
2015-08-06,2015-08-06 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 IW,BELTON SC BUCKEYE TP - 02EM,ULSD,-1,-1,-1,6,7099,0,-1,-1,-1,0,-1,-1,6,w2,-1,0,7099,-1,-1,-1,-1,-1,-1,-1,150,-1,100,-1,140,-1,-1,-1,-1,-1,w2,1,2015-08-13 00:00:00,-1,-1,-1,9660,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2015-08-06 00:00:00,2015-08-06 00:00:00,2015-08-06 00:00:00,-1,-1,-1,9660,-1,67620,14490,-1,94668,True,True,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,0.0,0,67620,9660.0,299460.0,-1,0,0
2015-08-07,2015-08-07 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 IW,BELTON SC BUCKEYE TP - 02EM,ULSD,9660,-1,67620,3,12496,3,12496,12496,-1,0,-1,19595,0,w2,12496,0,19595,14490,-1,94668,Available,-1,Available,150%,150,-1,100,140%,140,On Track,-1,Below Trend,08/08 00:00:00 EDT,-1,w2,0,2015-08-13 00:00:00,Contract,-1,Contract,9660,9660,-1,-1,67620,1994,-1,75073,0,-1,0,0,-1,0,2896077,-1,2896078,2015-08-07 22:02:06,2015-08-07 00:00:00,2015-08-07 22:02:06,Mansfield,-1,Mansfield,9660,-1,67620,14490,-1,94668,False,True,0,0,0,0,1994,-1,75073,-1,-1,-1,-1,133.0,0,67620,9660.0,299460.0,-1,0,0
2015-08-08,2015-08-08 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 IW,BELTON SC BUCKEYE TP - 02EM,ULSD,9660,-1,67620,3,8099,3,8099,8099,-1,0,-1,27694,0,w2,8099,0,27694,14490,-1,94668,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,08/09 00:00:00 EDT,-1,w2,0,2015-08-13 00:00:00,Contract,-1,Contract,9660,9660,-1,-1,67620,6391,-1,66974,0,-1,0,0,-1,0,2952713,-1,2952714,2015-08-08 22:04:41,2015-08-08 00:00:00,2015-08-08 22:04:41,Mansfield,-1,Mansfield,9660,-1,67620,14490,-1,94668,False,True,0,0,0,0,6391,-1,66974,-1,-1,-1,-1,0.0,0,67620,9660.0,299460.0,-1,0,0
2015-08-09,2015-08-09 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 IW,BELTON SC BUCKEYE TP - 02EM,ULSD,9660,-1,67620,3,6999,3,6999,6999,-1,0,-1,34693,0,w2,6999,0,34693,14490,-1,94668,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,08/10 00:00:00 EDT,-1,w2,0,2015-08-13 00:00:00,Contract,-1,Contract,9660,9660,-1,-1,67620,7491,-1,59975,0,-1,0,0,-1,0,3004065,-1,3004066,2015-08-09 22:03:26,2015-08-09 00:00:00,2015-08-09 22:03:26,Mansfield,-1,Mansfield,9660,-1,67620,14490,-1,94668,False,True,0,0,0,0,7491,-1,59975,-1,-1,-1,-1,0.0,0,67620,9660.0,299460.0,-1,0,0
2015-08-10,2015-08-10 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 IW,BELTON SC BUCKEYE TP - 02EM,ULSD,9660,-1,67620,3,14997,3,14997,14997,-1,0,-1,49690,0,w2,14997,0,49690,14490,-1,94668,Out,-1,Out,150%,150,-1,100,140%,140,On Track,-1,Below Trend,08/11 00:00:00 EDT,-1,w2,0,2015-08-13 00:00:00,Contract,-1,Contract,9660,9660,-1,-1,67620,-507,-1,44978,0,-1,0,0,-1,0,3065202,-1,3065203,2015-08-10 22:03:25,2015-08-10 00:00:00,2015-08-10 22:03:25,Mansfield,-1,Mansfield,9660,-1,67620,14490,-1,94668,False,True,0,0,0,0,-507,-1,44978,-1,-1,-1,-1,133.0,0,67620,9660.0,299460.0,-1,0,0
