,date,supplier_name,account_type,supplier_terminal_name,product_name,base_gallons_Daily,base_gallons_Monthly,base_gallons_Weekly,lifted_gallons_daily_flag,lifted_gallons_daily_modified,Modified_WeeksByLiftedGallons,lifted_gallons_modified_WeeksByLiftedGallons,lifted_gallons_Daily,Lifted_actual_monthly,lifted_gallons_monthly_flag,lifted_gallons_Monthly,Lifted_actual_weekly,lifted_gallons_weekly_flag,WeeksByLiftedGallons,lifted_gallonsWeekly_modified_aposteriori,Modified_LiftedGallonsaposteriori,lifted_gallons_Weekly,beginning_gallons_Daily,beginning_gallons_Monthly,beginning_gallons_Weekly,en_allocation_status_Daily,en_allocation_status_Monthly,en_allocation_status_Weekly,percentage_allocation_Daily_actual,percentage_allocation_Daily,percentage_allocation_Monthly_actual,percentage_allocation_Monthly,percentage_allocation_Weekly_actual,percentage_allocation_Weekly,alerts_ratability_Daily,alerts_ratability_Monthly,alerts_ratability_Weekly,next_refresh_date_Daily,next_refresh_date_Monthly,Week_switch,Modified_NRD,next_refresh_date_Weekly,en_account_type_Daily,en_account_type_Monthly,en_account_type_Weekly,NRB_Daily,next_refresh_base_gallons_Daily,NRB_Monthly,next_refresh_base_gallons_Monthly,next_refresh_base_gallons_Weekly,remaining_gallons_Daily,remaining_gallons_Monthly,remaining_gallons_Weekly,additional_gallons_allowed_Daily,additional_gallons_allowed_Monthly,additional_gallons_allowed_Weekly,additional_gallons_remaining_Daily,additional_gallons_remaining_Monthly,additional_gallons_remaining_Weekly,staging_id_Daily,staging_id_Monthly,staging_id_Weekly,execution_date_Daily,execution_date_Monthly,execution_date_Weekly,customer_name_Daily,customer_name_Monthly,customer_name_Weekly,base_gallons_Daily_Reconciled,base_gallons_Monthly_Reconciled,base_gallons_Weekly_Reconciled,beginning_gallons_Daily_Reconciled,beginning_gallons_Monthly_Reconciled,beginning_gallons_Weekly_Reconciled,sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,computedWeekly,sanityComputedWeekly,computedMonthly,sanityComputedMonthly,remaining_gallons_Daily_Reconciled,remaining_gallons_Monthly_Reconciled,remaining_gallons_Weekly_Reconciled,additional_gallons_remaining_Daily_Reconciled,additional_gallons_remaining_Monthly_Reconciled,additional_gallons_remaining_Weekly_Reconciled,Ratability_Monthly,Ratability_Daily,Ratability_Weekly,Synthetic_Base_Weekly,Synthetic_Base_Daily,Synthetic_Base_Monthly,Ratability_Monthly_computed,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
2015-08-01,2015-08-01 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 107413 IW,SPOKANE WA (MOC) - 00KJ,Prem CBOB,533,16512,3729,1,1801,0,1801,1801,1801,0,1801,1801,1,w1,1801,0,1801,533,16512,3729,Out,Out,Out,100%,100,100%,100,100%,100,Above Trend,Above Trend,Above Trend,08/02 00:00:00 PDT,09/01 00:00:00 PDT,w1,0,2015-08-06 00:00:00,Contract,Contract,Contract,533,533,16512,16512,3729,-1268,14711,1928,0,0,0,0,0,0,2567823,2567825,2567824,2015-08-01 22:03:12,2015-08-01 22:03:12,2015-08-01 22:03:12,Mansfield,Mansfield,Mansfield,533,16512,3729,533,16512,3729,True,True,1801,True,0,0,-1268,14711,1928,-1,-1,-1,338.0,400.0,0,3729.0,533.0,16523.0,-1,1,1
2015-08-02,2015-08-02 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 107413 IW,SPOKANE WA (MOC) - 00KJ,Prem CBOB,533,16512,3729,1,0,0,0,0,1801,0,1801,1801,1,w1,0,0,1801,533,16512,3729,Available,Available,Available,100%,100,100%,100,100%,100,Below Trend,Above Trend,On Track,08/03 00:00:00 PDT,09/01 00:00:00 PDT,w1,0,2015-08-06 00:00:00,Contract,Contract,Contract,533,533,16512,16512,3729,533,14711,1928,0,0,0,0,0,0,2613561,2613563,2613562,2015-08-02 22:03:03,2015-08-02 22:03:03,2015-08-02 22:03:03,Mansfield,Mansfield,Mansfield,533,16512,3729,533,16512,3729,True,True,1801,True,0,0,533,14711,1928,-1,-1,-1,169.0,0.0,0,3729.0,533.0,16523.0,-1,1,1
2015-08-03,2015-08-03 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 107413 IW,SPOKANE WA (MOC) - 00KJ,Prem CBOB,533,16512,3729,1,0,0,0,0,1801,0,1801,1801,1,w1,0,0,1801,533,16512,3729,Available,Available,Available,100%,100,100%,100,100%,100,Below Trend,Above Trend,Below Trend,08/04 00:00:00 PDT,09/01 00:00:00 PDT,w1,0,2015-08-06 00:00:00,Contract,Contract,Contract,533,533,16512,16512,3729,533,14711,1928,0,0,0,0,0,0,2668694,2668696,2668695,2015-08-03 22:03:04,2015-08-03 22:03:04,2015-08-03 22:03:04,Mansfield,Mansfield,Mansfield,533,16512,3729,533,16512,3729,True,True,1801,True,0,0,533,14711,1928,-1,-1,-1,113.0,0.0,0,3729.0,533.0,16523.0,-1,1,1
2015-08-04,2015-08-04 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 107413 IW,SPOKANE WA (MOC) - 00KJ,Prem CBOB,533,16512,3729,1,0,0,0,0,1801,0,1801,1801,1,w1,0,0,1801,533,16512,3729,Available,Available,Available,100%,100,100%,100,100%,100,Below Trend,On Track,Below Trend,08/05 00:00:00 PDT,09/01 00:00:00 PDT,w1,0,2015-08-06 00:00:00,Contract,Contract,Contract,533,533,16512,16512,3729,533,14711,1928,0,0,0,0,0,0,2724914,2724916,2724915,2015-08-04 22:00:16,2015-08-04 22:00:16,2015-08-04 22:00:16,Mansfield,Mansfield,Mansfield,533,16512,3729,533,16512,3729,True,True,1801,True,0,0,533,14711,1928,-1,-1,-1,85.0,0.0,0,3729.0,533.0,16523.0,-1,1,1
2015-08-05,2015-08-05 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 107413 IW,SPOKANE WA (MOC) - 00KJ,Prem CBOB,533,16512,3729,1,0,0,0,0,1801,0,1801,1801,1,w1,0,0,1801,533,16512,3729,Available,Available,Available,100%,100,100%,100,100%,100,Below Trend,Below Trend,Below Trend,08/06 00:00:00 PDT,09/01 00:00:00 PDT,w1,0,2015-08-06 00:00:00,Contract,Contract,Contract,533,533,16512,16512,3729,533,14711,1928,0,0,0,0,0,0,2785792,2785794,2785793,2015-08-05 22:02:03,2015-08-05 22:02:03,2015-08-05 22:02:03,Mansfield,Mansfield,Mansfield,533,16512,3729,533,16512,3729,True,True,1801,True,0,0,533,14711,1928,-1,-1,-1,68.0,0.0,0,3729.0,533.0,16523.0,-1,1,1
2015-08-06,2015-08-06 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 107413 IW,SPOKANE WA (MOC) - 00KJ,Prem CBOB,533,16512,3729,1,0,0,0,0,1801,0,1801,0,1,w2,0,0,0,533,16512,3729,Available,Available,Available,100%,100,100%,100,100%,100,Below Trend,Below Trend,Below Trend,08/07 00:00:00 PDT,09/01 00:00:00 PDT,w2,0,2015-08-13 00:00:00,Contract,Contract,Contract,533,533,16512,16512,3729,533,14711,3729,0,0,0,0,0,0,2842745,2842747,2842746,2015-08-06 22:03:08,2015-08-06 22:03:08,2015-08-06 22:03:08,Mansfield,Mansfield,Mansfield,533,16512,3729,533,16512,3729,True,True,0,True,0,0,533,14711,3729,-1,-1,-1,56.0,0.0,0,3729.0,533.0,16523.0,-1,1,1
2015-08-07,2015-08-07 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 107413 IW,SPOKANE WA (MOC) - 00KJ,Prem CBOB,533,16512,3729,1,2001,0,2001,2001,3802,0,3802,2001,1,w2,2001,0,2001,533,16512,3729,Out,Out,Out,100%,100,100%,100,100%,100,Above Trend,On Track,Above Trend,08/08 00:00:00 PDT,09/01 00:00:00 PDT,w2,0,2015-08-13 00:00:00,Contract,Contract,Contract,533,533,16512,16512,3729,-1468,12710,1728,0,0,0,0,0,0,2896214,2896216,2896215,2015-08-07 22:03:06,2015-08-07 22:03:06,2015-08-07 22:03:06,Mansfield,Mansfield,Mansfield,533,16512,3729,533,16512,3729,True,True,2001,True,0,0,-1468,12710,1728,-1,-1,-1,102.0,400.0,0,3729.0,533.0,16523.0,-1,1,1
2015-08-08,2015-08-08 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 107413 IW,SPOKANE WA (MOC) - 00KJ,Prem CBOB,533,16512,3729,1,0,0,0,0,3802,0,3802,2001,1,w2,0,0,2001,533,16512,3729,Available,Available,Available,100%,100,100%,100,100%,100,Below Trend,On Track,Above Trend,08/09 00:00:00 PDT,09/01 00:00:00 PDT,w2,0,2015-08-13 00:00:00,Contract,Contract,Contract,533,533,16512,16512,3729,533,12710,1728,0,0,0,0,0,0,2952815,2952817,2952816,2015-08-08 22:04:41,2015-08-08 22:04:41,2015-08-08 22:04:41,Mansfield,Mansfield,Mansfield,533,16512,3729,533,16512,3729,True,True,2001,True,0,0,533,12710,1728,-1,-1,-1,89.0,0.0,0,3729.0,533.0,16523.0,-1,1,1
2015-08-09,2015-08-09 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 107413 IW,SPOKANE WA (MOC) - 00KJ,Prem CBOB,533,16512,3729,1,0,0,0,0,3802,0,3802,2001,1,w2,0,0,2001,533,16512,3729,Available,Available,Available,100%,100,100%,100,100%,100,Below Trend,On Track,On Track,08/10 00:00:00 PDT,09/01 00:00:00 PDT,w2,0,2015-08-13 00:00:00,Contract,Contract,Contract,533,533,16512,16512,3729,533,12710,1728,0,0,0,0,0,0,3004044,3004046,3004045,2015-08-09 22:03:56,2015-08-09 22:03:56,2015-08-09 22:03:56,Mansfield,Mansfield,Mansfield,533,16512,3729,533,16512,3729,True,True,2001,True,0,0,533,12710,1728,-1,-1,-1,79.0,0.0,0,3729.0,533.0,16523.0,-1,1,1
2015-08-10,2015-08-10 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 107413 IW,SPOKANE WA (MOC) - 00KJ,Prem CBOB,533,16512,3729,1,0,0,0,0,3802,0,3802,2001,1,w2,0,0,2001,533,16512,3729,Available,Available,Available,100%,100,100%,100,100%,100,Below Trend,Below Trend,Below Trend,08/11 00:00:00 PDT,09/01 00:00:00 PDT,w2,0,2015-08-13 00:00:00,Contract,Contract,Contract,533,533,16512,16512,3729,533,12710,1728,0,0,0,0,0,0,3064670,3064672,3064671,2015-08-10 22:04:05,2015-08-10 22:04:05,2015-08-10 22:04:05,Mansfield,Mansfield,Mansfield,533,16512,3729,533,16512,3729,True,True,2001,True,0,0,533,12710,1728,-1,-1,-1,71.0,0.0,0,3729.0,533.0,16523.0,-1,1,1
