,date,supplier_name,account_type,supplier_terminal_name,product_name,base_gallons_Daily,base_gallons_Monthly,base_gallons_Weekly,lifted_gallons_daily_flag,lifted_gallons_daily_modified,Modified_WeeksByLiftedGallons,lifted_gallons_modified_WeeksByLiftedGallons,lifted_gallons_Daily,Lifted_actual_monthly,lifted_gallons_monthly_flag,lifted_gallons_Monthly,Lifted_actual_weekly,lifted_gallons_weekly_flag,WeeksByLiftedGallons,lifted_gallonsWeekly_modified_aposteriori,Modified_LiftedGallonsaposteriori,lifted_gallons_Weekly,beginning_gallons_Daily,beginning_gallons_Monthly,beginning_gallons_Weekly,en_allocation_status_Daily,en_allocation_status_Monthly,en_allocation_status_Weekly,percentage_allocation_Daily_actual,percentage_allocation_Daily,percentage_allocation_Monthly_actual,percentage_allocation_Monthly,percentage_allocation_Weekly_actual,percentage_allocation_Weekly,alerts_ratability_Daily,alerts_ratability_Monthly,alerts_ratability_Weekly,next_refresh_date_Daily,next_refresh_date_Monthly,Week_switch,Modified_NRD,next_refresh_date_Weekly,en_account_type_Daily,en_account_type_Monthly,en_account_type_Weekly,NRB_Daily,next_refresh_base_gallons_Daily,NRB_Monthly,next_refresh_base_gallons_Monthly,next_refresh_base_gallons_Weekly,remaining_gallons_Daily,remaining_gallons_Monthly,remaining_gallons_Weekly,additional_gallons_allowed_Daily,additional_gallons_allowed_Monthly,additional_gallons_allowed_Weekly,additional_gallons_remaining_Daily,additional_gallons_remaining_Monthly,additional_gallons_remaining_Weekly,staging_id_Daily,staging_id_Monthly,staging_id_Weekly,execution_date_Daily,execution_date_Monthly,execution_date_Weekly,customer_name_Daily,customer_name_Monthly,customer_name_Weekly,base_gallons_Daily_Reconciled,base_gallons_Monthly_Reconciled,base_gallons_Weekly_Reconciled,beginning_gallons_Daily_Reconciled,beginning_gallons_Monthly_Reconciled,beginning_gallons_Weekly_Reconciled,sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,computedWeekly,sanityComputedWeekly,computedMonthly,sanityComputedMonthly,remaining_gallons_Daily_Reconciled,remaining_gallons_Monthly_Reconciled,remaining_gallons_Weekly_Reconciled,additional_gallons_remaining_Daily_Reconciled,additional_gallons_remaining_Monthly_Reconciled,additional_gallons_remaining_Weekly_Reconciled,Ratability_Monthly,Ratability_Daily,Ratability_Weekly,Synthetic_Base_Weekly,Synthetic_Base_Daily,Synthetic_Base_Monthly,Ratability_Monthly_computed,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
2015-12-01,2015-12-01 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,CHARLOTTE #2 NC KMSET TP - 00CD,ULSD,110214,-1,771496,3,150249,3,150249,142741,-1,0,-1,537304,0,w1,142741,0,537304,165321,-1,1080094,Available,-1,Available,150%,150,-1,100,140%,140,On Track,-1,Below Trend,12/02 00:00:00 EST,-1,w2,0,2015-12-03 00:00:00,Contract,-1,Contract,110214,110214,-1,-1,771496,22580,-1,542790,0,-1,0,0,-1,0,9237702,-1,9237703,2015-12-01 22:00:20,2015-12-01 00:00:00,2015-12-01 22:00:20,Mansfield,-1,Mansfield,110214,-1,771496,165321,-1,1080094,False,False,150249,False,0,0,15072,-1,542790,-1,-1,-1,-1,133.0,0,771496,110214.0,3416634.0,-1,0,0
2015-12-02,2015-12-02 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,CHARLOTTE #2 NC KMSET TP - 00CD,ULSD,110214,-1,771496,0,136225,0,136225,136225,-1,0,-1,681037,0,w1,136225,0,681037,165321,-1,1080094,Available,-1,Available,150%,150,-1,100,140%,140,On Track,-1,Below Trend,12/03 00:00:00 EST,-1,w2,0,2015-12-03 00:00:00,Contract,-1,Contract,110214,110214,-1,-1,771496,29096,-1,399057,0,-1,0,0,-1,0,9292312,-1,9292313,2015-12-02 22:04:50,2015-12-02 00:00:00,2015-12-02 22:04:50,Mansfield,-1,Mansfield,110214,-1,771496,165321,-1,1080094,True,True,286474,False,0,0,29096,-1,399057,-1,-1,-1,-1,133.0,0,771496,110214.0,3416634.0,-1,0,0
2015-12-03,2015-12-03 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,CHARLOTTE #2 NC KMSET TP - 00CD,ULSD,110214,-1,771496,3,135958,3,135958,128358,-1,0,-1,128358,0,w2,128358,0,128358,165321,-1,1080094,Available,-1,Available,150%,150,-1,100,140%,140,On Track,-1,On Track,12/04 00:00:00 EST,-1,w3,0,2015-12-10 00:00:00,Contract,-1,Contract,110214,110214,-1,-1,771496,36963,-1,951736,0,-1,0,0,-1,0,9345583,-1,9345584,2015-12-03 22:04:58,2015-12-03 00:00:00,2015-12-03 22:04:58,Mansfield,-1,Mansfield,110214,-1,771496,165321,-1,1080094,False,False,135958,True,0,0,29363,-1,951736,-1,-1,-1,-1,133.0,0,771496,110214.0,3416634.0,-1,0,0
2015-12-04,2015-12-04 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,CHARLOTTE #2 NC KMSET TP - 00CD,ULSD,110214,-1,771496,3,121125,3,121125,121125,-1,0,-1,257083,0,w2,121125,0,257083,165321,-1,1080094,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,On Track,12/05 00:00:00 EST,-1,w3,0,2015-12-10 00:00:00,Contract,-1,Contract,110214,110214,-1,-1,771496,44196,-1,823011,0,-1,0,0,-1,0,9398725,-1,9398726,2015-12-04 22:05:01,2015-12-04 00:00:00,2015-12-04 22:05:01,Mansfield,-1,Mansfield,110214,-1,771496,165321,-1,1080094,True,True,257083,True,0,0,44196,-1,823011,-1,-1,-1,-1,133.0,0,771496,110214.0,3416634.0,-1,0,0
2015-12-05,2015-12-05 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,CHARLOTTE #2 NC KMSET TP - 00CD,ULSD,110214,-1,771496,3,53108,3,53108,53108,-1,0,-1,310191,0,w2,53108,0,310191,165321,-1,1080094,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,12/06 00:00:00 EST,-1,w3,0,2015-12-10 00:00:00,Contract,-1,Contract,110214,110214,-1,-1,771496,112213,-1,769903,0,-1,0,0,-1,0,9451296,-1,9451297,2015-12-05 22:05:01,2015-12-05 00:00:00,2015-12-05 22:05:01,Mansfield,-1,Mansfield,110214,-1,771496,165321,-1,1080094,True,True,310191,True,0,0,112213,-1,769903,-1,-1,-1,-1,0.0,0,771496,110214.0,3416634.0,-1,0,0
2015-12-06,2015-12-06 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,CHARLOTTE #2 NC KMSET TP - 00CD,ULSD,110214,-1,771496,3,83613,3,83613,68413,-1,0,-1,378604,0,w2,68413,0,378604,165321,-1,1080094,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,12/07 00:00:00 EST,-1,w3,0,2015-12-10 00:00:00,Contract,-1,Contract,110214,110214,-1,-1,771496,96908,-1,701490,0,-1,0,0,-1,0,9488606,-1,9488607,2015-12-06 22:05:02,2015-12-06 00:00:00,2015-12-06 22:05:02,Mansfield,-1,Mansfield,110214,-1,771496,165321,-1,1080094,False,False,393804,True,0,0,81708,-1,701490,-1,-1,-1,-1,0.0,0,771496,110214.0,3416634.0,-1,0,0
2015-12-07,2015-12-07 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,CHARLOTTE #2 NC KMSET TP - 00CD,ULSD,110214,-1,771496,3,106029,3,106029,90921,-1,0,-1,484725,0,w2,90921,0,484725,165321,-1,1080094,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,12/08 00:00:00 EST,-1,w3,0,2015-12-10 00:00:00,Contract,-1,Contract,110214,110214,-1,-1,771496,74400,-1,595369,0,-1,0,0,-1,0,9533181,-1,9533182,2015-12-07 22:04:27,2015-12-07 00:00:00,2015-12-07 22:04:27,Mansfield,-1,Mansfield,110214,-1,771496,165321,-1,1080094,False,False,499833,True,0,0,59292,-1,595369,-1,-1,-1,-1,0.0,0,771496,110214.0,3416634.0,-1,0,0
2015-12-08,2015-12-08 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,CHARLOTTE #2 NC KMSET TP - 00CD,ULSD,110214,-1,771496,3,136424,3,136424,136424,-1,0,-1,636257,0,w2,136424,0,636257,165321,-1,1080094,Available,-1,Available,150%,150,-1,100,140%,140,On Track,-1,Below Trend,12/09 00:00:00 EST,-1,w3,0,2015-12-10 00:00:00,Contract,-1,Contract,110214,110214,-1,-1,771496,28897,-1,443837,0,-1,0,0,-1,0,9585189,-1,9585190,2015-12-08 22:04:58,2015-12-08 00:00:00,2015-12-08 22:04:58,Mansfield,-1,Mansfield,110214,-1,771496,165321,-1,1080094,True,True,636257,True,0,0,28897,-1,443837,-1,-1,-1,-1,133.0,0,771496,110214.0,3416634.0,-1,0,0
2015-12-09,2015-12-09 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,CHARLOTTE #2 NC KMSET TP - 00CD,ULSD,110214,-1,771496,0,113724,0,113724,113724,-1,0,-1,749981,0,w2,113724,0,749981,165321,-1,1080094,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,12/10 00:00:00 EST,-1,w3,0,2015-12-10 00:00:00,Contract,-1,Contract,110214,110214,-1,-1,771496,51597,-1,330113,0,-1,0,0,-1,0,9636030,-1,9636031,2015-12-09 22:03:11,2015-12-09 00:00:00,2015-12-09 22:03:11,Mansfield,-1,Mansfield,110214,-1,771496,165321,-1,1080094,True,True,749981,True,0,0,51597,-1,330113,-1,-1,-1,-1,133.0,0,771496,110214.0,3416634.0,-1,0,0
2015-12-10,2015-12-10 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,CHARLOTTE #2 NC KMSET TP - 00CD,ULSD,110214,-1,771496,0,144012,0,144012,144012,-1,0,-1,144012,0,w3,144012,0,144012,165321,-1,1080094,Available,-1,Available,150%,150,-1,100,140%,140,On Track,-1,On Track,12/11 00:00:00 EST,-1,w4,0,2015-12-17 00:00:00,Contract,-1,Contract,110214,110214,-1,-1,771496,21309,-1,936082,0,-1,0,0,-1,0,9678782,-1,9678783,2015-12-10 23:52:44,2015-12-10 00:00:00,2015-12-10 23:52:44,Mansfield,-1,Mansfield,110214,-1,771496,165321,-1,1080094,True,True,0,0,0,0,21309,-1,936082,-1,-1,-1,-1,133.0,0,771496,110214.0,3416634.0,-1,0,0
