,date,supplier_name,account_type,supplier_terminal_name,product_name,base_gallons_Daily,base_gallons_Monthly,base_gallons_Weekly,lifted_gallons_daily_flag,lifted_gallons_daily_modified,Modified_WeeksByLiftedGallons,lifted_gallons_modified_WeeksByLiftedGallons,lifted_gallons_Daily,Lifted_actual_monthly,lifted_gallons_monthly_flag,lifted_gallons_Monthly,Lifted_actual_weekly,lifted_gallons_weekly_flag,WeeksByLiftedGallons,lifted_gallonsWeekly_modified_aposteriori,Modified_LiftedGallonsaposteriori,lifted_gallons_Weekly,beginning_gallons_Daily,beginning_gallons_Monthly,beginning_gallons_Weekly,en_allocation_status_Daily,en_allocation_status_Monthly,en_allocation_status_Weekly,percentage_allocation_Daily_actual,percentage_allocation_Daily,percentage_allocation_Monthly_actual,percentage_allocation_Monthly,percentage_allocation_Weekly_actual,percentage_allocation_Weekly,alerts_ratability_Daily,alerts_ratability_Monthly,alerts_ratability_Weekly,next_refresh_date_Daily,next_refresh_date_Monthly,Week_switch,Modified_NRD,next_refresh_date_Weekly,en_account_type_Daily,en_account_type_Monthly,en_account_type_Weekly,NRB_Daily,next_refresh_base_gallons_Daily,NRB_Monthly,next_refresh_base_gallons_Monthly,next_refresh_base_gallons_Weekly,remaining_gallons_Daily,remaining_gallons_Monthly,remaining_gallons_Weekly,additional_gallons_allowed_Daily,additional_gallons_allowed_Monthly,additional_gallons_allowed_Weekly,additional_gallons_remaining_Daily,additional_gallons_remaining_Monthly,additional_gallons_remaining_Weekly,staging_id_Daily,staging_id_Monthly,staging_id_Weekly,execution_date_Daily,execution_date_Monthly,execution_date_Weekly,customer_name_Daily,customer_name_Monthly,customer_name_Weekly,base_gallons_Daily_Reconciled,base_gallons_Monthly_Reconciled,base_gallons_Weekly_Reconciled,beginning_gallons_Daily_Reconciled,beginning_gallons_Monthly_Reconciled,beginning_gallons_Weekly_Reconciled,sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,computedWeekly,sanityComputedWeekly,computedMonthly,sanityComputedMonthly,remaining_gallons_Daily_Reconciled,remaining_gallons_Monthly_Reconciled,remaining_gallons_Weekly_Reconciled,additional_gallons_remaining_Daily_Reconciled,additional_gallons_remaining_Monthly_Reconciled,additional_gallons_remaining_Weekly_Reconciled,Ratability_Monthly,Ratability_Daily,Ratability_Weekly,Synthetic_Base_Weekly,Synthetic_Base_Daily,Synthetic_Base_Monthly,Ratability_Monthly_computed,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
2015-12-01,2015-12-01 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,IRVING TX (MOC) - 00MA,ULSD,20531,-1,143716,3,36104,3,36104,36104,-1,0,-1,74756,0,w1,36104,0,74756,30797,-1,201202,Available,-1,Available,150%,150,-1,100,140%,140,Above Trend,-1,Below Trend,12/02 00:00:00 CST,-1,w2,0,2015-12-03 00:00:00,Contract,-1,Contract,20531,20531,-1,-1,143716,-5308,-1,126446,1500,-1,1500,1500,-1,1500,9237726,-1,9237727,2015-12-01 22:00:20,2015-12-01 00:00:00,2015-12-01 22:00:20,Mansfield,-1,Mansfield,20531,-1,143716,30796,-1,201202,True,True,36104,False,0,0,-5307,-1,126446,1500,-1,-1,-1,133.0,0,143716,20531.0,636461.0,-1,0,0
2015-12-02,2015-12-02 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,IRVING TX (MOC) - 00MA,ULSD,20531,-1,143716,0,15001,0,15001,15001,-1,0,-1,89757,0,w1,15001,0,89757,30797,-1,201202,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,12/03 00:00:00 CST,-1,w2,0,2015-12-03 00:00:00,Contract,-1,Contract,20531,20531,-1,-1,143716,15796,-1,111445,0,-1,0,0,-1,0,9292336,-1,9292337,2015-12-02 22:04:50,2015-12-02 00:00:00,2015-12-02 22:04:50,Mansfield,-1,Mansfield,20531,-1,143716,30797,-1,201202,True,True,51105,False,0,0,15796,-1,111445,-1,-1,-1,-1,0.0,0,143716,20531.0,636461.0,-1,0,0
2015-12-03,2015-12-03 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,IRVING TX (MOC) - 00MA,ULSD,20531,-1,143716,3,22398,3,22398,23898,-1,0,-1,23898,0,w2,23898,0,23898,30797,-1,201202,Available,-1,Available,150%,150,-1,100,140%,140,On Track,-1,On Track,12/04 00:00:00 CST,-1,w3,0,2015-12-10 00:00:00,Contract,-1,Contract,20531,20531,-1,-1,143716,6899,-1,177304,0,-1,0,0,-1,0,9345607,-1,9345608,2015-12-03 22:04:58,2015-12-03 00:00:00,2015-12-03 22:04:58,Mansfield,-1,Mansfield,20531,-1,143716,30797,-1,201202,False,False,22398,True,0,0,8399,-1,177304,-1,-1,-1,-1,133.0,0,143716,20531.0,636461.0,-1,0,0
2015-12-04,2015-12-04 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,IRVING TX (MOC) - 00MA,ULSD,20531,-1,143716,3,8875,3,8875,8875,-1,0,-1,31273,0,w2,8875,0,31273,30797,-1,201202,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,12/05 00:00:00 CST,-1,w3,0,2015-12-10 00:00:00,Contract,-1,Contract,20531,20531,-1,-1,143716,21922,-1,169929,0,-1,0,0,-1,0,9398749,-1,9398750,2015-12-04 22:05:01,2015-12-04 00:00:00,2015-12-04 22:05:01,Mansfield,-1,Mansfield,20531,-1,143716,30797,-1,201202,True,True,31273,True,0,0,21922,-1,169929,-1,-1,-1,-1,0.0,0,143716,20531.0,636461.0,-1,0,0
2015-12-05,2015-12-05 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,IRVING TX (MOC) - 00MA,ULSD,20531,-1,143716,3,15001,3,15001,15001,-1,0,-1,46274,0,w2,15001,0,46274,30797,-1,201202,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,12/06 00:00:00 CST,-1,w3,0,2015-12-10 00:00:00,Contract,-1,Contract,20531,20531,-1,-1,143716,15796,-1,154928,0,-1,0,0,-1,0,9451320,-1,9451321,2015-12-05 22:05:01,2015-12-05 00:00:00,2015-12-05 22:05:01,Mansfield,-1,Mansfield,20531,-1,143716,30797,-1,201202,True,True,46274,True,0,0,15796,-1,154928,-1,-1,-1,-1,0.0,0,143716,20531.0,636461.0,-1,0,0
2015-12-06,2015-12-06 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,IRVING TX (MOC) - 00MA,ULSD,20531,-1,143716,3,0,3,0,0,-1,0,-1,46274,0,w2,0,0,46274,30797,-1,201202,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,12/07 00:00:00 CST,-1,w3,0,2015-12-10 00:00:00,Contract,-1,Contract,20531,20531,-1,-1,143716,30797,-1,154928,0,-1,0,0,-1,0,9488630,-1,9488631,2015-12-06 22:05:02,2015-12-06 00:00:00,2015-12-06 22:05:02,Mansfield,-1,Mansfield,20531,-1,143716,30797,-1,201202,True,True,46274,True,0,0,30797,-1,154928,-1,-1,-1,-1,0.0,0,143716,20531.0,636461.0,-1,0,0
2015-12-07,2015-12-07 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,IRVING TX (MOC) - 00MA,ULSD,20531,-1,143716,3,10400,3,10400,10400,-1,0,-1,56674,0,w2,10400,0,56674,30797,-1,201202,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,12/08 00:00:00 CST,-1,w3,0,2015-12-10 00:00:00,Contract,-1,Contract,20531,20531,-1,-1,143716,20397,-1,144528,0,-1,0,0,-1,0,9533205,-1,9533206,2015-12-07 22:04:27,2015-12-07 00:00:00,2015-12-07 22:04:27,Mansfield,-1,Mansfield,20531,-1,143716,30797,-1,201202,True,True,56674,True,0,0,20397,-1,144528,-1,-1,-1,-1,0.0,0,143716,20531.0,636461.0,-1,0,0
2015-12-08,2015-12-08 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,IRVING TX (MOC) - 00MA,ULSD,20531,-1,143716,3,23577,3,23577,23577,-1,0,-1,80251,0,w2,23577,0,80251,30797,-1,201202,Available,-1,Available,150%,150,-1,100,140%,140,On Track,-1,Below Trend,12/09 00:00:00 CST,-1,w3,0,2015-12-10 00:00:00,Contract,-1,Contract,20531,20531,-1,-1,143716,7220,-1,120951,0,-1,0,0,-1,0,9585213,-1,9585214,2015-12-08 22:04:58,2015-12-08 00:00:00,2015-12-08 22:04:58,Mansfield,-1,Mansfield,20531,-1,143716,30797,-1,201202,True,True,80251,True,0,0,7220,-1,120951,-1,-1,-1,-1,133.0,0,143716,20531.0,636461.0,-1,0,0
2015-12-09,2015-12-09 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,IRVING TX (MOC) - 00MA,ULSD,20531,-1,143716,0,23577,0,23577,23577,-1,0,-1,103828,0,w2,23577,0,103828,30797,-1,201202,Available,-1,Available,150%,150,-1,100,140%,140,On Track,-1,Below Trend,12/10 00:00:00 CST,-1,w3,0,2015-12-10 00:00:00,Contract,-1,Contract,20531,20531,-1,-1,143716,7220,-1,97374,0,-1,0,0,-1,0,9636054,-1,9636055,2015-12-09 22:03:11,2015-12-09 00:00:00,2015-12-09 22:03:11,Mansfield,-1,Mansfield,20531,-1,143716,30797,-1,201202,True,True,103828,True,0,0,7220,-1,97374,-1,-1,-1,-1,133.0,0,143716,20531.0,636461.0,-1,0,0
2015-12-10,2015-12-10 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,IRVING TX (MOC) - 00MA,ULSD,20531,-1,143716,0,30699,0,30699,30699,-1,0,-1,30699,0,w3,30699,0,30699,30797,-1,201202,Available,-1,Available,150%,150,-1,100,140%,140,On Track,-1,On Track,12/11 00:00:00 CST,-1,w4,0,2015-12-17 00:00:00,Contract,-1,Contract,20531,20531,-1,-1,143716,98,-1,170503,0,-1,0,0,-1,0,9678806,-1,9678807,2015-12-10 23:52:44,2015-12-10 00:00:00,2015-12-10 23:52:44,Mansfield,-1,Mansfield,20531,-1,143716,30797,-1,201202,True,True,0,0,0,0,98,-1,170503,-1,-1,-1,-1,133.0,0,143716,20531.0,636461.0,-1,0,0
