,date,supplier_name,account_type,supplier_terminal_name,product_name,base_gallons_Daily,base_gallons_Monthly,base_gallons_Weekly,lifted_gallons_daily_flag,lifted_gallons_daily_modified,Modified_WeeksByLiftedGallons,lifted_gallons_modified_WeeksByLiftedGallons,lifted_gallons_Daily,Lifted_actual_monthly,lifted_gallons_monthly_flag,lifted_gallons_Monthly,Lifted_actual_weekly,lifted_gallons_weekly_flag,WeeksByLiftedGallons,lifted_gallonsWeekly_modified_aposteriori,Modified_LiftedGallonsaposteriori,lifted_gallons_Weekly,beginning_gallons_Daily,beginning_gallons_Monthly,beginning_gallons_Weekly,en_allocation_status_Daily,en_allocation_status_Monthly,en_allocation_status_Weekly,percentage_allocation_Daily_actual,percentage_allocation_Daily,percentage_allocation_Monthly_actual,percentage_allocation_Monthly,percentage_allocation_Weekly_actual,percentage_allocation_Weekly,alerts_ratability_Daily,alerts_ratability_Monthly,alerts_ratability_Weekly,next_refresh_date_Daily,next_refresh_date_Monthly,Week_switch,Modified_NRD,next_refresh_date_Weekly,en_account_type_Daily,en_account_type_Monthly,en_account_type_Weekly,NRB_Daily,next_refresh_base_gallons_Daily,NRB_Monthly,next_refresh_base_gallons_Monthly,next_refresh_base_gallons_Weekly,remaining_gallons_Daily,remaining_gallons_Monthly,remaining_gallons_Weekly,additional_gallons_allowed_Daily,additional_gallons_allowed_Monthly,additional_gallons_allowed_Weekly,additional_gallons_remaining_Daily,additional_gallons_remaining_Monthly,additional_gallons_remaining_Weekly,staging_id_Daily,staging_id_Monthly,staging_id_Weekly,execution_date_Daily,execution_date_Monthly,execution_date_Weekly,customer_name_Daily,customer_name_Monthly,customer_name_Weekly,base_gallons_Daily_Reconciled,base_gallons_Monthly_Reconciled,base_gallons_Weekly_Reconciled,beginning_gallons_Daily_Reconciled,beginning_gallons_Monthly_Reconciled,beginning_gallons_Weekly_Reconciled,sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,computedWeekly,sanityComputedWeekly,computedMonthly,sanityComputedMonthly,remaining_gallons_Daily_Reconciled,remaining_gallons_Monthly_Reconciled,remaining_gallons_Weekly_Reconciled,additional_gallons_remaining_Daily_Reconciled,additional_gallons_remaining_Monthly_Reconciled,additional_gallons_remaining_Weekly_Reconciled,Ratability_Monthly,Ratability_Daily,Ratability_Weekly,Synthetic_Base_Weekly,Synthetic_Base_Daily,Synthetic_Base_Monthly,Ratability_Monthly_computed,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
2015-12-01,2015-12-01 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,LAS VEGAS NV PRO-PETRO TP - 02BZ,ULSD,4390,-1,-1,0,13164,0,13164,13164,-1,0,-1,-1,0,w1,13164,0,-1,4390,-1,-1,Out,-1,-1,100%,100,-1,100,-1,-1,Above Trend,-1,-1,12/02 00:00:00 PST,-1,w2,1,2015-12-03 00:00:00,Contract,-1,-1,4390,4390,-1,-1,-1,-8774,-1,-1,0,-1,-1,0,-1,-1,9237730,-1,-1,2015-12-01 00:00:00,2015-12-01 00:00:00,2015-12-01 00:00:00,Mansfield,-1,-1,4390,-1,-1,4390,-1,-1,False,False,13164,False,0,0,-8774,-1,-1,-1,-1,-1,-1,0.0,-1,30730,4390.0,136090.0,-1,0,0
2015-12-02,2015-12-02 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,LAS VEGAS NV PRO-PETRO TP - 02BZ,ULSD,4390,-1,-1,0,2000,0,2000,2000,-1,0,-1,-1,0,w1,2000,0,-1,4390,-1,-1,Available,-1,-1,100%,100,-1,100,-1,-1,Below Trend,-1,-1,12/03 00:00:00 PST,-1,w2,1,2015-12-03 00:00:00,Contract,-1,-1,4390,4390,-1,-1,-1,2390,-1,-1,0,-1,-1,0,-1,-1,9292340,-1,-1,2015-12-02 00:00:00,2015-12-02 00:00:00,2015-12-02 00:00:00,Mansfield,-1,-1,4390,-1,-1,4390,-1,-1,False,False,15164,False,0,0,2390,-1,-1,-1,-1,-1,-1,0.0,-1,30730,4390.0,136090.0,-1,0,0
2015-12-03,2015-12-03 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,LAS VEGAS NV PRO-PETRO TP - 02BZ,ULSD,4390,-1,-1,0,9005,0,9005,9005,-1,0,-1,-1,0,w1,9005,0,-1,4390,-1,-1,Out,-1,-1,100%,100,-1,100,-1,-1,Above Trend,-1,-1,12/04 00:00:00 PST,-1,w3,1,2015-12-10 00:00:00,Contract,-1,-1,4390,4390,-1,-1,-1,-4615,-1,-1,0,-1,-1,0,-1,-1,9345611,-1,-1,2015-12-03 00:00:00,2015-12-03 00:00:00,2015-12-03 00:00:00,Mansfield,-1,-1,4390,-1,-1,4390,-1,-1,False,False,9005,False,0,0,-4615,-1,-1,-1,-1,-1,-1,0.0,-1,30730,4390.0,136090.0,-1,0,0
2015-12-04,2015-12-04 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,LAS VEGAS NV PRO-PETRO TP - 02BZ,ULSD,4390,-1,-1,0,1930,0,1930,1930,-1,0,-1,-1,0,w1,1930,0,-1,4390,-1,-1,Available,-1,-1,100%,100,-1,100,-1,-1,Below Trend,-1,-1,12/05 00:00:00 PST,-1,w3,1,2015-12-10 00:00:00,Contract,-1,-1,4390,4390,-1,-1,-1,2460,-1,-1,0,-1,-1,0,-1,-1,9398753,-1,-1,2015-12-04 00:00:00,2015-12-04 00:00:00,2015-12-04 00:00:00,Mansfield,-1,-1,4390,-1,-1,4390,-1,-1,False,False,10935,False,0,0,2460,-1,-1,-1,-1,-1,-1,0.0,-1,30730,4390.0,136090.0,-1,0,0
2015-12-05,2015-12-05 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,LAS VEGAS NV PRO-PETRO TP - 02BZ,ULSD,4390,-1,-1,0,2220,0,2220,2220,-1,0,-1,-1,0,w1,2220,0,-1,4390,-1,-1,Available,-1,-1,100%,100,-1,100,-1,-1,Below Trend,-1,-1,12/06 00:00:00 PST,-1,w3,1,2015-12-10 00:00:00,Contract,-1,-1,4390,4390,-1,-1,-1,2170,-1,-1,0,-1,-1,0,-1,-1,9451324,-1,-1,2015-12-05 00:00:00,2015-12-05 00:00:00,2015-12-05 00:00:00,Mansfield,-1,-1,4390,-1,-1,4390,-1,-1,False,False,13155,False,0,0,2170,-1,-1,-1,-1,-1,-1,0.0,-1,30730,4390.0,136090.0,-1,0,0
2015-12-06,2015-12-06 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,LAS VEGAS NV PRO-PETRO TP - 02BZ,ULSD,4390,-1,-1,0,0,0,0,0,-1,0,-1,-1,0,w1,0,0,-1,4390,-1,-1,Available,-1,-1,100%,100,-1,100,-1,-1,Below Trend,-1,-1,12/07 00:00:00 PST,-1,w3,1,2015-12-10 00:00:00,Contract,-1,-1,4390,4390,-1,-1,-1,4390,-1,-1,0,-1,-1,0,-1,-1,9488634,-1,-1,2015-12-06 00:00:00,2015-12-06 00:00:00,2015-12-06 00:00:00,Mansfield,-1,-1,4390,-1,-1,4390,-1,-1,False,False,13155,False,0,0,4390,-1,-1,-1,-1,-1,-1,0.0,-1,30730,4390.0,136090.0,-1,0,0
2015-12-07,2015-12-07 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,LAS VEGAS NV PRO-PETRO TP - 02BZ,ULSD,4390,-1,-1,0,0,0,0,0,-1,0,-1,-1,0,w1,0,0,-1,4390,-1,-1,Available,-1,-1,100%,100,-1,100,-1,-1,Below Trend,-1,-1,12/08 00:00:00 PST,-1,w3,1,2015-12-10 00:00:00,Contract,-1,-1,4390,4390,-1,-1,-1,4390,-1,-1,0,-1,-1,0,-1,-1,9533209,-1,-1,2015-12-07 00:00:00,2015-12-07 00:00:00,2015-12-07 00:00:00,Mansfield,-1,-1,4390,-1,-1,4390,-1,-1,False,False,13155,False,0,0,4390,-1,-1,-1,-1,-1,-1,0.0,-1,30730,4390.0,136090.0,-1,0,0
2015-12-08,2015-12-08 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,LAS VEGAS NV PRO-PETRO TP - 02BZ,ULSD,4390,-1,-1,0,9004,0,9004,9004,-1,0,-1,-1,0,w1,9004,0,-1,4390,-1,-1,Out,-1,-1,100%,100,-1,100,-1,-1,Above Trend,-1,-1,12/09 00:00:00 PST,-1,w3,1,2015-12-10 00:00:00,Contract,-1,-1,4390,4390,-1,-1,-1,-4614,-1,-1,0,-1,-1,0,-1,-1,9585217,-1,-1,2015-12-08 00:00:00,2015-12-08 00:00:00,2015-12-08 00:00:00,Mansfield,-1,-1,4390,-1,-1,4390,-1,-1,False,False,22159,False,0,0,-4614,-1,-1,-1,-1,-1,-1,0.0,-1,30730,4390.0,136090.0,-1,0,0
2015-12-09,2015-12-09 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,LAS VEGAS NV PRO-PETRO TP - 02BZ,ULSD,4390,-1,-1,0,1900,0,1900,1900,-1,0,-1,-1,0,w1,1900,0,-1,4390,-1,-1,Available,-1,-1,100%,100,-1,100,-1,-1,Below Trend,-1,-1,12/10 00:00:00 PST,-1,w3,1,2015-12-10 00:00:00,Contract,-1,-1,4390,4390,-1,-1,-1,2490,-1,-1,0,-1,-1,0,-1,-1,9636058,-1,-1,2015-12-09 00:00:00,2015-12-09 00:00:00,2015-12-09 00:00:00,Mansfield,-1,-1,4390,-1,-1,4390,-1,-1,False,False,24059,False,0,0,2490,-1,-1,-1,-1,-1,-1,0.0,-1,30730,4390.0,136090.0,-1,0,0
2015-12-10,2015-12-10 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,LAS VEGAS NV PRO-PETRO TP - 02BZ,ULSD,4390,-1,-1,0,5454,0,5454,5454,-1,0,-1,-1,0,w1,5454,0,-1,4390,-1,-1,Out,-1,-1,100%,100,-1,100,-1,-1,Above Trend,-1,-1,12/11 00:00:00 PST,-1,w4,1,2015-12-17 00:00:00,Contract,-1,-1,4390,4390,-1,-1,-1,-1064,-1,-1,0,-1,-1,0,-1,-1,9678810,-1,-1,2015-12-10 00:00:00,2015-12-10 00:00:00,2015-12-10 00:00:00,Mansfield,-1,-1,4390,-1,-1,4390,-1,-1,False,False,0,0,0,0,-1064,-1,-1,-1,-1,-1,-1,0.0,-1,30730,4390.0,136090.0,-1,0,0
