,date,supplier_name,account_type,supplier_terminal_name,product_name,base_gallons_Daily,base_gallons_Monthly,base_gallons_Weekly,lifted_gallons_daily_flag,lifted_gallons_daily_modified,Modified_WeeksByLiftedGallons,lifted_gallons_modified_WeeksByLiftedGallons,lifted_gallons_Daily,Lifted_actual_monthly,lifted_gallons_monthly_flag,lifted_gallons_Monthly,Lifted_actual_weekly,lifted_gallons_weekly_flag,WeeksByLiftedGallons,lifted_gallonsWeekly_modified_aposteriori,Modified_LiftedGallonsaposteriori,lifted_gallons_Weekly,beginning_gallons_Daily,beginning_gallons_Monthly,beginning_gallons_Weekly,en_allocation_status_Daily,en_allocation_status_Monthly,en_allocation_status_Weekly,percentage_allocation_Daily_actual,percentage_allocation_Daily,percentage_allocation_Monthly_actual,percentage_allocation_Monthly,percentage_allocation_Weekly_actual,percentage_allocation_Weekly,alerts_ratability_Daily,alerts_ratability_Monthly,alerts_ratability_Weekly,next_refresh_date_Daily,next_refresh_date_Monthly,Week_switch,Modified_NRD,next_refresh_date_Weekly,en_account_type_Daily,en_account_type_Monthly,en_account_type_Weekly,NRB_Daily,next_refresh_base_gallons_Daily,NRB_Monthly,next_refresh_base_gallons_Monthly,next_refresh_base_gallons_Weekly,remaining_gallons_Daily,remaining_gallons_Monthly,remaining_gallons_Weekly,additional_gallons_allowed_Daily,additional_gallons_allowed_Monthly,additional_gallons_allowed_Weekly,additional_gallons_remaining_Daily,additional_gallons_remaining_Monthly,additional_gallons_remaining_Weekly,staging_id_Daily,staging_id_Monthly,staging_id_Weekly,execution_date_Daily,execution_date_Monthly,execution_date_Weekly,customer_name_Daily,customer_name_Monthly,customer_name_Weekly,base_gallons_Daily_Reconciled,base_gallons_Monthly_Reconciled,base_gallons_Weekly_Reconciled,beginning_gallons_Daily_Reconciled,beginning_gallons_Monthly_Reconciled,beginning_gallons_Weekly_Reconciled,sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,computedWeekly,sanityComputedWeekly,computedMonthly,sanityComputedMonthly,remaining_gallons_Daily_Reconciled,remaining_gallons_Monthly_Reconciled,remaining_gallons_Weekly_Reconciled,additional_gallons_remaining_Daily_Reconciled,additional_gallons_remaining_Monthly_Reconciled,additional_gallons_remaining_Weekly_Reconciled,Ratability_Monthly,Ratability_Daily,Ratability_Weekly,Synthetic_Base_Weekly,Synthetic_Base_Daily,Synthetic_Base_Monthly,Ratability_Monthly_computed,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
2015-12-01,2015-12-01 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,PORT EVERGLADES FL TRMNT TP - 02QE,ULSD,41814,-1,-1,0,65000,0,65000,65000,-1,0,-1,-1,0,w1,65000,0,-1,41814,-1,-1,Out,-1,-1,100%,100,-1,100,-1,-1,Above Trend,-1,-1,12/02 00:00:00 EST,-1,w2,1,2015-12-03 00:00:00,Contract,-1,-1,41814,41814,-1,-1,-1,-23186,-1,-1,0,-1,-1,0,-1,-1,9237768,-1,-1,2015-12-01 00:00:00,2015-12-01 00:00:00,2015-12-01 00:00:00,Mansfield,-1,-1,41814,-1,-1,41814,-1,-1,False,False,65000,False,0,0,-23186,-1,-1,-1,-1,-1,-1,0.0,-1,292698,41814.0,1296234.0,-1,0,0
2015-12-02,2015-12-02 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,PORT EVERGLADES FL TRMNT TP - 02QE,ULSD,41814,-1,-1,0,43000,0,43000,43000,-1,0,-1,-1,0,w1,43000,0,-1,41814,-1,-1,Out,-1,-1,100%,100,-1,100,-1,-1,On Track,-1,-1,12/03 00:00:00 EST,-1,w2,1,2015-12-03 00:00:00,Contract,-1,-1,41814,41814,-1,-1,-1,-1186,-1,-1,0,-1,-1,0,-1,-1,9292376,-1,-1,2015-12-02 00:00:00,2015-12-02 00:00:00,2015-12-02 00:00:00,Mansfield,-1,-1,41814,-1,-1,41814,-1,-1,False,False,108000,False,0,0,-1186,-1,-1,-1,-1,-1,-1,0.0,-1,292698,41814.0,1296234.0,-1,0,0
2015-12-03,2015-12-03 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,PORT EVERGLADES FL TRMNT TP - 02QE,ULSD,41814,-1,-1,0,44999,0,44999,44999,-1,0,-1,-1,0,w1,44999,0,-1,41814,-1,-1,Out,-1,-1,100%,100,-1,100,-1,-1,On Track,-1,-1,12/04 00:00:00 EST,-1,w3,1,2015-12-10 00:00:00,Contract,-1,-1,41814,41814,-1,-1,-1,-3185,-1,-1,0,-1,-1,0,-1,-1,9345647,-1,-1,2015-12-03 00:00:00,2015-12-03 00:00:00,2015-12-03 00:00:00,Mansfield,-1,-1,41814,-1,-1,41814,-1,-1,False,False,44999,False,0,0,-3185,-1,-1,-1,-1,-1,-1,0.0,-1,292698,41814.0,1296234.0,-1,0,0
2015-12-04,2015-12-04 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,PORT EVERGLADES FL TRMNT TP - 02QE,ULSD,41814,-1,-1,0,46500,0,46500,46500,-1,0,-1,-1,0,w1,46500,0,-1,41814,-1,-1,Out,-1,-1,100%,100,-1,100,-1,-1,Above Trend,-1,-1,12/05 00:00:00 EST,-1,w3,1,2015-12-10 00:00:00,Contract,-1,-1,41814,41814,-1,-1,-1,-4686,-1,-1,0,-1,-1,0,-1,-1,9398789,-1,-1,2015-12-04 00:00:00,2015-12-04 00:00:00,2015-12-04 00:00:00,Mansfield,-1,-1,41814,-1,-1,41814,-1,-1,False,False,91499,False,0,0,-4686,-1,-1,-1,-1,-1,-1,0.0,-1,292698,41814.0,1296234.0,-1,0,0
2015-12-05,2015-12-05 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,PORT EVERGLADES FL TRMNT TP - 02QE,ULSD,41814,-1,-1,0,30000,0,30000,30000,-1,0,-1,-1,0,w1,30000,0,-1,41814,-1,-1,Available,-1,-1,100%,100,-1,100,-1,-1,Below Trend,-1,-1,12/06 00:00:00 EST,-1,w3,1,2015-12-10 00:00:00,Contract,-1,-1,41814,41814,-1,-1,-1,11814,-1,-1,0,-1,-1,0,-1,-1,9451360,-1,-1,2015-12-05 00:00:00,2015-12-05 00:00:00,2015-12-05 00:00:00,Mansfield,-1,-1,41814,-1,-1,41814,-1,-1,False,False,121499,False,0,0,11814,-1,-1,-1,-1,-1,-1,0.0,-1,292698,41814.0,1296234.0,-1,0,0
2015-12-06,2015-12-06 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,PORT EVERGLADES FL TRMNT TP - 02QE,ULSD,41814,-1,-1,0,0,0,0,0,-1,0,-1,-1,0,w1,0,0,-1,41814,-1,-1,Available,-1,-1,100%,100,-1,100,-1,-1,Below Trend,-1,-1,12/07 00:00:00 EST,-1,w3,1,2015-12-10 00:00:00,Contract,-1,-1,41814,41814,-1,-1,-1,41814,-1,-1,0,-1,-1,0,-1,-1,9488670,-1,-1,2015-12-06 00:00:00,2015-12-06 00:00:00,2015-12-06 00:00:00,Mansfield,-1,-1,41814,-1,-1,41814,-1,-1,False,False,121499,False,0,0,41814,-1,-1,-1,-1,-1,-1,0.0,-1,292698,41814.0,1296234.0,-1,0,0
2015-12-07,2015-12-07 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,PORT EVERGLADES FL TRMNT TP - 02QE,ULSD,41814,-1,-1,0,42005,0,42005,42005,-1,0,-1,-1,0,w1,42005,0,-1,41814,-1,-1,Out,-1,-1,100%,100,-1,100,-1,-1,On Track,-1,-1,12/08 00:00:00 EST,-1,w3,1,2015-12-10 00:00:00,Contract,-1,-1,41814,41814,-1,-1,-1,-191,-1,-1,0,-1,-1,0,-1,-1,9533245,-1,-1,2015-12-07 00:00:00,2015-12-07 00:00:00,2015-12-07 00:00:00,Mansfield,-1,-1,41814,-1,-1,41814,-1,-1,False,False,163504,False,0,0,-191,-1,-1,-1,-1,-1,-1,0.0,-1,292698,41814.0,1296234.0,-1,0,0
2015-12-08,2015-12-08 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,PORT EVERGLADES FL TRMNT TP - 02QE,ULSD,41814,-1,-1,0,43506,0,43506,43506,-1,0,-1,-1,0,w1,43506,0,-1,41814,-1,-1,Out,-1,-1,100%,100,-1,100,-1,-1,On Track,-1,-1,12/09 00:00:00 EST,-1,w3,1,2015-12-10 00:00:00,Contract,-1,-1,41814,41814,-1,-1,-1,-1692,-1,-1,0,-1,-1,0,-1,-1,9585253,-1,-1,2015-12-08 00:00:00,2015-12-08 00:00:00,2015-12-08 00:00:00,Mansfield,-1,-1,41814,-1,-1,41814,-1,-1,False,False,207010,False,0,0,-1692,-1,-1,-1,-1,-1,-1,0.0,-1,292698,41814.0,1296234.0,-1,0,0
2015-12-09,2015-12-09 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,PORT EVERGLADES FL TRMNT TP - 02QE,ULSD,41814,-1,-1,0,43610,0,43610,43610,-1,0,-1,-1,0,w1,43610,0,-1,41814,-1,-1,Out,-1,-1,100%,100,-1,100,-1,-1,On Track,-1,-1,12/10 00:00:00 EST,-1,w3,1,2015-12-10 00:00:00,Contract,-1,-1,41814,41814,-1,-1,-1,-1796,-1,-1,0,-1,-1,0,-1,-1,9636094,-1,-1,2015-12-09 00:00:00,2015-12-09 00:00:00,2015-12-09 00:00:00,Mansfield,-1,-1,41814,-1,-1,41814,-1,-1,False,False,250620,False,0,0,-1796,-1,-1,-1,-1,-1,-1,0.0,-1,292698,41814.0,1296234.0,-1,0,0
2015-12-10,2015-12-10 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,PORT EVERGLADES FL TRMNT TP - 02QE,ULSD,41814,-1,-1,0,42500,0,42500,42500,-1,0,-1,-1,0,w1,42500,0,-1,41814,-1,-1,Out,-1,-1,100%,100,-1,100,-1,-1,On Track,-1,-1,12/11 00:00:00 EST,-1,w4,1,2015-12-17 00:00:00,Contract,-1,-1,41814,41814,-1,-1,-1,-686,-1,-1,0,-1,-1,0,-1,-1,9678846,-1,-1,2015-12-10 00:00:00,2015-12-10 00:00:00,2015-12-10 00:00:00,Mansfield,-1,-1,41814,-1,-1,41814,-1,-1,False,False,0,0,0,0,-686,-1,-1,-1,-1,-1,-1,0.0,-1,292698,41814.0,1296234.0,-1,0,0
2015-12-11,2015-12-11 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,PORT EVERGLADES FL TRMNT TP - 02QE,ULSD,-1,-1,-1,0,-1,0,-1,-1,-1,0,-1,-1,0,w1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,-1,w4,1,2015-12-17 00:00:00,-1,-1,-1,41814,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2015-12-11 00:00:00,2015-12-11 00:00:00,2015-12-11 00:00:00,-1,-1,-1,41814,-1,-1,41814,-1,-1,False,False,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1.0,-1,292698,41814.0,1296234.0,-1,0,0
