,date,supplier_name,account_type,supplier_terminal_name,product_name,base_gallons_Daily,base_gallons_Monthly,base_gallons_Weekly,lifted_gallons_daily_flag,lifted_gallons_daily_modified,Modified_WeeksByLiftedGallons,lifted_gallons_modified_WeeksByLiftedGallons,lifted_gallons_Daily,Lifted_actual_monthly,lifted_gallons_monthly_flag,lifted_gallons_Monthly,Lifted_actual_weekly,lifted_gallons_weekly_flag,WeeksByLiftedGallons,lifted_gallonsWeekly_modified_aposteriori,Modified_LiftedGallonsaposteriori,lifted_gallons_Weekly,beginning_gallons_Daily,beginning_gallons_Monthly,beginning_gallons_Weekly,en_allocation_status_Daily,en_allocation_status_Monthly,en_allocation_status_Weekly,percentage_allocation_Daily_actual,percentage_allocation_Daily,percentage_allocation_Monthly_actual,percentage_allocation_Monthly,percentage_allocation_Weekly_actual,percentage_allocation_Weekly,alerts_ratability_Daily,alerts_ratability_Monthly,alerts_ratability_Weekly,next_refresh_date_Daily,next_refresh_date_Monthly,Week_switch,Modified_NRD,next_refresh_date_Weekly,en_account_type_Daily,en_account_type_Monthly,en_account_type_Weekly,NRB_Daily,next_refresh_base_gallons_Daily,NRB_Monthly,next_refresh_base_gallons_Monthly,next_refresh_base_gallons_Weekly,remaining_gallons_Daily,remaining_gallons_Monthly,remaining_gallons_Weekly,additional_gallons_allowed_Daily,additional_gallons_allowed_Monthly,additional_gallons_allowed_Weekly,additional_gallons_remaining_Daily,additional_gallons_remaining_Monthly,additional_gallons_remaining_Weekly,staging_id_Daily,staging_id_Monthly,staging_id_Weekly,execution_date_Daily,execution_date_Monthly,execution_date_Weekly,customer_name_Daily,customer_name_Monthly,customer_name_Weekly,base_gallons_Daily_Reconciled,base_gallons_Monthly_Reconciled,base_gallons_Weekly_Reconciled,beginning_gallons_Daily_Reconciled,beginning_gallons_Monthly_Reconciled,beginning_gallons_Weekly_Reconciled,sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,computedWeekly,sanityComputedWeekly,computedMonthly,sanityComputedMonthly,remaining_gallons_Daily_Reconciled,remaining_gallons_Monthly_Reconciled,remaining_gallons_Weekly_Reconciled,additional_gallons_remaining_Daily_Reconciled,additional_gallons_remaining_Monthly_Reconciled,additional_gallons_remaining_Weekly_Reconciled,Ratability_Monthly,Ratability_Daily,Ratability_Weekly,Synthetic_Base_Weekly,Synthetic_Base_Daily,Synthetic_Base_Monthly,Ratability_Monthly_computed,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
2015-12-01,2015-12-01 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 107062 WS,CHESAPEAKE VA KM TP - 00CK,Regular RFG,26880,-1,188160,0,21506,0,21506,21506,-1,0,-1,62015,0,w1,21506,0,62015,40320,-1,263424,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,12/02 00:00:00 EST,-1,w2,0,2015-12-03 00:00:00,Contract,-1,Contract,26880,26880,-1,-1,188160,18814,-1,201409,0,-1,0,0,-1,0,9239088,-1,9239089,2015-12-01 22:06:46,2015-12-01 00:00:00,2015-12-01 22:06:46,Mansfield,-1,Mansfield,26880,-1,188160,40320,-1,263424,True,True,0,0,0,0,18814,-1,201409,-1,-1,-1,-1,0.0,0,188160,26880.0,833280.0,-1,0,0
2015-12-02,2015-12-02 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 107062 WS,CHESAPEAKE VA KM TP - 00CK,Regular RFG,-1,-1,-1,0,-1,0,-1,-1,-1,0,-1,-1,0,w2,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,150,-1,100,-1,140,-1,-1,-1,-1,-1,w2,1,2015-12-03 00:00:00,-1,-1,-1,26880,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2015-12-02 00:00:00,2015-12-02 00:00:00,2015-12-02 00:00:00,-1,-1,-1,26880,-1,188160,40320,-1,263424,True,False,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1.0,-1,188160,26880.0,833280.0,-1,0,0
2015-12-03,2015-12-03 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 107062 WS,CHESAPEAKE VA KM TP - 00CK,Regular RFG,26880,-1,188160,3,8800,3,8800,8800,-1,0,-1,8800,0,w2,8800,0,8800,40320,-1,263424,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,12/04 00:00:00 EST,-1,w3,0,2015-12-10 00:00:00,Contract,-1,Contract,26880,26880,-1,-1,188160,31520,-1,254624,0,-1,0,0,-1,0,9345949,-1,9345950,2015-12-03 22:07:19,2015-12-03 00:00:00,2015-12-03 22:07:19,Mansfield,-1,Mansfield,26880,-1,188160,40320,-1,263424,False,True,8800,True,0,0,31520,-1,254624,-1,-1,-1,-1,0.0,0,188160,26880.0,833280.0,-1,0,0
2015-12-04,2015-12-04 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 107062 WS,CHESAPEAKE VA KM TP - 00CK,Regular RFG,26880,-1,188160,3,13502,3,13502,13502,-1,0,-1,22302,0,w2,13502,0,22302,40320,-1,263424,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,12/05 00:00:00 EST,-1,w3,0,2015-12-10 00:00:00,Contract,-1,Contract,26880,26880,-1,-1,188160,26818,-1,241122,0,-1,0,0,-1,0,9399984,-1,9399985,2015-12-04 22:09:16,2015-12-04 00:00:00,2015-12-04 22:09:16,Mansfield,-1,Mansfield,26880,-1,188160,40320,-1,263424,False,True,22302,True,0,0,26818,-1,241122,-1,-1,-1,-1,0.0,0,188160,26880.0,833280.0,-1,0,0
2015-12-05,2015-12-05 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 107062 WS,CHESAPEAKE VA KM TP - 00CK,Regular RFG,26880,-1,188160,0,0,0,0,0,-1,0,-1,22302,0,w2,0,0,22302,40320,-1,263424,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,12/06 00:00:00 EST,-1,w3,0,2015-12-10 00:00:00,Contract,-1,Contract,26880,26880,-1,-1,188160,40320,-1,241122,0,-1,0,0,-1,0,9451662,-1,9451663,2015-12-05 22:06:57,2015-12-05 00:00:00,2015-12-05 22:06:57,Mansfield,-1,Mansfield,26880,-1,188160,40320,-1,263424,False,True,22302,True,0,0,40320,-1,241122,-1,-1,-1,-1,0.0,0,188160,26880.0,833280.0,-1,0,0
2015-12-06,2015-12-06 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 107062 WS,CHESAPEAKE VA KM TP - 00CK,Regular RFG,-1,-1,-1,4,0,0,-1,-1,-1,0,-1,-1,4,w3,-1,0,22302,-1,-1,-1,-1,-1,-1,-1,150,-1,100,-1,140,-1,-1,-1,-1,-1,w3,1,2015-12-10 00:00:00,-1,-1,-1,26880,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2015-12-06 00:00:00,2015-12-06 00:00:00,2015-12-06 00:00:00,-1,-1,-1,26880,-1,188160,40320,-1,263424,True,True,22302,True,0,0,-1,-1,-1,-1,-1,-1,-1,0.0,0,188160,26880.0,833280.0,-1,0,0
2015-12-07,2015-12-07 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 107062 WS,CHESAPEAKE VA KM TP - 00CK,Regular RFG,26880,-1,188160,3,0,3,0,0,-1,0,-1,22302,0,w3,0,0,22302,40320,-1,263424,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,12/08 00:00:00 EST,-1,w3,0,2015-12-10 00:00:00,Contract,-1,Contract,26880,26880,-1,-1,188160,40320,-1,241122,0,-1,0,0,-1,0,9533547,-1,9533548,2015-12-07 22:06:48,2015-12-07 00:00:00,2015-12-07 22:06:48,Mansfield,-1,Mansfield,26880,-1,188160,40320,-1,263424,False,True,22302,True,0,0,40320,-1,241122,-1,-1,-1,-1,0.0,0,188160,26880.0,833280.0,-1,0,0
2015-12-08,2015-12-08 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 107062 WS,CHESAPEAKE VA KM TP - 00CK,Regular RFG,26880,-1,188160,3,0,3,0,0,-1,0,-1,22302,0,w3,0,0,22302,40320,-1,263424,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,12/09 00:00:00 EST,-1,w3,0,2015-12-10 00:00:00,Contract,-1,Contract,26880,26880,-1,-1,188160,40320,-1,241122,0,-1,0,0,-1,0,9585555,-1,9585556,2015-12-08 22:07:19,2015-12-08 00:00:00,2015-12-08 22:07:19,Mansfield,-1,Mansfield,26880,-1,188160,40320,-1,263424,False,True,22302,True,0,0,40320,-1,241122,-1,-1,-1,-1,0.0,0,188160,26880.0,833280.0,-1,0,0
2015-12-09,2015-12-09 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 107062 WS,CHESAPEAKE VA KM TP - 00CK,Regular RFG,26880,-1,188160,0,0,0,0,0,-1,0,-1,22302,0,w3,0,0,22302,40320,-1,263424,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,12/10 00:00:00 EST,-1,w3,0,2015-12-10 00:00:00,Contract,-1,Contract,26880,26880,-1,-1,188160,40320,-1,241122,0,-1,0,0,-1,0,9636396,-1,9636397,2015-12-09 22:06:46,2015-12-09 00:00:00,2015-12-09 22:06:46,Mansfield,-1,Mansfield,26880,-1,188160,40320,-1,263424,False,True,22302,True,0,0,40320,-1,241122,-1,-1,-1,-1,0.0,0,188160,26880.0,833280.0,-1,0,0
2015-12-10,2015-12-10 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 107062 WS,CHESAPEAKE VA KM TP - 00CK,Regular RFG,-1,-1,-1,6,0,0,-1,-1,-1,0,-1,-1,6,w4,-1,0,0,-1,-1,-1,-1,-1,-1,-1,150,-1,100,-1,140,-1,-1,-1,-1,-1,w4,1,2015-12-17 00:00:00,-1,-1,-1,26880,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2015-12-10 00:00:00,2015-12-10 00:00:00,2015-12-10 00:00:00,-1,-1,-1,26880,-1,188160,40320,-1,263424,True,True,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,0.0,0,188160,26880.0,833280.0,-1,0,0
