,date,supplier_name,account_type,supplier_terminal_name,product_name,base_gallons_Daily,base_gallons_Monthly,base_gallons_Weekly,lifted_gallons_daily_flag,lifted_gallons_daily_modified,Modified_WeeksByLiftedGallons,lifted_gallons_modified_WeeksByLiftedGallons,lifted_gallons_Daily,Lifted_actual_monthly,lifted_gallons_monthly_flag,lifted_gallons_Monthly,Lifted_actual_weekly,lifted_gallons_weekly_flag,WeeksByLiftedGallons,lifted_gallonsWeekly_modified_aposteriori,Modified_LiftedGallonsaposteriori,lifted_gallons_Weekly,beginning_gallons_Daily,beginning_gallons_Monthly,beginning_gallons_Weekly,en_allocation_status_Daily,en_allocation_status_Monthly,en_allocation_status_Weekly,percentage_allocation_Daily_actual,percentage_allocation_Daily,percentage_allocation_Monthly_actual,percentage_allocation_Monthly,percentage_allocation_Weekly_actual,percentage_allocation_Weekly,alerts_ratability_Daily,alerts_ratability_Monthly,alerts_ratability_Weekly,next_refresh_date_Daily,next_refresh_date_Monthly,Week_switch,Modified_NRD,next_refresh_date_Weekly,en_account_type_Daily,en_account_type_Monthly,en_account_type_Weekly,NRB_Daily,next_refresh_base_gallons_Daily,NRB_Monthly,next_refresh_base_gallons_Monthly,next_refresh_base_gallons_Weekly,remaining_gallons_Daily,remaining_gallons_Monthly,remaining_gallons_Weekly,additional_gallons_allowed_Daily,additional_gallons_allowed_Monthly,additional_gallons_allowed_Weekly,additional_gallons_remaining_Daily,additional_gallons_remaining_Monthly,additional_gallons_remaining_Weekly,staging_id_Daily,staging_id_Monthly,staging_id_Weekly,execution_date_Daily,execution_date_Monthly,execution_date_Weekly,customer_name_Daily,customer_name_Monthly,customer_name_Weekly,base_gallons_Daily_Reconciled,base_gallons_Monthly_Reconciled,base_gallons_Weekly_Reconciled,beginning_gallons_Daily_Reconciled,beginning_gallons_Monthly_Reconciled,beginning_gallons_Weekly_Reconciled,sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,computedWeekly,sanityComputedWeekly,computedMonthly,sanityComputedMonthly,remaining_gallons_Daily_Reconciled,remaining_gallons_Monthly_Reconciled,remaining_gallons_Weekly_Reconciled,additional_gallons_remaining_Daily_Reconciled,additional_gallons_remaining_Monthly_Reconciled,additional_gallons_remaining_Weekly_Reconciled,Ratability_Monthly,Ratability_Daily,Ratability_Weekly,Synthetic_Base_Weekly,Synthetic_Base_Daily,Synthetic_Base_Monthly,Ratability_Monthly_computed,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
2015-12-01,2015-12-01 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 107413 WS,LAS VEGAS NV PRO-PETRO TP - 02BZ,Regular Conventional / E10,10553,-1,-1,0,11742,0,11742,11742,-1,0,-1,-1,0,w1,11742,0,-1,10553,-1,-1,Out,-1,-1,100%,100,-1,100,-1,-1,Above Trend,-1,-1,12/02 00:00:00 PST,-1,w2,1,2015-12-03 00:00:00,Contract,-1,-1,10553,10553,-1,-1,-1,-1189,-1,-1,0,-1,-1,0,-1,-1,9239098,-1,-1,2015-12-01 00:00:00,2015-12-01 00:00:00,2015-12-01 00:00:00,Mansfield,-1,-1,10553,-1,-1,10553,-1,-1,False,False,11742,False,0,0,-1189,-1,-1,-1,-1,-1,-1,0.0,-1,73871,10553.0,327143.0,-1,0,0
2015-12-02,2015-12-02 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 107413 WS,LAS VEGAS NV PRO-PETRO TP - 02BZ,Regular Conventional / E10,10553,-1,-1,0,10610,0,10610,10610,-1,0,-1,-1,0,w1,10610,0,-1,10553,-1,-1,Out,-1,-1,100%,100,-1,100,-1,-1,Above Trend,-1,-1,12/03 00:00:00 PST,-1,w2,1,2015-12-03 00:00:00,Contract,-1,-1,10553,10553,-1,-1,-1,-57,-1,-1,0,-1,-1,0,-1,-1,9292341,-1,-1,2015-12-02 00:00:00,2015-12-02 00:00:00,2015-12-02 00:00:00,Mansfield,-1,-1,10553,-1,-1,10553,-1,-1,False,False,22352,False,0,0,-57,-1,-1,-1,-1,-1,-1,0.0,-1,73871,10553.0,327143.0,-1,0,0
2015-12-03,2015-12-03 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 107413 WS,LAS VEGAS NV PRO-PETRO TP - 02BZ,Regular Conventional / E10,10553,-1,-1,0,3300,0,3300,3300,-1,0,-1,-1,0,w1,3300,0,-1,10553,-1,-1,Available,-1,-1,100%,100,-1,100,-1,-1,Below Trend,-1,-1,12/04 00:00:00 PST,-1,w3,1,2015-12-10 00:00:00,Contract,-1,-1,10553,10553,-1,-1,-1,7253,-1,-1,0,-1,-1,0,-1,-1,9345959,-1,-1,2015-12-03 00:00:00,2015-12-03 00:00:00,2015-12-03 00:00:00,Mansfield,-1,-1,10553,-1,-1,10553,-1,-1,False,False,3300,False,0,0,7253,-1,-1,-1,-1,-1,-1,0.0,-1,73871,10553.0,327143.0,-1,0,0
2015-12-04,2015-12-04 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 107413 WS,LAS VEGAS NV PRO-PETRO TP - 02BZ,Regular Conventional / E10,10553,-1,-1,0,8500,0,8500,8500,-1,0,-1,-1,0,w1,8500,0,-1,10553,-1,-1,Available,-1,-1,100%,100,-1,100,-1,-1,On Track,-1,-1,12/05 00:00:00 PST,-1,w3,1,2015-12-10 00:00:00,Contract,-1,-1,10553,10553,-1,-1,-1,2053,-1,-1,0,-1,-1,0,-1,-1,9399994,-1,-1,2015-12-04 00:00:00,2015-12-04 00:00:00,2015-12-04 00:00:00,Mansfield,-1,-1,10553,-1,-1,10553,-1,-1,False,False,11800,False,0,0,2053,-1,-1,-1,-1,-1,-1,0.0,-1,73871,10553.0,327143.0,-1,0,0
2015-12-05,2015-12-05 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 107413 WS,LAS VEGAS NV PRO-PETRO TP - 02BZ,Regular Conventional / E10,10553,-1,-1,0,13800,0,13800,13800,-1,0,-1,-1,0,w1,13800,0,-1,10553,-1,-1,Out,-1,-1,100%,100,-1,100,-1,-1,Above Trend,-1,-1,12/06 00:00:00 PST,-1,w3,1,2015-12-10 00:00:00,Contract,-1,-1,10553,10553,-1,-1,-1,-3247,-1,-1,0,-1,-1,0,-1,-1,9451672,-1,-1,2015-12-05 00:00:00,2015-12-05 00:00:00,2015-12-05 00:00:00,Mansfield,-1,-1,10553,-1,-1,10553,-1,-1,False,False,25600,False,0,0,-3247,-1,-1,-1,-1,-1,-1,0.0,-1,73871,10553.0,327143.0,-1,0,0
2015-12-06,2015-12-06 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 107413 WS,LAS VEGAS NV PRO-PETRO TP - 02BZ,Regular Conventional / E10,10553,-1,-1,0,0,0,0,0,-1,0,-1,-1,0,w1,0,0,-1,10553,-1,-1,Available,-1,-1,100%,100,-1,100,-1,-1,Below Trend,-1,-1,12/07 00:00:00 PST,-1,w3,1,2015-12-10 00:00:00,Contract,-1,-1,10553,10553,-1,-1,-1,10553,-1,-1,0,-1,-1,0,-1,-1,9488635,-1,-1,2015-12-06 00:00:00,2015-12-06 00:00:00,2015-12-06 00:00:00,Mansfield,-1,-1,10553,-1,-1,10553,-1,-1,False,False,25600,False,0,0,10553,-1,-1,-1,-1,-1,-1,0.0,-1,73871,10553.0,327143.0,-1,0,0
2015-12-07,2015-12-07 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 107413 WS,LAS VEGAS NV PRO-PETRO TP - 02BZ,Regular Conventional / E10,10553,-1,-1,0,8850,0,8850,8850,-1,0,-1,-1,0,w1,8850,0,-1,10553,-1,-1,Available,-1,-1,100%,100,-1,100,-1,-1,On Track,-1,-1,12/08 00:00:00 PST,-1,w3,1,2015-12-10 00:00:00,Contract,-1,-1,10553,10553,-1,-1,-1,1703,-1,-1,0,-1,-1,0,-1,-1,9533557,-1,-1,2015-12-07 00:00:00,2015-12-07 00:00:00,2015-12-07 00:00:00,Mansfield,-1,-1,10553,-1,-1,10553,-1,-1,False,False,34450,False,0,0,1703,-1,-1,-1,-1,-1,-1,0.0,-1,73871,10553.0,327143.0,-1,0,0
2015-12-08,2015-12-08 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 107413 WS,LAS VEGAS NV PRO-PETRO TP - 02BZ,Regular Conventional / E10,10553,-1,-1,0,11972,0,11972,11972,-1,0,-1,-1,0,w1,11972,0,-1,10553,-1,-1,Out,-1,-1,100%,100,-1,100,-1,-1,Above Trend,-1,-1,12/09 00:00:00 PST,-1,w3,1,2015-12-10 00:00:00,Contract,-1,-1,10553,10553,-1,-1,-1,-1419,-1,-1,0,-1,-1,0,-1,-1,9585565,-1,-1,2015-12-08 00:00:00,2015-12-08 00:00:00,2015-12-08 00:00:00,Mansfield,-1,-1,10553,-1,-1,10553,-1,-1,False,False,46422,False,0,0,-1419,-1,-1,-1,-1,-1,-1,0.0,-1,73871,10553.0,327143.0,-1,0,0
2015-12-09,2015-12-09 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 107413 WS,LAS VEGAS NV PRO-PETRO TP - 02BZ,Regular Conventional / E10,10553,-1,-1,0,10744,0,10744,10744,-1,0,-1,-1,0,w1,10744,0,-1,10553,-1,-1,Out,-1,-1,100%,100,-1,100,-1,-1,Above Trend,-1,-1,12/10 00:00:00 PST,-1,w3,1,2015-12-10 00:00:00,Contract,-1,-1,10553,10553,-1,-1,-1,-191,-1,-1,0,-1,-1,0,-1,-1,9636406,-1,-1,2015-12-09 00:00:00,2015-12-09 00:00:00,2015-12-09 00:00:00,Mansfield,-1,-1,10553,-1,-1,10553,-1,-1,False,False,57166,False,0,0,-191,-1,-1,-1,-1,-1,-1,0.0,-1,73871,10553.0,327143.0,-1,0,0
2015-12-10,2015-12-10 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 107413 WS,LAS VEGAS NV PRO-PETRO TP - 02BZ,Regular Conventional / E10,10553,-1,-1,0,22256,0,22256,22256,-1,0,-1,-1,0,w1,22256,0,-1,10553,-1,-1,Out,-1,-1,100%,100,-1,100,-1,-1,Above Trend,-1,-1,12/11 00:00:00 PST,-1,w4,1,2015-12-17 00:00:00,Contract,-1,-1,10553,10553,-1,-1,-1,0,-1,-1,10000,-1,-1,-1703,-1,-1,9678811,-1,-1,2015-12-10 00:00:00,2015-12-10 00:00:00,2015-12-10 00:00:00,Mansfield,-1,-1,10553,-1,-1,10553,-1,-1,False,False,22256,False,0,0,-11703,-1,-1,10000,-1,-1,-1,0.0,-1,73871,10553.0,327143.0,-1,0,0
2015-12-11,2015-12-11 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 107413 WS,LAS VEGAS NV PRO-PETRO TP - 02BZ,Regular Conventional / E10,10553,-1,-1,0,1635,0,1635,1635,-1,0,-1,-1,0,w1,1635,0,-1,10553,-1,-1,Available,-1,-1,100%,100,-1,100,-1,-1,Below Trend,-1,-1,12/12 00:00:00 PST,-1,w4,1,2015-12-17 00:00:00,Contract,-1,-1,10553,10553,-1,-1,-1,8918,-1,-1,0,-1,-1,0,-1,-1,9740126,-1,-1,2015-12-11 00:00:00,2015-12-11 00:00:00,2015-12-11 00:00:00,Mansfield,-1,-1,10553,-1,-1,10553,-1,-1,False,False,23891,False,0,0,8918,-1,-1,-1,-1,-1,-1,0.0,-1,73871,10553.0,327143.0,-1,0,0
2015-12-12,2015-12-12 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 107413 WS,LAS VEGAS NV PRO-PETRO TP - 02BZ,Regular Conventional / E10,10553,-1,-1,0,10000,0,10000,10000,-1,0,-1,-1,0,w1,10000,0,-1,10553,-1,-1,Available,-1,-1,100%,100,-1,100,-1,-1,On Track,-1,-1,12/13 00:00:00 PST,-1,w4,1,2015-12-17 00:00:00,Contract,-1,-1,10553,10553,-1,-1,-1,553,-1,-1,0,-1,-1,0,-1,-1,9794799,-1,-1,2015-12-12 00:00:00,2015-12-12 00:00:00,2015-12-12 00:00:00,Mansfield,-1,-1,10553,-1,-1,10553,-1,-1,False,False,33891,False,0,0,553,-1,-1,-1,-1,-1,-1,0.0,-1,73871,10553.0,327143.0,-1,0,0
2015-12-13,2015-12-13 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 107413 WS,LAS VEGAS NV PRO-PETRO TP - 02BZ,Regular Conventional / E10,10553,-1,-1,0,0,0,0,0,-1,0,-1,-1,0,w1,0,0,-1,10553,-1,-1,Available,-1,-1,100%,100,-1,100,-1,-1,Below Trend,-1,-1,12/14 00:00:00 PST,-1,w4,1,2015-12-17 00:00:00,Contract,-1,-1,10553,10553,-1,-1,-1,10553,-1,-1,0,-1,-1,0,-1,-1,9831504,-1,-1,2015-12-13 00:00:00,2015-12-13 00:00:00,2015-12-13 00:00:00,Mansfield,-1,-1,10553,-1,-1,10553,-1,-1,False,False,33891,False,0,0,10553,-1,-1,-1,-1,-1,-1,0.0,-1,73871,10553.0,327143.0,-1,0,0
2015-12-14,2015-12-14 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 107413 WS,LAS VEGAS NV PRO-PETRO TP - 02BZ,Regular Conventional / E10,10553,-1,-1,0,10446,0,10446,10446,-1,0,-1,-1,0,w1,10446,0,-1,10553,-1,-1,Available,-1,-1,100%,100,-1,100,-1,-1,Above Trend,-1,-1,12/15 00:00:00 PST,-1,w4,1,2015-12-17 00:00:00,Contract,-1,-1,10553,10553,-1,-1,-1,107,-1,-1,0,-1,-1,0,-1,-1,9912523,-1,-1,2015-12-14 00:00:00,2015-12-14 00:00:00,2015-12-14 00:00:00,Mansfield,-1,-1,10553,-1,-1,10553,-1,-1,False,False,44337,False,0,0,107,-1,-1,-1,-1,-1,-1,0.0,-1,73871,10553.0,327143.0,-1,0,0
2015-12-15,2015-12-15 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 107413 WS,LAS VEGAS NV PRO-PETRO TP - 02BZ,Regular Conventional / E10,10553,-1,-1,0,3945,0,3945,3945,-1,0,-1,-1,0,w1,3945,0,-1,10553,-1,-1,Available,-1,-1,100%,100,-1,100,-1,-1,Below Trend,-1,-1,12/16 00:00:00 PST,-1,w4,1,2015-12-17 00:00:00,Contract,-1,-1,10553,10553,-1,-1,-1,6608,-1,-1,0,-1,-1,0,-1,-1,9989704,-1,-1,2015-12-15 00:00:00,2015-12-15 00:00:00,2015-12-15 00:00:00,Mansfield,-1,-1,10553,-1,-1,10553,-1,-1,False,False,48282,False,0,0,6608,-1,-1,-1,-1,-1,-1,0.0,-1,73871,10553.0,327143.0,-1,0,0
2015-12-16,2015-12-16 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 107413 WS,LAS VEGAS NV PRO-PETRO TP - 02BZ,Regular Conventional / E10,10553,-1,-1,0,11066,0,11066,11066,-1,0,-1,-1,0,w1,11066,0,-1,10553,-1,-1,Out,-1,-1,100%,100,-1,100,-1,-1,Above Trend,-1,-1,12/17 00:00:00 PST,-1,w4,1,2015-12-17 00:00:00,Contract,-1,-1,10553,10553,-1,-1,-1,-513,-1,-1,0,-1,-1,0,-1,-1,10159721,-1,-1,2015-12-16 00:00:00,2015-12-16 00:00:00,2015-12-16 00:00:00,Mansfield,-1,-1,10553,-1,-1,10553,-1,-1,False,False,59348,False,0,0,-513,-1,-1,-1,-1,-1,-1,0.0,-1,73871,10553.0,327143.0,-1,0,0
2015-12-17,2015-12-17 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 107413 WS,LAS VEGAS NV PRO-PETRO TP - 02BZ,Regular Conventional / E10,10553,-1,-1,0,3191,0,3191,3191,-1,0,-1,-1,0,w1,3191,0,-1,10553,-1,-1,Available,-1,-1,100%,100,-1,100,-1,-1,Below Trend,-1,-1,12/18 00:00:00 PST,-1,w5,1,2015-12-24 00:00:00,Contract,-1,-1,10553,10553,-1,-1,-1,7362,-1,-1,0,-1,-1,0,-1,-1,10322943,-1,-1,2015-12-17 00:00:00,2015-12-17 00:00:00,2015-12-17 00:00:00,Mansfield,-1,-1,10553,-1,-1,10553,-1,-1,False,False,0,0,0,0,7362,-1,-1,-1,-1,-1,-1,0.0,-1,73871,10553.0,327143.0,-1,0,0
