,date,supplier_name,account_type,supplier_terminal_name,product_name,base_gallons_Daily,base_gallons_Monthly,base_gallons_Weekly,lifted_gallons_daily_flag,lifted_gallons_daily_modified,Modified_WeeksByLiftedGallons,lifted_gallons_modified_WeeksByLiftedGallons,lifted_gallons_Daily,Lifted_actual_monthly,lifted_gallons_monthly_flag,lifted_gallons_Monthly,Lifted_actual_weekly,lifted_gallons_weekly_flag,WeeksByLiftedGallons,lifted_gallonsWeekly_modified_aposteriori,Modified_LiftedGallonsaposteriori,lifted_gallons_Weekly,beginning_gallons_Daily,beginning_gallons_Monthly,beginning_gallons_Weekly,en_allocation_status_Daily,en_allocation_status_Monthly,en_allocation_status_Weekly,percentage_allocation_Daily_actual,percentage_allocation_Daily,percentage_allocation_Monthly_actual,percentage_allocation_Monthly,percentage_allocation_Weekly_actual,percentage_allocation_Weekly,alerts_ratability_Daily,alerts_ratability_Monthly,alerts_ratability_Weekly,next_refresh_date_Daily,next_refresh_date_Monthly,Week_switch,Modified_NRD,next_refresh_date_Weekly,en_account_type_Daily,en_account_type_Monthly,en_account_type_Weekly,NRB_Daily,next_refresh_base_gallons_Daily,NRB_Monthly,next_refresh_base_gallons_Monthly,next_refresh_base_gallons_Weekly,remaining_gallons_Daily,remaining_gallons_Monthly,remaining_gallons_Weekly,additional_gallons_allowed_Daily,additional_gallons_allowed_Monthly,additional_gallons_allowed_Weekly,additional_gallons_remaining_Daily,additional_gallons_remaining_Monthly,additional_gallons_remaining_Weekly,staging_id_Daily,staging_id_Monthly,staging_id_Weekly,execution_date_Daily,execution_date_Monthly,execution_date_Weekly,customer_name_Daily,customer_name_Monthly,customer_name_Weekly,base_gallons_Daily_Reconciled,base_gallons_Monthly_Reconciled,base_gallons_Weekly_Reconciled,beginning_gallons_Daily_Reconciled,beginning_gallons_Monthly_Reconciled,beginning_gallons_Weekly_Reconciled,sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,computedWeekly,sanityComputedWeekly,computedMonthly,sanityComputedMonthly,remaining_gallons_Daily_Reconciled,remaining_gallons_Monthly_Reconciled,remaining_gallons_Weekly_Reconciled,additional_gallons_remaining_Daily_Reconciled,additional_gallons_remaining_Monthly_Reconciled,additional_gallons_remaining_Weekly_Reconciled,Ratability_Monthly,Ratability_Daily,Ratability_Weekly,Synthetic_Base_Weekly,Synthetic_Base_Daily,Synthetic_Base_Monthly,Ratability_Monthly_computed,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
2016-01-01,2016-01-01 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,BIRMINGHAM AL KMT TP - 02PJ,ULSD,21563,-1,150939,3,6497,3,6497,6497,-1,0,-1,36197,0,w1,6497,0,36197,32345,-1,211315,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,01/02 00:00:00 CST,-1,w1,0,2016-01-07 00:00:00,Contract,-1,Contract,21563,21563,-1,-1,150939,25848,-1,175118,0,-1,0,0,-1,0,11388684,-1,11388685,2016-01-01 22:12:04,2016-01-01 00:00:00,2016-01-01 22:12:04,Mansfield,-1,Mansfield,21563,-1,150939,32344,-1,211314,False,False,6497,False,0,0,25848,-1,175118,-1,-1,-1,-1,0.0,0,150939,21563.0,668453.0,-1,0,0
2016-01-02,2016-01-02 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,BIRMINGHAM AL KMT TP - 02PJ,ULSD,21563,-1,150939,3,22099,3,22099,22099,-1,0,-1,58296,0,w1,22099,0,58296,32345,-1,211315,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,01/03 00:00:00 CST,-1,w1,0,2016-01-07 00:00:00,Contract,-1,Contract,21563,21563,-1,-1,150939,10246,-1,153019,0,-1,0,0,-1,0,11440748,-1,11440749,2016-01-02 22:06:44,2016-01-02 00:00:00,2016-01-02 22:06:44,Mansfield,-1,Mansfield,21563,-1,150939,32345,-1,211315,False,False,28596,False,0,0,10246,-1,153019,-1,-1,-1,-1,133.0,0,150939,21563.0,668453.0,-1,0,0
2016-01-03,2016-01-03 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,BIRMINGHAM AL KMT TP - 02PJ,ULSD,21563,-1,150939,3,0,3,0,0,-1,0,-1,58296,0,w1,0,0,58296,32345,-1,211315,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,01/04 00:00:00 CST,-1,w1,0,2016-01-07 00:00:00,Contract,-1,Contract,21563,21563,-1,-1,150939,32345,-1,153019,0,-1,0,0,-1,0,11493764,-1,11493765,2016-01-03 22:08:09,2016-01-03 00:00:00,2016-01-03 22:08:09,Mansfield,-1,Mansfield,21563,-1,150939,32345,-1,211315,False,False,28596,False,0,0,32345,-1,153019,-1,-1,-1,-1,0.0,0,150939,21563.0,668453.0,-1,0,0
2016-01-04,2016-01-04 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,BIRMINGHAM AL KMT TP - 02PJ,ULSD,21563,-1,150939,3,22000,3,22000,22000,-1,0,-1,80296,0,w1,22000,0,80296,32345,-1,211315,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,01/05 00:00:00 CST,-1,w1,0,2016-01-07 00:00:00,Contract,-1,Contract,21563,21563,-1,-1,150939,10345,-1,131019,0,-1,0,0,-1,0,11615779,-1,11615780,2016-01-04 22:18:31,2016-01-04 00:00:00,2016-01-04 22:18:31,Mansfield,-1,Mansfield,21563,-1,150939,32345,-1,211315,False,False,50596,False,0,0,10345,-1,131019,-1,-1,-1,-1,133.0,0,150939,21563.0,668453.0,-1,0,0
2016-01-05,2016-01-05 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,BIRMINGHAM AL KMT TP - 02PJ,ULSD,21563,-1,150939,3,35600,3,35600,35600,-1,0,-1,115896,0,w1,35600,0,115896,32345,-1,211315,Out,-1,Out,150%,150,-1,100,140%,140,Above Trend,-1,Below Trend,01/06 00:00:00 CST,-1,w1,0,2016-01-07 00:00:00,Contract,-1,Contract,21563,21563,-1,-1,150939,-3256,-1,95419,0,-1,0,0,-1,0,11791819,-1,11791820,2016-01-05 22:16:18,2016-01-05 00:00:00,2016-01-05 22:16:18,Mansfield,-1,Mansfield,21563,-1,150939,32345,-1,211315,False,False,86196,False,0,0,-3255,-1,95419,-1,-1,-1,-1,133.0,0,150939,21563.0,668453.0,-1,0,0
2016-01-06,2016-01-06 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,BIRMINGHAM AL KMT TP - 02PJ,ULSD,21563,-1,150939,0,15000,0,15000,15000,-1,0,-1,130896,0,w1,15000,0,130896,32345,-1,211315,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,01/07 00:00:00 CST,-1,w1,0,2016-01-07 00:00:00,Contract,-1,Contract,21563,21563,-1,-1,150939,17345,-1,80419,0,-1,0,0,-1,0,11945003,-1,11945004,2016-01-06 23:34:27,2016-01-06 00:00:00,2016-01-06 23:34:27,Mansfield,-1,Mansfield,21563,-1,150939,32345,-1,211315,False,False,101196,False,0,0,17345,-1,80419,-1,-1,-1,-1,0.0,0,150939,21563.0,668453.0,-1,0,0
2016-01-07,2016-01-07 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,BIRMINGHAM AL KMT TP - 02PJ,ULSD,21563,-1,150939,3,13000,0,13000,13000,-1,0,-1,13000,0,w2,13000,0,13000,32345,-1,211315,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,01/08 00:00:00 CST,-1,w2,0,2016-01-14 00:00:00,Contract,-1,Contract,21563,21563,-1,-1,150939,19345,-1,198315,0,-1,0,0,-1,0,12104203,-1,12104204,2016-01-07 22:08:35,2016-01-07 00:00:00,2016-01-07 22:08:35,Mansfield,-1,Mansfield,21563,-1,150939,32345,-1,211315,True,True,13000,True,0,0,19345,-1,198315,-1,-1,-1,-1,0.0,0,150939,21563.0,668453.0,-1,0,0
2016-01-08,2016-01-08 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,BIRMINGHAM AL KMT TP - 02PJ,ULSD,21563,-1,150939,0,29501,0,29501,29501,-1,0,-1,42501,0,w2,29501,0,42501,32345,-1,211315,Available,-1,Available,150%,150,-1,100,140%,140,On Track,-1,Below Trend,01/09 00:00:00 CST,-1,w2,0,2016-01-14 00:00:00,Contract,-1,Contract,21563,21563,-1,-1,150939,2844,-1,168814,0,-1,0,0,-1,0,12255707,-1,12255708,2016-01-08 22:17:06,2016-01-08 00:00:00,2016-01-08 22:17:06,Mansfield,-1,Mansfield,21563,-1,150939,32345,-1,211315,True,True,42501,True,0,0,2844,-1,168814,-1,-1,-1,-1,133.0,0,150939,21563.0,668453.0,-1,0,0
2016-01-09,2016-01-09 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,BIRMINGHAM AL KMT TP - 02PJ,ULSD,-1,-1,-1,4,0,0,-1,-1,-1,0,-1,-1,4,w3,-1,0,42501,-1,-1,-1,-1,-1,-1,-1,150,-1,100,-1,140,-1,-1,-1,-1,-1,w2,1,2016-01-14 00:00:00,-1,-1,-1,21563,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2016-01-09 00:00:00,2016-01-09 00:00:00,2016-01-09 00:00:00,-1,-1,-1,21563,-1,150939,32345,-1,211315,True,True,42501,True,0,0,-1,-1,-1,-1,-1,-1,-1,0.0,0,150939,21563.0,668453.0,-1,0,0
2016-01-10,2016-01-10 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,BIRMINGHAM AL KMT TP - 02PJ,ULSD,21563,-1,150939,3,7600,3,7600,7600,-1,0,-1,50101,0,w3,7600,0,50101,32345,-1,211315,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,01/11 00:00:00 CST,-1,w2,0,2016-01-14 00:00:00,Contract,-1,Contract,21563,21563,-1,-1,150939,24745,-1,161214,0,-1,0,0,-1,0,12563254,-1,12563255,2016-01-10 22:16:44,2016-01-10 00:00:00,2016-01-10 22:16:44,Mansfield,-1,Mansfield,21563,-1,150939,32345,-1,211315,False,True,50101,True,0,0,24745,-1,161214,-1,-1,-1,-1,0.0,0,150939,21563.0,668453.0,-1,0,0
