,date,supplier_name,account_type,supplier_terminal_name,product_name,base_gallons_Daily,base_gallons_Monthly,base_gallons_Weekly,lifted_gallons_daily_flag,lifted_gallons_daily_modified,Modified_WeeksByLiftedGallons,lifted_gallons_modified_WeeksByLiftedGallons,lifted_gallons_Daily,Lifted_actual_monthly,lifted_gallons_monthly_flag,lifted_gallons_Monthly,Lifted_actual_weekly,lifted_gallons_weekly_flag,WeeksByLiftedGallons,lifted_gallonsWeekly_modified_aposteriori,Modified_LiftedGallonsaposteriori,lifted_gallons_Weekly,beginning_gallons_Daily,beginning_gallons_Monthly,beginning_gallons_Weekly,en_allocation_status_Daily,en_allocation_status_Monthly,en_allocation_status_Weekly,percentage_allocation_Daily_actual,percentage_allocation_Daily,percentage_allocation_Monthly_actual,percentage_allocation_Monthly,percentage_allocation_Weekly_actual,percentage_allocation_Weekly,alerts_ratability_Daily,alerts_ratability_Monthly,alerts_ratability_Weekly,next_refresh_date_Daily,next_refresh_date_Monthly,Week_switch,Modified_NRD,next_refresh_date_Weekly,en_account_type_Daily,en_account_type_Monthly,en_account_type_Weekly,NRB_Daily,next_refresh_base_gallons_Daily,NRB_Monthly,next_refresh_base_gallons_Monthly,next_refresh_base_gallons_Weekly,remaining_gallons_Daily,remaining_gallons_Monthly,remaining_gallons_Weekly,additional_gallons_allowed_Daily,additional_gallons_allowed_Monthly,additional_gallons_allowed_Weekly,additional_gallons_remaining_Daily,additional_gallons_remaining_Monthly,additional_gallons_remaining_Weekly,staging_id_Daily,staging_id_Monthly,staging_id_Weekly,execution_date_Daily,execution_date_Monthly,execution_date_Weekly,customer_name_Daily,customer_name_Monthly,customer_name_Weekly,base_gallons_Daily_Reconciled,base_gallons_Monthly_Reconciled,base_gallons_Weekly_Reconciled,beginning_gallons_Daily_Reconciled,beginning_gallons_Monthly_Reconciled,beginning_gallons_Weekly_Reconciled,sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,computedWeekly,sanityComputedWeekly,computedMonthly,sanityComputedMonthly,remaining_gallons_Daily_Reconciled,remaining_gallons_Monthly_Reconciled,remaining_gallons_Weekly_Reconciled,additional_gallons_remaining_Daily_Reconciled,additional_gallons_remaining_Monthly_Reconciled,additional_gallons_remaining_Weekly_Reconciled,Ratability_Monthly,Ratability_Daily,Ratability_Weekly,Synthetic_Base_Weekly,Synthetic_Base_Daily,Synthetic_Base_Monthly,Ratability_Monthly_computed,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
2016-01-01,2016-01-01 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,CHARLOTTE #2 NC KMSET TP - 00CD,ULSD,122854,-1,859979,3,60800,3,60800,45600,-1,0,-1,106201,0,w1,45600,0,106201,184281,-1,1203971,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,01/02 00:00:00 EST,-1,w1,0,2016-01-07 00:00:00,Contract,-1,Contract,122854,122854,-1,-1,859979,138681,-1,1097770,0,-1,0,0,-1,0,11388687,-1,11388688,2016-01-01 22:12:04,2016-01-01 00:00:00,2016-01-01 22:12:04,Mansfield,-1,Mansfield,122854,-1,859979,184281,-1,1203970,False,False,60800,False,0,0,123481,-1,1097770,-1,-1,-1,-1,0.0,0,859979,122854.0,3808474.0,-1,0,0
2016-01-02,2016-01-02 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,CHARLOTTE #2 NC KMSET TP - 00CD,ULSD,122854,-1,859979,3,83712,3,83712,83712,-1,0,-1,205113,0,w1,83712,0,205113,184281,-1,1203971,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,01/03 00:00:00 EST,-1,w1,0,2016-01-07 00:00:00,Contract,-1,Contract,122854,122854,-1,-1,859979,100569,-1,998858,0,-1,0,0,-1,0,11440751,-1,11440752,2016-01-02 22:06:44,2016-01-02 00:00:00,2016-01-02 22:06:44,Mansfield,-1,Mansfield,122854,-1,859979,184281,-1,1203971,False,False,144512,False,0,0,100569,-1,998858,-1,-1,-1,-1,0.0,0,859979,122854.0,3808474.0,-1,0,0
2016-01-03,2016-01-03 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,CHARLOTTE #2 NC KMSET TP - 00CD,ULSD,122854,-1,859979,3,98797,3,98797,83600,-1,0,-1,288713,0,w1,83600,0,288713,184281,-1,1203971,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,01/04 00:00:00 EST,-1,w1,0,2016-01-07 00:00:00,Contract,-1,Contract,122854,122854,-1,-1,859979,100681,-1,915258,0,-1,0,0,-1,0,11493767,-1,11493768,2016-01-03 22:08:09,2016-01-03 00:00:00,2016-01-03 22:08:09,Mansfield,-1,Mansfield,122854,-1,859979,184281,-1,1203971,False,False,243309,False,0,0,85484,-1,915258,-1,-1,-1,-1,0.0,0,859979,122854.0,3808474.0,-1,0,0
2016-01-04,2016-01-04 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,CHARLOTTE #2 NC KMSET TP - 00CD,ULSD,122854,-1,859979,3,113520,3,113520,113520,-1,0,-1,417430,0,w1,113520,0,417430,184281,-1,1203971,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,01/05 00:00:00 EST,-1,w1,0,2016-01-07 00:00:00,Contract,-1,Contract,122854,122854,-1,-1,859979,70761,-1,786541,0,-1,0,0,-1,0,11615782,-1,11615783,2016-01-04 22:18:31,2016-01-04 00:00:00,2016-01-04 22:18:31,Mansfield,-1,Mansfield,122854,-1,859979,184281,-1,1203971,False,False,356829,False,0,0,70761,-1,786541,-1,-1,-1,-1,0.0,0,859979,122854.0,3808474.0,-1,0,0
2016-01-05,2016-01-05 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,CHARLOTTE #2 NC KMSET TP - 00CD,ULSD,122854,-1,859979,3,149731,3,149731,149731,-1,0,-1,567161,0,w1,149731,0,567161,184281,-1,1203971,Available,-1,Available,150%,150,-1,100,140%,140,On Track,-1,Below Trend,01/06 00:00:00 EST,-1,w1,0,2016-01-07 00:00:00,Contract,-1,Contract,122854,122854,-1,-1,859979,34550,-1,636810,0,-1,0,0,-1,0,11791822,-1,11791823,2016-01-05 22:16:18,2016-01-05 00:00:00,2016-01-05 22:16:18,Mansfield,-1,Mansfield,122854,-1,859979,184281,-1,1203971,False,False,506560,False,0,0,34550,-1,636810,-1,-1,-1,-1,133.0,0,859979,122854.0,3808474.0,-1,0,0
2016-01-06,2016-01-06 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,CHARLOTTE #2 NC KMSET TP - 00CD,ULSD,122854,-1,859979,0,136314,0,136314,136314,-1,0,-1,703475,0,w1,136314,0,703475,184281,-1,1203971,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,01/07 00:00:00 EST,-1,w1,0,2016-01-07 00:00:00,Contract,-1,Contract,122854,122854,-1,-1,859979,47967,-1,500496,0,-1,0,0,-1,0,11945006,-1,11945007,2016-01-06 23:34:27,2016-01-06 00:00:00,2016-01-06 23:34:27,Mansfield,-1,Mansfield,122854,-1,859979,184281,-1,1203971,False,False,642874,False,0,0,47967,-1,500496,-1,-1,-1,-1,133.0,0,859979,122854.0,3808474.0,-1,0,0
2016-01-07,2016-01-07 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,CHARLOTTE #2 NC KMSET TP - 00CD,ULSD,122854,-1,859979,3,105759,0,105759,105759,-1,0,-1,105759,0,w2,105759,0,105759,184281,-1,1203971,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,01/08 00:00:00 EST,-1,w2,0,2016-01-14 00:00:00,Contract,-1,Contract,122854,122854,-1,-1,859979,78522,-1,1098212,0,-1,0,0,-1,0,12104206,-1,12104207,2016-01-07 22:08:35,2016-01-07 00:00:00,2016-01-07 22:08:35,Mansfield,-1,Mansfield,122854,-1,859979,184281,-1,1203971,True,True,105759,True,0,0,78522,-1,1098212,-1,-1,-1,-1,0.0,0,859979,122854.0,3808474.0,-1,0,0
2016-01-08,2016-01-08 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,CHARLOTTE #2 NC KMSET TP - 00CD,ULSD,122854,-1,859979,0,105828,0,105828,105828,-1,0,-1,211587,0,w2,105828,0,211587,184281,-1,1203971,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,01/09 00:00:00 EST,-1,w2,0,2016-01-14 00:00:00,Contract,-1,Contract,122854,122854,-1,-1,859979,78453,-1,992384,0,-1,0,0,-1,0,12255710,-1,12255711,2016-01-08 22:17:06,2016-01-08 00:00:00,2016-01-08 22:17:06,Mansfield,-1,Mansfield,122854,-1,859979,184281,-1,1203971,True,True,211587,True,0,0,78453,-1,992384,-1,-1,-1,-1,0.0,0,859979,122854.0,3808474.0,-1,0,0
2016-01-09,2016-01-09 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,CHARLOTTE #2 NC KMSET TP - 00CD,ULSD,-1,-1,-1,4,83517,0,-1,-1,-1,0,-1,-1,4,w3,-1,0,295104,-1,-1,-1,-1,-1,-1,-1,150,-1,100,-1,140,-1,-1,-1,-1,-1,w2,1,2016-01-14 00:00:00,-1,-1,-1,122854,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2016-01-09 00:00:00,2016-01-09 00:00:00,2016-01-09 00:00:00,-1,-1,-1,122854,-1,859979,184281,-1,1203971,True,True,295104,True,0,0,-1,-1,-1,-1,-1,-1,-1,0.0,0,859979,122854.0,3808474.0,-1,0,0
2016-01-10,2016-01-10 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,CHARLOTTE #2 NC KMSET TP - 00CD,ULSD,122854,-1,859979,3,68313,3,68313,68313,-1,0,-1,363417,0,w3,68313,0,363417,184281,-1,1203971,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,01/11 00:00:00 EST,-1,w2,0,2016-01-14 00:00:00,Contract,-1,Contract,122854,122854,-1,-1,859979,115968,-1,840554,0,-1,0,0,-1,0,12563257,-1,12563258,2016-01-10 22:16:44,2016-01-10 00:00:00,2016-01-10 22:16:44,Mansfield,-1,Mansfield,122854,-1,859979,184281,-1,1203971,False,True,363417,True,0,0,115968,-1,840554,-1,-1,-1,-1,0.0,0,859979,122854.0,3808474.0,-1,0,0
