,date,supplier_name,account_type,supplier_terminal_name,product_name,base_gallons_Daily,base_gallons_Monthly,base_gallons_Weekly,lifted_gallons_daily_flag,lifted_gallons_daily_modified,Modified_WeeksByLiftedGallons,lifted_gallons_modified_WeeksByLiftedGallons,lifted_gallons_Daily,Lifted_actual_monthly,lifted_gallons_monthly_flag,lifted_gallons_Monthly,Lifted_actual_weekly,lifted_gallons_weekly_flag,WeeksByLiftedGallons,lifted_gallonsWeekly_modified_aposteriori,Modified_LiftedGallonsaposteriori,lifted_gallons_Weekly,beginning_gallons_Daily,beginning_gallons_Monthly,beginning_gallons_Weekly,en_allocation_status_Daily,en_allocation_status_Monthly,en_allocation_status_Weekly,percentage_allocation_Daily_actual,percentage_allocation_Daily,percentage_allocation_Monthly_actual,percentage_allocation_Monthly,percentage_allocation_Weekly_actual,percentage_allocation_Weekly,alerts_ratability_Daily,alerts_ratability_Monthly,alerts_ratability_Weekly,next_refresh_date_Daily,next_refresh_date_Monthly,Week_switch,Modified_NRD,next_refresh_date_Weekly,en_account_type_Daily,en_account_type_Monthly,en_account_type_Weekly,NRB_Daily,next_refresh_base_gallons_Daily,NRB_Monthly,next_refresh_base_gallons_Monthly,next_refresh_base_gallons_Weekly,remaining_gallons_Daily,remaining_gallons_Monthly,remaining_gallons_Weekly,additional_gallons_allowed_Daily,additional_gallons_allowed_Monthly,additional_gallons_allowed_Weekly,additional_gallons_remaining_Daily,additional_gallons_remaining_Monthly,additional_gallons_remaining_Weekly,staging_id_Daily,staging_id_Monthly,staging_id_Weekly,execution_date_Daily,execution_date_Monthly,execution_date_Weekly,customer_name_Daily,customer_name_Monthly,customer_name_Weekly,base_gallons_Daily_Reconciled,base_gallons_Monthly_Reconciled,base_gallons_Weekly_Reconciled,beginning_gallons_Daily_Reconciled,beginning_gallons_Monthly_Reconciled,beginning_gallons_Weekly_Reconciled,sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,computedWeekly,sanityComputedWeekly,computedMonthly,sanityComputedMonthly,remaining_gallons_Daily_Reconciled,remaining_gallons_Monthly_Reconciled,remaining_gallons_Weekly_Reconciled,additional_gallons_remaining_Daily_Reconciled,additional_gallons_remaining_Monthly_Reconciled,additional_gallons_remaining_Weekly_Reconciled,Ratability_Monthly,Ratability_Daily,Ratability_Weekly,Synthetic_Base_Weekly,Synthetic_Base_Daily,Synthetic_Base_Monthly,Ratability_Monthly_computed,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
2016-01-01,2016-01-01 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,ROANOKE VA KM SET2 TP - 00WT,ULSD,80123,-1,560861,3,39301,3,39301,28399,-1,0,-1,78399,0,w1,28399,0,78399,120185,-1,785205,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,01/02 00:00:00 EST,-1,w1,0,2016-01-07 00:00:00,Contract,-1,Contract,80123,80123,-1,-1,560861,91786,-1,706806,0,-1,0,0,-1,0,11388768,-1,11388769,2016-01-01 22:12:04,2016-01-01 00:00:00,2016-01-01 22:12:04,Mansfield,-1,Mansfield,80123,-1,560861,120184,-1,785205,False,False,39301,False,0,0,80884,-1,706806,-1,-1,-1,-1,0.0,0,560861,80123.0,2483813.0,-1,0,0
2016-01-02,2016-01-02 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,ROANOKE VA KM SET2 TP - 00WT,ULSD,80123,-1,560861,3,59529,3,59529,52028,-1,0,-1,141329,0,w1,52028,0,141329,120185,-1,785205,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,01/03 00:00:00 EST,-1,w1,0,2016-01-07 00:00:00,Contract,-1,Contract,80123,80123,-1,-1,560861,68157,-1,643876,0,-1,0,0,-1,0,11440832,-1,11440833,2016-01-02 22:06:44,2016-01-02 00:00:00,2016-01-02 22:06:44,Mansfield,-1,Mansfield,80123,-1,560861,120185,-1,785205,False,False,98830,False,0,0,60656,-1,643876,-1,-1,-1,-1,0.0,0,560861,80123.0,2483813.0,-1,0,0
2016-01-03,2016-01-03 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,ROANOKE VA KM SET2 TP - 00WT,ULSD,80123,-1,560861,3,88331,3,88331,88331,-1,0,-1,237161,0,w1,88331,0,237161,120185,-1,785205,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,01/04 00:00:00 EST,-1,w1,0,2016-01-07 00:00:00,Contract,-1,Contract,80123,80123,-1,-1,560861,31854,-1,548044,0,-1,0,0,-1,0,11493848,-1,11493849,2016-01-03 22:08:09,2016-01-03 00:00:00,2016-01-03 22:08:09,Mansfield,-1,Mansfield,80123,-1,560861,120185,-1,785205,False,False,187161,False,0,0,31854,-1,548044,-1,-1,-1,-1,133.0,0,560861,80123.0,2483813.0,-1,0,0
2016-01-04,2016-01-04 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,ROANOKE VA KM SET2 TP - 00WT,ULSD,80123,-1,560861,3,111539,3,111539,96538,-1,0,-1,333699,0,w1,96538,0,333699,120185,-1,785205,Available,-1,Available,150%,150,-1,100,140%,140,On Track,-1,Below Trend,01/05 00:00:00 EST,-1,w1,0,2016-01-07 00:00:00,Contract,-1,Contract,80123,80123,-1,-1,560861,23647,-1,451506,0,-1,0,0,-1,0,11615864,-1,11615865,2016-01-04 22:18:31,2016-01-04 00:00:00,2016-01-04 22:18:31,Mansfield,-1,Mansfield,80123,-1,560861,120185,-1,785205,False,False,298700,False,0,0,8646,-1,451506,-1,-1,-1,-1,133.0,0,560861,80123.0,2483813.0,-1,0,0
2016-01-05,2016-01-05 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,ROANOKE VA KM SET2 TP - 00WT,ULSD,80123,-1,560861,3,81647,3,81647,74144,-1,0,-1,422844,0,w1,74144,0,422844,120185,-1,785205,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,01/06 00:00:00 EST,-1,w1,0,2016-01-07 00:00:00,Contract,-1,Contract,80123,80123,-1,-1,560861,46041,-1,362361,0,-1,0,0,-1,0,11791906,-1,11791907,2016-01-05 22:16:18,2016-01-05 00:00:00,2016-01-05 22:16:18,Mansfield,-1,Mansfield,80123,-1,560861,120185,-1,785205,False,False,380347,False,0,0,38538,-1,362361,-1,-1,-1,-1,133.0,0,560861,80123.0,2483813.0,-1,0,0
2016-01-06,2016-01-06 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,ROANOKE VA KM SET2 TP - 00WT,ULSD,80123,-1,560861,0,99928,0,99928,99928,-1,0,-1,530275,0,w1,99928,0,530275,120185,-1,785205,Available,-1,Available,150%,150,-1,100,140%,140,On Track,-1,Below Trend,01/07 00:00:00 EST,-1,w1,0,2016-01-07 00:00:00,Contract,-1,Contract,80123,80123,-1,-1,560861,20257,-1,254930,0,-1,0,0,-1,0,11945090,-1,11945091,2016-01-06 23:34:27,2016-01-06 00:00:00,2016-01-06 23:34:27,Mansfield,-1,Mansfield,80123,-1,560861,120185,-1,785205,False,False,480275,False,0,0,20257,-1,254930,-1,-1,-1,-1,133.0,0,560861,80123.0,2483813.0,-1,0,0
2016-01-07,2016-01-07 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,ROANOKE VA KM SET2 TP - 00WT,ULSD,80123,-1,560861,3,113734,3,113734,106332,-1,0,-1,106332,0,w2,106332,0,106332,120185,-1,785205,Available,-1,Available,150%,150,-1,100,140%,140,On Track,-1,On Track,01/08 00:00:00 EST,-1,w2,0,2016-01-14 00:00:00,Contract,-1,Contract,80123,80123,-1,-1,560861,13853,-1,678873,0,-1,0,0,-1,0,12104287,-1,12104288,2016-01-07 22:08:35,2016-01-07 00:00:00,2016-01-07 22:08:35,Mansfield,-1,Mansfield,80123,-1,560861,120185,-1,785205,False,False,113734,True,0,0,6451,-1,678873,-1,-1,-1,-1,133.0,0,560861,80123.0,2483813.0,-1,0,0
2016-01-08,2016-01-08 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,ROANOKE VA KM SET2 TP - 00WT,ULSD,80123,-1,560861,0,107303,0,107303,107303,-1,0,-1,221037,0,w2,107303,0,221037,120185,-1,785205,Available,-1,Available,150%,150,-1,100,140%,140,On Track,-1,On Track,01/09 00:00:00 EST,-1,w2,0,2016-01-14 00:00:00,Contract,-1,Contract,80123,80123,-1,-1,560861,12882,-1,564168,0,-1,0,0,-1,0,12255791,-1,12255792,2016-01-08 22:17:06,2016-01-08 00:00:00,2016-01-08 22:17:06,Mansfield,-1,Mansfield,80123,-1,560861,120185,-1,785205,True,True,221037,True,0,0,12882,-1,564168,-1,-1,-1,-1,133.0,0,560861,80123.0,2483813.0,-1,0,0
2016-01-09,2016-01-09 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,ROANOKE VA KM SET2 TP - 00WT,ULSD,-1,-1,-1,4,42529,0,-1,-1,-1,0,-1,-1,4,w3,-1,0,263566,-1,-1,-1,-1,-1,-1,-1,150,-1,100,-1,140,-1,-1,-1,-1,-1,w2,1,2016-01-14 00:00:00,-1,-1,-1,80123,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2016-01-09 00:00:00,2016-01-09 00:00:00,2016-01-09 00:00:00,-1,-1,-1,80123,-1,560861,120185,-1,785205,True,True,263566,True,0,0,-1,-1,-1,-1,-1,-1,-1,0.0,0,560861,80123.0,2483813.0,-1,0,0
2016-01-10,2016-01-10 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,ROANOKE VA KM SET2 TP - 00WT,ULSD,80123,-1,560861,3,87388,3,87388,79885,-1,0,-1,343451,0,w3,79885,0,343451,120185,-1,785205,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,01/11 00:00:00 EST,-1,w2,0,2016-01-14 00:00:00,Contract,-1,Contract,80123,80123,-1,-1,560861,40300,-1,441754,0,-1,0,0,-1,0,12563338,-1,12563339,2016-01-10 22:16:44,2016-01-10 00:00:00,2016-01-10 22:16:44,Mansfield,-1,Mansfield,80123,-1,560861,120185,-1,785205,False,False,350954,True,0,0,32797,-1,441754,-1,-1,-1,-1,133.0,0,560861,80123.0,2483813.0,-1,0,0
2016-01-11,2016-01-11 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,ROANOKE VA KM SET2 TP - 00WT,ULSD,80123,-1,560861,3,96086,3,96086,81182,-1,0,-1,432136,0,w3,81182,0,432136,120185,-1,785205,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,01/12 00:00:00 EST,-1,w2,0,2016-01-14 00:00:00,Contract,-1,Contract,80123,80123,-1,-1,560861,39003,-1,353069,0,-1,0,0,-1,0,12715323,-1,12715324,2016-01-11 22:18:03,2016-01-11 00:00:00,2016-01-11 22:18:03,Mansfield,-1,Mansfield,80123,-1,560861,120185,-1,785205,False,False,447040,True,0,0,24099,-1,353069,-1,-1,-1,-1,133.0,0,560861,80123.0,2483813.0,-1,0,0
2016-01-12,2016-01-12 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,ROANOKE VA KM SET2 TP - 00WT,ULSD,80123,-1,560861,3,101131,3,101131,101131,-1,0,-1,548171,0,w3,101131,0,548171,120185,-1,785205,Available,-1,Available,150%,150,-1,100,140%,140,On Track,-1,On Track,01/13 00:00:00 EST,-1,w2,0,2016-01-14 00:00:00,Contract,-1,Contract,80123,80123,-1,-1,560861,19054,-1,237034,0,-1,0,0,-1,0,12862415,-1,12862416,2016-01-12 22:16:39,2016-01-12 00:00:00,2016-01-12 22:16:39,Mansfield,-1,Mansfield,80123,-1,560861,120185,-1,785205,False,True,548171,True,0,0,19054,-1,237034,-1,-1,-1,-1,133.0,0,560861,80123.0,2483813.0,-1,0,0
2016-01-13,2016-01-13 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,ROANOKE VA KM SET2 TP - 00WT,ULSD,80123,-1,560861,0,81428,0,81428,81428,-1,0,-1,629599,0,w3,81428,0,629599,120185,-1,785205,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,On Track,01/14 00:00:00 EST,-1,w2,0,2016-01-14 00:00:00,Contract,-1,Contract,80123,80123,-1,-1,560861,38757,-1,155606,0,-1,0,0,-1,0,12927362,-1,12927363,2016-01-13 22:05:58,2016-01-13 00:00:00,2016-01-13 22:05:58,Mansfield,-1,Mansfield,80123,-1,560861,120185,-1,785205,False,True,629599,True,0,0,38757,-1,155606,-1,-1,-1,-1,133.0,100,560861,80123.0,2483813.0,-1,0,0
2016-01-14,2016-01-14 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,ROANOKE VA KM SET2 TP - 00WT,ULSD,80123,-1,560861,0,101591,0,101591,101591,-1,0,-1,101591,0,w4,101591,0,101591,120185,-1,785205,Available,-1,Available,150%,150,-1,100,140%,140,On Track,-1,On Track,01/15 00:00:00 EST,-1,w3,0,2016-01-21 00:00:00,Contract,-1,Contract,80123,80123,-1,-1,560861,18594,-1,683614,0,-1,0,0,-1,0,13017770,-1,13017771,2016-01-14 22:05:48,2016-01-14 00:00:00,2016-01-14 22:05:48,Mansfield,-1,Mansfield,80123,-1,560861,120185,-1,785205,True,True,101591,True,0,0,18594,-1,683614,-1,-1,-1,-1,133.0,0,560861,80123.0,2483813.0,-1,0,0
2016-01-15,2016-01-15 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,ROANOKE VA KM SET2 TP - 00WT,ULSD,-1,-1,-1,4,92695,0,-1,-1,-1,0,-1,-1,4,w5,-1,0,194286,-1,-1,-1,-1,-1,-1,-1,150,-1,100,-1,140,-1,-1,-1,-1,-1,w3,1,2016-01-21 00:00:00,-1,-1,-1,80123,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2016-01-15 00:00:00,2016-01-15 00:00:00,2016-01-15 00:00:00,-1,-1,-1,80123,-1,560861,120185,-1,785205,True,True,194286,True,0,0,-1,-1,-1,-1,-1,-1,-1,0.0,0,560861,80123.0,2483813.0,-1,0,0
2016-01-16,2016-01-16 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,ROANOKE VA KM SET2 TP - 00WT,ULSD,80123,-1,560861,3,73355,3,73355,73355,-1,0,-1,267641,0,w5,73355,0,267641,120185,-1,785205,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,On Track,01/17 00:00:00 EST,-1,w3,0,2016-01-21 00:00:00,Contract,-1,Contract,80123,80123,-1,-1,560861,46830,-1,517564,0,-1,0,0,-1,0,13259388,-1,13259389,2016-01-16 22:14:40,2016-01-16 00:00:00,2016-01-16 22:14:40,Mansfield,-1,Mansfield,80123,-1,560861,120185,-1,785205,False,True,267641,True,0,0,46830,-1,517564,-1,-1,-1,-1,0.0,0,560861,80123.0,2483813.0,-1,0,0
2016-01-17,2016-01-17 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,ROANOKE VA KM SET2 TP - 00WT,ULSD,80123,-1,560861,3,72077,3,72077,64574,-1,0,-1,332215,0,w5,64574,0,332215,120185,-1,785205,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,01/18 00:00:00 EST,-1,w3,0,2016-01-21 00:00:00,Contract,-1,Contract,80123,80123,-1,-1,560861,55611,-1,452990,0,-1,0,0,-1,0,13419713,-1,13419714,2016-01-17 22:08:54,2016-01-17 00:00:00,2016-01-17 22:08:54,Mansfield,-1,Mansfield,80123,-1,560861,120185,-1,785205,False,False,339718,True,0,0,48108,-1,452990,-1,-1,-1,-1,0.0,0,560861,80123.0,2483813.0,-1,0,0
2016-01-18,2016-01-18 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,ROANOKE VA KM SET2 TP - 00WT,ULSD,80123,-1,560861,3,107400,3,107400,99898,-1,0,-1,439616,0,w5,99898,0,439616,120185,-1,785205,Available,-1,Available,150%,150,-1,100,140%,140,On Track,-1,Below Trend,01/19 00:00:00 EST,-1,w3,0,2016-01-21 00:00:00,Contract,-1,Contract,80123,80123,-1,-1,560861,20287,-1,345589,0,-1,0,0,-1,0,13503443,-1,13503444,2016-01-18 22:07:53,2016-01-18 00:00:00,2016-01-18 22:07:53,Mansfield,-1,Mansfield,80123,-1,560861,120185,-1,785205,False,False,447118,True,0,0,12785,-1,345589,-1,-1,-1,-1,133.0,0,560861,80123.0,2483813.0,-1,0,0
2016-01-19,2016-01-19 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,ROANOKE VA KM SET2 TP - 00WT,ULSD,80123,-1,560861,3,28504,3,28504,28504,-1,0,-1,475622,0,w5,28504,0,475622,120185,-1,785205,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,01/20 00:00:00 EST,-1,w3,0,2016-01-21 00:00:00,Contract,-1,Contract,80123,80123,-1,-1,560861,91681,-1,309583,0,-1,0,0,-1,0,127065,-1,127066,2016-01-19 23:32:00,2016-01-19 00:00:00,2016-01-19 23:32:00,Mansfield,-1,Mansfield,80123,-1,560861,120185,-1,785205,False,True,475622,True,0,0,91681,-1,309583,-1,-1,-1,-1,0.0,0,560861,80123.0,2483813.0,-1,0,0
