,date,supplier_name,account_type,supplier_terminal_name,product_name,base_gallons_Daily,base_gallons_Monthly,base_gallons_Weekly,lifted_gallons_daily_flag,lifted_gallons_daily_modified,Modified_WeeksByLiftedGallons,lifted_gallons_modified_WeeksByLiftedGallons,lifted_gallons_Daily,Lifted_actual_monthly,lifted_gallons_monthly_flag,lifted_gallons_Monthly,Lifted_actual_weekly,lifted_gallons_weekly_flag,WeeksByLiftedGallons,lifted_gallonsWeekly_modified_aposteriori,Modified_LiftedGallonsaposteriori,lifted_gallons_Weekly,beginning_gallons_Daily,beginning_gallons_Monthly,beginning_gallons_Weekly,en_allocation_status_Daily,en_allocation_status_Monthly,en_allocation_status_Weekly,percentage_allocation_Daily_actual,percentage_allocation_Daily,percentage_allocation_Monthly_actual,percentage_allocation_Monthly,percentage_allocation_Weekly_actual,percentage_allocation_Weekly,alerts_ratability_Daily,alerts_ratability_Monthly,alerts_ratability_Weekly,next_refresh_date_Daily,next_refresh_date_Monthly,Week_switch,Modified_NRD,next_refresh_date_Weekly,en_account_type_Daily,en_account_type_Monthly,en_account_type_Weekly,NRB_Daily,next_refresh_base_gallons_Daily,NRB_Monthly,next_refresh_base_gallons_Monthly,next_refresh_base_gallons_Weekly,remaining_gallons_Daily,remaining_gallons_Monthly,remaining_gallons_Weekly,additional_gallons_allowed_Daily,additional_gallons_allowed_Monthly,additional_gallons_allowed_Weekly,additional_gallons_remaining_Daily,additional_gallons_remaining_Monthly,additional_gallons_remaining_Weekly,staging_id_Daily,staging_id_Monthly,staging_id_Weekly,execution_date_Daily,execution_date_Monthly,execution_date_Weekly,customer_name_Daily,customer_name_Monthly,customer_name_Weekly,base_gallons_Daily_Reconciled,base_gallons_Monthly_Reconciled,base_gallons_Weekly_Reconciled,beginning_gallons_Daily_Reconciled,beginning_gallons_Monthly_Reconciled,beginning_gallons_Weekly_Reconciled,sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,computedWeekly,sanityComputedWeekly,computedMonthly,sanityComputedMonthly,remaining_gallons_Daily_Reconciled,remaining_gallons_Monthly_Reconciled,remaining_gallons_Weekly_Reconciled,additional_gallons_remaining_Daily_Reconciled,additional_gallons_remaining_Monthly_Reconciled,additional_gallons_remaining_Weekly_Reconciled,Ratability_Monthly,Ratability_Daily,Ratability_Weekly,Synthetic_Base_Weekly,Synthetic_Base_Daily,Synthetic_Base_Monthly,Ratability_Monthly_computed,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
2016-01-01,2016-01-01 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,SELMA NC KM#1 TP - 00LN,ULSD,12413,-1,86894,3,0,3,0,0,-1,0,-1,7500,0,w1,0,0,7500,18620,-1,121652,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,01/02 00:00:00 EST,-1,w1,0,2016-01-07 00:00:00,Contract,-1,Contract,12413,12413,-1,-1,86894,18620,-1,114152,0,-1,0,0,-1,0,11388779,-1,11388780,2016-01-01 22:12:04,2016-01-01 00:00:00,2016-01-01 22:12:04,Mansfield,-1,Mansfield,12413,-1,86894,18619,-1,121651,False,False,0,False,0,0,18620,-1,114152,-1,-1,-1,-1,0.0,0,86894,12413.0,384803.0,-1,0,0
2016-01-02,2016-01-02 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,SELMA NC KM#1 TP - 00LN,ULSD,12413,-1,86894,3,0,3,0,0,-1,0,-1,7500,0,w1,0,0,7500,18620,-1,121652,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,01/03 00:00:00 EST,-1,w1,0,2016-01-07 00:00:00,Contract,-1,Contract,12413,12413,-1,-1,86894,18620,-1,114152,0,-1,0,0,-1,0,11440843,-1,11440844,2016-01-02 22:06:44,2016-01-02 00:00:00,2016-01-02 22:06:44,Mansfield,-1,Mansfield,12413,-1,86894,18620,-1,121652,False,False,0,False,0,0,18620,-1,114152,-1,-1,-1,-1,0.0,0,86894,12413.0,384803.0,-1,0,0
2016-01-03,2016-01-03 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,SELMA NC KM#1 TP - 00LN,ULSD,12413,-1,86894,3,0,3,0,0,-1,0,-1,7500,0,w1,0,0,7500,18620,-1,121652,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,01/04 00:00:00 EST,-1,w1,0,2016-01-07 00:00:00,Contract,-1,Contract,12413,12413,-1,-1,86894,18620,-1,114152,0,-1,0,0,-1,0,11493859,-1,11493860,2016-01-03 22:08:09,2016-01-03 00:00:00,2016-01-03 22:08:09,Mansfield,-1,Mansfield,12413,-1,86894,18620,-1,121652,False,False,0,False,0,0,18620,-1,114152,-1,-1,-1,-1,0.0,0,86894,12413.0,384803.0,-1,0,0
2016-01-04,2016-01-04 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,SELMA NC KM#1 TP - 00LN,ULSD,12413,-1,86894,3,22506,3,22506,22506,-1,0,-1,30006,0,w1,22506,0,30006,18620,-1,121652,Out,-1,Out,150%,150,-1,100,140%,140,Above Trend,-1,Below Trend,01/05 00:00:00 EST,-1,w1,0,2016-01-07 00:00:00,Contract,-1,Contract,12413,12413,-1,-1,86894,-3887,-1,91646,0,-1,0,0,-1,0,11615874,-1,11615875,2016-01-04 22:18:31,2016-01-04 00:00:00,2016-01-04 22:18:31,Mansfield,-1,Mansfield,12413,-1,86894,18620,-1,121652,False,False,22506,False,0,0,-3886,-1,91646,-1,-1,-1,-1,133.0,0,86894,12413.0,384803.0,-1,0,0
2016-01-05,2016-01-05 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,SELMA NC KM#1 TP - 00LN,ULSD,12413,-1,86894,3,7500,3,7500,7500,-1,0,-1,37506,0,w1,7500,0,37506,18620,-1,121652,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,01/06 00:00:00 EST,-1,w1,0,2016-01-07 00:00:00,Contract,-1,Contract,12413,12413,-1,-1,86894,11120,-1,84146,0,-1,0,0,-1,0,11791916,-1,11791917,2016-01-05 22:16:18,2016-01-05 00:00:00,2016-01-05 22:16:18,Mansfield,-1,Mansfield,12413,-1,86894,18620,-1,121652,False,False,30006,False,0,0,11120,-1,84146,-1,-1,-1,-1,0.0,0,86894,12413.0,384803.0,-1,0,0
2016-01-06,2016-01-06 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,SELMA NC KM#1 TP - 00LN,ULSD,12413,-1,86894,0,16700,0,16700,16700,-1,0,-1,54206,0,w1,16700,0,54206,18620,-1,121652,Available,-1,Available,150%,150,-1,100,140%,140,On Track,-1,Below Trend,01/07 00:00:00 EST,-1,w1,0,2016-01-07 00:00:00,Contract,-1,Contract,12413,12413,-1,-1,86894,1920,-1,67446,0,-1,0,0,-1,0,11945100,-1,11945101,2016-01-06 23:34:27,2016-01-06 00:00:00,2016-01-06 23:34:27,Mansfield,-1,Mansfield,12413,-1,86894,18620,-1,121652,False,False,46706,False,0,0,1920,-1,67446,-1,-1,-1,-1,133.0,0,86894,12413.0,384803.0,-1,0,0
2016-01-07,2016-01-07 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,SELMA NC KM#1 TP - 00LN,ULSD,12413,-1,86894,3,11500,0,11500,11500,-1,0,-1,11500,0,w2,11500,0,11500,18620,-1,121652,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,01/08 00:00:00 EST,-1,w2,0,2016-01-14 00:00:00,Contract,-1,Contract,12413,12413,-1,-1,86894,7120,-1,110152,0,-1,0,0,-1,0,12104297,-1,12104298,2016-01-07 22:08:35,2016-01-07 00:00:00,2016-01-07 22:08:35,Mansfield,-1,Mansfield,12413,-1,86894,18620,-1,121652,True,True,11500,True,0,0,7120,-1,110152,-1,-1,-1,-1,0.0,0,86894,12413.0,384803.0,-1,0,0
2016-01-08,2016-01-08 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,SELMA NC KM#1 TP - 00LN,ULSD,12413,-1,86894,0,8500,0,8500,8500,-1,0,-1,20000,0,w2,8500,0,20000,18620,-1,121652,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,01/09 00:00:00 EST,-1,w2,0,2016-01-14 00:00:00,Contract,-1,Contract,12413,12413,-1,-1,86894,10120,-1,101652,0,-1,0,0,-1,0,12255801,-1,12255802,2016-01-08 22:17:06,2016-01-08 00:00:00,2016-01-08 22:17:06,Mansfield,-1,Mansfield,12413,-1,86894,18620,-1,121652,True,True,20000,True,0,0,10120,-1,101652,-1,-1,-1,-1,0.0,0,86894,12413.0,384803.0,-1,0,0
2016-01-09,2016-01-09 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,SELMA NC KM#1 TP - 00LN,ULSD,-1,-1,-1,4,5300,0,-1,-1,-1,0,-1,-1,4,w3,-1,0,25300,-1,-1,-1,-1,-1,-1,-1,150,-1,100,-1,140,-1,-1,-1,-1,-1,w2,1,2016-01-14 00:00:00,-1,-1,-1,12413,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2016-01-09 00:00:00,2016-01-09 00:00:00,2016-01-09 00:00:00,-1,-1,-1,12413,-1,86894,18620,-1,121652,True,True,25300,True,0,0,-1,-1,-1,-1,-1,-1,-1,0.0,0,86894,12413.0,384803.0,-1,0,0
2016-01-10,2016-01-10 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 WS,SELMA NC KM#1 TP - 00LN,ULSD,12413,-1,86894,3,0,3,0,0,-1,0,-1,25300,0,w3,0,0,25300,18620,-1,121652,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,01/11 00:00:00 EST,-1,w2,0,2016-01-14 00:00:00,Contract,-1,Contract,12413,12413,-1,-1,86894,18620,-1,96352,0,-1,0,0,-1,0,12563348,-1,12563349,2016-01-10 22:16:44,2016-01-10 00:00:00,2016-01-10 22:16:44,Mansfield,-1,Mansfield,12413,-1,86894,18620,-1,121652,False,True,25300,True,0,0,18620,-1,96352,-1,-1,-1,-1,0.0,0,86894,12413.0,384803.0,-1,0,0
