,date,supplier_name,account_type,supplier_terminal_name,product_name,base_gallons_Daily,base_gallons_Monthly,base_gallons_Weekly,lifted_gallons_daily_flag,lifted_gallons_daily_modified,Modified_WeeksByLiftedGallons,lifted_gallons_modified_WeeksByLiftedGallons,lifted_gallons_Daily,Lifted_actual_monthly,lifted_gallons_monthly_flag,lifted_gallons_Monthly,Lifted_actual_weekly,lifted_gallons_weekly_flag,WeeksByLiftedGallons,lifted_gallonsWeekly_modified_aposteriori,Modified_LiftedGallonsaposteriori,lifted_gallons_Weekly,beginning_gallons_Daily,beginning_gallons_Monthly,beginning_gallons_Weekly,en_allocation_status_Daily,en_allocation_status_Monthly,en_allocation_status_Weekly,percentage_allocation_Daily_actual,percentage_allocation_Daily,percentage_allocation_Monthly_actual,percentage_allocation_Monthly,percentage_allocation_Weekly_actual,percentage_allocation_Weekly,alerts_ratability_Daily,alerts_ratability_Monthly,alerts_ratability_Weekly,next_refresh_date_Daily,next_refresh_date_Monthly,Week_switch,Modified_NRD,next_refresh_date_Weekly,en_account_type_Daily,en_account_type_Monthly,en_account_type_Weekly,NRB_Daily,next_refresh_base_gallons_Daily,NRB_Monthly,next_refresh_base_gallons_Monthly,next_refresh_base_gallons_Weekly,remaining_gallons_Daily,remaining_gallons_Monthly,remaining_gallons_Weekly,additional_gallons_allowed_Daily,additional_gallons_allowed_Monthly,additional_gallons_allowed_Weekly,additional_gallons_remaining_Daily,additional_gallons_remaining_Monthly,additional_gallons_remaining_Weekly,staging_id_Daily,staging_id_Monthly,staging_id_Weekly,execution_date_Daily,execution_date_Monthly,execution_date_Weekly,customer_name_Daily,customer_name_Monthly,customer_name_Weekly,base_gallons_Daily_Reconciled,base_gallons_Monthly_Reconciled,base_gallons_Weekly_Reconciled,beginning_gallons_Daily_Reconciled,beginning_gallons_Monthly_Reconciled,beginning_gallons_Weekly_Reconciled,sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,computedWeekly,sanityComputedWeekly,computedMonthly,sanityComputedMonthly,remaining_gallons_Daily_Reconciled,remaining_gallons_Monthly_Reconciled,remaining_gallons_Weekly_Reconciled,additional_gallons_remaining_Daily_Reconciled,additional_gallons_remaining_Monthly_Reconciled,additional_gallons_remaining_Weekly_Reconciled,Ratability_Monthly,Ratability_Daily,Ratability_Weekly,Synthetic_Base_Weekly,Synthetic_Base_Daily,Synthetic_Base_Monthly,Ratability_Monthly_computed,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
2016-01-01,2016-01-01 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 107413 WS,SPOKANE WA (MOC) - 00KJ,Prem CBOB,338,-1,2367,3,0,3,0,0,-1,0,-1,1800,0,w1,0,0,1800,507,-1,3314,Available,-1,Available,150%,150,-1,-1,140%,140,Below Trend,-1,Above Trend,01/02 00:00:00 PST,-1,w1,0,2016-01-07 00:00:00,Contract,-1,Contract,338,338,15808,-1,2367,507,-1,1514,0,-1,0,0,-1,0,11388816,-1,11388817,2016-01-01 22:15:09,2016-01-01 00:00:00,2016-01-01 22:15:09,Mansfield,-1,Mansfield,338,-1,2367,507,-1,3313,False,False,0,False,0,0,507,-1,1514,-1,-1,-1,-1.0,0.0,0,2367.0,338.0,10478.0,-1,0,0
2016-01-02,2016-01-02 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 107413 WS,SPOKANE WA (MOC) - 00KJ,Prem CBOB,338,-1,2367,3,0,3,0,0,-1,0,-1,1800,0,w1,0,0,1800,507,-1,3314,Available,-1,Available,150%,150,-1,-1,140%,140,Below Trend,-1,Above Trend,01/03 00:00:00 PST,-1,w1,0,2016-01-07 00:00:00,Contract,-1,Contract,338,338,15808,-1,2367,507,-1,1514,0,-1,0,0,-1,0,11440880,-1,11440881,2016-01-02 22:13:25,2016-01-02 00:00:00,2016-01-02 22:13:25,Mansfield,-1,Mansfield,338,-1,2367,507,-1,3314,False,False,0,False,0,0,507,-1,1514,-1,-1,-1,-1.0,0.0,0,2367.0,338.0,10478.0,-1,0,0
2016-01-03,2016-01-03 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 107413 WS,SPOKANE WA (MOC) - 00KJ,Prem CBOB,338,-1,2367,3,0,3,0,0,-1,0,-1,1800,0,w1,0,0,1800,507,-1,3314,Available,-1,Available,150%,150,-1,-1,140%,140,Below Trend,-1,On Track,01/04 00:00:00 PST,-1,w1,0,2016-01-07 00:00:00,Contract,-1,Contract,338,338,15808,-1,2367,507,-1,1514,0,-1,0,0,-1,0,11493896,-1,11493897,2016-01-03 22:09:29,2016-01-03 00:00:00,2016-01-03 22:09:29,Mansfield,-1,Mansfield,338,-1,2367,507,-1,3314,False,False,0,False,0,0,507,-1,1514,-1,-1,-1,-1.0,0.0,0,2367.0,338.0,10478.0,-1,0,0
2016-01-04,2016-01-04 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 107413 WS,SPOKANE WA (MOC) - 00KJ,Prem CBOB,338,-1,2367,3,1600,3,1600,1600,-1,0,-1,3400,0,w1,1600,0,3400,507,-1,3314,Out,-1,Out,150%,150,-1,-1,140%,140,Above Trend,-1,Above Trend,01/05 00:00:00 PST,-1,w1,0,2016-01-07 00:00:00,Contract,-1,Contract,338,338,15808,-1,2367,-1093,-1,-86,0,-1,0,0,-1,0,11615877,-1,11615878,2016-01-04 22:18:31,2016-01-04 00:00:00,2016-01-04 22:18:31,Mansfield,-1,Mansfield,338,-1,2367,507,-1,3314,False,False,1600,False,0,0,-1093,-1,-86,-1,-1,-1,-1.0,533.0,0,2367.0,338.0,10478.0,-1,0,0
2016-01-05,2016-01-05 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 107413 WS,SPOKANE WA (MOC) - 00KJ,Prem CBOB,338,-1,2367,3,0,3,0,0,-1,0,-1,3400,0,w1,0,0,3400,507,-1,3314,Out,-1,Out,150%,150,-1,-1,140%,140,Below Trend,-1,Above Trend,01/06 00:00:00 PST,-1,w1,0,2016-01-07 00:00:00,Contract,-1,Contract,338,338,15808,-1,2367,507,-1,-86,0,-1,0,0,-1,0,11792268,-1,11792269,2016-01-05 22:22:19,2016-01-05 00:00:00,2016-01-05 22:22:19,Mansfield,-1,Mansfield,338,-1,2367,507,-1,3314,False,False,1600,False,0,0,507,-1,-86,-1,-1,-1,-1.0,0.0,0,2367.0,338.0,10478.0,-1,0,0
2016-01-06,2016-01-06 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 107413 WS,SPOKANE WA (MOC) - 00KJ,Prem CBOB,338,-1,2367,0,0,0,0,0,-1,0,-1,3400,0,w1,0,0,3400,507,-1,3314,Out,-1,Out,150%,150,-1,-1,140%,140,Below Trend,-1,On Track,01/07 00:00:00 PST,-1,w1,0,2016-01-07 00:00:00,Contract,-1,Contract,338,338,15808,-1,2367,507,-1,-86,0,-1,0,0,-1,0,11945103,-1,11945104,2016-01-06 23:34:27,2016-01-06 00:00:00,2016-01-06 23:34:27,Mansfield,-1,Mansfield,338,-1,2367,507,-1,3314,False,False,1600,False,0,0,507,-1,-86,-1,-1,-1,-1.0,0.0,100,2367.0,338.0,10478.0,-1,0,0
2016-01-07,2016-01-07 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 107413 WS,SPOKANE WA (MOC) - 00KJ,Prem CBOB,338,-1,2367,3,0,0,0,0,-1,0,-1,0,0,w2,0,0,0,507,-1,3314,Available,-1,Available,150%,150,-1,-1,140%,140,Below Trend,-1,Below Trend,01/08 00:00:00 PST,-1,w2,0,2016-01-14 00:00:00,Contract,-1,Contract,338,338,15808,-1,2367,507,-1,3314,0,-1,0,0,-1,0,12104300,-1,12104301,2016-01-07 22:08:35,2016-01-07 00:00:00,2016-01-07 22:08:35,Mansfield,-1,Mansfield,338,-1,2367,507,-1,3314,True,True,0,0,0,0,507,-1,3314,-1,-1,-1,-1.0,0.0,0,2367.0,338.0,10478.0,-1,0,0
2016-01-08,2016-01-08 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 107413 WS,SPOKANE WA (MOC) - 00KJ,Prem CBOB,338,-1,2367,3,3000,0,3000,3000,-1,0,-1,3000,0,w2,3000,0,3000,507,-1,3314,Out,-1,Out,150%,150,-1,-1,140%,140,Above Trend,-1,Above Trend,01/09 00:00:00 PST,-1,w2,0,2016-01-14 00:00:00,Contract,-1,Contract,338,338,15808,-1,2367,-2493,-1,314,0,-1,0,0,-1,0,12256028,-1,12256029,2016-01-08 22:23:20,2016-01-08 00:00:00,2016-01-08 22:23:20,Mansfield,-1,Mansfield,338,-1,2367,507,-1,3314,True,True,0,0,0,0,-2493,-1,314,-1,-1,-1,-1.0,1067.0,0,2367.0,338.0,10478.0,-1,0,0
2016-01-09,2016-01-09 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 107413 WS,SPOKANE WA (MOC) - 00KJ,Prem CBOB,338,-1,2367,3,0,0,0,0,-1,0,-1,3000,0,w2,0,0,3000,507,-1,3314,Available,-1,Available,150%,150,-1,-1,140%,140,Below Trend,-1,Above Trend,01/10 00:00:00 PST,-1,w2,0,2016-01-14 00:00:00,Contract,-1,Contract,338,338,15808,-1,2367,507,-1,314,0,-1,0,0,-1,0,12412643,-1,12412644,2016-01-09 22:22:48,2016-01-09 00:00:00,2016-01-09 22:22:48,Mansfield,-1,Mansfield,338,-1,2367,507,-1,3314,True,True,0,0,0,0,507,-1,314,-1,-1,-1,-1.0,0.0,0,2367.0,338.0,10478.0,-1,0,0
2016-01-10,2016-01-10 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 107413 WS,SPOKANE WA (MOC) - 00KJ,Prem CBOB,338,-1,2367,0,0,0,0,0,-1,0,-1,3000,0,w2,0,0,3000,507,-1,3314,Available,-1,Available,150%,150,-1,-1,140%,140,Below Trend,-1,Above Trend,01/11 00:00:00 PST,-1,w2,0,2016-01-14 00:00:00,Contract,-1,Contract,338,338,10484,-1,2367,507,-1,314,0,-1,0,0,-1,0,12563702,-1,12563703,2016-01-10 22:22:50,2016-01-10 00:00:00,2016-01-10 22:22:50,Mansfield,-1,Mansfield,338,-1,2367,507,-1,3314,True,True,0,0,0,0,507,-1,314,-1,-1,-1,-1.0,0.0,0,2367.0,338.0,10478.0,-1,0,0
