,date,supplier_name,account_type,supplier_terminal_name,product_name,base_gallons_Daily,base_gallons_Monthly,base_gallons_Weekly,lifted_gallons_daily_flag,lifted_gallons_daily_modified,Modified_WeeksByLiftedGallons,lifted_gallons_modified_WeeksByLiftedGallons,lifted_gallons_Daily,Lifted_actual_monthly,lifted_gallons_monthly_flag,lifted_gallons_Monthly,Lifted_actual_weekly,lifted_gallons_weekly_flag,WeeksByLiftedGallons,lifted_gallonsWeekly_modified_aposteriori,Modified_LiftedGallonsaposteriori,lifted_gallons_Weekly,beginning_gallons_Daily,beginning_gallons_Monthly,beginning_gallons_Weekly,en_allocation_status_Daily,en_allocation_status_Monthly,en_allocation_status_Weekly,percentage_allocation_Daily_actual,percentage_allocation_Daily,percentage_allocation_Monthly_actual,percentage_allocation_Monthly,percentage_allocation_Weekly_actual,percentage_allocation_Weekly,alerts_ratability_Daily,alerts_ratability_Monthly,alerts_ratability_Weekly,next_refresh_date_Daily,next_refresh_date_Monthly,Week_switch,Modified_NRD,next_refresh_date_Weekly,en_account_type_Daily,en_account_type_Monthly,en_account_type_Weekly,NRB_Daily,next_refresh_base_gallons_Daily,NRB_Monthly,next_refresh_base_gallons_Monthly,next_refresh_base_gallons_Weekly,remaining_gallons_Daily,remaining_gallons_Monthly,remaining_gallons_Weekly,additional_gallons_allowed_Daily,additional_gallons_allowed_Monthly,additional_gallons_allowed_Weekly,additional_gallons_remaining_Daily,additional_gallons_remaining_Monthly,additional_gallons_remaining_Weekly,staging_id_Daily,staging_id_Monthly,staging_id_Weekly,execution_date_Daily,execution_date_Monthly,execution_date_Weekly,customer_name_Daily,customer_name_Monthly,customer_name_Weekly,base_gallons_Daily_Reconciled,base_gallons_Monthly_Reconciled,base_gallons_Weekly_Reconciled,beginning_gallons_Daily_Reconciled,beginning_gallons_Monthly_Reconciled,beginning_gallons_Weekly_Reconciled,sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,computedWeekly,sanityComputedWeekly,computedMonthly,sanityComputedMonthly,remaining_gallons_Daily_Reconciled,remaining_gallons_Monthly_Reconciled,remaining_gallons_Weekly_Reconciled,additional_gallons_remaining_Daily_Reconciled,additional_gallons_remaining_Monthly_Reconciled,additional_gallons_remaining_Weekly_Reconciled,Ratability_Monthly,Ratability_Daily,Ratability_Weekly,Synthetic_Base_Weekly,Synthetic_Base_Daily,Synthetic_Base_Monthly,Ratability_Monthly_computed,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
2015-07-01,2015-07-01 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 IW,ATHENS GA KM TP - 00BQ,ULSD(G),13860,-1,97020,0,7505,0,7505,7505,-1,0,-1,33220,0,w1,7505,0,33220,20790,-1,135828,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,07/02 00:00:00 EDT,-1,w1,0,2015-07-02 00:00:00,Contract,-1,Contract,13860,13860,-1,-1,97020,13285,-1,102608,0,-1,0,0,-1,0,1193836,-1,1193837,2015-07-01 22:07:38,2015-07-01 00:00:00,2015-07-01 22:07:38,Mansfield,-1,Mansfield,13860,-1,97020,20790,-1,135828,True,True,7505,False,0,0,13285,-1,102608,-1,-1,-1,-1,0.0,0,97020,13860.0,429660.0,-1,0,0
2015-07-02,2015-07-02 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 IW,ATHENS GA KM TP - 00BQ,ULSD(G),13860,-1,97020,0,15000,0,15000,15000,-1,0,-1,15000,0,w2,15000,0,15000,20790,-1,135828,Available,-1,Available,150%,150,-1,100,140%,140,On Track,-1,Above Trend,07/03 00:00:00 EDT,-1,w2,0,2015-07-09 00:00:00,Contract,-1,Contract,13860,13860,-1,-1,97020,5790,-1,120828,0,-1,0,0,-1,0,1230240,-1,1230241,2015-07-02 15:07:52,2015-07-02 00:00:00,2015-07-02 15:07:52,Mansfield,-1,Mansfield,13860,-1,97020,20790,-1,135828,True,True,15000,True,0,0,5790,-1,120828,-1,-1,-1,-1,200.0,0,97020,13860.0,429660.0,-1,0,0
2015-07-03,2015-07-03 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 IW,ATHENS GA KM TP - 00BQ,ULSD(G),-1,-1,-1,4,9105,0,-1,-1,-1,0,-1,-1,4,w3,-1,0,24105,-1,-1,-1,-1,-1,-1,-1,150,-1,100,-1,140,-1,-1,-1,-1,-1,w2,1,2015-07-09 00:00:00,-1,-1,-1,13860,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2015-07-03 00:00:00,2015-07-03 00:00:00,2015-07-03 00:00:00,-1,-1,-1,13860,-1,97020,20790,-1,135828,True,True,24105,True,0,0,-1,-1,-1,-1,-1,-1,-1,0.0,0,97020,13860.0,429660.0,-1,0,0
2015-07-04,2015-07-04 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 IW,ATHENS GA KM TP - 00BQ,ULSD(G),13860,-1,97020,3,0,3,0,0,-1,0,-1,24105,0,w3,0,0,24105,20790,-1,135828,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,07/05 00:00:00 EDT,-1,w2,0,2015-07-09 00:00:00,Contract,-1,Contract,13860,13860,-1,-1,97020,20790,-1,111723,0,-1,0,0,-1,0,1252394,-1,1252395,2015-07-04 08:07:42,2015-07-04 00:00:00,2015-07-04 08:07:42,Mansfield,-1,Mansfield,13860,-1,97020,20790,-1,135828,False,True,24105,True,0,0,20790,-1,111723,-1,-1,-1,-1,0.0,0,97020,13860.0,429660.0,-1,0,0
2015-07-05,2015-07-05 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 IW,ATHENS GA KM TP - 00BQ,ULSD(G),13860,-1,97020,3,0,3,0,0,-1,0,-1,24105,0,w3,0,0,24105,20790,-1,135828,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,07/06 00:00:00 EDT,-1,w2,0,2015-07-09 00:00:00,Contract,-1,Contract,13860,13860,-1,-1,97020,20790,-1,111723,0,-1,0,0,-1,0,1262766,-1,1262767,2015-07-05 08:07:39,2015-07-05 00:00:00,2015-07-05 08:07:39,Mansfield,-1,Mansfield,13860,-1,97020,20790,-1,135828,False,True,24105,True,0,0,20790,-1,111723,-1,-1,-1,-1,0.0,0,97020,13860.0,429660.0,-1,0,0
2015-07-06,2015-07-06 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 IW,ATHENS GA KM TP - 00BQ,ULSD(G),13860,-1,97020,3,0,3,0,0,-1,0,-1,24105,0,w3,0,0,24105,20790,-1,135828,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,07/07 00:00:00 EDT,-1,w2,0,2015-07-09 00:00:00,Contract,-1,Contract,13860,13860,-1,-1,97020,20790,-1,111723,0,-1,0,0,-1,0,1273138,-1,1273139,2015-07-06 08:08:36,2015-07-06 00:00:00,2015-07-06 08:08:36,Mansfield,-1,Mansfield,13860,-1,97020,20790,-1,135828,False,True,24105,True,0,0,20790,-1,111723,-1,-1,-1,-1,0.0,0,97020,13860.0,429660.0,-1,0,0
2015-07-07,2015-07-07 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 IW,ATHENS GA KM TP - 00BQ,ULSD(G),13860,-1,97020,3,7500,3,7500,7500,-1,0,-1,31605,0,w3,7500,0,31605,20790,-1,135828,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,07/08 00:00:00 EDT,-1,w2,0,2015-07-09 00:00:00,Contract,-1,Contract,13860,13860,-1,-1,97020,13290,-1,104223,0,-1,0,0,-1,0,1292988,-1,1292989,2015-07-07 22:02:18,2015-07-07 00:00:00,2015-07-07 22:02:18,Mansfield,-1,Mansfield,13860,-1,97020,20790,-1,135828,False,True,31605,True,0,0,13290,-1,104223,-1,-1,-1,-1,0.0,0,97020,13860.0,429660.0,-1,0,0
2015-07-08,2015-07-08 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 IW,ATHENS GA KM TP - 00BQ,ULSD(G),13860,-1,97020,0,7000,0,7000,7000,-1,0,-1,38605,0,w3,7000,0,38605,20790,-1,135828,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,07/09 00:00:00 EDT,-1,w2,0,2015-07-09 00:00:00,Contract,-1,Contract,13860,13860,-1,-1,97020,13790,-1,97223,0,-1,0,0,-1,0,1314640,-1,1314641,2015-07-08 12:08:40,2015-07-08 00:00:00,2015-07-08 12:08:40,Mansfield,-1,Mansfield,13860,-1,97020,20790,-1,135828,False,True,38605,True,0,0,13790,-1,97223,-1,-1,-1,-1,0.0,0,97020,13860.0,429660.0,-1,0,0
2015-07-09,2015-07-09 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 IW,ATHENS GA KM TP - 00BQ,ULSD(G),13860,-1,97020,3,10000,0,10000,10000,-1,0,-1,10000,0,w4,10000,0,10000,20790,-1,135828,Available,-1,Available,150%,150,-1,100,140%,140,On Track,-1,On Track,07/10 00:00:00 EDT,-1,w3,0,2015-07-16 00:00:00,Contract,-1,Contract,13860,13860,-1,-1,97020,10790,-1,125828,0,-1,0,0,-1,0,1324421,-1,1324422,2015-07-09 16:54:59,2015-07-09 00:00:00,2015-07-09 16:54:59,Mansfield,-1,Mansfield,13860,-1,97020,20790,-1,135828,True,True,10000,True,0,0,10790,-1,125828,-1,-1,-1,-1,0.0,0,97020,13860.0,429660.0,-1,0,0
2015-07-10,2015-07-10 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 IW,ATHENS GA KM TP - 00BQ,ULSD(G),13860,-1,97020,3,0,0,0,0,-1,0,-1,10000,0,w4,0,0,10000,20790,-1,135828,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,07/11 00:00:00 EDT,-1,w3,0,2015-07-16 00:00:00,Contract,-1,Contract,13860,13860,-1,-1,97020,20790,-1,125828,0,-1,0,0,-1,0,1377563,-1,1377564,2015-07-10 22:08:37,2015-07-10 00:00:00,2015-07-10 22:08:37,Mansfield,-1,Mansfield,13860,-1,97020,20790,-1,135828,True,True,10000,True,0,0,20790,-1,125828,-1,-1,-1,-1,0.0,0,97020,13860.0,429660.0,-1,0,0
2015-07-11,2015-07-11 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 IW,ATHENS GA KM TP - 00BQ,ULSD(G),13860,-1,97020,3,0,0,0,0,-1,0,-1,10000,0,w4,0,0,10000,20790,-1,135828,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,07/12 00:00:00 EDT,-1,w3,0,2015-07-16 00:00:00,Contract,-1,Contract,13860,13860,-1,-1,97020,20790,-1,125828,0,-1,0,0,-1,0,1432731,-1,1432732,2015-07-11 22:08:45,2015-07-11 00:00:00,2015-07-11 22:08:45,Mansfield,-1,Mansfield,13860,-1,97020,20790,-1,135828,True,True,10000,True,0,0,20790,-1,125828,-1,-1,-1,-1,0.0,0,97020,13860.0,429660.0,-1,0,0
2015-07-12,2015-07-12 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 IW,ATHENS GA KM TP - 00BQ,ULSD(G),13860,-1,97020,3,0,0,0,0,-1,0,-1,10000,0,w4,0,0,10000,20790,-1,135828,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,07/13 00:00:00 EDT,-1,w3,0,2015-07-16 00:00:00,Contract,-1,Contract,13860,13860,-1,-1,97020,20790,-1,125828,0,-1,0,0,-1,0,1485821,-1,1485822,2015-07-12 22:08:43,2015-07-12 00:00:00,2015-07-12 22:08:43,Mansfield,-1,Mansfield,13860,-1,97020,20790,-1,135828,True,True,10000,True,0,0,20790,-1,125828,-1,-1,-1,-1,0.0,0,97020,13860.0,429660.0,-1,0,0
2015-07-13,2015-07-13 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 IW,ATHENS GA KM TP - 00BQ,ULSD(G),13860,-1,97020,0,0,0,0,0,-1,0,-1,10000,0,w4,0,0,10000,20790,-1,135828,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,07/14 00:00:00 EDT,-1,w3,0,2015-07-16 00:00:00,Contract,-1,Contract,13860,13860,-1,-1,97020,20790,-1,125828,0,-1,0,0,-1,0,1542732,-1,1542733,2015-07-13 22:08:59,2015-07-13 00:00:00,2015-07-13 22:08:59,Mansfield,-1,Mansfield,13860,-1,97020,20790,-1,135828,True,True,10000,True,0,0,20790,-1,125828,-1,-1,-1,-1,0.0,0,97020,13860.0,429660.0,-1,0,0
