,date,supplier_name,account_type,supplier_terminal_name,product_name,base_gallons_Daily,base_gallons_Monthly,base_gallons_Weekly,lifted_gallons_daily_flag,lifted_gallons_daily_modified,Modified_WeeksByLiftedGallons,lifted_gallons_modified_WeeksByLiftedGallons,lifted_gallons_Daily,Lifted_actual_monthly,lifted_gallons_monthly_flag,lifted_gallons_Monthly,Lifted_actual_weekly,lifted_gallons_weekly_flag,WeeksByLiftedGallons,lifted_gallonsWeekly_modified_aposteriori,Modified_LiftedGallonsaposteriori,lifted_gallons_Weekly,beginning_gallons_Daily,beginning_gallons_Monthly,beginning_gallons_Weekly,en_allocation_status_Daily,en_allocation_status_Monthly,en_allocation_status_Weekly,percentage_allocation_Daily_actual,percentage_allocation_Daily,percentage_allocation_Monthly_actual,percentage_allocation_Monthly,percentage_allocation_Weekly_actual,percentage_allocation_Weekly,alerts_ratability_Daily,alerts_ratability_Monthly,alerts_ratability_Weekly,next_refresh_date_Daily,next_refresh_date_Monthly,Week_switch,Modified_NRD,next_refresh_date_Weekly,en_account_type_Daily,en_account_type_Monthly,en_account_type_Weekly,NRB_Daily,next_refresh_base_gallons_Daily,NRB_Monthly,next_refresh_base_gallons_Monthly,next_refresh_base_gallons_Weekly,remaining_gallons_Daily,remaining_gallons_Monthly,remaining_gallons_Weekly,additional_gallons_allowed_Daily,additional_gallons_allowed_Monthly,additional_gallons_allowed_Weekly,additional_gallons_remaining_Daily,additional_gallons_remaining_Monthly,additional_gallons_remaining_Weekly,staging_id_Daily,staging_id_Monthly,staging_id_Weekly,execution_date_Daily,execution_date_Monthly,execution_date_Weekly,customer_name_Daily,customer_name_Monthly,customer_name_Weekly,base_gallons_Daily_Reconciled,base_gallons_Monthly_Reconciled,base_gallons_Weekly_Reconciled,beginning_gallons_Daily_Reconciled,beginning_gallons_Monthly_Reconciled,beginning_gallons_Weekly_Reconciled,sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,computedWeekly,sanityComputedWeekly,computedMonthly,sanityComputedMonthly,remaining_gallons_Daily_Reconciled,remaining_gallons_Monthly_Reconciled,remaining_gallons_Weekly_Reconciled,additional_gallons_remaining_Daily_Reconciled,additional_gallons_remaining_Monthly_Reconciled,additional_gallons_remaining_Weekly_Reconciled,Ratability_Monthly,Ratability_Daily,Ratability_Weekly,Synthetic_Base_Weekly,Synthetic_Base_Daily,Synthetic_Base_Monthly,Ratability_Monthly_computed,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
2015-07-01,2015-07-01 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 IW,DALLAS TX MAGELLAN TP - 00DP,Regular RFG,3742,-1,26191,0,8496,0,8496,8496,-1,0,-1,17001,0,w1,8496,0,17001,4678,-1,28810,Out,-1,Out,125%,125,-1,100,110%,110,Above Trend,-1,Below Trend,07/02 00:00:00 CDT,-1,w1,0,2015-07-02 00:00:00,Contract,-1,Contract,3742,3742,-1,-1,26191,-3819,-1,11809,0,-1,0,0,-1,0,1193868,-1,1193869,2015-07-01 22:07:38,2015-07-01 00:00:00,2015-07-01 22:07:38,Mansfield,-1,Mansfield,3742,-1,26191,4677,-1,28810,True,True,8496,False,0,0,-3818,-1,11809,-1,-1,-1,-1,267.0,0,26191,3742.0,116002.0,-1,0,0
2015-07-02,2015-07-02 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 IW,DALLAS TX MAGELLAN TP - 00DP,Regular RFG,3742,-1,26191,0,1005,0,1005,1005,-1,0,-1,1005,0,w2,1005,0,1005,4678,-1,28810,Available,-1,Available,125%,125,-1,100,110%,110,Below Trend,-1,Below Trend,07/03 00:00:00 CDT,-1,w2,0,2015-07-09 00:00:00,Contract,-1,Contract,3742,3742,-1,-1,26191,3673,-1,27805,0,-1,0,0,-1,0,1230273,-1,1230274,2015-07-02 15:07:52,2015-07-02 00:00:00,2015-07-02 15:07:52,Mansfield,-1,Mansfield,3742,-1,26191,4678,-1,28810,True,True,1005,True,0,0,3673,-1,27805,-1,-1,-1,-1,0.0,0,26191,3742.0,116002.0,-1,0,0
2015-07-03,2015-07-03 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 IW,DALLAS TX MAGELLAN TP - 00DP,Regular RFG,-1,-1,-1,4,15997,0,-1,-1,-1,0,-1,-1,4,w3,-1,0,17002,-1,-1,-1,-1,-1,-1,-1,125,-1,100,-1,110,-1,-1,-1,-1,-1,w2,1,2015-07-09 00:00:00,-1,-1,-1,3742,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2015-07-03 00:00:00,2015-07-03 00:00:00,2015-07-03 00:00:00,-1,-1,-1,3742,-1,26191,4678,-1,28810,True,True,17002,True,0,0,-1,-1,-1,-1,-1,-1,-1,0.0,0,26191,3742.0,116002.0,-1,0,0
2015-07-04,2015-07-04 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 IW,DALLAS TX MAGELLAN TP - 00DP,Regular RFG,3742,-1,26191,3,0,3,0,0,-1,0,-1,17002,0,w3,0,0,17002,4678,-1,28810,Available,-1,Available,125%,125,-1,100,110%,110,Below Trend,-1,Above Trend,07/05 00:00:00 CDT,-1,w2,0,2015-07-09 00:00:00,Contract,-1,Contract,3742,3742,-1,-1,26191,4678,-1,11808,0,-1,0,0,-1,0,1252427,-1,1252428,2015-07-04 08:07:42,2015-07-04 00:00:00,2015-07-04 08:07:42,Mansfield,-1,Mansfield,3742,-1,26191,4678,-1,28810,False,True,17002,True,0,0,4678,-1,11808,-1,-1,-1,-1,0.0,0,26191,3742.0,116002.0,-1,0,0
2015-07-05,2015-07-05 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 IW,DALLAS TX MAGELLAN TP - 00DP,Regular RFG,3742,-1,26191,3,0,3,0,0,-1,0,-1,17002,0,w3,0,0,17002,4678,-1,28810,Available,-1,Available,125%,125,-1,100,110%,110,Below Trend,-1,Above Trend,07/06 00:00:00 CDT,-1,w2,0,2015-07-09 00:00:00,Contract,-1,Contract,3742,3742,-1,-1,26191,4678,-1,11808,0,-1,0,0,-1,0,1262799,-1,1262800,2015-07-05 08:07:39,2015-07-05 00:00:00,2015-07-05 08:07:39,Mansfield,-1,Mansfield,3742,-1,26191,4678,-1,28810,False,True,17002,True,0,0,4678,-1,11808,-1,-1,-1,-1,0.0,0,26191,3742.0,116002.0,-1,0,0
2015-07-06,2015-07-06 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 IW,DALLAS TX MAGELLAN TP - 00DP,Regular RFG,3742,-1,26191,3,8498,3,8498,0,-1,0,-1,17002,0,w3,0,0,17002,4678,-1,28810,Available,-1,Available,125%,125,-1,100,110%,110,Below Trend,-1,On Track,07/07 00:00:00 CDT,-1,w2,0,2015-07-09 00:00:00,Contract,-1,Contract,3742,3742,-1,-1,26191,4678,-1,11808,0,-1,0,0,-1,0,1273171,-1,1273172,2015-07-06 08:08:36,2015-07-06 00:00:00,2015-07-06 08:08:36,Mansfield,-1,Mansfield,3742,-1,26191,4678,-1,28810,False,False,25500,True,0,0,-3820,-1,11808,-1,-1,-1,-1,800.0,0,26191,3742.0,116002.0,-1,0,0
2015-07-07,2015-07-07 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 IW,DALLAS TX MAGELLAN TP - 00DP,Regular RFG,3742,-1,26191,3,1000,3,1000,1000,-1,0,-1,26500,0,w3,1000,0,26500,4678,-1,28810,Available,-1,Available,125%,125,-1,100,110%,110,Below Trend,-1,On Track,07/08 00:00:00 CDT,-1,w2,0,2015-07-09 00:00:00,Contract,-1,Contract,3742,3742,-1,-1,26191,3678,-1,2310,7500,-1,7500,7500,-1,7500,1293021,-1,1293022,2015-07-07 22:02:18,2015-07-07 00:00:00,2015-07-07 22:02:18,Mansfield,-1,Mansfield,3742,-1,26191,4678,-1,28810,False,True,26500,True,0,0,3678,-1,2310,-1,-1,-1,-1,0.0,0,26191,3742.0,116002.0,-1,0,0
2015-07-08,2015-07-08 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 IW,DALLAS TX MAGELLAN TP - 00DP,Regular RFG,3742,-1,26191,0,0,0,0,0,-1,0,-1,26500,0,w3,0,0,26500,4678,-1,28810,Available,-1,Available,125%,125,-1,100,110%,110,Below Trend,-1,On Track,07/09 00:00:00 CDT,-1,w2,0,2015-07-09 00:00:00,Contract,-1,Contract,3742,3742,-1,-1,26191,4678,-1,2310,7500,-1,7500,7500,-1,7500,1314673,-1,1314674,2015-07-08 12:08:40,2015-07-08 00:00:00,2015-07-08 12:08:40,Mansfield,-1,Mansfield,3742,-1,26191,4678,-1,28810,False,True,26500,True,0,0,4678,-1,2310,-1,-1,-1,-1,0.0,100,26191,3742.0,116002.0,-1,0,0
2015-07-09,2015-07-09 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 IW,DALLAS TX MAGELLAN TP - 00DP,Regular RFG,3742,-1,26191,3,0,0,0,0,-1,0,-1,0,0,w4,0,0,0,4678,-1,28810,Available,-1,Available,125%,125,-1,100,110%,110,Below Trend,-1,Below Trend,07/10 00:00:00 CDT,-1,w3,0,2015-07-16 00:00:00,Contract,-1,Contract,3742,3742,-1,-1,26191,4678,-1,28810,0,-1,0,0,-1,0,1324454,-1,1324455,2015-07-09 16:54:59,2015-07-09 00:00:00,2015-07-09 16:54:59,Mansfield,-1,Mansfield,3742,-1,26191,4678,-1,28810,True,True,0,True,0,0,4678,-1,28810,-1,-1,-1,-1,0.0,0,26191,3742.0,116002.0,-1,0,0
2015-07-10,2015-07-10 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 IW,DALLAS TX MAGELLAN TP - 00DP,Regular RFG,3742,-1,26191,3,0,0,0,0,-1,0,-1,0,0,w4,0,0,0,4678,-1,28810,Available,-1,Available,125%,125,-1,100,110%,110,Below Trend,-1,Below Trend,07/11 00:00:00 CDT,-1,w3,0,2015-07-16 00:00:00,Contract,-1,Contract,3742,3742,-1,-1,26191,4678,-1,28810,0,-1,0,0,-1,0,1377595,-1,1377596,2015-07-10 22:08:37,2015-07-10 00:00:00,2015-07-10 22:08:37,Mansfield,-1,Mansfield,3742,-1,26191,4678,-1,28810,True,True,0,True,0,0,4678,-1,28810,-1,-1,-1,-1,0.0,0,26191,3742.0,116002.0,-1,0,0
