,date,supplier_name,account_type,supplier_terminal_name,product_name,base_gallons_Daily,base_gallons_Monthly,base_gallons_Weekly,lifted_gallons_daily_flag,lifted_gallons_daily_modified,Modified_WeeksByLiftedGallons,lifted_gallons_modified_WeeksByLiftedGallons,lifted_gallons_Daily,Lifted_actual_monthly,lifted_gallons_monthly_flag,lifted_gallons_Monthly,Lifted_actual_weekly,lifted_gallons_weekly_flag,WeeksByLiftedGallons,lifted_gallonsWeekly_modified_aposteriori,Modified_LiftedGallonsaposteriori,lifted_gallons_Weekly,beginning_gallons_Daily,beginning_gallons_Monthly,beginning_gallons_Weekly,en_allocation_status_Daily,en_allocation_status_Monthly,en_allocation_status_Weekly,percentage_allocation_Daily_actual,percentage_allocation_Daily,percentage_allocation_Monthly_actual,percentage_allocation_Monthly,percentage_allocation_Weekly_actual,percentage_allocation_Weekly,alerts_ratability_Daily,alerts_ratability_Monthly,alerts_ratability_Weekly,next_refresh_date_Daily,next_refresh_date_Monthly,Week_switch,Modified_NRD,next_refresh_date_Weekly,en_account_type_Daily,en_account_type_Monthly,en_account_type_Weekly,NRB_Daily,next_refresh_base_gallons_Daily,NRB_Monthly,next_refresh_base_gallons_Monthly,next_refresh_base_gallons_Weekly,remaining_gallons_Daily,remaining_gallons_Monthly,remaining_gallons_Weekly,additional_gallons_allowed_Daily,additional_gallons_allowed_Monthly,additional_gallons_allowed_Weekly,additional_gallons_remaining_Daily,additional_gallons_remaining_Monthly,additional_gallons_remaining_Weekly,staging_id_Daily,staging_id_Monthly,staging_id_Weekly,execution_date_Daily,execution_date_Monthly,execution_date_Weekly,customer_name_Daily,customer_name_Monthly,customer_name_Weekly,base_gallons_Daily_Reconciled,base_gallons_Monthly_Reconciled,base_gallons_Weekly_Reconciled,beginning_gallons_Daily_Reconciled,beginning_gallons_Monthly_Reconciled,beginning_gallons_Weekly_Reconciled,sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,computedWeekly,sanityComputedWeekly,computedMonthly,sanityComputedMonthly,remaining_gallons_Daily_Reconciled,remaining_gallons_Monthly_Reconciled,remaining_gallons_Weekly_Reconciled,additional_gallons_remaining_Daily_Reconciled,additional_gallons_remaining_Monthly_Reconciled,additional_gallons_remaining_Weekly_Reconciled,Ratability_Monthly,Ratability_Daily,Ratability_Weekly,Synthetic_Base_Weekly,Synthetic_Base_Daily,Synthetic_Base_Monthly,Ratability_Monthly_computed,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
2015-07-01,2015-07-01 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 IW,DES PLAINES IL (MOC) - 00BN,Reg RFG,3103,-1,21723,0,0,0,0,0,-1,0,-1,37305,0,w1,0,0,37305,4655,-1,30412,Out,-1,Out,150%,150,-1,100,140%,140,Below Trend,-1,Above Trend,07/02 00:00:00 CDT,-1,w1,0,2015-07-02 00:00:00,Contract,-1,Contract,3103,3103,-1,-1,21723,4655,-1,-6893,0,-1,0,0,-1,0,1193871,-1,1193872,2015-07-01 22:07:38,2015-07-01 00:00:00,2015-07-01 22:07:38,Mansfield,-1,Mansfield,3103,-1,21723,4654,-1,30412,True,True,0,False,0,0,4655,-1,-6893,-1,-1,-1,-1,0.0,100,21723,3103.0,96193.0,-1,0,0
2015-07-02,2015-07-02 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 IW,DES PLAINES IL (MOC) - 00BN,Reg RFG,3103,-1,21723,0,8601,0,8601,8601,-1,0,-1,8601,0,w2,8601,0,8601,4655,-1,30412,Out,-1,Out,150%,150,-1,100,140%,140,Above Trend,-1,Above Trend,07/03 00:00:00 CDT,-1,w2,0,2015-07-09 00:00:00,Contract,-1,Contract,3103,3103,-1,-1,21723,-3947,-1,21811,0,-1,0,0,-1,0,1230276,-1,1230277,2015-07-02 15:07:52,2015-07-02 00:00:00,2015-07-02 15:07:52,Mansfield,-1,Mansfield,3103,-1,21723,4655,-1,30412,True,True,8601,True,0,0,-3946,-1,21811,-1,-1,-1,-1,400.0,0,21723,3103.0,96193.0,-1,0,0
2015-07-03,2015-07-03 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 IW,DES PLAINES IL (MOC) - 00BN,Reg RFG,-1,-1,-1,4,3000,0,-1,-1,-1,0,-1,-1,4,w3,-1,0,11601,-1,-1,-1,-1,-1,-1,-1,150,-1,100,-1,140,-1,-1,-1,-1,-1,w2,1,2015-07-09 00:00:00,-1,-1,-1,3103,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2015-07-03 00:00:00,2015-07-03 00:00:00,2015-07-03 00:00:00,-1,-1,-1,3103,-1,21723,4655,-1,30412,True,True,11601,True,0,0,-1,-1,-1,-1,-1,-1,-1,0.0,0,21723,3103.0,96193.0,-1,0,0
2015-07-04,2015-07-04 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 IW,DES PLAINES IL (MOC) - 00BN,Reg RFG,3103,-1,21723,3,0,3,0,0,-1,0,-1,11601,0,w3,0,0,11601,4655,-1,30412,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,On Track,07/05 00:00:00 CDT,-1,w2,0,2015-07-09 00:00:00,Contract,-1,Contract,3103,3103,-1,-1,21723,4655,-1,18811,0,-1,0,0,-1,0,1252430,-1,1252431,2015-07-04 08:07:42,2015-07-04 00:00:00,2015-07-04 08:07:42,Mansfield,-1,Mansfield,3103,-1,21723,4655,-1,30412,False,True,11601,True,0,0,4655,-1,18811,-1,-1,-1,-1,0.0,0,21723,3103.0,96193.0,-1,0,0
2015-07-05,2015-07-05 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 IW,DES PLAINES IL (MOC) - 00BN,Reg RFG,3103,-1,21723,3,0,3,0,0,-1,0,-1,11601,0,w3,0,0,11601,4655,-1,30412,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,On Track,07/06 00:00:00 CDT,-1,w2,0,2015-07-09 00:00:00,Contract,-1,Contract,3103,3103,-1,-1,21723,4655,-1,18811,0,-1,0,0,-1,0,1262802,-1,1262803,2015-07-05 08:07:39,2015-07-05 00:00:00,2015-07-05 08:07:39,Mansfield,-1,Mansfield,3103,-1,21723,4655,-1,30412,False,True,11601,True,0,0,4655,-1,18811,-1,-1,-1,-1,0.0,0,21723,3103.0,96193.0,-1,0,0
2015-07-06,2015-07-06 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 IW,DES PLAINES IL (MOC) - 00BN,Reg RFG,3103,-1,21723,3,3200,3,3200,3200,-1,0,-1,14801,0,w3,3200,0,14801,4655,-1,30412,Available,-1,Available,150%,150,-1,100,140%,140,Above Trend,-1,Below Trend,07/07 00:00:00 CDT,-1,w2,0,2015-07-09 00:00:00,Contract,-1,Contract,3103,3103,-1,-1,21723,1455,-1,15611,0,-1,0,0,-1,0,1273174,-1,1273175,2015-07-06 08:08:36,2015-07-06 00:00:00,2015-07-06 08:08:36,Mansfield,-1,Mansfield,3103,-1,21723,4655,-1,30412,False,True,14801,True,0,0,1455,-1,15611,-1,-1,-1,-1,400.0,0,21723,3103.0,96193.0,-1,0,0
2015-07-07,2015-07-07 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 IW,DES PLAINES IL (MOC) - 00BN,Reg RFG,3103,-1,21723,3,11803,3,11803,11803,-1,0,-1,26604,0,w3,11803,0,26604,4655,-1,30412,Out,-1,Out,150%,150,-1,100,140%,140,Above Trend,-1,On Track,07/08 00:00:00 CDT,-1,w2,0,2015-07-09 00:00:00,Contract,-1,Contract,3103,3103,-1,-1,21723,-7149,-1,3808,0,-1,0,0,-1,0,1293024,-1,1293025,2015-07-07 22:02:18,2015-07-07 00:00:00,2015-07-07 22:02:18,Mansfield,-1,Mansfield,3103,-1,21723,4655,-1,30412,False,True,26604,True,0,0,-7148,-1,3808,-1,-1,-1,-1,400.0,0,21723,3103.0,96193.0,-1,0,0
2015-07-08,2015-07-08 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 IW,DES PLAINES IL (MOC) - 00BN,Reg RFG,3103,-1,21723,0,4300,0,4300,4300,-1,0,-1,30904,0,w3,4300,0,30904,4655,-1,30412,Out,-1,Out,150%,150,-1,100,140%,140,Above Trend,-1,On Track,07/09 00:00:00 CDT,-1,w2,0,2015-07-09 00:00:00,Contract,-1,Contract,3103,3103,-1,-1,21723,355,-1,-492,0,-1,0,0,-1,0,1314676,-1,1314677,2015-07-08 12:08:40,2015-07-08 00:00:00,2015-07-08 12:08:40,Mansfield,-1,Mansfield,3103,-1,21723,4655,-1,30412,False,True,30904,True,0,0,355,-1,-492,-1,-1,-1,-1,400.0,100,21723,3103.0,96193.0,-1,0,0
2015-07-09,2015-07-09 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 IW,DES PLAINES IL (MOC) - 00BN,Reg RFG,3103,-1,21723,3,2100,3,2100,0,-1,0,-1,0,0,w4,0,0,0,4655,-1,30412,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,07/10 00:00:00 CDT,-1,w3,0,2015-07-16 00:00:00,Contract,-1,Contract,3103,3103,-1,-1,21723,4655,-1,30412,0,-1,0,0,-1,0,1324457,-1,1324458,2015-07-09 16:54:59,2015-07-09 00:00:00,2015-07-09 16:54:59,Mansfield,-1,Mansfield,3103,-1,21723,4655,-1,30412,False,False,2100,True,0,0,2555,-1,30412,-1,-1,-1,-1,0.0,0,21723,3103.0,96193.0,-1,0,0
2015-07-10,2015-07-10 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 IW,DES PLAINES IL (MOC) - 00BN,Reg RFG,3103,-1,21723,3,6380,3,6380,6380,-1,0,-1,8480,0,w4,6380,0,8480,4655,-1,30412,Out,-1,Out,150%,150,-1,100,140%,140,Above Trend,-1,On Track,07/11 00:00:00 CDT,-1,w3,0,2015-07-16 00:00:00,Contract,-1,Contract,3103,3103,-1,-1,21723,-1726,-1,21932,0,-1,0,0,-1,0,1377598,-1,1377599,2015-07-10 22:08:37,2015-07-10 00:00:00,2015-07-10 22:08:37,Mansfield,-1,Mansfield,3103,-1,21723,4655,-1,30412,True,True,8480,True,0,0,-1725,-1,21932,-1,-1,-1,-1,267.0,0,21723,3103.0,96193.0,-1,0,0
2015-07-11,2015-07-11 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 IW,DES PLAINES IL (MOC) - 00BN,Reg RFG,3103,-1,21723,3,8612,3,8612,8612,-1,0,-1,17092,0,w4,8612,0,17092,4655,-1,30412,Out,-1,Out,150%,150,-1,100,140%,140,Above Trend,-1,Above Trend,07/12 00:00:00 CDT,-1,w3,0,2015-07-16 00:00:00,Contract,-1,Contract,3103,3103,-1,-1,21723,-3958,-1,13320,0,-1,0,0,-1,0,1432766,-1,1432767,2015-07-11 22:08:45,2015-07-11 00:00:00,2015-07-11 22:08:45,Mansfield,-1,Mansfield,3103,-1,21723,4655,-1,30412,True,True,17092,True,0,0,-3957,-1,13320,-1,-1,-1,-1,267.0,0,21723,3103.0,96193.0,-1,0,0
