,date,supplier_name,account_type,supplier_terminal_name,product_name,base_gallons_Daily,base_gallons_Monthly,base_gallons_Weekly,lifted_gallons_daily_flag,lifted_gallons_daily_modified,Modified_WeeksByLiftedGallons,lifted_gallons_modified_WeeksByLiftedGallons,lifted_gallons_Daily,Lifted_actual_monthly,lifted_gallons_monthly_flag,lifted_gallons_Monthly,Lifted_actual_weekly,lifted_gallons_weekly_flag,WeeksByLiftedGallons,lifted_gallonsWeekly_modified_aposteriori,Modified_LiftedGallonsaposteriori,lifted_gallons_Weekly,beginning_gallons_Daily,beginning_gallons_Monthly,beginning_gallons_Weekly,en_allocation_status_Daily,en_allocation_status_Monthly,en_allocation_status_Weekly,percentage_allocation_Daily_actual,percentage_allocation_Daily,percentage_allocation_Monthly_actual,percentage_allocation_Monthly,percentage_allocation_Weekly_actual,percentage_allocation_Weekly,alerts_ratability_Daily,alerts_ratability_Monthly,alerts_ratability_Weekly,next_refresh_date_Daily,next_refresh_date_Monthly,Week_switch,Modified_NRD,next_refresh_date_Weekly,en_account_type_Daily,en_account_type_Monthly,en_account_type_Weekly,NRB_Daily,next_refresh_base_gallons_Daily,NRB_Monthly,next_refresh_base_gallons_Monthly,next_refresh_base_gallons_Weekly,remaining_gallons_Daily,remaining_gallons_Monthly,remaining_gallons_Weekly,additional_gallons_allowed_Daily,additional_gallons_allowed_Monthly,additional_gallons_allowed_Weekly,additional_gallons_remaining_Daily,additional_gallons_remaining_Monthly,additional_gallons_remaining_Weekly,staging_id_Daily,staging_id_Monthly,staging_id_Weekly,execution_date_Daily,execution_date_Monthly,execution_date_Weekly,customer_name_Daily,customer_name_Monthly,customer_name_Weekly,base_gallons_Daily_Reconciled,base_gallons_Monthly_Reconciled,base_gallons_Weekly_Reconciled,beginning_gallons_Daily_Reconciled,beginning_gallons_Monthly_Reconciled,beginning_gallons_Weekly_Reconciled,sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,computedWeekly,sanityComputedWeekly,computedMonthly,sanityComputedMonthly,remaining_gallons_Daily_Reconciled,remaining_gallons_Monthly_Reconciled,remaining_gallons_Weekly_Reconciled,additional_gallons_remaining_Daily_Reconciled,additional_gallons_remaining_Monthly_Reconciled,additional_gallons_remaining_Weekly_Reconciled,Ratability_Monthly,Ratability_Daily,Ratability_Weekly,Synthetic_Base_Weekly,Synthetic_Base_Daily,Synthetic_Base_Monthly,Ratability_Monthly_computed,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
2015-07-01,2015-07-01 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 IW,GREENSBORO NC KMSE TP - 00G7,ULSD,28980,-1,202860,0,7506,3,0,7506,-1,0,-1,7506,0,w1,7506,0,7506,43470,-1,284004,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,07/02 00:00:00 EDT,-1,w1,0,2015-07-02 00:00:00,Contract,-1,Contract,28980,28980,-1,-1,202860,35964,-1,276498,0,-1,0,0,-1,0,1193879,-1,1193880,2015-07-01 22:07:38,2015-07-01 00:00:00,2015-07-01 22:07:38,Mansfield,-1,Mansfield,28980,-1,202860,43470,-1,284004,False,False,7506,True,0,0,35964,-1,276498,-1,-1,-1,-1,0.0,0,202860,28980.0,898380.0,-1,0,0
2015-07-02,2015-07-02 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 IW,GREENSBORO NC KMSE TP - 00G7,ULSD,28980,-1,202860,0,48636,0,48636,48636,-1,0,-1,48636,0,w1,48636,0,48636,43470,-1,284004,Out,-1,Out,150%,150,-1,100,140%,140,Above Trend,-1,Above Trend,07/03 00:00:00 EDT,-1,w2,0,2015-07-09 00:00:00,Contract,-1,Contract,28980,28980,-1,-1,202860,-5166,-1,235368,0,-1,0,0,-1,0,1230284,-1,1230285,2015-07-02 15:07:52,2015-07-02 00:00:00,2015-07-02 15:07:52,Mansfield,-1,Mansfield,28980,-1,202860,43470,-1,284004,False,True,48636,True,0,0,-5166,-1,235368,-1,-1,-1,-1,200.0,0,202860,28980.0,898380.0,-1,0,0
2015-07-03,2015-07-03 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 IW,GREENSBORO NC KMSE TP - 00G7,ULSD,-1,-1,-1,4,0,0,-1,-1,-1,0,-1,-1,4,w2,-1,0,48636,-1,-1,-1,-1,-1,-1,-1,150,-1,100,-1,140,-1,-1,-1,-1,-1,w2,1,2015-07-09 00:00:00,-1,-1,-1,28980,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2015-07-03 00:00:00,2015-07-03 00:00:00,2015-07-03 00:00:00,-1,-1,-1,28980,-1,202860,43470,-1,284004,True,True,48636,True,0,0,-1,-1,-1,-1,-1,-1,-1,0.0,0,202860,28980.0,898380.0,-1,0,0
2015-07-04,2015-07-04 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 IW,GREENSBORO NC KMSE TP - 00G7,ULSD,28980,-1,202860,3,0,3,0,0,-1,0,-1,48636,0,w2,0,0,48636,43470,-1,284004,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,07/05 00:00:00 EDT,-1,w2,0,2015-07-09 00:00:00,Contract,-1,Contract,28980,28980,-1,-1,202860,43470,-1,235368,0,-1,0,0,-1,0,1252438,-1,1252439,2015-07-04 08:07:42,2015-07-04 00:00:00,2015-07-04 08:07:42,Mansfield,-1,Mansfield,28980,-1,202860,43470,-1,284004,False,True,48636,True,0,0,43470,-1,235368,-1,-1,-1,-1,0.0,0,202860,28980.0,898380.0,-1,0,0
2015-07-05,2015-07-05 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 IW,GREENSBORO NC KMSE TP - 00G7,ULSD,28980,-1,202860,3,0,3,0,0,-1,0,-1,48636,0,w2,0,0,48636,43470,-1,284004,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,07/06 00:00:00 EDT,-1,w2,0,2015-07-09 00:00:00,Contract,-1,Contract,28980,28980,-1,-1,202860,43470,-1,235368,0,-1,0,0,-1,0,1262810,-1,1262811,2015-07-05 08:07:39,2015-07-05 00:00:00,2015-07-05 08:07:39,Mansfield,-1,Mansfield,28980,-1,202860,43470,-1,284004,False,True,48636,True,0,0,43470,-1,235368,-1,-1,-1,-1,0.0,0,202860,28980.0,898380.0,-1,0,0
2015-07-06,2015-07-06 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 IW,GREENSBORO NC KMSE TP - 00G7,ULSD,28980,-1,202860,3,0,3,0,0,-1,0,-1,48636,0,w2,0,0,48636,43470,-1,284004,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,07/07 00:00:00 EDT,-1,w2,0,2015-07-09 00:00:00,Contract,-1,Contract,28980,28980,-1,-1,202860,43470,-1,235368,0,-1,0,0,-1,0,1273182,-1,1273183,2015-07-06 08:08:36,2015-07-06 00:00:00,2015-07-06 08:08:36,Mansfield,-1,Mansfield,28980,-1,202860,43470,-1,284004,False,True,48636,True,0,0,43470,-1,235368,-1,-1,-1,-1,0.0,0,202860,28980.0,898380.0,-1,0,0
2015-07-07,2015-07-07 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 IW,GREENSBORO NC KMSE TP - 00G7,ULSD,28980,-1,202860,3,14339,3,14339,14339,-1,0,-1,62975,0,w2,14339,0,62975,43470,-1,284004,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,07/08 00:00:00 EDT,-1,w2,0,2015-07-09 00:00:00,Contract,-1,Contract,28980,28980,-1,-1,202860,29131,-1,221029,0,-1,0,0,-1,0,1293032,-1,1293033,2015-07-07 22:02:18,2015-07-07 00:00:00,2015-07-07 22:02:18,Mansfield,-1,Mansfield,28980,-1,202860,43470,-1,284004,False,True,62975,True,0,0,29131,-1,221029,-1,-1,-1,-1,0.0,0,202860,28980.0,898380.0,-1,0,0
2015-07-08,2015-07-08 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 IW,GREENSBORO NC KMSE TP - 00G7,ULSD,28980,-1,202860,0,7503,0,7503,7503,-1,0,-1,70478,0,w2,7503,0,70478,43470,-1,284004,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,07/09 00:00:00 EDT,-1,w2,0,2015-07-09 00:00:00,Contract,-1,Contract,28980,28980,-1,-1,202860,35967,-1,213526,0,-1,0,0,-1,0,1314684,-1,1314685,2015-07-08 12:08:40,2015-07-08 00:00:00,2015-07-08 12:08:40,Mansfield,-1,Mansfield,28980,-1,202860,43470,-1,284004,False,True,70478,True,0,0,35967,-1,213526,-1,-1,-1,-1,0.0,0,202860,28980.0,898380.0,-1,0,0
2015-07-09,2015-07-09 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 IW,GREENSBORO NC KMSE TP - 00G7,ULSD,28980,-1,202860,3,15013,3,15013,7506,-1,0,-1,7506,0,w3,7506,0,7506,43470,-1,284004,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,07/10 00:00:00 EDT,-1,w3,0,2015-07-16 00:00:00,Contract,-1,Contract,28980,28980,-1,-1,202860,35964,-1,276498,0,-1,0,0,-1,0,1324465,-1,1324466,2015-07-09 16:54:59,2015-07-09 00:00:00,2015-07-09 16:54:59,Mansfield,-1,Mansfield,28980,-1,202860,43470,-1,284004,False,False,15013,True,0,0,28457,-1,276498,-1,-1,-1,-1,0.0,0,202860,28980.0,898380.0,-1,0,0
2015-07-10,2015-07-10 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 IW,GREENSBORO NC KMSE TP - 00G7,ULSD,28980,-1,202860,3,15008,3,15008,15008,-1,0,-1,30021,0,w3,15008,0,30021,43470,-1,284004,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,07/11 00:00:00 EDT,-1,w3,0,2015-07-16 00:00:00,Contract,-1,Contract,28980,28980,-1,-1,202860,28462,-1,253983,0,-1,0,0,-1,0,1377606,-1,1377607,2015-07-10 22:08:37,2015-07-10 00:00:00,2015-07-10 22:08:37,Mansfield,-1,Mansfield,28980,-1,202860,43470,-1,284004,True,True,30021,True,0,0,28462,-1,253983,-1,-1,-1,-1,0.0,0,202860,28980.0,898380.0,-1,0,0
