,date,supplier_name,account_type,supplier_terminal_name,product_name,base_gallons_Daily,base_gallons_Monthly,base_gallons_Weekly,lifted_gallons_daily_flag,lifted_gallons_daily_modified,Modified_WeeksByLiftedGallons,lifted_gallons_modified_WeeksByLiftedGallons,lifted_gallons_Daily,Lifted_actual_monthly,lifted_gallons_monthly_flag,lifted_gallons_Monthly,Lifted_actual_weekly,lifted_gallons_weekly_flag,WeeksByLiftedGallons,lifted_gallonsWeekly_modified_aposteriori,Modified_LiftedGallonsaposteriori,lifted_gallons_Weekly,beginning_gallons_Daily,beginning_gallons_Monthly,beginning_gallons_Weekly,en_allocation_status_Daily,en_allocation_status_Monthly,en_allocation_status_Weekly,percentage_allocation_Daily_actual,percentage_allocation_Daily,percentage_allocation_Monthly_actual,percentage_allocation_Monthly,percentage_allocation_Weekly_actual,percentage_allocation_Weekly,alerts_ratability_Daily,alerts_ratability_Monthly,alerts_ratability_Weekly,next_refresh_date_Daily,next_refresh_date_Monthly,Week_switch,Modified_NRD,next_refresh_date_Weekly,en_account_type_Daily,en_account_type_Monthly,en_account_type_Weekly,NRB_Daily,next_refresh_base_gallons_Daily,NRB_Monthly,next_refresh_base_gallons_Monthly,next_refresh_base_gallons_Weekly,remaining_gallons_Daily,remaining_gallons_Monthly,remaining_gallons_Weekly,additional_gallons_allowed_Daily,additional_gallons_allowed_Monthly,additional_gallons_allowed_Weekly,additional_gallons_remaining_Daily,additional_gallons_remaining_Monthly,additional_gallons_remaining_Weekly,staging_id_Daily,staging_id_Monthly,staging_id_Weekly,execution_date_Daily,execution_date_Monthly,execution_date_Weekly,customer_name_Daily,customer_name_Monthly,customer_name_Weekly,base_gallons_Daily_Reconciled,base_gallons_Monthly_Reconciled,base_gallons_Weekly_Reconciled,beginning_gallons_Daily_Reconciled,beginning_gallons_Monthly_Reconciled,beginning_gallons_Weekly_Reconciled,sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,computedWeekly,sanityComputedWeekly,computedMonthly,sanityComputedMonthly,remaining_gallons_Daily_Reconciled,remaining_gallons_Monthly_Reconciled,remaining_gallons_Weekly_Reconciled,additional_gallons_remaining_Daily_Reconciled,additional_gallons_remaining_Monthly_Reconciled,additional_gallons_remaining_Weekly_Reconciled,Ratability_Monthly,Ratability_Daily,Ratability_Weekly,Synthetic_Base_Weekly,Synthetic_Base_Daily,Synthetic_Base_Monthly,Ratability_Monthly_computed,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
2015-07-01,2015-07-01 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 IW,KNOXVILLE TN KMSET TP - 00R4,ULSD,21000,-1,147000,0,22526,0,22526,22526,-1,0,-1,75548,0,w1,22526,0,75548,31500,-1,205800,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,07/02 00:00:00 EDT,-1,w1,0,2015-07-02 00:00:00,Contract,-1,Contract,21000,21000,-1,-1,147000,8974,-1,130252,0,-1,0,0,-1,0,1193890,-1,1193891,2015-07-01 22:07:38,2015-07-01 00:00:00,2015-07-01 22:07:38,Mansfield,-1,Mansfield,21000,-1,147000,31500,-1,205800,True,True,22526,False,0,0,8974,-1,130252,-1,-1,-1,-1,133.0,0,147000,21000.0,651000.0,-1,0,0
2015-07-02,2015-07-02 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 IW,KNOXVILLE TN KMSET TP - 00R4,ULSD,21000,-1,147000,0,22614,0,22614,22614,-1,0,-1,22614,0,w2,22614,0,22614,31500,-1,205800,Available,-1,Available,150%,150,-1,100,140%,140,On Track,-1,Above Trend,07/03 00:00:00 EDT,-1,w2,0,2015-07-09 00:00:00,Contract,-1,Contract,21000,21000,-1,-1,147000,8886,-1,183186,0,-1,0,0,-1,0,1230295,-1,1230296,2015-07-02 15:07:52,2015-07-02 00:00:00,2015-07-02 15:07:52,Mansfield,-1,Mansfield,21000,-1,147000,31500,-1,205800,True,True,22614,True,0,0,8886,-1,183186,-1,-1,-1,-1,200.0,0,147000,21000.0,651000.0,-1,0,0
2015-07-03,2015-07-03 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 IW,KNOXVILLE TN KMSET TP - 00R4,ULSD,-1,-1,-1,4,12500,0,-1,-1,-1,0,-1,-1,4,w3,-1,0,35114,-1,-1,-1,-1,-1,-1,-1,150,-1,100,-1,140,-1,-1,-1,-1,-1,w2,1,2015-07-09 00:00:00,-1,-1,-1,21000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2015-07-03 00:00:00,2015-07-03 00:00:00,2015-07-03 00:00:00,-1,-1,-1,21000,-1,147000,31500,-1,205800,True,True,35114,True,0,0,-1,-1,-1,-1,-1,-1,-1,0.0,0,147000,21000.0,651000.0,-1,0,0
2015-07-04,2015-07-04 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 IW,KNOXVILLE TN KMSET TP - 00R4,ULSD,21000,-1,147000,3,0,3,0,0,-1,0,-1,35114,0,w3,0,0,35114,31500,-1,205800,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,07/05 00:00:00 EDT,-1,w2,0,2015-07-09 00:00:00,Contract,-1,Contract,21000,21000,-1,-1,147000,31500,-1,170686,0,-1,0,0,-1,0,1252449,-1,1252450,2015-07-04 08:07:42,2015-07-04 00:00:00,2015-07-04 08:07:42,Mansfield,-1,Mansfield,21000,-1,147000,31500,-1,205800,False,True,35114,True,0,0,31500,-1,170686,-1,-1,-1,-1,0.0,0,147000,21000.0,651000.0,-1,0,0
2015-07-05,2015-07-05 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 IW,KNOXVILLE TN KMSET TP - 00R4,ULSD,21000,-1,147000,3,7521,3,7521,0,-1,0,-1,35114,0,w3,0,0,35114,31500,-1,205800,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,07/06 00:00:00 EDT,-1,w2,0,2015-07-09 00:00:00,Contract,-1,Contract,21000,21000,-1,-1,147000,31500,-1,170686,0,-1,0,0,-1,0,1262821,-1,1262822,2015-07-05 08:07:39,2015-07-05 00:00:00,2015-07-05 08:07:39,Mansfield,-1,Mansfield,21000,-1,147000,31500,-1,205800,False,False,42635,True,0,0,23979,-1,170686,-1,-1,-1,-1,0.0,0,147000,21000.0,651000.0,-1,0,0
2015-07-06,2015-07-06 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 IW,KNOXVILLE TN KMSET TP - 00R4,ULSD,21000,-1,147000,3,22651,3,22651,15150,-1,0,-1,57785,0,w3,15150,0,57785,31500,-1,205800,Available,-1,Available,150%,150,-1,100,140%,140,Above Trend,-1,Below Trend,07/07 00:00:00 EDT,-1,w2,0,2015-07-09 00:00:00,Contract,-1,Contract,21000,21000,-1,-1,147000,16350,-1,148015,0,-1,0,0,-1,0,1273193,-1,1273194,2015-07-06 08:08:36,2015-07-06 00:00:00,2015-07-06 08:08:36,Mansfield,-1,Mansfield,21000,-1,147000,31500,-1,205800,False,False,65286,True,0,0,8849,-1,148015,-1,-1,-1,-1,400.0,0,147000,21000.0,651000.0,-1,0,0
2015-07-07,2015-07-07 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 IW,KNOXVILLE TN KMSET TP - 00R4,ULSD,21000,-1,147000,3,21501,3,21501,21501,-1,0,-1,86787,0,w3,21501,0,86787,31500,-1,205800,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,07/08 00:00:00 EDT,-1,w2,0,2015-07-09 00:00:00,Contract,-1,Contract,21000,21000,-1,-1,147000,9999,-1,119013,0,-1,0,0,-1,0,1293042,-1,1293043,2015-07-07 22:02:18,2015-07-07 00:00:00,2015-07-07 22:02:18,Mansfield,-1,Mansfield,21000,-1,147000,31500,-1,205800,False,True,86787,True,0,0,9999,-1,119013,-1,-1,-1,-1,133.0,0,147000,21000.0,651000.0,-1,0,0
2015-07-08,2015-07-08 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 IW,KNOXVILLE TN KMSET TP - 00R4,ULSD,21000,-1,147000,0,7501,0,7501,7501,-1,0,-1,94288,0,w3,7501,0,94288,31500,-1,205800,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,07/09 00:00:00 EDT,-1,w2,0,2015-07-09 00:00:00,Contract,-1,Contract,21000,21000,-1,-1,147000,23999,-1,111512,0,-1,0,0,-1,0,1314695,-1,1314696,2015-07-08 12:08:40,2015-07-08 00:00:00,2015-07-08 12:08:40,Mansfield,-1,Mansfield,21000,-1,147000,31500,-1,205800,False,True,94288,True,0,0,23999,-1,111512,-1,-1,-1,-1,0.0,0,147000,21000.0,651000.0,-1,0,0
2015-07-09,2015-07-09 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 IW,KNOXVILLE TN KMSET TP - 00R4,ULSD,21000,-1,147000,3,14414,3,14414,6904,-1,0,-1,6904,0,w4,6904,0,6904,31500,-1,205800,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,07/10 00:00:00 EDT,-1,w3,0,2015-07-16 00:00:00,Contract,-1,Contract,21000,21000,-1,-1,147000,24596,-1,198896,0,-1,0,0,-1,0,1324476,-1,1324477,2015-07-09 16:54:59,2015-07-09 00:00:00,2015-07-09 16:54:59,Mansfield,-1,Mansfield,21000,-1,147000,31500,-1,205800,False,False,14414,True,0,0,17086,-1,198896,-1,-1,-1,-1,0.0,0,147000,21000.0,651000.0,-1,0,0
2015-07-10,2015-07-10 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 IW,KNOXVILLE TN KMSET TP - 00R4,ULSD,21000,-1,147000,3,30053,3,30053,30053,-1,0,-1,44467,0,w4,30053,0,44467,31500,-1,205800,Available,-1,Available,150%,150,-1,100,140%,140,On Track,-1,Below Trend,07/11 00:00:00 EDT,-1,w3,0,2015-07-16 00:00:00,Contract,-1,Contract,21000,21000,-1,-1,147000,1447,-1,161333,0,-1,0,0,-1,0,1377617,-1,1377618,2015-07-10 22:08:37,2015-07-10 00:00:00,2015-07-10 22:08:37,Mansfield,-1,Mansfield,21000,-1,147000,31500,-1,205800,True,True,44467,True,0,0,1447,-1,161333,-1,-1,-1,-1,133.0,0,147000,21000.0,651000.0,-1,0,0
