,date,supplier_name,account_type,supplier_terminal_name,product_name,base_gallons_Daily,base_gallons_Monthly,base_gallons_Weekly,lifted_gallons_daily_flag,lifted_gallons_daily_modified,Modified_WeeksByLiftedGallons,lifted_gallons_modified_WeeksByLiftedGallons,lifted_gallons_Daily,Lifted_actual_monthly,lifted_gallons_monthly_flag,lifted_gallons_Monthly,Lifted_actual_weekly,lifted_gallons_weekly_flag,WeeksByLiftedGallons,lifted_gallonsWeekly_modified_aposteriori,Modified_LiftedGallonsaposteriori,lifted_gallons_Weekly,beginning_gallons_Daily,beginning_gallons_Monthly,beginning_gallons_Weekly,en_allocation_status_Daily,en_allocation_status_Monthly,en_allocation_status_Weekly,percentage_allocation_Daily_actual,percentage_allocation_Daily,percentage_allocation_Monthly_actual,percentage_allocation_Monthly,percentage_allocation_Weekly_actual,percentage_allocation_Weekly,alerts_ratability_Daily,alerts_ratability_Monthly,alerts_ratability_Weekly,next_refresh_date_Daily,next_refresh_date_Monthly,Week_switch,Modified_NRD,next_refresh_date_Weekly,en_account_type_Daily,en_account_type_Monthly,en_account_type_Weekly,NRB_Daily,next_refresh_base_gallons_Daily,NRB_Monthly,next_refresh_base_gallons_Monthly,next_refresh_base_gallons_Weekly,remaining_gallons_Daily,remaining_gallons_Monthly,remaining_gallons_Weekly,additional_gallons_allowed_Daily,additional_gallons_allowed_Monthly,additional_gallons_allowed_Weekly,additional_gallons_remaining_Daily,additional_gallons_remaining_Monthly,additional_gallons_remaining_Weekly,staging_id_Daily,staging_id_Monthly,staging_id_Weekly,execution_date_Daily,execution_date_Monthly,execution_date_Weekly,customer_name_Daily,customer_name_Monthly,customer_name_Weekly,base_gallons_Daily_Reconciled,base_gallons_Monthly_Reconciled,base_gallons_Weekly_Reconciled,beginning_gallons_Daily_Reconciled,beginning_gallons_Monthly_Reconciled,beginning_gallons_Weekly_Reconciled,sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,computedWeekly,sanityComputedWeekly,computedMonthly,sanityComputedMonthly,remaining_gallons_Daily_Reconciled,remaining_gallons_Monthly_Reconciled,remaining_gallons_Weekly_Reconciled,additional_gallons_remaining_Daily_Reconciled,additional_gallons_remaining_Monthly_Reconciled,additional_gallons_remaining_Weekly_Reconciled,Ratability_Monthly,Ratability_Daily,Ratability_Weekly,Synthetic_Base_Weekly,Synthetic_Base_Daily,Synthetic_Base_Monthly,Ratability_Monthly_computed,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
2015-07-01,2015-07-01 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 IW,PORT EVERGLADES FL (MOC) - 00A7,Reg CG DS,6610,-1,-1,0,0,0,0,0,-1,0,-1,-1,0,w1,0,0,-1,9915,-1,-1,Available,-1,-1,150%,150,-1,-1,-1,-1,Below Trend,-1,-1,07/02 00:00:00 EDT,-1,w1,1,2015-07-02 00:00:00,Contract,-1,-1,6610,6610,204925,-1,-1,9915,-1,-1,0,-1,-1,0,-1,-1,1193928,-1,-1,2015-07-01 00:00:00,2015-07-01 00:00:00,2015-07-01 00:00:00,Mansfield,-1,-1,6610,-1,-1,9915,-1,-1,True,True,0,False,0,0,9915,-1,-1,-1,-1,-1,-1.0,0.0,-1,46270.0,6610.0,204910.0,-1,0,0
2015-07-02,2015-07-02 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 IW,PORT EVERGLADES FL (MOC) - 00A7,Reg CG DS,6610,-1,-1,0,0,0,0,0,-1,0,-1,-1,0,w1,0,0,-1,9915,-1,-1,Available,-1,-1,150%,150,-1,-1,-1,-1,Below Trend,-1,-1,07/03 00:00:00 EDT,-1,w2,1,2015-07-09 00:00:00,Contract,-1,-1,6610,6610,204925,-1,-1,9915,-1,-1,0,-1,-1,0,-1,-1,1230332,-1,-1,2015-07-02 00:00:00,2015-07-02 00:00:00,2015-07-02 00:00:00,Mansfield,-1,-1,6610,-1,-1,9915,-1,-1,True,False,0,0,0,0,9915,-1,-1,-1,-1,-1,-1.0,0.0,-1,46270.0,6610.0,204910.0,-1,0,0
2015-07-03,2015-07-03 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 IW,PORT EVERGLADES FL (MOC) - 00A7,Reg CG DS,-1,-1,-1,0,-1,0,-1,-1,-1,0,-1,-1,0,w1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,150,-1,-1,-1,-1,-1,-1,-1,-1,-1,w2,1,2015-07-09 00:00:00,-1,-1,-1,6610,-1,204925,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2015-07-03 00:00:00,2015-07-03 00:00:00,2015-07-03 00:00:00,-1,-1,-1,6610,-1,-1,9915,-1,-1,False,True,0,0,0,0,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,46270.0,6610.0,204910.0,-1,1,1
2015-07-04,2015-07-04 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 IW,PORT EVERGLADES FL (MOC) - 00A7,Reg CG DS,6610,-1,-1,0,0,0,0,0,-1,0,-1,-1,0,w1,0,0,-1,9915,-1,-1,Available,-1,-1,150%,150,-1,-1,-1,-1,Below Trend,-1,-1,07/05 00:00:00 EDT,-1,w2,1,2015-07-09 00:00:00,Contract,-1,-1,6610,6610,204925,-1,-1,9915,-1,-1,0,-1,-1,0,-1,-1,1252486,-1,-1,2015-07-04 00:00:00,2015-07-04 00:00:00,2015-07-04 00:00:00,Mansfield,-1,-1,6610,-1,-1,9915,-1,-1,False,True,0,0,0,0,9915,-1,-1,-1,-1,-1,-1.0,0.0,-1,46270.0,6610.0,204910.0,-1,1,1
2015-07-05,2015-07-05 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 IW,PORT EVERGLADES FL (MOC) - 00A7,Reg CG DS,6610,-1,-1,0,0,0,0,0,-1,0,-1,-1,0,w1,0,0,-1,9915,-1,-1,Available,-1,-1,150%,150,-1,-1,-1,-1,Below Trend,-1,-1,07/06 00:00:00 EDT,-1,w2,1,2015-07-09 00:00:00,Contract,-1,-1,6610,6610,204925,-1,-1,9915,-1,-1,0,-1,-1,0,-1,-1,1262859,-1,-1,2015-07-05 00:00:00,2015-07-05 00:00:00,2015-07-05 00:00:00,Mansfield,-1,-1,6610,-1,-1,9915,-1,-1,False,True,0,0,0,0,9915,-1,-1,-1,-1,-1,-1.0,0.0,-1,46270.0,6610.0,204910.0,-1,1,1
2015-07-06,2015-07-06 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 IW,PORT EVERGLADES FL (MOC) - 00A7,Reg CG DS,-1,204925,-1,0,-1,0,-1,-1,8807,0,8807,-1,0,w1,-1,0,-1,-1,2047201,-1,-1,Available,-1,-1,150,999%,999,-1,-1,-1,Below Trend,-1,-1,08/01 00:00:00 EDT,w2,1,2015-07-09 00:00:00,-1,Contract,-1,6610,-1,204925,204925,-1,-1,2038394,-1,-1,0,-1,-1,0,-1,-1,1273231,-1,2015-07-06 00:00:00,2015-07-06 00:00:00,2015-07-06 00:00:00,-1,Mansfield,-1,6610,204925,-1,9915,2047201,-1,False,False,0,0,0,0,-1,2038394,-1,-1,-1,-1,22.0,-1.0,-1,46270.0,6610.0,204910.0,-1,0,0
2015-07-07,2015-07-07 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 IW,PORT EVERGLADES FL (MOC) - 00A7,Reg CG DS,-1,204925,-1,0,-1,0,-1,-1,17610,0,17610,-1,0,w1,-1,0,-1,-1,2047201,-1,-1,Available,-1,-1,150,999%,999,-1,-1,-1,Below Trend,-1,-1,08/01 00:00:00 EDT,w2,1,2015-07-09 00:00:00,-1,Contract,-1,6610,-1,204925,204925,-1,-1,2029591,-1,-1,0,-1,-1,0,-1,-1,1293081,-1,2015-07-07 00:00:00,2015-07-07 00:00:00,2015-07-07 00:00:00,-1,Mansfield,-1,-1,204925,-1,-1,2047201,-1,False,False,0,0,0,0,-1,2029591,-1,-1,-1,-1,38.0,-1.0,-1,47816.0,6831.0,204925.0,-1,0,0
2015-07-08,2015-07-08 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 IW,PORT EVERGLADES FL (MOC) - 00A7,Reg CG DS,-1,204925,-1,0,-1,0,-1,-1,17610,0,17610,-1,0,w1,-1,0,-1,-1,2047201,-1,-1,Available,-1,-1,150,999%,999,-1,-1,-1,Below Trend,-1,-1,08/01 00:00:00 EDT,w2,1,2015-07-09 00:00:00,-1,Contract,-1,6610,-1,204925,204925,-1,-1,2029591,-1,-1,0,-1,-1,0,-1,-1,1314735,-1,2015-07-08 00:00:00,2015-07-08 00:00:00,2015-07-08 00:00:00,-1,Mansfield,-1,-1,204925,-1,-1,2047201,-1,False,False,0,0,0,0,-1,2029591,-1,-1,-1,-1,33.0,-1.0,-1,47816.0,6831.0,204925.0,-1,0,0
2015-07-09,2015-07-09 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 IW,PORT EVERGLADES FL (MOC) - 00A7,Reg CG DS,-1,204925,-1,0,-1,0,-1,-1,17610,0,17610,-1,0,w1,-1,0,-1,-1,2047201,-1,-1,Available,-1,-1,150,999%,999,-1,-1,-1,Below Trend,-1,-1,08/01 00:00:00 EDT,w3,1,2015-07-16 00:00:00,-1,Contract,-1,6610,-1,204925,204925,-1,-1,2029591,-1,-1,0,-1,-1,0,-1,-1,1324516,-1,2015-07-09 00:00:00,2015-07-09 00:00:00,2015-07-09 00:00:00,-1,Mansfield,-1,-1,204925,-1,-1,2047201,-1,False,True,0,0,0,0,-1,2029591,-1,-1,-1,-1,30.0,-1.0,-1,47816.0,6831.0,204925.0,-1,0,0
2015-07-10,2015-07-10 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 IW,PORT EVERGLADES FL (MOC) - 00A7,Reg CG DS,-1,204925,-1,0,-1,0,-1,-1,26310,0,26310,-1,0,w1,-1,0,-1,-1,2047201,-1,-1,Available,-1,-1,150,999%,999,-1,-1,-1,Below Trend,-1,-1,08/01 00:00:00 EDT,w3,1,2015-07-16 00:00:00,-1,Contract,-1,6610,-1,204925,204925,-1,-1,2020891,-1,-1,0,-1,-1,0,-1,-1,1377657,-1,2015-07-10 00:00:00,2015-07-10 00:00:00,2015-07-10 00:00:00,-1,Mansfield,-1,-1,204925,-1,-1,2047201,-1,False,False,0,0,0,0,-1,2020891,-1,-1,-1,-1,40.0,-1.0,-1,47816.0,6831.0,204925.0,-1,0,0
